"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HAVELLS","EQ","30-Aug-2018","        714.00","        710.00","        722.00","        706.05","        720.00","        719.35","        714.50","    1053476","           752704721.30","      21066","     492014","         46.70"
"HAVELLS","EQ","31-Aug-2018","        719.35","        719.00","        726.90","        709.05","        725.30","        725.25","        719.95","    1280453","           921868283.30","      30420","     514556","         40.19"
"HAVELLS","EQ","03-Sep-2018","        725.25","        722.00","        728.75","        707.20","        710.00","        716.40","        721.69","    1160743","           837692796.45","      35874","     425224","         36.63"
"HAVELLS","EQ","04-Sep-2018","        716.40","        713.85","        713.85","        664.95","        672.90","        668.80","        682.58","    2045160","          1395982603.05","      42447","     763864","         37.35"
"HAVELLS","EQ","05-Sep-2018","        668.80","        670.00","        670.00","        646.00","        659.50","        660.40","        654.87","    2117180","          1386479188.00","      43024","     851119","         40.20"
"HAVELLS","EQ","06-Sep-2018","        660.40","        665.70","        682.70","        656.00","        681.50","        679.00","        668.50","    1055587","           705658768.35","      24208","     241902","         22.92"
"HAVELLS","EQ","07-Sep-2018","        679.00","        684.00","        684.00","        667.10","        673.30","        673.55","        674.65","     975050","           657813113.20","      64020","     330079","         33.85"
"HAVELLS","EQ","10-Sep-2018","        673.55","        670.00","        670.00","        639.40","        642.25","        641.35","        647.77","    1767996","          1145257457.10","      47041","     578510","         32.72"
"HAVELLS","EQ","11-Sep-2018","        641.35","        644.00","        653.50","        631.00","        635.80","        632.60","        639.49","    1848618","          1182172525.00","      38849","     474269","         25.66"
"HAVELLS","EQ","12-Sep-2018","        632.60","        635.90","        649.95","        627.15","        646.35","        646.70","        639.45","    1567798","          1002521728.35","      31993","     466227","         29.74"
"HAVELLS","EQ","14-Sep-2018","        646.70","        650.00","        665.85","        648.55","        658.90","        659.60","        659.86","    1144059","           754917608.40","      40319","     351351","         30.71"
"HAVELLS","EQ","17-Sep-2018","        659.60","        655.00","        672.40","        647.10","        662.00","        666.90","        658.96","     795979","           524516704.90","      19201","     199882","         25.11"
"HAVELLS","EQ","18-Sep-2018","        666.90","        663.40","        668.00","        645.10","        646.00","        646.65","        654.01","     881794","           576702120.95","      34140","     266108","         30.18"
"HAVELLS","EQ","19-Sep-2018","        646.65","        650.25","        653.25","        640.85","        644.30","        646.25","        647.85","     658508","           426614194.15","      21488","     211668","         32.14"
"HAVELLS","EQ","21-Sep-2018","        646.25","        646.80","        659.80","        626.75","        640.00","        635.05","        646.57","    2000200","          1293278478.45","      49301","     792514","         39.62"
"HAVELLS","EQ","24-Sep-2018","        635.05","        634.00","        639.80","        620.50","        627.00","        625.85","        631.93","     750068","           473988047.45","      25627","     161980","         21.60"
"HAVELLS","EQ","25-Sep-2018","        625.85","        624.95","        635.90","        605.40","        632.05","        628.10","        620.02","     896553","           555877760.95","      21659","     221620","         24.72"
"HAVELLS","EQ","26-Sep-2018","        628.10","        633.00","        649.05","        620.25","        648.10","        646.50","        635.26","    1027745","           652881478.65","      30863","     332098","         32.31"
"HAVELLS","EQ","27-Sep-2018","        646.50","        640.00","        642.00","        608.10","        613.00","        612.60","        622.99","    2405928","          1498862510.65","      54043","     738421","         30.69"
"HAVELLS","EQ","28-Sep-2018","        612.60","        617.00","        619.80","        581.85","        592.70","        594.50","        601.19","    1552503","           933354470.90","      42455","     476846","         30.71"
"HAVELLS","EQ","01-Oct-2018","        594.50","        591.40","        601.65","        554.15","        591.00","        595.15","        576.85","    3089537","          1782212475.20","      85787","    1211915","         39.23"
