"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HCG","EQ","30-Aug-2018","        266.25","        266.30","        266.30","        251.95","        255.65","        256.85","        257.01","      16327","             4196239.65","        651","      10222","         62.61"
"HCG","EQ","31-Aug-2018","        256.85","        261.90","        261.90","        250.35","        253.70","        255.75","        255.34","      12940","             3304050.20","        650","       7065","         54.60"
"HCG","EQ","03-Sep-2018","        255.75","        258.25","        262.00","        255.00","        256.50","        255.30","        255.81","       9811","             2509729.70","        331","       4883","         49.77"
"HCG","EQ","04-Sep-2018","        255.30","        257.60","        257.95","        253.00","        255.00","        255.55","        255.52","       9786","             2500469.80","        222","       8360","         85.43"
"HCG","EQ","05-Sep-2018","        255.55","        259.35","        259.35","        252.05","        253.00","        253.10","        253.83","       6541","             1660313.30","        268","       4600","         70.33"
"HCG","EQ","06-Sep-2018","        253.10","        256.20","        265.30","        252.75","        255.05","        258.00","        257.85","     169463","            43696173.15","        654","     160816","         94.90"
"HCG","EQ","07-Sep-2018","        258.00","        259.80","        259.80","        252.10","        254.20","        253.15","        254.46","       6397","             1627750.15","        365","       3818","         59.68"
"HCG","EQ","10-Sep-2018","        253.15","        256.10","        261.00","        250.55","        250.80","        251.65","        255.46","       4023","             1027729.50","        236","       2075","         51.58"
"HCG","EQ","11-Sep-2018","        251.65","        254.60","        254.75","        241.25","        244.00","        243.65","        246.94","       9694","             2393857.80","        417","       6424","         66.27"
"HCG","EQ","12-Sep-2018","        243.65","        246.00","        246.00","        240.00","        240.15","        240.90","        241.49","       5982","             1444618.85","        295","       3838","         64.16"
"HCG","EQ","14-Sep-2018","        240.90","        237.35","        247.95","        237.35","        243.50","        244.45","        243.62","       4355","             1060975.50","        342","       3050","         70.03"
"HCG","EQ","17-Sep-2018","        244.45","        242.00","        255.00","        242.00","        249.95","        248.10","        247.88","       5525","             1369544.95","        523","       2575","         46.61"
"HCG","EQ","18-Sep-2018","        248.10","        244.45","        249.65","        244.45","        247.65","        246.95","        246.81","       2966","              732030.75","        157","       2011","         67.80"
"HCG","EQ","19-Sep-2018","        246.95","        249.20","        251.00","        241.55","        245.70","        244.30","        245.02","       4671","             1144498.00","        395","       2560","         54.81"
"HCG","EQ","21-Sep-2018","        244.30","        243.70","        254.40","        219.95","        242.90","        235.15","        236.33","      23528","             5560385.45","       1417","      16534","         70.27"
"HCG","EQ","24-Sep-2018","        235.15","        235.10","        246.40","        220.35","        231.90","        231.70","        233.42","       9419","             2198588.55","        538","       4826","         51.24"
"HCG","EQ","25-Sep-2018","        231.70","        233.90","        233.90","        220.65","        224.85","        223.80","        226.16","       9330","             2110089.35","        331","       6902","         73.98"
"HCG","EQ","26-Sep-2018","        223.80","        227.15","        237.95","        221.10","        223.00","        223.45","        226.11","       7024","             1588219.35","        457","       2858","         40.69"
"HCG","EQ","27-Sep-2018","        223.45","        225.15","        227.00","        215.00","        218.05","        220.25","        221.15","       7970","             1762574.55","        632","       4042","         50.72"
"HCG","EQ","28-Sep-2018","        220.25","        220.00","        220.00","        211.20","        215.00","        214.65","        215.30","      15120","             3255383.70","        557","      10885","         71.99"
"HCG","EQ","01-Oct-2018","        214.65","        214.65","        214.65","        199.00","        200.00","        200.65","        204.58","      23216","             4749534.80","       1303","      18847","         81.18"
"HCG","EQ","03-Oct-2018","        200.65","        202.00","        220.00","        200.00","        217.00","        213.70","        208.28","      20221","             4211719.65","        860","      14680","         72.60"
"HCG","EQ","04-Oct-2018","        213.70","        216.50","        221.15","        209.65","        213.00","        214.95","        212.08","      16308","             3458534.35","        443","      10940","         67.08"
