"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HEROMOTOCO","EQ","30-Aug-2018","       3246.10","       3227.00","       3255.00","       3210.05","       3217.00","       3223.70","       3228.50","     381370","          1231253733.80","      38451","     202899","         53.20"
"HEROMOTOCO","EQ","31-Aug-2018","       3223.70","       3208.00","       3260.00","       3201.05","       3259.30","       3253.80","       3244.80","     401621","          1303177936.05","      37708","     260971","         64.98"
"HEROMOTOCO","EQ","03-Sep-2018","       3253.80","       3280.00","       3295.75","       3235.00","       3236.65","       3242.45","       3261.10","     292015","           952291219.30","      21825","     182650","         62.55"
"HEROMOTOCO","EQ","04-Sep-2018","       3242.45","       3257.70","       3259.00","       3180.00","       3182.00","       3184.15","       3204.63","     178340","           571513162.40","      19510","      79728","         44.71"
"HEROMOTOCO","EQ","05-Sep-2018","       3184.15","       3179.00","       3203.95","       3134.45","       3143.80","       3145.40","       3169.55","     355010","          1125220961.65","      21287","     213683","         60.19"
"HEROMOTOCO","EQ","06-Sep-2018","       3145.40","       3151.35","       3180.00","       3116.60","       3152.00","       3164.85","       3153.57","     303246","           956307749.95","      26942","     144177","         47.54"
"HEROMOTOCO","EQ","07-Sep-2018","       3164.85","       3180.00","       3345.00","       3161.85","       3339.00","       3329.35","       3264.04","     666688","          2176093751.45","      47571","     351056","         52.66"
"HEROMOTOCO","EQ","10-Sep-2018","       3329.35","       3333.00","       3334.85","       3258.20","       3287.00","       3278.30","       3280.79","     302172","           991361501.70","      28917","     118742","         39.30"
"HEROMOTOCO","EQ","11-Sep-2018","       3278.30","       3294.00","       3294.00","       3170.00","       3179.75","       3184.20","       3209.93","     479594","          1539463866.05","      55646","     202832","         42.29"
"HEROMOTOCO","EQ","12-Sep-2018","       3184.20","       3199.00","       3202.40","       3107.75","       3165.25","       3163.75","       3154.57","     424166","          1338060463.70","      35704","     206332","         48.64"
"HEROMOTOCO","EQ","14-Sep-2018","       3163.75","       3187.00","       3200.60","       3151.15","       3190.75","       3186.65","       3178.84","     329042","          1045971521.85","      43615","     172126","         52.31"
"HEROMOTOCO","EQ","17-Sep-2018","       3186.65","       3180.00","       3180.00","       3110.25","       3126.00","       3127.90","       3142.14","     260149","           817423623.65","      23744","     118744","         45.64"
"HEROMOTOCO","EQ","18-Sep-2018","       3127.90","       3140.00","       3153.20","       3104.50","       3107.75","       3111.45","       3128.49","     337805","          1056818051.70","      40520","     192558","         57.00"
"HEROMOTOCO","EQ","19-Sep-2018","       3111.45","       3130.00","       3180.00","       3102.05","       3138.00","       3153.95","       3157.85","     299509","           945805359.60","      22839","     125116","         41.77"
"HEROMOTOCO","EQ","21-Sep-2018","       3153.95","       3169.85","       3188.75","       3020.00","       3182.00","       3175.20","       3155.37","     579823","          1829553682.55","      44791","     371814","         64.13"
"HEROMOTOCO","EQ","24-Sep-2018","       3175.20","       3175.30","       3183.00","       3080.05","       3120.00","       3110.20","       3118.02","     615568","          1919353128.85","      25275","     453747","         73.71"
"HEROMOTOCO","EQ","25-Sep-2018","       3110.20","       3121.95","       3125.00","       3082.00","       3112.60","       3112.60","       3101.63","     463611","          1437951343.40","      46999","     272009","         58.67"
"HEROMOTOCO","EQ","26-Sep-2018","       3112.60","       3140.00","       3140.00","       3086.70","       3095.85","       3100.05","       3100.74","     357504","          1108528086.00","      34282","     215624","         60.31"
"HEROMOTOCO","EQ","27-Sep-2018","       3100.05","       3114.00","       3130.90","       3075.00","       3088.35","       3088.10","       3093.07","     932370","          2883883719.40","      39854","     652426","         69.98"
"HEROMOTOCO","EQ","28-Sep-2018","       3088.10","       3092.00","       3099.90","       2877.85","       2913.25","       2933.25","       2954.74","     832489","          2459788185.55","      85166","     408568","         49.08"
"HEROMOTOCO","EQ","01-Oct-2018","       2933.25","       2910.00","       2985.70","       2850.00","       2965.50","       2973.00","       2903.20","     663628","          1926642821.70","      50106","     391459","         58.99"
"HEROMOTOCO","EQ","03-Oct-2018","       2973.00","       2989.00","       2995.00","       2900.00","       2907.00","       2913.50","       2952.46","     503936","          1487848953.80","      68820","     217993","         43.26"
"HEROMOTOCO","EQ","04-Oct-2018","       2913.50","       2881.10","       2887.00","       2713.15","       2753.00","       2763.50","       2776.43","    1172793","          3256181792.20","     130263","     534651","         45.59"
"HEROMOTOCO","EQ","05-Oct-2018","       2763.50","       2758.00","       2779.95","       2692.00","       2748.90","       2740.75","       2728.11","     811688","          2214376362.65","      70059","     364381","         44.89"
"HEROMOTOCO","EQ","08-Oct-2018","       2740.75","       2725.00","       2885.00","       2710.05","       2873.10","       2873.05","       2820.30","     762339","          2150025301.50","      65590","     314468","         41.25"
"HEROMOTOCO","EQ","09-Oct-2018","       2873.05","       2896.60","       2931.90","       2870.15","       2886.55","       2891.75","       2897.00","     699147","          2025425663.40","      60980","     383324","         54.83"
"HEROMOTOCO","EQ","10-Oct-2018","       2891.75","       2918.00","       2993.65","       2907.90","       2919.95","       2920.10","       2950.60","    1165353","          3438495672.05","      58215","     881948","         75.68"
"HEROMOTOCO","EQ","11-Oct-2018","       2920.10","       2877.00","       2934.90","       2846.40","       2879.95","       2871.00","       2881.48","     635575","          1831393999.10","      82449","     391245","         61.56"
"HEROMOTOCO","EQ","12-Oct-2018","       2871.00","       2892.50","       2939.80","       2875.00","       2886.65","       2893.95","       2897.89","     384692","          1114795703.15","      48451","     199213","         51.79"
