"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HFCL","EQ","30-Aug-2018","         24.80","         24.90","         26.15","         24.55","         25.35","         25.35","         25.48","    6576345","           167587874.85","      12379","    2463912","         37.47"
"HFCL","EQ","31-Aug-2018","         25.35","         25.45","         25.90","         25.00","         25.60","         25.70","         25.39","    7205864","           182922851.90","       4790","    3720908","         51.64"
"HFCL","EQ","03-Sep-2018","         25.70","         25.90","         26.40","         25.45","         25.70","         25.60","         25.92","    8087226","           209652703.60","       6696","    3873285","         47.89"
"HFCL","EQ","04-Sep-2018","         25.60","         25.70","         25.95","         24.45","         24.70","         24.55","         25.08","    5378857","           134909656.15","       5291","    2373634","         44.13"
"HFCL","EQ","05-Sep-2018","         24.55","         24.50","         24.80","         24.10","         24.60","         24.60","         24.45","    5471956","           133803179.80","       7597","    3185098","         58.21"
"HFCL","EQ","06-Sep-2018","         24.60","         24.80","         25.30","         24.55","         25.20","         25.10","         24.92","    3723349","            92798829.25","       4402","    1419501","         38.12"
"HFCL","EQ","07-Sep-2018","         25.10","         25.15","         25.20","         24.65","         24.75","         24.85","         24.92","    3105279","            77372634.10","       3351","    1232859","         39.70"
"HFCL","EQ","10-Sep-2018","         24.85","         24.75","         25.05","         24.25","         24.40","         24.45","         24.61","    2756704","            67831862.75","       3560","    1466426","         53.19"
"HFCL","EQ","11-Sep-2018","         24.45","         24.70","         24.70","         23.75","         23.85","         23.80","         24.21","    2839480","            68756280.10","       3283","    1640587","         57.78"
"HFCL","EQ","12-Sep-2018","         23.80","         23.90","         24.20","         23.15","         23.40","         23.40","         23.65","    3812240","            90146750.90","       4852","    1463376","         38.39"
"HFCL","EQ","14-Sep-2018","         23.40","         23.65","         23.95","         23.20","         23.40","         23.35","         23.47","    3042951","            71430753.30","       4569","    1279880","         42.06"
"HFCL","EQ","17-Sep-2018","         23.35","         23.35","         23.35","         21.50","         22.80","         23.00","         22.93","    3803303","            87197513.85","       5637","    1527910","         40.17"
"HFCL","EQ","18-Sep-2018","         23.00","         23.00","         23.10","         22.10","         22.25","         22.30","         22.63","    2822961","            63875810.85","       4135","    1141467","         40.44"
"HFCL","EQ","19-Sep-2018","         22.30","         22.65","         23.75","         22.20","         23.30","         23.25","         23.11","    6205169","           143404778.40","       8757","    2082909","         33.57"
"HFCL","EQ","21-Sep-2018","         23.25","         23.75","         23.95","         19.55","         20.85","         20.75","         21.67","    9320523","           202004395.20","      22841","    4197790","         45.04"
