"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HGS","EQ","30-Aug-2018","        770.55","        771.00","        795.00","        765.00","        793.00","        789.20","        784.99","       7585","             5954173.60","       1013","       4695","         61.90"
"HGS","EQ","31-Aug-2018","        789.20","        789.20","        829.70","        781.90","        825.00","        807.60","        799.42","      10348","             8272420.25","       1138","       7818","         75.55"
"HGS","EQ","03-Sep-2018","        807.60","        808.20","        899.00","        808.20","        862.00","        858.20","        869.83","      61071","            53121460.40","       4569","      21922","         35.90"
"HGS","EQ","04-Sep-2018","        858.20","        863.35","        917.80","        840.00","        863.30","        865.55","        886.77","      72740","            64503506.00","       4254","      22947","         31.55"
"HGS","EQ","05-Sep-2018","        865.55","        891.50","        891.50","        834.00","        857.45","        852.40","        858.99","      16742","            14381144.45","       1853","       7320","         43.72"
"HGS","EQ","06-Sep-2018","        852.40","        857.45","        863.75","        833.80","        839.00","        844.65","        850.04","       9141","             7770246.10","       1184","       5058","         55.33"
"HGS","EQ","07-Sep-2018","        844.65","        840.40","        894.00","        837.00","        879.00","        886.05","        868.05","      27575","            23936410.15","       2681","      14475","         52.49"
"HGS","EQ","10-Sep-2018","        886.05","        885.00","        913.90","        870.00","        884.00","        889.40","        897.18","      19014","            17058931.15","       1912","       9747","         51.26"
"HGS","EQ","11-Sep-2018","        889.40","        890.00","        911.00","        861.40","        863.05","        866.85","        891.19","      16437","            14648528.05","       2473","       9853","         59.94"
"HGS","EQ","12-Sep-2018","        866.85","        867.00","        876.00","        848.00","        850.00","        853.70","        859.45","       9571","             8225780.90","       1228","       5807","         60.67"
"HGS","EQ","14-Sep-2018","        853.70","        867.85","        879.90","        845.90","        853.95","        851.80","        860.78","      11694","            10066003.80","       1375","       8391","         71.75"
"HGS","EQ","17-Sep-2018","        851.80","        850.00","        853.95","        819.80","        820.00","        823.35","        830.29","      37247","            30925929.80","       4223","      22653","         60.82"
"HGS","EQ","18-Sep-2018","        823.35","        820.00","        823.40","        802.00","        802.95","        804.80","        808.18","      10854","             8772009.45","       1178","       5178","         47.71"
"HGS","EQ","19-Sep-2018","        804.80","        811.00","        811.25","        781.00","        786.50","        783.70","        794.16","      10168","             8074992.70","       1168","       6685","         65.75"
"HGS","EQ","21-Sep-2018","        783.70","        795.00","        816.00","        747.50","        760.00","        760.80","        777.57","      23938","            18613532.25","       3176","      14913","         62.30"
"HGS","EQ","24-Sep-2018","        760.80","        777.95","        799.95","        732.65","        736.00","        734.70","        742.18","      14366","            10662107.35","       1013","      10596","         73.76"
"HGS","EQ","25-Sep-2018","        734.70","        736.00","        740.85","        725.45","        734.00","        730.60","        734.41","      15845","            11636676.10","       1142","      11870","         74.91"
"HGS","EQ","26-Sep-2018","        730.60","        741.25","        749.00","        725.00","        725.10","        729.35","        734.24","       5018","             3684428.30","        644","       3871","         77.14"
"HGS","EQ","27-Sep-2018","        729.35","        732.55","        737.30","        696.95","        702.00","        700.75","        708.46","      15638","            11078962.45","       1549","      12284","         78.55"
"HGS","EQ","28-Sep-2018","        700.75","        700.05","        714.45","        660.00","        678.00","        667.25","        679.34","      22787","            15480144.80","       1037","      17859","         78.37"
"HGS","EQ","01-Oct-2018","        667.25","        698.95","        698.95","        636.05","        679.00","        671.40","        653.17","      19950","            13030744.85","       1509","      15313","         76.76"
"HGS","EQ","03-Oct-2018","        671.40","        699.70","        713.90","        672.10","        694.00","        689.50","        698.71","      13944","             9742780.20","       1063","       7960","         57.09"
"HGS","EQ","04-Oct-2018","        689.50","        694.00","        707.00","        668.95","        673.00","        677.10","        686.65","       9090","             6241642.95","       1350","       6066","         66.73"
"HGS","EQ","05-Oct-2018","        677.10","        680.00","        680.00","        642.15","        645.10","        645.15","        652.70","      11632","             7592218.55","       1993","       9571","         82.28"
"HGS","EQ","08-Oct-2018","        645.15","        645.00","        654.30","        620.00","        620.50","        624.55","        642.54","      89452","            57476652.05","       1560","      78450","         87.70"
"HGS","EQ","09-Oct-2018","        624.55","        628.95","        640.00","        591.20","        596.05","        603.80","        613.11","      11928","             7313132.40","       1196","       7436","         62.34"
"HGS","EQ","10-Oct-2018","        603.80","        620.00","        633.70","        605.30","        631.95","        627.85","        623.41","       9479","             5909293.35","        944","       6774","         71.46"
"HGS","EQ","11-Oct-2018","        627.85","        618.40","        644.75","        605.00","        633.10","        632.05","        627.70","       9424","             5915486.40","       1776","       4929","         52.30"
"HGS","EQ","12-Oct-2018","        632.05","        635.90","        656.95","        633.00","        650.00","        648.10","        645.91","       5123","             3309011.80","        479","       3206","         62.58"
"HGS","EQ","15-Oct-2018","        648.10","        663.95","        667.70","        643.35","        665.10","        663.10","        655.57","       6383","             4184510.65","        460","       4228","         66.24"
"HGS","EQ","16-Oct-2018","        663.10","        675.05","        690.60","        666.00","        671.00","        675.15","        680.60","       6441","             4383765.25","        563","       4070","         63.19"
"HGS","EQ","17-Oct-2018","        675.15","        698.70","        698.70","        661.65","        668.00","        667.45","        674.05","       4509","             3039281.55","        492","       2288","         50.74"
"HGS","EQ","19-Oct-2018","        667.45","        666.00","        679.80","        650.00","        656.00","        660.85","        659.75","       2523","             1664559.55","        745","       1503","         59.57"
"HGS","EQ","22-Oct-2018","        660.85","        651.35","        656.80","        632.00","        648.00","        642.30","        645.30","       3788","             2444406.70","        547","       2026","         53.48"
"HGS","EQ","23-Oct-2018","        642.30","        640.80","        659.90","        624.00","        656.00","        653.75","        644.70","       4194","             2703866.05","       1361","       2782","         66.33"
"HGS","EQ","24-Oct-2018","        653.75","        658.10","        678.00","        642.50","        648.00","        647.10","        651.43","       1376","              896371.45","        250","        887","         64.46"
"HGS","EQ","25-Oct-2018","        647.10","        648.95","        648.95","        636.25","        638.00","        639.95","        640.57","       3191","             2044055.80","        456","       1815","         56.88"
"HGS","EQ","26-Oct-2018","        639.95","        636.50","        652.35","        635.00","        637.00","        636.75","        640.38","       2078","             1330701.05","        238","       1285","         61.84"
"HGS","EQ","29-Oct-2018","        636.75","        642.65","        662.60","        640.20","        660.00","        661.70","        651.47","       2753","             1793501.25","        487","       1700","         61.75"
"HGS","EQ","30-Oct-2018","        661.70","        655.05","        658.05","        642.60","        649.00","        653.25","        652.54","       4424","             2886838.35","        452","       3047","         68.87"
"HGS","EQ","31-Oct-2018","        653.25","        650.05","        662.00","        648.65","        656.50","        657.00","        656.46","       8505","             5583229.90","        334","       7870","         92.53"
"HGS","EQ","01-Nov-2018","        657.00","        666.75","        694.80","        657.45","        688.95","        687.00","        678.70","       3445","             2338121.40","       1160","       2099","         60.93"
"HGS","EQ","02-Nov-2018","        687.00","        690.00","        696.10","        673.65","        677.80","        676.40","        682.42","       8116","             5538543.95","        579","       5349","         65.91"
"HGS","EQ","05-Nov-2018","        676.40","        686.00","        718.00","        670.25","        714.00","        704.50","        701.72","      13127","             9211451.85","       1351","       5839","         44.48"
"HGS","EQ","06-Nov-2018","        704.50","        715.05","        724.95","        701.00","        708.10","        709.80","        712.09","      15986","            11383456.20","       1133","      12205","         76.35"
"HGS","EQ","07-Nov-2018","        709.80","        724.95","        737.40","        703.10","        735.00","        727.00","        722.63","       4623","             3340717.85","        260","       3621","         78.33"
"HGS","EQ","09-Nov-2018","        727.00","        720.00","        722.90","        709.90","        711.00","        715.05","        717.03","      14441","            10354613.70","        859","      11875","         82.23"
"HGS","EQ","12-Nov-2018","        715.05","        722.90","        723.00","        712.75","        718.30","        718.40","        718.59","       8976","             6450103.50","        325","       7295","         81.27"
"HGS","EQ","13-Nov-2018","        718.40","        720.20","        723.00","        713.45","        719.80","        719.55","        719.72","       4803","             3456795.30","        237","       4001","         83.30"
"HGS","EQ","14-Nov-2018","        719.55","        718.20","        720.00","        700.20","        706.00","        707.25","        710.38","       4036","             2867091.85","        358","       2768","         68.58"
"HGS","EQ","15-Nov-2018","        707.25","        706.00","        707.50","        696.05","        696.05","        698.80","        699.63","       2670","             1868017.20","        187","       2173","         81.39"
"HGS","EQ","16-Nov-2018","        698.80","        699.50","        700.00","        676.50","        687.15","        687.65","        684.61","       3647","             2496761.30","        381","       2318","         63.56"
"HGS","EQ","19-Nov-2018","        687.65","        681.00","        690.00","        676.55","        690.00","        683.70","        680.05","       2363","             1606949.25","        174","       1836","         77.70"
"HGS","EQ","20-Nov-2018","        683.70","        680.00","        680.00","        670.10","        672.00","        672.95","        673.97","       3348","             2256449.60","        157","       2841","         84.86"
"HGS","EQ","21-Nov-2018","        672.95","        671.85","        678.50","        670.00","        678.00","        676.40","        673.74","       1335","              899438.80","        139","        903","         67.64"
"HGS","EQ","22-Nov-2018","        676.40","        684.70","        686.45","        671.00","        671.55","        675.70","        674.52","       2454","             1655266.90","        180","       1829","         74.53"
