"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HITECHCORP","EQ","30-Aug-2018","        127.60","        126.50","        129.65","        122.05","        123.45","        123.70","        125.15","       4724","              591229.65","        105","       4198","         88.87"
"HITECHCORP","EQ","31-Aug-2018","        123.70","        125.60","        125.65","        122.10","        123.60","        123.55","        124.41","       2807","              349214.55","         64","       2248","         80.09"
"HITECHCORP","EQ","03-Sep-2018","        123.55","        125.00","        125.95","        124.00","        125.00","        124.75","        124.59","       3232","              402688.90","         31","       2688","         83.17"
"HITECHCORP","EQ","04-Sep-2018","        124.75","        122.20","        124.00","        122.20","        122.50","        123.35","        123.27","       1517","              186998.45","         44","       1295","         85.37"
"HITECHCORP","EQ","05-Sep-2018","        123.35","        122.50","        124.90","        122.20","        122.25","        124.20","        123.08","        473","               58217.55","         12","        328","         69.34"
"HITECHCORP","EQ","06-Sep-2018","        124.20","        125.95","        125.95","        123.40","        124.00","        124.00","        124.53","       1206","              150184.85","         15","        406","         33.67"
"HITECHCORP","EQ","07-Sep-2018","        124.00","        123.45","        125.00","        122.45","        125.00","        124.95","        124.72","       7030","              876787.70","         31","       6840","         97.30"
"HITECHCORP","EQ","10-Sep-2018","        124.95","        122.05","        125.00","        121.00","        121.00","        121.25","        122.21","       4743","              579635.20","         54","       4553","         95.99"
"HITECHCORP","EQ","11-Sep-2018","        121.25","        122.00","        124.00","        118.00","        119.95","        118.85","        121.67","       8284","             1007899.85","         61","       7554","         91.19"
"HITECHCORP","EQ","12-Sep-2018","        118.85","        120.00","        121.75","        118.70","        121.75","        121.75","        120.87","        202","               24415.30","          4","        202","        100.00"
"HITECHCORP","EQ","14-Sep-2018","        121.75","        120.00","        120.00","        116.15","        118.00","        118.15","        118.39","       2734","              323687.50","         68","       2207","         80.72"
"HITECHCORP","EQ","17-Sep-2018","        118.15","        117.00","        118.00","        115.35","        116.00","        116.90","        117.00","       2577","              301497.55","         52","       1952","         75.75"
"HITECHCORP","EQ","18-Sep-2018","        116.90","        116.00","        116.00","        111.50","        114.95","        113.95","        113.55","       4447","              504951.05","        170","       3492","         78.52"
"HITECHCORP","EQ","19-Sep-2018","        113.95","        112.35","        112.75","        111.00","        111.50","        111.55","        111.93","       2553","              285753.75","         58","       2031","         79.55"
"HITECHCORP","EQ","21-Sep-2018","        111.55","        110.25","        115.90","        106.00","        108.05","        112.35","        110.64","      12483","             1381122.50","        147","       9362","         75.00"
"HITECHCORP","EQ","24-Sep-2018","        112.35","        109.95","        110.00","        102.75","        104.00","        104.65","        105.25","      10725","             1128768.40","        166","       8300","         77.39"
"HITECHCORP","EQ","25-Sep-2018","        104.65","        105.95","        105.95","         99.50","        101.00","        101.10","        102.91","      11018","             1133832.20","        152","      10674","         96.88"
"HITECHCORP","EQ","26-Sep-2018","        101.10","        100.70","        107.00","        100.50","        103.75","        103.65","        102.74","       5516","              566705.75","        114","       3515","         63.72"
"HITECHCORP","EQ","27-Sep-2018","        103.65","        102.50","        103.90","        100.10","        102.00","        101.90","        102.49","       2386","              244531.45","         60","       2289","         95.93"
"HITECHCORP","EQ","28-Sep-2018","        101.90","        103.95","        103.95","        100.00","        100.00","        100.55","        100.50","       1799","              180793.15","         34","       1430","         79.49"
"HITECHCORP","EQ","01-Oct-2018","        100.55","        101.95","        101.95","         92.10","         95.00","         94.85","         95.33","       6657","              634609.05","         88","       5493","         82.51"
"HITECHCORP","EQ","03-Oct-2018","         94.85","         92.05","         95.00","         92.00","         93.95","         93.90","         94.22","       9236","              870228.90","         99","       6183","         66.94"
"HITECHCORP","EQ","04-Oct-2018","         93.90","         93.90","         93.95","         87.50","         90.20","         90.30","         90.91","       5564","              505843.25","         73","       5168","         92.88"
"HITECHCORP","EQ","05-Oct-2018","         90.30","         88.00","         91.50","         85.10","         90.85","         90.85","         88.60","       1052","               93212.00","         34","        807","         76.71"
"HITECHCORP","EQ","08-Oct-2018","         90.85","         90.00","         95.45","         86.20","         89.10","         91.60","         90.89","       2664","              242137.45","         54","       1158","         43.47"
"HITECHCORP","EQ","09-Oct-2018","         91.60","         88.00","         91.00","         85.35","         88.90","         88.90","         89.47","        726","               64958.20","         28","        378","         52.07"
"HITECHCORP","EQ","10-Oct-2018","         88.90","         87.25","         93.90","         87.25","         89.25","         89.85","         91.05","       7250","              660082.50","         43","       6395","         88.21"
"HITECHCORP","EQ","11-Oct-2018","         89.85","         88.80","         90.00","         87.35","         90.00","         89.95","         89.51","       5487","              491152.50","         30","       5196","         94.70"
"HITECHCORP","EQ","12-Oct-2018","         89.95","         90.90","         90.90","         86.20","         88.00","         89.05","         89.01","       2121","              188800.05","         61","       1665","         78.50"
"HITECHCORP","EQ","15-Oct-2018","         89.05","         88.00","         91.90","         87.70","         89.10","         89.95","         89.80","       1793","              161014.95","         26","       1602","         89.35"
"HITECHCORP","EQ","16-Oct-2018","         89.95","         88.00","         91.90","         88.00","         89.00","         89.00","         90.00","       3776","              339826.55","         51","       3762","         99.63"
"HITECHCORP","EQ","17-Oct-2018","         89.00","         89.00","         90.10","         80.55","         84.10","         83.80","         84.74","       5472","              463694.30","         87","       3365","         61.49"
"HITECHCORP","EQ","19-Oct-2018","         83.80","         83.00","         88.85","         83.00","         87.50","         87.45","         86.12","        677","               58306.05","         34","        502","         74.15"
"HITECHCORP","EQ","22-Oct-2018","         87.45","         90.00","         90.00","         75.05","         80.75","         80.40","         78.82","      31671","             2496227.85","        533","      14585","         46.05"
"HITECHCORP","EQ","23-Oct-2018","         80.40","         80.00","         80.00","         78.70","         80.00","         80.00","         79.69","       1277","              101761.70","         24","       1182","         92.56"
"HITECHCORP","EQ","24-Oct-2018","         80.00","         87.20","         87.20","         67.50","         73.00","         69.45","         70.41","      70231","             4944913.60","        593","      46019","         65.53"
"HITECHCORP","EQ","25-Oct-2018","         69.45","         73.00","         79.00","         72.00","         75.35","         75.25","         75.49","      22099","             1668363.30","        317","      13120","         59.37"
"HITECHCORP","EQ","26-Oct-2018","         75.25","         77.00","         77.00","         74.20","         76.00","         75.50","         75.25","      12728","              957746.90","         93","       9997","         78.54"
"HITECHCORP","EQ","29-Oct-2018","         75.50","         74.00","         78.70","         72.10","         74.00","         74.55","         74.55","       9921","              739566.15","         93","       8279","         83.45"
"HITECHCORP","EQ","30-Oct-2018","         74.55","         78.40","         81.80","         74.50","         78.00","         79.60","         78.33","       6426","              503351.05","         97","       4938","         76.84"
"HITECHCORP","EQ","31-Oct-2018","         79.60","         78.00","         83.00","         78.00","         83.00","         81.60","         81.23","        358","               29078.60","         12","        258","         72.07"
"HITECHCORP","EQ","01-Nov-2018","         81.60","         81.00","         86.95","         80.15","         85.95","         86.05","         84.39","       9048","              763602.60","        131","       5436","         60.08"
