"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HSCL","EQ","30-Aug-2018","        128.70","        128.70","        128.70","        126.25","        126.50","        126.75","        127.22","     250204","            31830217.40","       2408","     147775","         59.06"
"HSCL","EQ","31-Aug-2018","        126.75","        126.50","        130.90","        126.00","        128.50","        128.45","        128.32","     355445","            45610289.95","       3453","     238275","         67.04"
"HSCL","EQ","03-Sep-2018","        128.45","        128.50","        132.00","        126.70","        126.95","        127.35","        128.80","     425005","            54741649.35","       4378","     278652","         65.56"
"HSCL","EQ","04-Sep-2018","        127.35","        127.00","        129.90","        121.10","        122.00","        121.80","        123.74","     830442","           102762165.60","       5175","     414924","         49.96"
"HSCL","EQ","05-Sep-2018","        121.80","        121.00","        123.00","        119.00","        121.80","        120.60","        121.10","     516135","            62503627.75","       4199","     260542","         50.48"
"HSCL","EQ","06-Sep-2018","        120.60","        120.65","        123.90","        120.50","        121.50","        121.60","        122.04","     626557","            76462472.25","       4238","     321093","         51.25"
"HSCL","EQ","07-Sep-2018","        121.60","        124.00","        136.50","        124.00","        128.00","        128.20","        130.44","    2329840","           303914000.95","      16218","     602561","         25.86"
"HSCL","EQ","10-Sep-2018","        128.20","        128.00","        132.20","        127.80","        128.50","        128.60","        129.47","     841405","           108935637.20","       7516","     320937","         38.14"
"HSCL","EQ","11-Sep-2018","        128.60","        129.35","        129.35","        120.60","        121.75","        121.35","        123.84","     792935","            98194927.25","       7352","     349897","         44.13"
"HSCL","EQ","12-Sep-2018","        121.35","        121.75","        123.30","        118.00","        122.60","        122.00","        121.59","    2132664","           259320712.50","       6036","    1427021","         66.91"
"HSCL","EQ","14-Sep-2018","        122.00","        124.00","        124.70","        120.60","        122.00","        121.20","        121.70","    1103138","           134254894.30","       5098","     594755","         53.91"
"HSCL","EQ","17-Sep-2018","        121.20","        121.20","        129.85","        121.00","        125.00","        125.35","        126.33","    1751136","           221228265.25","      14639","     811116","         46.32"
"HSCL","EQ","18-Sep-2018","        125.35","        125.50","        128.80","        120.60","        122.10","        121.25","        122.25","    1990629","           243351962.40","       7941","    1014824","         50.98"
"HSCL","EQ","19-Sep-2018","        121.25","        122.05","        125.00","        120.55","        123.50","        123.25","        121.88","    1824787","           222413102.05","       5968","     976510","         53.51"
"HSCL","EQ","21-Sep-2018","        123.25","        123.40","        124.40","        114.30","        117.75","        117.20","        117.72","    3856534","           454000439.95","      17746","    1965417","         50.96"
"HSCL","EQ","24-Sep-2018","        117.20","        118.40","        120.75","        112.00","        112.75","        113.05","        115.83","    1056288","           122347925.25","       6499","     504480","         47.76"
"HSCL","EQ","25-Sep-2018","        113.05","        113.00","        117.00","        111.60","        114.00","        115.35","        114.61","     809329","            92755028.10","       5260","     370425","         45.77"
"HSCL","EQ","26-Sep-2018","        115.35","        115.80","        121.40","        115.55","        120.80","        120.60","        117.61","    1017253","           119643941.10","       5379","     667823","         65.65"
"HSCL","EQ","27-Sep-2018","        120.60","        121.25","        124.75","        118.00","        119.05","        119.15","        120.30","     486320","            58502721.15","       4113","     215383","         44.29"
