"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HUSYSLTD","SM","03-Sep-2018","         37.00","         37.50","         39.60","         37.50","         39.60","         39.55","         39.22","      12000","              470600.00","          3","      12000","        100.00"
"HUSYSLTD","SM","05-Sep-2018","         39.55","         38.80","         38.80","         38.80","         38.80","         38.80","         38.80","       2000","               77600.00","          1","       2000","        100.00"
"HUSYSLTD","SM","10-Sep-2018","         38.80","         39.25","         39.25","         38.00","         38.00","         38.00","         38.63","       4000","              154500.00","          2","          0","          0.00"
"HUSYSLTD","SM","12-Sep-2018","         38.00","         37.10","         37.10","         37.10","         37.10","         37.10","         37.10","       2000","               74200.00","          1","       2000","        100.00"
"HUSYSLTD","SM","19-Sep-2018","         37.10","         39.20","         39.20","         39.20","         39.20","         39.20","         39.20","       2000","               78400.00","          1","       2000","        100.00"
"HUSYSLTD","SM","21-Sep-2018","         39.20","         39.60","         39.60","         39.40","         39.40","         39.40","         39.50","       4000","              158000.00","          2","       4000","        100.00"
"HUSYSLTD","SM","24-Sep-2018","         39.40","         39.40","         39.40","         39.40","         39.40","         39.40","         39.40","       2000","               78800.00","          1","       2000","        100.00"
"HUSYSLTD","SM","25-Sep-2018","         39.40","         38.00","         38.00","         38.00","         38.00","         38.00","         38.00","       2000","               76000.00","          1","       2000","        100.00"
"HUSYSLTD","SM","28-Sep-2018","         38.00","         37.00","         37.00","         37.00","         37.00","         37.00","         37.00","       2000","               74000.00","          1","       2000","        100.00"
"HUSYSLTD","SM","03-Oct-2018","         37.00","         37.50","         37.50","         37.50","         37.50","         37.50","         37.50","       2000","               75000.00","          1","       2000","        100.00"
"HUSYSLTD","SM","09-Oct-2018","         37.50","         37.00","         37.00","         37.00","         37.00","         37.00","         37.00","       2000","               74000.00","          1","       2000","        100.00"
"HUSYSLTD","SM","14-Nov-2018","         37.00","         34.05","         34.05","         34.00","         34.00","         34.00","         34.03","       4000","              136100.00","          2","       4000","        100.00"
"HUSYSLTD","SM","21-Nov-2018","         34.00","         34.00","         34.00","         34.00","         34.00","         34.00","         34.00","       4000","              136000.00","          1","       4000","        100.00"
"HUSYSLTD","SM","28-Dec-2018","         34.00","         32.00","         32.00","         32.00","         32.00","         32.00","         32.00","       2000","               64000.00","          1","       2000","        100.00"
"HUSYSLTD","SM","13-Feb-2019","         32.00","         31.50","         31.50","         31.50","         31.50","         31.50","         31.50","       2000","               63000.00","          1","       2000","        100.00"
"HUSYSLTD","SM","12-Mar-2019","         31.50","         33.00","         33.00","         33.00","         33.00","         33.00","         33.00","       2000","               66000.00","          1","       2000","        100.00"
"HUSYSLTD","SM","15-Mar-2019","         33.00","         32.00","         32.00","         32.00","         32.00","         32.00","         32.00","       2000","               64000.00","          1","       2000","        100.00"
"HUSYSLTD","SM","25-Mar-2019","         32.00","         30.00","         30.00","         30.00","         30.00","         30.00","         30.00","       2000","               60000.00","          1","       2000","        100.00"
"HUSYSLTD","SM","28-Mar-2019","         30.00","         30.00","         30.00","         30.00","         30.00","         30.00","         30.00","       2000","               60000.00","          1","       2000","        100.00"
"HUSYSLTD","SM","02-Apr-2019","         30.00","         29.00","         29.00","         29.00","         29.00","         29.00","         29.00","       2000","               58000.00","          1","       2000","        100.00"
"HUSYSLTD","SM","16-Apr-2019","         29.00","         29.90","         29.90","         29.90","         29.90","         29.90","         29.90","       2000","               59800.00","          1","       2000","        100.00"
"HUSYSLTD","SM","18-Apr-2019","         29.90","         30.90","         30.90","         30.90","         30.90","         30.90","         30.90","       2000","               61800.00","          1","       2000","        100.00"
