"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IBMFNIFTY","EQ","08-May-2019","        117.45","        140.00","        140.00","        140.00","        140.00","        140.00","        140.00","          2","                 280.00","          1","          2","        100.00"
"IBMFNIFTY","EQ","09-May-2019","        140.00","        118.00","        135.00","        112.00","        112.00","        112.00","        112.34","       6311","              708986.25","        105","       3402","         53.91"
"IBMFNIFTY","EQ","10-May-2019","        112.00","        112.80","        113.85","        100.58","        107.25","        107.25","        108.22","        597","               64606.69","         20","        369","         61.81"
"IBMFNIFTY","EQ","13-May-2019","        107.25","        107.25","        112.00","        105.35","        105.55","        105.55","        106.65","       1226","              130755.57","         44","       1084","         88.42"
"IBMFNIFTY","EQ","14-May-2019","        105.55","        111.00","        111.00","        100.58","        107.96","        107.84","        104.97","       1468","              154100.39","         57","        960","         65.40"
"IBMFNIFTY","EQ","15-May-2019","        107.84","        108.00","        110.00","        102.56","        106.10","        106.10","        105.45","       2012","              212163.43","         61","       1270","         63.12"
"IBMFNIFTY","EQ","16-May-2019","        106.10","        109.00","        112.99","        105.01","        107.00","        107.58","        107.22","       2143","              229773.69","         81","       1534","         71.58"
"IBMFNIFTY","EQ","17-May-2019","        107.58","        108.00","        109.80","        106.51","        109.80","        108.72","        108.40","       1991","              215815.72","         50","       1517","         76.19"
"IBMFNIFTY","EQ","20-May-2019","        108.72","        110.00","        115.97","        108.50","        112.50","        112.48","        111.09","       2142","              237960.94","         62","       1045","         48.79"
"IBMFNIFTY","EQ","21-May-2019","        112.48","        108.00","        111.35","        107.02","        110.00","        109.20","        109.29","       5400","              590161.53","         76","       3501","         64.83"
"IBMFNIFTY","EQ","22-May-2019","        109.20","        111.00","        117.50","        109.59","        117.00","        116.86","        116.16","      14972","             1739179.87","        128","      10350","         69.13"
"IBMFNIFTY","EQ","23-May-2019","        116.86","        117.00","        118.00","        113.35","        113.35","        114.09","        116.87","       5632","              658232.75","         93","       2749","         48.81"
"IBMFNIFTY","EQ","24-May-2019","        114.09","        114.56","        118.00","        114.35","        117.00","        117.41","        116.66","       5979","              697523.02","         59","       2080","         34.79"
"IBMFNIFTY","EQ","27-May-2019","        117.41","        117.00","        118.70","        115.55","        117.50","        116.47","        117.12","       4385","              513570.17","         72","       1628","         37.13"
"IBMFNIFTY","EQ","28-May-2019","        116.47","        117.50","        118.95","        116.00","        116.55","        116.55","        118.09","       3337","              394065.51","         51","       2073","         62.12"
"IBMFNIFTY","EQ","29-May-2019","        116.55","        116.00","        118.75","        116.00","        117.00","        117.00","        117.99","       3226","              380630.43","         33","       1285","         39.83"
"IBMFNIFTY","EQ","30-May-2019","        117.00","        117.99","        119.95","        116.10","        118.00","        117.25","        118.28","       3402","              402404.84","         56","       1484","         43.62"
"IBMFNIFTY","EQ","31-May-2019","        117.25","        119.00","        119.95","        115.10","        118.95","        118.07","        118.85","       4434","              526995.99","         48","       1720","         38.79"
"IBMFNIFTY","EQ","03-Jun-2019","        118.07","        115.08","        121.00","        115.08","        120.00","        119.95","        119.72","       7695","              921236.79","        120","       3535","         45.94"
"IBMFNIFTY","EQ","04-Jun-2019","        119.95","        119.00","        120.25","        118.00","        118.50","        118.50","        119.33","       5078","              605969.13","         75","       2296","         45.21"
"IBMFNIFTY","EQ","06-Jun-2019","        118.50","        119.00","        119.00","        117.10","        117.20","        117.20","        118.26","       3211","              379739.65","         28","       1256","         39.12"
"IBMFNIFTY","EQ","07-Jun-2019","        117.20","        116.54","        118.50","        116.54","        118.50","        118.50","        117.76","       1190","              140138.82","         14","        490","         41.18"
"IBMFNIFTY","EQ","10-Jun-2019","        118.50","        118.00","        119.50","        117.01","        117.40","        117.35","        118.20","       2936","              347027.85","         48","        823","         28.03"
"IBMFNIFTY","EQ","11-Jun-2019","        117.35","        118.00","        119.70","        116.60","        118.00","        118.00","        118.58","       2755","              326678.17","         42","        874","         31.72"
"IBMFNIFTY","EQ","12-Jun-2019","        118.00","        117.04","        119.70","        117.01","        117.30","        117.30","        118.15","       3064","              362015.56","         39","       1123","         36.65"
"IBMFNIFTY","EQ","13-Jun-2019","        117.30","        117.20","        118.70","        117.01","        118.50","        118.25","        118.00","       3158","              372644.16","         46","       1162","         36.80"
"IBMFNIFTY","EQ","14-Jun-2019","        118.25","        119.00","        119.00","        116.96","        119.00","        118.81","        117.44","       1196","              140455.90","         57","       1002","         83.78"
"IBMFNIFTY","EQ","17-Jun-2019","        118.81","        118.81","        118.81","        115.00","        116.25","        116.25","        116.26","       1798","              209032.30","         50","        509","         28.31"
"IBMFNIFTY","EQ","18-Jun-2019","        116.25","        115.55","        116.50","        114.10","        115.00","        114.55","        115.80","       1307","              151344.09","         29","        547","         41.85"
"IBMFNIFTY","EQ","19-Jun-2019","        114.55","        117.05","        117.55","        114.81","        116.99","        116.37","        116.52","       3985","              464345.61","         51","       1621","         40.68"
"IBMFNIFTY","EQ","20-Jun-2019","        116.37","        114.50","        118.00","        114.50","        118.00","        116.76","        116.57","       1362","              158774.51","         22","        512","         37.59"
"IBMFNIFTY","EQ","21-Jun-2019","        116.76","        115.19","        117.99","        115.19","        116.11","        116.11","        117.06","       1364","              159670.56","         19","        626","         45.89"
"IBMFNIFTY","EQ","24-Jun-2019","        116.11","        114.06","        116.50","        114.06","        114.51","        114.51","        114.83","        305","               35022.46","         10","        304","         99.67"
"IBMFNIFTY","EQ","25-Jun-2019","        114.51","        114.51","        117.75","        114.51","        115.51","        116.25","        116.60","       3680","              429076.25","         55","       1482","         40.27"
"IBMFNIFTY","EQ","26-Jun-2019","        116.25","        116.11","        118.20","        116.11","        118.20","        118.00","        117.40","       3604","              423113.83","         55","       1268","         35.18"
"IBMFNIFTY","EQ","27-Jun-2019","        118.00","        116.91","        120.00","        116.91","        117.33","        117.33","        118.20","       5435","              642438.65","         51","       1303","         23.97"
"IBMFNIFTY","EQ","28-Jun-2019","        117.33","        117.50","        117.50","        115.25","        115.25","        115.74","        116.46","        439","               51124.64","         16","        407","         92.71"
"IBMFNIFTY","EQ","01-Jul-2019","        115.74","        116.20","        116.20","        115.55","        115.55","        115.55","        116.09","        405","               47016.80","         16","        405","        100.00"
"IBMFNIFTY","EQ","02-Jul-2019","        115.55","        115.25","        118.80","        115.25","        118.80","        118.80","        117.93","       6224","              733989.14","         66","       2276","         36.57"
"IBMFNIFTY","EQ","03-Jul-2019","        118.80","        118.00","        119.20","        117.00","        117.51","        117.51","        118.70","       7475","              887308.46","         55","       3456","         46.23"
"IBMFNIFTY","EQ","04-Jul-2019","        117.51","        118.00","        119.40","        117.40","        119.35","        119.35","        118.92","       2590","              308004.98","         41","       1078","         41.62"
"IBMFNIFTY","EQ","05-Jul-2019","        119.35","        118.01","        120.00","        116.04","        116.55","        117.68","        117.74","        859","              101140.45","         17","        353","         41.09"
"IBMFNIFTY","EQ","08-Jul-2019","        117.68","        115.32","        116.50","        114.01","        114.10","        114.10","        114.58","        273","               31281.00","         10","        210","         76.92"
"IBMFNIFTY","EQ","09-Jul-2019","        114.10","        115.00","        115.00","        113.55","        114.99","        114.99","        114.09","        312","               35597.61","         14","        210","         67.31"
"IBMFNIFTY","EQ","10-Jul-2019","        114.99","        115.25","        115.50","        114.00","        114.00","        114.00","        114.31","         74","                8458.59","          6","         42","         56.76"
"IBMFNIFTY","EQ","11-Jul-2019","        114.00","        113.31","        115.75","        113.31","        114.32","        114.32","        115.16","        934","              107554.98","         21","        444","         47.54"
"IBMFNIFTY","EQ","12-Jul-2019","        114.32","        114.25","        116.18","        113.61","        114.70","        114.70","        114.97","       2260","              259837.83","         27","        666","         29.47"
"IBMFNIFTY","EQ","15-Jul-2019","        114.70","        112.05","        119.00","        112.05","        113.87","        113.84","        114.43","        589","               67396.55","         14","        372","         63.16"
"IBMFNIFTY","EQ","16-Jul-2019","        113.84","        114.00","        116.40","        113.86","        113.90","        113.90","        114.88","        504","               57898.96","         13","        314","         62.30"
"IBMFNIFTY","EQ","17-Jul-2019","        113.90","        116.49","        116.49","        113.90","        113.90","        113.90","        114.18","         47","                5366.25","          3","         47","        100.00"
"IBMFNIFTY","EQ","18-Jul-2019","        113.90","        115.80","        116.50","        113.58","        115.03","        115.03","        115.87","       1850","              214362.98","         26","        717","         38.76"
"IBMFNIFTY","EQ","19-Jul-2019","        115.03","        113.82","        115.00","        112.50","        112.50","        113.58","        113.81","        289","               32890.74","         12","        227","         78.55"
"IBMFNIFTY","EQ","22-Jul-2019","        113.58","        112.51","        116.75","        111.51","        111.51","        111.89","        112.48","        352","               39592.67","         17","        272","         77.27"
"IBMFNIFTY","EQ","23-Jul-2019","        111.89","        115.79","        115.79","        112.01","        112.05","        112.05","        112.57","        369","               41539.58","         33","        261","         70.73"
"IBMFNIFTY","EQ","24-Jul-2019","        112.05","        112.05","        112.05","        111.25","        111.26","        111.26","        111.73","        210","               23463.89","         10","        210","        100.00"
"IBMFNIFTY","EQ","25-Jul-2019","        111.26","        113.00","        113.00","        111.01","        111.01","        111.54","        111.86","        483","               54027.03","         20","        269","         55.69"
"IBMFNIFTY","EQ","26-Jul-2019","        111.54","        115.80","        115.88","        111.01","        115.87","        115.43","        113.09","        543","               61408.48","         28","         87","         16.02"
"IBMFNIFTY","EQ","29-Jul-2019","        115.43","        111.51","        113.00","        110.10","        110.40","        112.77","        111.15","        462","               51350.86","         19","        295","         63.85"
"IBMFNIFTY","EQ","30-Jul-2019","        112.77","        112.00","        113.89","        108.56","        108.56","        108.56","        111.20","        581","               64607.28","         26","        273","         46.99"
"IBMFNIFTY","EQ","31-Jul-2019","        108.56","        108.60","        110.80","        108.35","        110.79","        110.63","        109.61","        502","               55025.98","         21","        287","         57.17"
"IBMFNIFTY","EQ","01-Aug-2019","        110.63","        110.00","        110.00","        110.00","        110.00","        110.00","        110.00","        101","               11110.00","          3","        101","        100.00"
"IBMFNIFTY","EQ","02-Aug-2019","        110.00","        108.50","        110.88","        107.50","        110.88","        110.88","        108.19","        274","               29643.73","          8","        249","         90.88"
"IBMFNIFTY","EQ","05-Aug-2019","        110.88","        110.00","        110.00","        104.00","        108.86","        108.86","        106.71","        339","               36174.36","         15","        226","         66.67"
"IBMFNIFTY","EQ","06-Aug-2019","        108.86","        109.85","        110.74","        106.00","        109.94","        109.94","        107.52","        390","               41933.66","         18","        210","         53.85"
"IBMFNIFTY","EQ","07-Aug-2019","        109.94","        104.27","        106.63","        104.27","        106.50","        106.50","        106.08","        203","               21533.40","          9","        145","         71.43"
"IBMFNIFTY","EQ","08-Aug-2019","        106.50","        106.53","        106.53","        106.52","        106.52","        106.52","        106.53","         96","               10226.52","          6","         96","        100.00"
"IBMFNIFTY","EQ","09-Aug-2019","        106.52","        105.17","        105.50","        105.17","        105.27","        105.27","        105.33","         94","                9900.84","          4","         94","        100.00"
"IBMFNIFTY","EQ","13-Aug-2019","        105.27","        105.50","        109.90","        105.50","        105.60","        105.60","        108.83","       1683","              183153.57","         18","        836","         49.67"
"IBMFNIFTY","EQ","14-Aug-2019","        105.60","        106.07","        114.99","        106.07","        106.28","        106.28","        107.51","        358","               38488.18","         26","        168","         46.93"
"IBMFNIFTY","EQ","16-Aug-2019","        106.28","        112.55","        112.55","        104.27","        105.50","        105.50","        105.26","        216","               22736.33","         21","        166","         76.85"
"IBMFNIFTY","EQ","19-Aug-2019","        105.50","        106.01","        110.80","        106.01","        106.14","        106.14","        106.15","        213","               22610.06","          8","        212","         99.53"
"IBMFNIFTY","EQ","20-Aug-2019","        106.14","        105.65","        110.47","        105.00","        106.00","        106.00","        108.31","       1458","              157922.49","         41","        645","         44.24"
"IBMFNIFTY","EQ","21-Aug-2019","        106.00","        106.00","        108.00","        105.01","        105.01","        105.01","        105.95","        167","               17693.33","         11","         58","         34.73"
"IBMFNIFTY","EQ","22-Aug-2019","        105.01","        105.01","        108.70","        102.60","        108.70","        107.08","        105.88","        777","               82267.32","         19","        215","         27.67"
"IBMFNIFTY","EQ","23-Aug-2019","        107.08","        107.00","        109.90","        103.50","        103.50","        103.73","        105.65","        214","               22608.70","          8","         54","         25.23"
"IBMFNIFTY","EQ","26-Aug-2019","        103.73","        104.06","        108.86","        104.06","        108.84","        108.85","        106.37","        547","               58186.52","         24","         47","          8.59"
"IBMFNIFTY","EQ","27-Aug-2019","        108.85","        108.84","        108.84","        106.45","        106.45","        106.53","        107.13","        168","               17997.42","         17","        126","         75.00"
"IBMFNIFTY","EQ","28-Aug-2019","        106.53","        106.07","        109.93","        105.73","        109.85","        109.28","        107.40","        327","               35119.69","         20","        115","         35.17"
"IBMFNIFTY","EQ","29-Aug-2019","        109.28","        109.22","        118.00","        103.00","        118.00","        115.24","        108.82","       2762","              300570.64","         36","       1002","         36.28"
"IBMFNIFTY","EQ","30-Aug-2019","        115.24","        107.45","        115.24","        107.45","        110.00","        110.00","        110.57","        509","               56282.15","         18","        207","         40.67"
