"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ICICIGI","EQ","30-Aug-2018","        793.25","        794.00","        799.80","        778.05","        793.00","        795.00","        792.79","     219997","           174411191.50","       5546","     177584","         80.72"
"ICICIGI","EQ","31-Aug-2018","        795.00","        795.00","        823.95","        783.50","        789.15","        795.85","        808.99","     259691","           210087089.00","      19962","     155994","         60.07"
"ICICIGI","EQ","03-Sep-2018","        795.85","        801.80","        822.00","        795.25","        800.00","        802.35","        806.91","     135424","           109274750.70","       8945","      90004","         66.46"
"ICICIGI","EQ","04-Sep-2018","        802.35","        797.00","        816.75","        790.00","        800.00","        804.65","        805.40","      93712","            75475586.25","       6149","      52182","         55.68"
"ICICIGI","EQ","05-Sep-2018","        804.65","        800.00","        846.00","        799.95","        836.25","        829.70","        822.08","     665235","           546877574.10","      14778","     562961","         84.63"
"ICICIGI","EQ","06-Sep-2018","        829.70","        833.85","        856.00","        833.85","        850.00","        853.05","        850.52","     977868","           831698450.10","      25248","     835108","         85.40"
"ICICIGI","EQ","07-Sep-2018","        853.05","        854.70","        888.80","        832.05","        876.15","        875.50","        872.82","    1026914","           896313888.25","      14420","     929546","         90.52"
"ICICIGI","EQ","10-Sep-2018","        875.50","        875.50","        932.40","        875.50","        900.05","        914.15","        902.57","    2041503","          1842599157.70","      46299","    1705203","         83.53"
"ICICIGI","EQ","11-Sep-2018","        914.15","        908.90","        912.10","        890.20","        910.00","        898.70","        905.28","    1382106","          1251187017.75","      27700","    1287119","         93.13"
"ICICIGI","EQ","12-Sep-2018","        898.70","        904.00","        915.40","        882.00","        890.05","        896.50","        902.28","     129734","           117055954.35","       9367","      57206","         44.09"
"ICICIGI","EQ","14-Sep-2018","        896.50","        897.00","        931.00","        897.00","        924.95","        921.40","        919.94","     440605","           405329619.10","      34951","     297196","         67.45"
"ICICIGI","EQ","17-Sep-2018","        921.40","        920.00","        929.90","        879.00","        881.70","        887.50","        906.48","     188808","           171151059.40","      27829","     126107","         66.79"
"ICICIGI","EQ","18-Sep-2018","        887.50","        883.00","        887.85","        862.80","        870.00","        874.20","        879.06","     370166","           325398357.45","       9221","     320699","         86.64"
"ICICIGI","EQ","19-Sep-2018","        874.20","        867.10","        878.00","        857.15","        865.00","        865.80","        865.06","     216730","           187483524.30","       6982","     173434","         80.02"
"ICICIGI","EQ","21-Sep-2018","        865.80","        860.00","        903.00","        826.50","        888.00","        888.70","        879.88","     418340","           368087242.70","      18841","     354298","         84.69"
"ICICIGI","EQ","24-Sep-2018","        888.70","        891.00","        900.00","        806.00","        817.00","        814.15","        841.05","     425046","           357483155.50","      26998","     277936","         65.39"
"ICICIGI","EQ","25-Sep-2018","        814.15","        806.35","        855.00","        795.00","        824.00","        833.10","        802.06","    3144085","          2521739976.95","      24550","    2969049","         94.43"
"ICICIGI","EQ","26-Sep-2018","        833.10","        835.25","        868.00","        829.00","        846.00","        857.00","        855.65","     588616","           503651899.30","      32046","     422079","         71.71"
"ICICIGI","EQ","27-Sep-2018","        857.00","        847.00","        862.00","        836.45","        844.50","        844.95","        845.66","     962402","           813866239.50","      21523","     856577","         89.00"
"ICICIGI","EQ","28-Sep-2018","        844.95","        844.95","        853.35","        801.00","        805.00","        808.35","        806.80","    1904287","          1536384011.70","      11590","    1820386","         95.59"
"ICICIGI","EQ","01-Oct-2018","        808.35","        800.00","        810.00","        751.00","        775.60","        788.70","        786.82","     448825","           353144737.80","      16414","     363238","         80.93"
"ICICIGI","EQ","03-Oct-2018","        788.70","        782.35","        814.95","        638.80","        752.90","        748.15","        790.90","     602910","           476842354.55","      26756","     405388","         67.24"
"ICICIGI","EQ","04-Oct-2018","        748.15","        738.80","        779.70","        738.05","        779.00","        777.95","        763.64","     863188","           659163463.40","      34843","     729298","         84.49"
"ICICIGI","EQ","05-Oct-2018","        777.95","        775.50","        785.00","        760.00","        770.00","        770.95","        767.62","     222379","           170701523.00","      10093","     161250","         72.51"
"ICICIGI","EQ","08-Oct-2018","        770.95","        771.00","        775.00","        755.25","        761.00","        759.65","        759.62","     309688","           235246476.55","      11172","     245679","         79.33"
"ICICIGI","EQ","09-Oct-2018","        759.65","        765.75","        765.75","        695.60","        736.15","        734.65","        748.99","     629970","           471843037.65","      15607","     523910","         83.16"
"ICICIGI","EQ","10-Oct-2018","        734.65","        739.65","        789.00","        736.15","        789.00","        780.80","        767.39","     340870","           261579318.35","      14342","     273890","         80.35"
"ICICIGI","EQ","11-Oct-2018","        780.80","        756.00","        798.70","        747.80","        791.90","        776.20","        776.09","     737437","           572313881.60","      19639","     634499","         86.04"
"ICICIGI","EQ","12-Oct-2018","        776.20","        782.00","        782.00","        771.00","        776.00","        779.10","        778.17","     647473","           503843061.50","      11329","     592611","         91.53"
"ICICIGI","EQ","15-Oct-2018","        779.10","        777.00","        784.00","        761.00","        779.15","        780.35","        774.92","      85367","            66152501.20","      16305","      53523","         62.70"
"ICICIGI","EQ","16-Oct-2018","        780.35","        785.00","        792.35","        771.00","        784.10","        786.15","        784.67","     259641","           203732835.30","      10867","     224523","         86.47"
"ICICIGI","EQ","17-Oct-2018","        786.15","        795.00","        806.95","        780.85","        790.00","        793.90","        794.78","     944382","           750578599.55","      12409","     869448","         92.07"
"ICICIGI","EQ","19-Oct-2018","        793.90","        785.00","        819.60","        782.30","        810.05","        809.10","        810.57","     215030","           174296802.45","      32149","     157127","         73.07"
"ICICIGI","EQ","22-Oct-2018","        809.10","        815.00","        815.00","        757.25","        800.00","        805.25","        797.59","     331754","           264602377.60","      17008","     219055","         66.03"
"ICICIGI","EQ","23-Oct-2018","        805.25","        786.00","        794.00","        783.10","        793.00","        791.20","        790.38","      98698","            78009142.55","      12544","      70940","         71.88"
"ICICIGI","EQ","24-Oct-2018","        791.20","        790.00","        807.00","        781.10","        799.00","        793.50","        791.21","     107421","            84992639.70","      15456","      78123","         72.73"
"ICICIGI","EQ","25-Oct-2018","        793.50","        794.00","        805.00","        785.10","        800.00","        798.95","        794.66","     492046","           391011014.70","       9362","     458453","         93.17"
"ICICIGI","EQ","26-Oct-2018","        798.95","        795.00","        806.95","        790.40","        800.25","        800.55","        798.32","     160048","           127768896.90","      18018","     133368","         83.33"
"ICICIGI","EQ","29-Oct-2018","        800.55","        800.00","        808.45","        786.00","        804.00","        800.35","        800.71","     527353","           422257323.95","      25934","     475153","         90.10"
"ICICIGI","EQ","30-Oct-2018","        800.35","        795.00","        807.20","        786.65","        807.00","        800.55","        801.58","     276803","           221879296.90","      18688","     230577","         83.30"
"ICICIGI","EQ","31-Oct-2018","        800.55","        792.05","        808.90","        792.05","        807.00","        805.45","        805.17","     155284","           125030532.30","       5260","     117720","         75.81"
"ICICIGI","EQ","01-Nov-2018","        805.45","        806.00","        862.00","        806.00","        850.00","        850.75","        824.92","     538171","           443949492.85","      13040","     441288","         82.00"
"ICICIGI","EQ","02-Nov-2018","        850.75","        854.80","        864.75","        832.00","        848.00","        839.50","        854.27","     127934","           109290201.85","       9146","      85496","         66.83"
"ICICIGI","EQ","05-Nov-2018","        839.50","        840.00","        858.00","        827.10","        858.00","        846.05","        840.53","      59396","            49924115.75","       4100","      35032","         58.98"
"ICICIGI","EQ","06-Nov-2018","        846.05","        858.00","        865.00","        845.00","        848.50","        849.15","        854.18","      37092","            31683327.95","       3682","      18049","         48.66"
"ICICIGI","EQ","07-Nov-2018","        849.15","        852.00","        864.45","        822.25","        852.00","        850.25","        846.65","      25250","            21377919.55","       1610","      13471","         53.35"
"ICICIGI","EQ","09-Nov-2018","        850.25","        850.10","        860.10","        837.40","        856.90","        848.05","        852.65","     139624","           119050745.95","       8916","      74570","         53.41"
"ICICIGI","EQ","12-Nov-2018","        848.05","        845.80","        856.00","        818.70","        824.00","        827.05","        843.96","      76593","            64641112.80","       9583","      48157","         62.87"
"ICICIGI","EQ","13-Nov-2018","        827.05","        833.95","        833.95","        803.10","        813.50","        811.25","        808.84","     221908","           179487518.75","       9673","     187498","         84.49"
"ICICIGI","EQ","14-Nov-2018","        811.25","        816.00","        832.00","        810.45","        828.90","        828.15","        824.44","     232907","           192018178.45","       6096","     178827","         76.78"
"ICICIGI","EQ","15-Nov-2018","        828.15","        829.95","        830.00","        818.60","        830.00","        829.15","        824.37","     104076","            85796937.05","       5620","      66803","         64.19"
"ICICIGI","EQ","16-Nov-2018","        829.15","        821.00","        830.00","        811.00","        829.00","        822.60","        821.37","     113554","            93269470.60","       7825","      73613","         64.83"
"ICICIGI","EQ","19-Nov-2018","        822.60","        815.05","        844.70","        815.05","        832.00","        835.70","        835.96","     101893","            85178613.15","      11186","      42931","         42.13"
"ICICIGI","EQ","20-Nov-2018","        835.70","        836.00","        839.75","        822.05","        830.00","        828.50","        829.79","      80221","            66566249.70","       7063","      57633","         71.84"
