"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ICICINXT50","EQ","31-Aug-2018","        306.00","        303.00","        315.00","        303.00","        311.47","        311.47","        307.24","       1670","              513094.45","          3","        834","         49.94"
"ICICINXT50","EQ","03-Sep-2018","        311.47","        315.00","        315.00","        312.50","        313.11","        313.11","        313.11","      10003","             3132046.94","         11","       5001","         50.00"
"ICICINXT50","EQ","04-Sep-2018","        313.11","        312.80","        312.80","        300.59","        301.32","        301.32","        304.91","         94","               28661.94","          8","         94","        100.00"
"ICICINXT50","EQ","05-Sep-2018","        301.32","        299.55","        299.55","        296.00","        299.44","        299.44","        299.01","        242","               72360.33","         16","        242","        100.00"
"ICICINXT50","EQ","06-Sep-2018","        299.44","        295.00","        299.50","        295.00","        299.40","        299.40","        296.82","        172","               51052.91","          7","         81","         47.09"
"ICICINXT50","EQ","10-Sep-2018","        299.40","        300.05","        300.05","        299.50","        299.50","        299.50","        299.78","         10","                2997.75","          2","         10","        100.00"
"ICICINXT50","EQ","11-Sep-2018","        299.50","        294.21","        294.21","        294.21","        294.21","        294.21","        294.21","         20","                5884.20","          1","         20","        100.00"
"ICICINXT50","EQ","12-Sep-2018","        294.21","        293.76","        293.76","        292.00","        292.00","        292.00","        293.35","         13","                3813.60","          2","         13","        100.00"
"ICICINXT50","EQ","14-Sep-2018","        292.00","        292.00","        299.81","        292.00","        299.81","        299.81","        297.13","        114","               33872.74","          3","         50","         43.86"
"ICICINXT50","EQ","17-Sep-2018","        299.81","        298.93","        299.04","        297.61","        298.93","        298.93","        298.53","        143","               42689.55","          6","        143","        100.00"
"ICICINXT50","EQ","18-Sep-2018","        298.93","        297.70","        297.80","        297.00","        297.00","        297.00","        297.21","        470","              139691.00","          8","        444","         94.47"
"ICICINXT50","EQ","19-Sep-2018","        297.00","        298.00","        298.00","        294.05","        294.33","        294.33","        295.97","        555","              164261.00","          5","        555","        100.00"
"ICICINXT50","EQ","21-Sep-2018","        294.33","        290.00","        290.00","        283.38","        286.51","        287.08","        286.25","        239","               68413.18","         10","        221","         92.47"
"ICICINXT50","EQ","24-Sep-2018","        287.08","        287.10","        287.10","        278.21","        278.21","        278.21","        280.04","        600","              168025.34","         14","        600","        100.00"
"ICICINXT50","EQ","25-Sep-2018","        278.21","        278.00","        281.34","        278.00","        278.00","        278.00","        279.75","       1021","              285628.52","          5","       1005","         98.43"
"ICICINXT50","EQ","26-Sep-2018","        278.00","        283.12","        283.12","        281.95","        282.24","        282.24","        282.26","         73","               20604.86","          3","         73","        100.00"
"ICICINXT50","EQ","27-Sep-2018","        282.24","        280.24","        280.24","        277.00","        277.00","        277.16","        278.58","        118","               32872.50","          6","        118","        100.00"
"ICICINXT50","EQ","28-Sep-2018","        277.16","        277.00","        277.00","        271.35","        271.35","        271.35","        273.03","        530","              144706.94","         14","        430","         81.13"
"ICICINXT50","EQ","01-Oct-2018","        271.35","        270.00","        274.17","        268.00","        274.17","        273.72","        269.81","       2158","              582252.06","         12","       2153","         99.77"
"ICICINXT50","EQ","03-Oct-2018","        273.72","        230.00","        320.00","        230.00","        270.90","        270.90","        283.37","         59","               16718.91","         13","         43","         72.88"
"ICICINXT50","EQ","04-Oct-2018","        270.90","        320.00","        320.00","        295.00","        300.00","        299.92","        300.27","        741","              222502.47","         37","        377","         50.88"
"ICICINXT50","EQ","05-Oct-2018","        299.92","        290.00","        290.00","        258.44","        259.01","        260.31","        262.56","       5726","             1503401.28","         48","       5075","         88.63"
"ICICINXT50","EQ","08-Oct-2018","        260.31","        261.00","        261.00","        255.00","        255.00","        255.00","        260.35","        929","              241860.75","         10","        829","         89.24"
"ICICINXT50","EQ","09-Oct-2018","        255.00","        257.75","        257.75","        252.75","        255.88","        255.88","        255.13","        814","              207676.94","         10","        651","         79.98"
"ICICINXT50","EQ","10-Oct-2018","        255.88","        263.01","        263.01","        263.01","        263.01","        263.01","        263.01","          5","                1315.05","          1","          5","        100.00"
"ICICINXT50","EQ","11-Oct-2018","        263.01","        257.75","        261.47","        257.75","        259.59","        259.53","        258.03","        840","              216745.26","         10","        839","         99.88"
"ICICINXT50","EQ","12-Oct-2018","        259.53","        264.12","        265.04","        264.12","        265.04","        265.04","        264.23","         88","               23252.37","          4","         78","         88.64"
"ICICINXT50","EQ","15-Oct-2018","        265.04","        263.54","        264.29","        263.54","        264.29","        264.29","        263.84","         50","               13192.00","          2","         50","        100.00"
"ICICINXT50","EQ","16-Oct-2018","        264.29","        267.55","        267.55","        267.55","        267.55","        267.55","        267.55","        100","               26755.00","          1","        100","        100.00"
