"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ICICIPRULI","EQ","30-Aug-2018","        382.55","        382.65","        384.00","        375.50","        378.00","        377.10","        377.92","    1009670","           381572977.80","      26571","     455205","         45.08"
"ICICIPRULI","EQ","31-Aug-2018","        377.10","        375.50","        381.90","        374.10","        375.80","        375.35","        376.55","    1324013","           498554039.05","      57146","     852129","         64.36"
"ICICIPRULI","EQ","03-Sep-2018","        375.35","        375.50","        385.85","        375.40","        380.85","        380.65","        382.16","     891998","           340885452.60","      24895","     465168","         52.15"
"ICICIPRULI","EQ","04-Sep-2018","        380.65","        380.40","        381.60","        368.00","        369.00","        368.95","        372.14","     867563","           322856470.80","      41604","     537955","         62.01"
"ICICIPRULI","EQ","05-Sep-2018","        368.95","        366.00","        371.05","        358.20","        368.05","        368.50","        362.02","    2184023","           790663073.60","      37566","    1497777","         68.58"
"ICICIPRULI","EQ","06-Sep-2018","        368.50","        368.00","        376.25","        367.10","        374.20","        374.15","        372.64","     631555","           235342413.70","      20323","     282909","         44.80"
"ICICIPRULI","EQ","07-Sep-2018","        374.15","        374.15","        381.80","        372.05","        381.30","        378.75","        376.22","     581367","           218720880.70","      14647","     278451","         47.90"
"ICICIPRULI","EQ","10-Sep-2018","        378.75","        381.00","        383.80","        372.35","        373.40","        373.85","        377.44","     721594","           272360056.05","      15672","     375534","         52.04"
"ICICIPRULI","EQ","11-Sep-2018","        373.85","        375.85","        375.95","        370.25","        372.85","        372.85","        373.36","     736603","           275016960.75","      12863","     453978","         61.63"
"ICICIPRULI","EQ","12-Sep-2018","        372.85","        372.00","        374.15","        360.55","        362.50","        362.75","        364.67","    1295959","           472591556.80","      28452","     774749","         59.78"
"ICICIPRULI","EQ","14-Sep-2018","        362.75","        365.45","        381.70","        365.30","        377.00","        378.85","        374.76","    2406915","           902011664.65","      39711","    1117600","         46.43"
"ICICIPRULI","EQ","17-Sep-2018","        378.85","        375.85","        377.70","        359.00","        361.10","        362.45","        369.70","    1809245","           668886026.00","      28653","    1304868","         72.12"
"ICICIPRULI","EQ","18-Sep-2018","        362.45","        362.80","        362.80","        357.05","        359.25","        358.45","        360.03","    1935766","           696930628.90","      27083","    1367116","         70.62"
"ICICIPRULI","EQ","19-Sep-2018","        358.45","        355.50","        357.00","        346.50","        348.30","        348.25","        350.32","    2900245","          1016024156.90","      48798","    1871436","         64.53"
"ICICIPRULI","EQ","21-Sep-2018","        348.25","        354.00","        354.00","        327.55","        341.00","        338.75","        341.04","    4350996","          1483843482.90","      69833","    3002572","         69.01"
"ICICIPRULI","EQ","24-Sep-2018","        338.75","        340.00","        344.25","        330.40","        336.35","        334.45","        335.21","    1586047","           531666134.20","      46717","     822964","         51.89"
"ICICIPRULI","EQ","25-Sep-2018","        334.45","        330.05","        353.75","        325.65","        351.95","        349.10","        336.21","    2735026","           919550416.20","      63742","    1343146","         49.11"
"ICICIPRULI","EQ","26-Sep-2018","        349.10","        350.00","        350.00","        340.10","        345.40","        343.65","        342.91","    1440663","           494017147.70","      52584","     807798","         56.07"
"ICICIPRULI","EQ","27-Sep-2018","        343.65","        344.00","        348.15","        335.30","        338.15","        337.50","        341.29","    1364518","           465696777.85","      19724","     709245","         51.98"
"ICICIPRULI","EQ","28-Sep-2018","        337.50","        338.10","        342.55","        328.15","        333.70","        333.75","        333.81","    1761461","           588000683.95","      34354","    1062614","         60.33"
"ICICIPRULI","EQ","01-Oct-2018","        333.75","        331.00","        333.45","        322.25","        331.50","        330.40","        326.68","    1282617","           419010303.90","      48445","     763552","         59.53"
"ICICIPRULI","EQ","03-Oct-2018","        330.40","        331.00","        337.05","        328.55","        330.00","        330.35","        331.71","     880648","           292121102.75","      22884","     399318","         45.34"
"ICICIPRULI","EQ","04-Oct-2018","        330.35","        328.00","        332.00","        309.50","        326.15","        326.15","        318.11","    3021540","           961180931.35","      85661","    1052780","         34.84"
"ICICIPRULI","EQ","05-Oct-2018","        326.15","        325.00","        328.00","        313.35","        324.60","        321.20","        319.02","    1650839","           526657903.15","      55980","     859737","         52.08"
"ICICIPRULI","EQ","08-Oct-2018","        321.20","        321.00","        327.45","        315.10","        316.00","        318.30","        321.76","     654470","           210583835.55","      22650","     262981","         40.18"
"ICICIPRULI","EQ","09-Oct-2018","        318.30","        317.20","        321.50","        310.00","        316.20","        316.95","        314.57","     988089","           310820827.45","      35257","     440605","         44.59"
"ICICIPRULI","EQ","10-Oct-2018","        316.95","        318.50","        335.00","        316.95","        332.45","        332.50","        326.03","     820475","           267495401.80","      27478","     309623","         37.74"
"ICICIPRULI","EQ","11-Oct-2018","        332.50","        322.30","        329.75","        317.55","        319.00","        320.20","        322.87","    1026939","           331569819.20","      28850","     393323","         38.30"
"ICICIPRULI","EQ","12-Oct-2018","        320.20","        323.00","        329.45","        316.85","        317.80","        318.40","        322.34","    1387309","           447186390.15","      35838","     717889","         51.75"
"ICICIPRULI","EQ","15-Oct-2018","        318.40","        315.55","        319.95","        310.50","        319.00","        318.35","        314.31","    1280203","           402375420.75","      25636","     695292","         54.31"
"ICICIPRULI","EQ","16-Oct-2018","        318.35","        321.90","        331.40","        317.10","        330.75","        329.55","        326.63","    1758885","           574511545.80","      31323","    1020140","         58.00"
"ICICIPRULI","EQ","17-Oct-2018","        329.55","        332.30","        341.90","        327.50","        327.50","        329.75","        335.10","    1383904","           463740300.90","      25767","     560913","         40.53"
"ICICIPRULI","EQ","19-Oct-2018","        329.75","        328.55","        335.60","        324.25","        326.00","        328.30","        329.15","     848479","           279273051.60","      41033","     480093","         56.58"
"ICICIPRULI","EQ","22-Oct-2018","        328.30","        332.00","        333.25","        315.00","        316.35","        316.50","        322.14","     912568","           293976936.30","      14839","     341836","         37.46"
"ICICIPRULI","EQ","23-Oct-2018","        316.50","        313.00","        328.30","        313.00","        325.60","        323.85","        323.47","    1086684","           351511045.15","      22295","     284758","         26.20"
"ICICIPRULI","EQ","24-Oct-2018","        323.85","        324.35","        332.15","        312.20","        322.40","        322.90","        320.91","    1903961","           611003285.15","      46468","     606372","         31.85"
"ICICIPRULI","EQ","25-Oct-2018","        322.90","        318.00","        320.50","        315.10","        317.00","        317.70","        317.62","    1369004","           434829494.80","      26807","     718120","         52.46"
"ICICIPRULI","EQ","26-Oct-2018","        317.70","        317.70","        329.05","        314.90","        325.45","        325.50","        324.75","    1205447","           391470796.75","      47008","     591796","         49.09"
"ICICIPRULI","EQ","29-Oct-2018","        325.50","        327.00","        334.00","        323.60","        333.10","        333.20","        331.34","    1206562","           399776652.80","      79055","     741230","         61.43"
"ICICIPRULI","EQ","30-Oct-2018","        333.20","        331.10","        336.90","        321.20","        323.45","        324.90","        326.05","    2264074","           738209880.65","      25106","    1631708","         72.07"
"ICICIPRULI","EQ","31-Oct-2018","        324.90","        327.75","        334.50","        323.10","        332.55","        332.75","        328.59","     893211","           293497955.65","      23118","     445328","         49.86"
