"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ICICISENSX","EQ","30-Aug-2018","        408.21","        406.00","        406.61","        404.59","        406.21","        406.21","        406.20","         19","                7717.71","          7","         15","         78.95"
"ICICISENSX","EQ","31-Aug-2018","        406.21","        407.00","        421.00","        395.50","        405.93","        405.93","        408.11","        213","               86927.15","         22","         39","         18.31"
"ICICISENSX","EQ","03-Sep-2018","        405.93","        406.00","        448.00","        395.50","        425.00","        424.70","        423.25","        182","               77031.09","         65","        126","         69.23"
"ICICISENSX","EQ","04-Sep-2018","        424.70","        406.00","        406.00","        400.45","        400.45","        400.45","        402.43","        267","              107449.23","         25","        205","         76.78"
"ICICISENSX","EQ","05-Sep-2018","        400.45","        401.31","        401.31","        397.36","        399.82","        399.13","        398.80","        104","               41475.29","         14","        100","         96.15"
"ICICISENSX","EQ","06-Sep-2018","        399.13","        401.11","        402.70","        397.66","        402.70","        402.70","        400.02","      10148","             4059390.22","         10","        115","          1.13"
"ICICISENSX","EQ","07-Sep-2018","        402.70","        401.93","        402.32","        400.93","        401.32","        401.32","        401.43","         27","               10838.74","          4","         20","         74.07"
"ICICISENSX","EQ","10-Sep-2018","        401.32","        395.00","        401.06","        393.00","        398.34","        398.34","        400.07","         43","               17202.93","         12","         37","         86.05"
"ICICISENSX","EQ","11-Sep-2018","        398.34","        399.58","        399.58","        391.98","        393.54","        393.28","        397.48","        181","               71944.29","         11","        177","         97.79"
"ICICISENSX","EQ","12-Sep-2018","        393.28","        394.61","        394.61","        392.25","        392.25","        392.25","        393.70","         79","               31102.69","          7","         79","        100.00"
"ICICISENSX","EQ","14-Sep-2018","        392.25","        398.86","        399.26","        398.00","        398.00","        398.00","        398.62","        176","               70156.56","          9","        173","         98.30"
"ICICISENSX","EQ","17-Sep-2018","        398.00","        401.00","        416.00","        393.72","        393.72","        394.00","        396.13","        323","              127951.45","         35","        188","         58.20"
"ICICISENSX","EQ","18-Sep-2018","        394.00","        395.63","        395.63","        395.00","        395.62","        395.62","        395.45","        114","               45081.60","          4","        114","        100.00"
"ICICISENSX","EQ","19-Sep-2018","        395.62","        393.36","        393.79","        388.42","        388.42","        388.42","        391.33","         45","               17609.76","          8","         35","         77.78"
"ICICISENSX","EQ","21-Sep-2018","        388.42","        393.58","        394.36","        383.32","        383.32","        383.32","        390.30","        124","               48397.11","         17","         82","         66.13"
"ICICISENSX","EQ","24-Sep-2018","        383.32","        390.00","        416.00","        375.00","        381.67","        381.67","        395.49","        341","              134861.03","         28","        223","         65.40"
