"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"IIFL","EQ","30-Aug-2018","        704.40","        704.00","        716.60","        702.00","        710.80","        712.60","        707.23","      51874","            36686669.95","       3053","      20722","         39.95"
"IIFL","EQ","31-Aug-2018","        712.60","        714.00","        735.00","        698.00","        733.60","        724.55","        717.47","     182880","           131210870.70","       5985","     138030","         75.48"
"IIFL","EQ","03-Sep-2018","        724.55","        730.00","        739.80","        720.00","        720.00","        720.45","        725.09","      92519","            67084968.20","       4384","      43691","         47.22"
"IIFL","EQ","04-Sep-2018","        720.45","        716.75","        738.90","        716.75","        734.00","        733.10","        732.63","     195313","           143092673.95","       8176","     156018","         79.88"
"IIFL","EQ","05-Sep-2018","        733.10","        736.00","        739.75","        698.05","        722.00","        720.30","        719.73","     208820","           150293725.20","       8270","     153882","         73.69"
"IIFL","EQ","06-Sep-2018","        720.30","        720.55","        725.00","        695.30","        711.10","        712.45","        705.94","     102329","            72237667.25","       6138","      60029","         58.66"
"IIFL","EQ","07-Sep-2018","        712.45","        710.15","        721.55","        688.40","        691.15","        692.40","        699.33","     144358","           100954511.55","       5590","      57166","         39.60"
"IIFL","EQ","10-Sep-2018","        692.40","        691.00","        691.15","        645.15","        647.20","        650.90","        663.74","     202962","           134714643.80","      11611","     119768","         59.01"
"IIFL","EQ","11-Sep-2018","        650.90","        654.90","        669.00","        650.00","        653.00","        652.75","        659.38","     118593","            78198361.60","       8898","      55749","         47.01"
"IIFL","EQ","12-Sep-2018","        652.75","        650.60","        656.85","        624.10","        646.00","        646.20","        635.00","     187044","           118772468.70","      11845","      92379","         49.39"
"IIFL","EQ","14-Sep-2018","        646.20","        656.90","        665.85","        650.00","        659.25","        659.20","        658.78","      73220","            48235850.00","       7457","      47487","         64.86"
"IIFL","EQ","17-Sep-2018","        659.20","        654.00","        658.60","        631.00","        637.00","        634.15","        642.27","     104194","            66921148.55","       7537","      57828","         55.50"
"IIFL","EQ","18-Sep-2018","        634.15","        630.50","        642.80","        625.00","        627.05","        627.50","        635.15","     200374","           127267381.60","       6645","     160650","         80.18"
"IIFL","EQ","19-Sep-2018","        627.50","        627.50","        632.00","        592.00","        605.00","        600.90","        606.57","     196260","           119045649.50","      11333","     134869","         68.72"
"IIFL","EQ","21-Sep-2018","        600.90","        600.00","        624.85","        561.40","        610.00","        609.25","        607.07","     554830","           336823064.05","      22674","     388153","         69.96"
"IIFL","EQ","24-Sep-2018","        609.25","        609.30","        618.45","        538.60","        555.00","        555.10","        568.81","     476889","           271261315.75","      23163","     316595","         66.39"
"IIFL","EQ","25-Sep-2018","        555.10","        556.00","        580.75","        535.25","        551.00","        556.70","        557.57","     385613","           215004440.35","      25875","     262676","         68.12"
"IIFL","EQ","26-Sep-2018","        556.70","        561.20","        574.90","        543.00","        543.00","        551.65","        558.85","     166096","            92823396.55","      11919","      84392","         50.81"
"IIFL","EQ","27-Sep-2018","        551.65","        551.65","        551.65","        515.00","        519.60","        526.10","        536.35","     210745","           113032807.45","      10420","     139484","         66.19"
"IIFL","EQ","28-Sep-2018","        526.10","        526.10","        551.25","        445.95","        501.15","        509.55","        516.15","     575191","           296886243.50","      39302","     196315","         34.13"
"IIFL","EQ","01-Oct-2018","        509.55","        501.20","        530.00","        461.00","        525.05","        513.30","        488.95","     496689","           242854106.90","      22870","     241374","         48.60"
"IIFL","EQ","03-Oct-2018","        513.30","        516.00","        523.00","        480.50","        485.90","        489.75","        490.35","     629949","           308892796.55","      24797","     282567","         44.86"
"IIFL","EQ","04-Oct-2018","        489.75","        477.70","        488.00","        471.00","        485.10","        484.00","        481.20","     524230","           252260374.15","       9094","     450582","         85.95"
"IIFL","EQ","05-Oct-2018","        484.00","        481.00","        490.90","        456.00","        458.00","        460.60","        478.51","     427277","           204457106.35","      17006","     324494","         75.94"
"IIFL","EQ","08-Oct-2018","        460.60","        450.00","        459.55","        382.65","        421.50","        421.80","        421.53","     805401","           339504492.05","      26982","     412769","         51.25"
"IIFL","EQ","09-Oct-2018","        421.80","        428.95","        462.80","        412.00","        451.65","        452.40","        438.49","     429256","           188222529.40","      21994","     232284","         54.11"
"IIFL","EQ","10-Oct-2018","        452.40","        453.00","        485.00","        453.00","        474.75","        467.75","        472.71","     283473","           134001121.75","      11770","     119067","         42.00"
"IIFL","EQ","11-Oct-2018","        467.75","        440.00","        450.95","        406.85","        415.50","        412.30","        424.63","     380848","           161720336.95","      13874","     159936","         41.99"
"IIFL","EQ","12-Oct-2018","        412.30","        416.85","        447.00","        416.85","        440.00","        438.80","        432.91","     430161","           186222990.35","      12306","     194923","         45.31"
"IIFL","EQ","15-Oct-2018","        438.80","        435.15","        452.80","        435.00","        440.10","        445.00","        444.28","     216990","            96404610.35","       7358","     105746","         48.73"
"IIFL","EQ","16-Oct-2018","        445.00","        445.00","        464.70","        441.05","        461.00","        460.95","        448.02","    1262524","           565637329.85","       6286","    1159609","         91.85"
"IIFL","EQ","17-Oct-2018","        460.95","        470.00","        477.75","        421.95","        423.05","        431.25","        444.56","     247946","           110226738.35","       9350","      93292","         37.63"
"IIFL","EQ","19-Oct-2018","        431.25","        424.95","        432.40","        374.00","        385.00","        382.10","        386.36","     645055","           249221429.65","      18688","     316970","         49.14"
"IIFL","EQ","22-Oct-2018","        382.10","        385.10","        393.40","        365.50","        367.00","        375.95","        384.28","     255387","            98139211.00","      11356","     103634","         40.58"
"IIFL","EQ","23-Oct-2018","        375.95","        370.00","        372.55","        341.00","        350.60","        353.10","        356.07","     559272","           199140533.20","      11537","     266465","         47.64"
"IIFL","EQ","24-Oct-2018","        353.10","        357.50","        394.70","        357.50","        384.00","        382.35","        377.78","     775624","           293012993.30","      25465","     257082","         33.15"
"IIFL","EQ","25-Oct-2018","        382.35","        375.00","        385.00","        361.30","        379.85","        382.45","        375.32","     222070","            83348166.80","      13134","     130699","         58.85"
"IIFL","EQ","26-Oct-2018","        382.45","        382.45","        408.00","        355.85","        395.00","        398.95","        385.34","     602525","           232179892.30","      19664","     290974","         48.29"
"IIFL","EQ","29-Oct-2018","        398.95","        401.30","        419.40","        392.85","        411.05","        413.55","        410.81","     174357","            71628353.35","       6727","      57885","         33.20"
"IIFL","EQ","30-Oct-2018","        413.55","        413.00","        438.00","        408.30","        435.00","        432.55","        427.56","     200583","            85760808.25","      10207","      86737","         43.24"
"IIFL","EQ","31-Oct-2018","        432.55","        437.00","        463.00","        436.85","        460.05","        460.00","        443.07","     753686","           333932137.90","      18726","     602646","         79.96"
"IIFL","EQ","01-Nov-2018","        460.00","        463.25","        510.10","        458.20","        503.00","        489.75","        475.58","     614736","           292355402.10","       9135","     447260","         72.76"
"IIFL","EQ","02-Nov-2018","        489.75","        499.45","        520.00","        447.55","        451.20","        453.10","        488.40","     646555","           315777236.55","      19956","     279819","         43.28"
"IIFL","EQ","05-Nov-2018","        453.10","        456.00","        457.65","        438.50","        450.25","        446.75","        445.97","     253816","           113194928.85","       9963","     114499","         45.11"
"IIFL","EQ","06-Nov-2018","        446.75","        444.00","        471.00","        444.00","        456.70","        457.70","        461.30","     277229","           127885610.20","       9214","     160387","         57.85"
"IIFL","EQ","07-Nov-2018","        457.70","        458.10","        469.50","        458.10","        463.10","        463.30","        463.65","      23540","            10914339.00","       1114","       9997","         42.47"
"IIFL","EQ","09-Nov-2018","        463.30","        465.80","        490.00","        461.00","        488.00","        487.55","        478.33","     229730","           109886687.05","      15330","      97668","         42.51"
"IIFL","EQ","12-Nov-2018","        487.55","        491.00","        492.40","        466.10","        469.90","        471.85","        479.35","     188558","            90384613.70","       8378","      98941","         52.47"
"IIFL","EQ","13-Nov-2018","        471.85","        470.00","        482.95","        465.00","        471.30","        472.20","        471.88","     147440","            69573254.40","      11525","      78522","         53.26"
"IIFL","EQ","14-Nov-2018","        472.20","        477.00","        488.00","        472.40","        479.10","        481.20","        476.90","    1680866","           801601848.15","       9431","    1540852","         91.67"
"IIFL","EQ","15-Nov-2018","        481.20","        482.00","        489.00","        476.95","        482.65","        483.95","        482.23","     118752","            57265214.15","       9003","      49947","         42.06"
"IIFL","EQ","16-Nov-2018","        483.95","        488.00","        491.00","        477.55","        487.00","        486.65","        485.78","      70873","            34428424.30","       5221","      34968","         49.34"
