"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INDIANHUME","EQ","30-Aug-2018","        296.15","        296.50","        297.90","        287.30","        296.95","        295.95","        292.05","      15438","             4508631.80","        558","       6997","         45.32"
"INDIANHUME","EQ","31-Aug-2018","        295.95","        295.95","        295.95","        290.10","        293.75","        293.45","        292.71","       4846","             1418459.05","        219","       2543","         52.48"
"INDIANHUME","EQ","03-Sep-2018","        293.45","        295.95","        298.50","        281.00","        283.45","        286.55","        290.86","      18770","             5459428.70","        565","      14319","         76.29"
"INDIANHUME","EQ","04-Sep-2018","        286.55","        286.85","        286.85","        281.00","        281.30","        282.15","        282.41","       9559","             2699512.20","        353","       7694","         80.49"
"INDIANHUME","EQ","05-Sep-2018","        282.15","        281.05","        283.90","        275.00","        277.00","        277.05","        278.25","       7488","             2083568.95","        283","       5245","         70.05"
"INDIANHUME","EQ","06-Sep-2018","        277.05","        277.05","        282.50","        271.00","        273.05","        274.25","        276.72","      10719","             2966165.55","        411","       7497","         69.94"
"INDIANHUME","EQ","07-Sep-2018","        274.25","        277.90","        283.95","        271.15","        283.00","        280.40","        279.55","      10901","             3047321.80","        437","       8655","         79.40"
"INDIANHUME","EQ","10-Sep-2018","        280.40","        282.00","        308.00","        276.60","        289.00","        294.50","        293.65","      81786","            24016450.30","       2191","      19941","         24.38"
"INDIANHUME","EQ","11-Sep-2018","        294.50","        292.05","        292.70","        280.90","        283.30","        282.30","        287.07","      18261","             5242126.60","       1060","       8495","         46.52"
"INDIANHUME","EQ","12-Sep-2018","        282.30","        279.10","        283.90","        275.65","        276.25","        277.20","        277.78","      13021","             3616985.45","        404","       9409","         72.26"
"INDIANHUME","EQ","14-Sep-2018","        277.20","        283.00","        283.00","        275.50","        275.50","        276.55","        278.04","       4349","             1209210.95","        248","       2930","         67.37"
"INDIANHUME","EQ","17-Sep-2018","        276.55","        275.30","        276.40","        269.15","        270.00","        270.45","        272.83","      13754","             3752493.95","        455","      10125","         73.61"
"INDIANHUME","EQ","18-Sep-2018","        270.45","        270.45","        283.80","        267.00","        276.95","        276.70","        278.04","      75048","            20865981.55","       2025","       8454","         11.26"
"INDIANHUME","EQ","19-Sep-2018","        276.70","        280.00","        282.50","        271.00","        278.70","        277.30","        277.82","      10332","             2870482.15","        528","       5012","         48.51"
"INDIANHUME","EQ","21-Sep-2018","        277.30","        280.00","        280.70","        247.00","        262.60","        263.05","        264.91","      23575","             6245300.70","        838","      14379","         60.99"
"INDIANHUME","EQ","24-Sep-2018","        263.05","        260.00","        265.05","        248.25","        251.00","        251.05","        253.46","      10530","             2668883.80","        591","       7580","         71.98"
"INDIANHUME","EQ","25-Sep-2018","        251.05","        246.35","        258.00","        244.45","        251.20","        252.70","        250.99","      12392","             3110216.45","        410","       9257","         74.70"
"INDIANHUME","EQ","26-Sep-2018","        252.70","        251.10","        257.20","        246.65","        247.50","        248.65","        250.80","       8085","             2027728.55","        428","       5291","         65.44"
"INDIANHUME","EQ","27-Sep-2018","        248.65","        248.00","        253.00","        246.20","        249.00","        247.90","        248.25","       6151","             1526970.70","        230","       4807","         78.15"
"INDIANHUME","EQ","28-Sep-2018","        247.90","        254.80","        254.80","        235.00","        235.50","        238.10","        242.74","      12512","             3037169.65","        425","       9513","         76.03"
"INDIANHUME","EQ","01-Oct-2018","        238.10","        239.35","        247.20","        225.85","        247.20","        242.35","        231.55","      43542","            10082112.40","        775","      39682","         91.13"
"INDIANHUME","EQ","03-Oct-2018","        242.35","        237.50","        246.00","        236.50","        243.00","        243.35","        240.89","       5540","             1334505.35","        398","       2739","         49.44"
"INDIANHUME","EQ","04-Oct-2018","        243.35","        245.90","        260.00","        238.00","        250.00","        253.05","        251.22","      24821","             6235441.65","        965","      12396","         49.94"
"INDIANHUME","EQ","05-Oct-2018","        253.05","        246.05","        252.85","        240.60","        248.50","        248.85","        242.42","      32156","             7795369.80","        511","      28792","         89.54"
"INDIANHUME","EQ","08-Oct-2018","        248.85","        244.00","        252.00","        241.50","        252.00","        249.90","        247.35","      46492","            11499964.15","        903","      40632","         87.40"
"INDIANHUME","EQ","09-Oct-2018","        249.90","        246.30","        256.50","        246.30","        251.00","        251.05","        252.74","      18103","             4575356.85","        595","      11550","         63.80"
"INDIANHUME","EQ","10-Oct-2018","        251.05","        250.15","        276.10","        250.10","        275.00","        272.65","        268.55","      36528","             9809563.95","       1057","      30016","         82.17"
