"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INGERRAND","EQ","30-Aug-2018","        566.55","        569.95","        576.95","        567.00","        567.50","        568.60","        570.88","       7545","             4307254.30","        609","       3736","         49.52"
"INGERRAND","EQ","31-Aug-2018","        568.60","        573.20","        614.40","        566.35","        595.10","        597.05","        596.58","      96542","            57595141.90","       3998","      34078","         35.30"
"INGERRAND","EQ","03-Sep-2018","        597.05","        600.00","        645.00","        598.00","        634.95","        632.20","        632.98","     126344","            79973661.30","       5728","      48336","         38.26"
"INGERRAND","EQ","04-Sep-2018","        632.20","        631.10","        646.00","        609.75","        620.00","        618.70","        628.88","      35337","            22222603.90","       2040","      16912","         47.86"
"INGERRAND","EQ","05-Sep-2018","        618.70","        622.00","        627.00","        605.00","        619.95","        615.45","        616.40","      19257","            11869932.65","       1431","       9827","         51.03"
"INGERRAND","EQ","06-Sep-2018","        615.45","        619.15","        632.70","        616.00","        627.40","        624.80","        624.48","      23459","            14649705.75","       1189","      10817","         46.11"
"INGERRAND","EQ","07-Sep-2018","        624.80","        628.00","        645.70","        620.00","        633.00","        634.00","        637.55","      39404","            25122141.60","       2050","      19286","         48.94"
"INGERRAND","EQ","10-Sep-2018","        634.00","        635.00","        635.00","        620.30","        623.75","        622.05","        626.18","      11962","             7490401.35","        914","       7350","         61.44"
"INGERRAND","EQ","11-Sep-2018","        622.05","        628.00","        628.00","        609.00","        610.00","        612.10","        616.54","      13937","             8592682.85","       1028","       7930","         56.90"
"INGERRAND","EQ","12-Sep-2018","        612.10","        605.00","        616.60","        595.00","        603.00","        607.40","        604.44","      14542","             8789772.00","       1212","       7363","         50.63"
"INGERRAND","EQ","14-Sep-2018","        607.40","        605.05","        622.00","        605.05","        615.50","        615.65","        616.59","      11201","             6906398.25","        779","       5318","         47.48"
"INGERRAND","EQ","17-Sep-2018","        615.65","        619.90","        619.90","        610.00","        613.55","        616.85","        614.98","       6266","             3853488.60","        742","       4105","         65.51"
"INGERRAND","EQ","18-Sep-2018","        616.85","        615.00","        619.95","        592.60","        598.00","        598.15","        605.70","      18820","            11399270.45","       1263","       7802","         41.46"
"INGERRAND","EQ","19-Sep-2018","        598.15","        596.00","        611.00","        594.35","        597.00","        598.05","        600.11","      13652","             8192687.10","        817","       8920","         65.34"
"INGERRAND","EQ","21-Sep-2018","        598.05","        607.60","        607.60","        549.95","        586.95","        582.75","        585.27","      32688","            19131442.80","       1517","      17859","         54.63"
"INGERRAND","EQ","24-Sep-2018","        582.75","        562.30","        587.95","        560.05","        568.00","        568.05","        570.63","      11969","             6829895.20","        963","       6794","         56.76"
"INGERRAND","EQ","25-Sep-2018","        568.05","        571.45","        571.45","        550.00","        553.00","        555.35","        557.70","      20347","            11347458.95","       1241","      10126","         49.77"
"INGERRAND","EQ","26-Sep-2018","        555.35","        556.40","        565.00","        552.50","        559.25","        558.50","        559.00","       6529","             3649696.65","        605","       3286","         50.33"
"INGERRAND","EQ","27-Sep-2018","        558.50","        569.95","        569.95","        548.05","        559.95","        558.85","        561.49","      28712","            16121368.20","       2104","      10412","         36.26"
"INGERRAND","EQ","28-Sep-2018","        558.85","        564.75","        568.40","        540.00","        555.00","        549.20","        553.21","      14101","             7800779.05","       1404","       7598","         53.88"
"INGERRAND","EQ","01-Oct-2018","        549.20","        551.60","        551.60","        521.25","        542.00","        539.90","        536.06","      12007","             6436514.75","       1164","       6068","         50.54"
"INGERRAND","EQ","03-Oct-2018","        539.90","        539.05","        539.05","        521.00","        529.00","        525.50","        528.95","      19362","            10241560.25","        959","      11156","         57.62"
"INGERRAND","EQ","04-Oct-2018","        525.50","        533.95","        537.50","        511.25","        524.00","        521.50","        524.55","      10998","             5768989.30","       1049","       6180","         56.19"
"INGERRAND","EQ","05-Oct-2018","        521.50","        523.00","        524.55","        505.30","        506.00","        510.10","        513.90","      13609","             6993701.40","       1012","       6869","         50.47"
"INGERRAND","EQ","08-Oct-2018","        510.10","        506.00","        512.30","        494.00","        500.00","        500.20","        501.16","      15827","             7931853.05","       1059","       9048","         57.17"
"INGERRAND","EQ","09-Oct-2018","        500.20","        521.95","        521.95","        490.10","        502.00","        503.90","        501.65","      11630","             5834189.35","        944","       7309","         62.85"
"INGERRAND","EQ","10-Oct-2018","        503.90","        507.00","        520.00","        499.00","        509.00","        512.40","        516.10","      11946","             6165387.50","        779","       6334","         53.02"
"INGERRAND","EQ","11-Oct-2018","        512.40","        511.40","        518.00","        492.70","        513.50","        513.70","        506.02","      15461","             7823602.15","       1052","       8081","         52.27"
"INGERRAND","EQ","12-Oct-2018","        513.70","        527.80","        529.75","        508.95","        529.75","        525.35","        522.78","      11260","             5886502.10","        566","       5776","         51.30"
"INGERRAND","EQ","15-Oct-2018","        525.35","        533.15","        536.85","        515.05","        521.00","        519.70","        519.59","      10954","             5691643.10","        727","       6628","         60.51"
"INGERRAND","EQ","16-Oct-2018","        519.70","        516.00","        534.25","        516.00","        529.00","        529.60","        529.15","       8707","             4607347.60","        651","       4237","         48.66"
