"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ISFT","EQ","30-Aug-2018","        212.80","        214.25","        216.50","        205.20","        208.00","        206.00","        208.79","      29496","             6158459.65","        696","      19389","         65.73"
"ISFT","EQ","31-Aug-2018","        206.00","        208.55","        208.55","        198.00","        199.05","        199.85","        201.72","      50793","            10246101.25","        941","      35839","         70.56"
"ISFT","EQ","03-Sep-2018","        199.85","        199.85","        214.80","        199.80","        208.90","        207.40","        209.22","      59615","            12472514.95","       1164","      35212","         59.07"
"ISFT","EQ","04-Sep-2018","        207.40","        205.60","        219.80","        205.60","        211.05","        210.55","        215.67","      69848","            15064355.35","       1747","      36106","         51.69"
"ISFT","EQ","05-Sep-2018","        210.55","        211.00","        214.00","        201.20","        201.50","        203.70","        207.30","      28384","             5883982.30","        586","      21235","         74.81"
"ISFT","EQ","06-Sep-2018","        203.70","        203.70","        207.00","        199.20","        199.35","        200.35","        201.59","      18677","             3765045.30","        542","      13758","         73.66"
"ISFT","EQ","07-Sep-2018","        200.35","        203.00","        203.00","        198.05","        198.25","        199.80","        199.98","      25505","             5100507.90","        536","      19604","         76.86"
"ISFT","EQ","10-Sep-2018","        199.80","        199.85","        202.25","        197.10","        197.70","        199.30","        199.80","      18579","             3711999.95","        689","      14965","         80.55"
"ISFT","EQ","11-Sep-2018","        199.30","        200.90","        200.90","        191.20","        191.20","        192.15","        194.68","      14981","             2916543.90","        496","       8529","         56.93"
"ISFT","EQ","12-Sep-2018","        192.15","        193.00","        193.45","        172.95","        172.95","        172.95","        175.67","     136814","            24033727.30","       2177","     111923","         81.81"
"ISFT","EQ","14-Sep-2018","        172.95","        170.05","        175.45","        159.00","        165.45","        165.75","        165.74","      99109","            16426353.20","       1915","      55054","         55.55"
"ISFT","EQ","17-Sep-2018","        165.75","        169.00","        174.00","        163.00","        174.00","        174.00","        169.55","      28570","             4843907.45","        634","      21650","         75.78"
"ISFT","EQ","18-Sep-2018","        174.00","        177.00","        182.70","        174.05","        182.70","        182.70","        181.50","      10988","             1994322.70","        162","      10631","         96.75"
"ISFT","EQ","19-Sep-2018","        182.70","        191.80","        191.80","        191.80","        191.80","        191.80","        191.80","       4558","              874224.40","         65","       4558","        100.00"
"ISFT","EQ","21-Sep-2018","        191.80","        201.35","        201.35","        182.25","        201.35","        201.35","        196.55","     113663","            22340573.30","        775","      79004","         69.51"
"ISFT","EQ","24-Sep-2018","        201.35","        210.60","        211.40","        195.30","        211.40","        211.40","        209.93","      33654","             7065101.55","        543","      28312","         84.13"
"ISFT","EQ","25-Sep-2018","        211.40","        216.10","        221.90","        211.00","        215.00","        215.80","        215.40","      38657","             8326719.30","       1068","      25834","         66.83"
"ISFT","EQ","26-Sep-2018","        215.80","        221.95","        225.90","        206.05","        215.00","        216.80","        215.01","      31566","             6786898.80","       1214","      16219","         51.38"
"ISFT","EQ","27-Sep-2018","        216.80","        217.05","        219.80","        206.00","        206.00","        206.95","        208.69","      14679","             3063334.95","        328","      10819","         73.70"
"ISFT","EQ","28-Sep-2018","        206.95","        209.00","        209.00","        196.65","        196.65","        196.65","        197.69","       7573","             1497110.40","        161","       4865","         64.24"
"ISFT","EQ","01-Oct-2018","        196.65","        187.50","        192.00","        186.85","        188.95","        187.00","        187.32","      10700","             2004335.15","        193","       7407","         69.22"
"ISFT","EQ","03-Oct-2018","        187.00","        191.00","        192.00","        178.10","        189.85","        188.85","        191.30","      60474","            11568574.20","        542","      50033","         82.73"
"ISFT","EQ","04-Oct-2018","        188.85","        184.85","        185.20","        179.45","        179.45","        179.50","        180.32","       5214","              940180.50","        181","       4643","         89.05"
"ISFT","EQ","05-Oct-2018","        179.50","        178.00","        181.90","        170.55","        173.00","        178.70","        172.91","      23329","             4033901.00","        525","      15846","         67.92"
"ISFT","EQ","08-Oct-2018","        178.70","        178.45","        180.00","        162.00","        162.00","        165.35","        168.11","      28291","             4755941.15","        424","      15558","         54.99"
"ISFT","EQ","09-Oct-2018","        165.35","        165.95","        181.85","        156.20","        169.40","        165.00","        172.59","      48736","             8411254.15","       1501","      20900","         42.88"
"ISFT","EQ","10-Oct-2018","        165.00","        178.00","        178.00","        163.20","        165.00","        166.50","        172.34","      20309","             3500130.30","        645","      11143","         54.87"
