"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JAYBARMARU","EQ","30-Aug-2018","        438.30","        443.90","        443.90","        433.00","        435.25","        436.45","        435.59","       8381","             3650687.35","        555","       4040","         48.20"
"JAYBARMARU","EQ","31-Aug-2018","        436.45","        432.90","        442.55","        431.45","        435.00","        437.20","        437.14","       9891","             4323723.90","        700","       4567","         46.17"
"JAYBARMARU","EQ","03-Sep-2018","        437.20","        435.15","        440.55","        430.60","        432.95","        432.40","        435.57","      15251","             6642881.55","        709","       8163","         53.52"
"JAYBARMARU","EQ","04-Sep-2018","        432.40","        431.50","        437.00","        428.05","        436.75","        433.90","        431.83","       8526","             3681814.50","        830","       4316","         50.62"
"JAYBARMARU","EQ","05-Sep-2018","        433.90","        432.00","        440.00","        416.40","        422.80","        422.80","        425.87","      16944","             7216005.50","       1526","       5982","         35.30"
"JAYBARMARU","EQ","06-Sep-2018","        422.80","        422.80","        429.35","        416.00","        421.05","        424.25","        421.48","      12083","             5092737.55","        743","       3679","         30.45"
"JAYBARMARU","EQ","07-Sep-2018","        424.25","        420.00","        432.50","        420.00","        432.50","        429.05","        426.67","      13288","             5669548.15","       1007","       6111","         45.99"
"JAYBARMARU","EQ","10-Sep-2018","        429.05","        425.15","        432.00","        421.20","        422.05","        423.20","        426.02","      10700","             4558423.70","        680","       6545","         61.17"
"JAYBARMARU","EQ","11-Sep-2018","        423.20","        422.00","        424.50","        415.50","        416.00","        419.15","        420.51","       4661","             1960016.95","        297","       3239","         69.49"
"JAYBARMARU","EQ","12-Sep-2018","        419.15","        419.00","        420.15","        410.35","        414.00","        414.40","        414.04","       4575","             1894228.75","        434","       2543","         55.58"
"JAYBARMARU","EQ","14-Sep-2018","        414.40","        424.00","        489.00","        424.00","        434.00","        438.25","        443.56","      40575","            17997503.65","       2406","      15471","         38.13"
"JAYBARMARU","EQ","17-Sep-2018","        438.25","        432.90","        434.45","        423.95","        429.75","        429.25","        429.14","       8811","             3781122.40","        899","       4559","         51.74"
"JAYBARMARU","EQ","18-Sep-2018","        429.25","        429.80","        439.15","        429.00","        429.00","        430.90","        432.32","       8009","             3462425.50","        484","       5048","         63.03"
"JAYBARMARU","EQ","19-Sep-2018","        430.90","        428.05","        430.70","        412.00","        415.10","        415.25","        420.29","       9818","             4126396.35","        757","       5990","         61.01"
"JAYBARMARU","EQ","21-Sep-2018","        415.25","        426.90","        426.90","        390.00","        394.10","        398.10","        405.55","      20554","             8335582.05","       1002","      11645","         56.66"
"JAYBARMARU","EQ","24-Sep-2018","        398.10","        405.00","        406.00","        373.20","        381.60","        381.75","        386.95","      14803","             5728050.25","       1079","       8806","         59.49"
"JAYBARMARU","EQ","25-Sep-2018","        381.75","        380.00","        388.00","        370.05","        381.20","        381.80","        378.07","      14637","             5533763.40","       1098","       6144","         41.98"
"JAYBARMARU","EQ","26-Sep-2018","        381.80","        382.90","        393.75","        382.90","        383.00","        385.65","        385.26","       5819","             2241802.05","        415","       3834","         65.89"
"JAYBARMARU","EQ","27-Sep-2018","        385.65","        394.00","        394.00","        375.00","        375.00","        377.60","        378.97","       9446","             3579785.35","        722","       4697","         49.72"
"JAYBARMARU","EQ","28-Sep-2018","        377.60","        381.50","        382.50","        350.00","        355.00","        354.90","        358.19","      17565","             6291524.60","       1216","      10497","         59.76"
"JAYBARMARU","EQ","01-Oct-2018","        354.90","        350.00","        359.95","        340.00","        358.00","        355.95","        346.99","      16051","             5569535.35","        840","       7414","         46.19"
"JAYBARMARU","EQ","03-Oct-2018","        355.95","        365.00","        365.00","        350.55","        359.20","        359.95","        358.04","       6701","             2399249.60","        553","       3635","         54.25"
"JAYBARMARU","EQ","04-Oct-2018","        359.95","        357.00","        360.00","        341.05","        346.00","        344.70","        347.15","      11314","             3927711.10","       1054","       4679","         41.36"
"JAYBARMARU","EQ","05-Oct-2018","        344.70","        349.90","        349.90","        327.00","        327.00","        332.65","        337.25","      10018","             3378543.10","        671","       6255","         62.44"
"JAYBARMARU","EQ","08-Oct-2018","        332.65","        330.00","        331.00","        310.55","        316.00","        316.30","        320.51","       8992","             2882038.10","        867","       4344","         48.31"
"JAYBARMARU","EQ","09-Oct-2018","        316.30","        325.00","        328.00","        310.00","        314.20","        315.20","        317.00","       9173","             2907844.90","        734","       3553","         38.73"
"JAYBARMARU","EQ","10-Oct-2018","        315.20","        316.05","        329.35","        314.70","        320.05","        320.65","        321.27","      85804","            27565917.50","       1301","      22349","         26.05"
"JAYBARMARU","EQ","11-Oct-2018","        320.65","        315.85","        322.95","        295.00","        299.00","        298.85","        311.48","     110653","            34466527.45","       2552","      20191","         18.25"
"JAYBARMARU","EQ","12-Oct-2018","        298.85","        303.10","        311.00","        299.15","        301.00","        302.15","        305.54","     160181","            48940981.25","       2885","      48488","         30.27"
"JAYBARMARU","EQ","15-Oct-2018","        302.15","        302.00","        317.30","        301.00","        316.50","        314.95","        311.90","      54769","            17082447.95","       2181","      22471","         41.03"
"JAYBARMARU","EQ","16-Oct-2018","        314.95","        316.10","        327.00","        315.25","        320.00","        320.50","        321.66","      22073","             7100077.90","        893","      11476","         51.99"
"JAYBARMARU","EQ","17-Oct-2018","        320.50","        329.35","        333.40","        310.40","        311.10","        313.60","        323.80","      25705","             8323237.95","        990","      13597","         52.90"
"JAYBARMARU","EQ","19-Oct-2018","        313.60","        311.90","        312.70","        303.50","        304.05","        305.00","        307.48","       9191","             2826080.35","        592","       4501","         48.97"
"JAYBARMARU","EQ","22-Oct-2018","        305.00","        305.85","        311.35","        303.00","        304.80","        304.45","        306.68","       7603","             2331708.35","        442","       3807","         50.07"
"JAYBARMARU","EQ","23-Oct-2018","        304.45","        298.10","        301.35","        287.00","        299.00","        296.30","        295.29","      11819","             3490050.35","        734","       7282","         61.61"
"JAYBARMARU","EQ","24-Oct-2018","        296.30","        299.20","        306.60","        292.50","        292.60","        293.75","        295.25","       7483","             2209361.90","        441","       3931","         52.53"
"JAYBARMARU","EQ","25-Oct-2018","        293.75","        293.70","        296.35","        287.00","        292.05","        292.35","        292.30","       7863","             2298369.80","        487","       4357","         55.41"
"JAYBARMARU","EQ","26-Oct-2018","        292.35","        286.00","        290.00","        283.00","        283.50","        284.45","        286.26","       9380","             2685147.70","        764","       4023","         42.89"
"JAYBARMARU","EQ","29-Oct-2018","        284.45","        288.00","        290.75","        284.00","        285.30","        287.60","        286.61","      10717","             3071626.00","        486","       6665","         62.19"
"JAYBARMARU","EQ","30-Oct-2018","        287.60","        288.00","        299.80","        286.25","        297.90","        297.50","        294.50","       9951","             2930609.20","        648","       5153","         51.78"
"JAYBARMARU","EQ","31-Oct-2018","        297.50","        297.00","        307.55","        295.00","        303.00","        305.10","        301.97","       8514","             2570962.75","        582","       4790","         56.26"
"JAYBARMARU","EQ","01-Nov-2018","        305.10","        308.95","        316.70","        303.00","        314.70","        313.25","        310.78","      12202","             3792115.40","        661","       6087","         49.89"
"JAYBARMARU","EQ","02-Nov-2018","        313.25","        315.80","        349.00","        315.00","        330.00","        330.80","        334.12","      28518","             9528423.00","       1362","      10952","         38.40"
"JAYBARMARU","EQ","05-Nov-2018","        330.80","        334.00","        396.95","        334.00","        360.00","        363.60","        372.70","     330581","           123207628.15","       9700","      60232","         18.22"
