"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JKLAKSHMI","EQ","30-Aug-2018","        331.45","        327.05","        332.15","        320.95","        324.80","        322.35","        323.88","      63530","            20576409.10","       1917","      46708","         73.52"
"JKLAKSHMI","EQ","31-Aug-2018","        322.35","        324.95","        331.00","        322.50","        331.00","        330.10","        328.42","      29768","             9776518.20","       1580","      20778","         69.80"
"JKLAKSHMI","EQ","03-Sep-2018","        330.10","        330.00","        332.90","        327.00","        330.00","        329.90","        330.36","      31720","            10479172.85","       1111","      21348","         67.30"
"JKLAKSHMI","EQ","04-Sep-2018","        329.90","        329.90","        330.40","        322.50","        325.55","        326.70","        328.79","      48144","            15829052.00","       1286","      39721","         82.50"
"JKLAKSHMI","EQ","05-Sep-2018","        326.70","        322.20","        330.05","        322.20","        324.95","        325.65","        325.38","      23661","             7698709.15","        961","      16786","         70.94"
"JKLAKSHMI","EQ","06-Sep-2018","        325.65","        326.00","        332.00","        326.00","        328.10","        330.55","        329.28","      18762","             6178035.95","        968","      13208","         70.40"
"JKLAKSHMI","EQ","07-Sep-2018","        330.55","        332.20","        332.20","        325.05","        329.90","        330.35","        330.66","      24075","             7960717.25","        745","      19446","         80.77"
"JKLAKSHMI","EQ","10-Sep-2018","        330.35","        332.20","        333.35","        324.80","        325.05","        325.30","        329.80","      35626","            11749540.05","       1523","      25202","         70.74"
"JKLAKSHMI","EQ","11-Sep-2018","        325.30","        324.00","        327.95","        322.40","        327.75","        326.00","        325.77","      27297","             8892560.10","       1620","      17043","         62.44"
"JKLAKSHMI","EQ","12-Sep-2018","        326.00","        327.25","        327.60","        312.90","        315.10","        316.10","        320.31","      44546","            14268737.30","       2667","      23738","         53.29"
"JKLAKSHMI","EQ","14-Sep-2018","        316.10","        316.00","        320.75","        315.05","        317.50","        316.15","        317.66","      28404","             9022699.60","        979","      14281","         50.28"
"JKLAKSHMI","EQ","17-Sep-2018","        316.15","        316.15","        317.00","        306.45","        313.15","        313.05","        310.77","      62855","            19533658.20","       2754","      35743","         56.87"
"JKLAKSHMI","EQ","18-Sep-2018","        313.05","        313.80","        315.00","        308.70","        310.00","        310.30","        312.08","      37739","            11777750.35","       1077","      27972","         74.12"
"JKLAKSHMI","EQ","19-Sep-2018","        310.30","        310.50","        313.95","        307.00","        311.00","        310.60","        310.32","      22583","             7007856.60","       1169","      14487","         64.15"
"JKLAKSHMI","EQ","21-Sep-2018","        310.60","        309.25","        334.00","        309.00","        315.20","        318.55","        320.46","     813912","           260822490.65","      11606","     649243","         79.77"
"JKLAKSHMI","EQ","24-Sep-2018","        318.55","        318.00","        318.00","        300.10","        302.40","        303.10","        305.46","      56268","            17187384.00","       4283","      37695","         66.99"
"JKLAKSHMI","EQ","25-Sep-2018","        303.10","        303.10","        307.15","        300.05","        306.00","        305.60","        304.92","      15828","             4826350.60","       1162","       9805","         61.95"
"JKLAKSHMI","EQ","26-Sep-2018","        305.60","        309.95","        309.95","        302.05","        305.35","        306.15","        305.62","      27807","             8498431.65","       1750","      20093","         72.26"
"JKLAKSHMI","EQ","27-Sep-2018","        306.15","        300.40","        314.00","        300.40","        306.15","        308.55","        310.92","     364655","           113379391.05","       1501","     349681","         95.89"
"JKLAKSHMI","EQ","28-Sep-2018","        308.55","        305.80","        308.85","        301.60","        302.20","        304.30","        305.20","      31545","             9627687.30","       1901","      21765","         69.00"
"JKLAKSHMI","EQ","01-Oct-2018","        304.30","        302.00","        305.50","        289.05","        296.95","        298.35","        295.85","      65134","            19269974.50","       1843","      32045","         49.20"
"JKLAKSHMI","EQ","03-Oct-2018","        298.35","        304.00","        304.00","        296.55","        298.00","        298.40","        298.12","     412727","           123043849.30","       2277","     387395","         93.86"
"JKLAKSHMI","EQ","04-Oct-2018","        298.40","        296.60","        300.50","        290.10","        295.70","        297.50","        298.00","     145567","            43379680.50","       2584","     126972","         87.23"
"JKLAKSHMI","EQ","05-Oct-2018","        297.50","        295.00","        300.45","        274.00","        275.00","        278.00","        281.77","      96249","            27120353.45","       6414","      72070","         74.88"
