"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"JPASSOCIAT","EQ","30-Aug-2018","         11.10","         11.15","         12.05","         11.05","         11.75","         11.75","         11.65","  105766115","          1232119301.85","     148410","   17207163","         16.27"
"JPASSOCIAT","EQ","31-Aug-2018","         11.75","         11.80","         12.10","         11.60","         11.90","         11.95","         11.90","   53444674","           635907394.55","      53963","    9207152","         17.23"
"JPASSOCIAT","EQ","03-Sep-2018","         11.95","         12.05","         12.30","         11.60","         11.80","         11.75","         11.99","   39942198","           479081653.35","      26133","    8842387","         22.14"
"JPASSOCIAT","EQ","04-Sep-2018","         11.75","         11.85","         11.90","         11.05","         11.25","         11.20","         11.41","   42531537","           485105405.25","      46153","    9500293","         22.34"
"JPASSOCIAT","EQ","05-Sep-2018","         11.20","         11.20","         11.60","         11.00","         11.45","         11.50","         11.29","   51142131","           577504199.90","      94999","    7378895","         14.43"
"JPASSOCIAT","EQ","06-Sep-2018","         11.50","         11.55","         11.55","         11.20","         11.30","         11.35","         11.34","   26774365","           303563226.85","      44161","    3999741","         14.94"
"JPASSOCIAT","EQ","07-Sep-2018","         11.35","         11.40","         11.40","         10.80","         11.15","         11.10","         11.10","   38862883","           431449597.00","      75357","    6617210","         17.03"
"JPASSOCIAT","EQ","10-Sep-2018","         11.10","         11.05","         11.35","         10.50","         10.60","         10.65","         10.89","   56656705","           617138196.60","      65607","   12688857","         22.40"
"JPASSOCIAT","EQ","11-Sep-2018","         10.65","         10.50","         10.60","         10.05","         10.10","         10.10","         10.34","   49935686","           516149429.50","      61399","   10036903","         20.10"
"JPASSOCIAT","EQ","12-Sep-2018","         10.10","         10.00","         10.15","          9.30","          9.75","          9.70","          9.66","  101924065","           984400850.25","      70263","   16760304","         16.44"
"JPASSOCIAT","EQ","14-Sep-2018","          9.70","          9.75","         10.30","          9.75","          9.90","          9.95","         10.07","   62122947","           625808707.50","     137183","    8237572","         13.26"
"JPASSOCIAT","EQ","17-Sep-2018","          9.95","          9.80","         10.50","          9.55","         10.25","         10.20","         10.07","   69026907","           695330855.60","      72161","   11758531","         17.03"
"JPASSOCIAT","EQ","18-Sep-2018","         10.20","         10.15","         10.35","          9.60","          9.85","          9.75","          9.89","   42182704","           417072288.30","      74373","    9397839","         22.28"
