"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KCP","EQ","30-Aug-2018","        101.65","        101.35","        102.00","         97.60","         98.00","         97.95","         98.82","     141148","            13947929.55","       2143","     113182","         80.19"
"KCP","EQ","31-Aug-2018","         97.95","         99.00","        100.75","         97.65","         98.00","         97.95","         98.35","     139149","            13685786.25","        715","     109102","         78.41"
"KCP","EQ","03-Sep-2018","         97.95","         98.75","         99.00","         97.25","         97.80","         97.90","         98.60","     116105","            11447880.35","        620","      93943","         80.91"
"KCP","EQ","04-Sep-2018","         97.90","         98.85","         98.85","         95.40","         96.70","         96.70","         97.44","      73201","             7132629.05","        538","      58816","         80.35"
"KCP","EQ","05-Sep-2018","         96.70","         96.85","         98.00","         93.00","         94.65","         94.80","         94.88","      83612","             7933465.45","        633","      52099","         62.31"
"KCP","EQ","06-Sep-2018","         94.80","         95.25","         96.70","         93.35","         95.25","         95.95","         95.63","     226868","            21696426.75","        843","     186041","         82.00"
"KCP","EQ","07-Sep-2018","         95.95","         96.00","         97.20","         94.30","         96.15","         96.50","         95.26","     313087","            29823462.30","        896","     261003","         83.36"
"KCP","EQ","10-Sep-2018","         96.50","         96.20","         96.70","         92.75","         93.45","         93.65","         94.02","     146169","            13743128.25","        865","     100839","         68.99"
"KCP","EQ","11-Sep-2018","         93.65","         93.40","         94.50","         91.55","         92.60","         92.15","         93.12","      86789","             8082041.05","        726","      59423","         68.47"
"KCP","EQ","12-Sep-2018","         92.15","         94.00","         95.30","         90.50","         91.00","         90.95","         91.75","     303470","            27844760.55","       3775","     232482","         76.61"
"KCP","EQ","14-Sep-2018","         90.95","         91.10","         95.40","         89.25","         91.55","         91.80","         92.02","     216650","            19936176.30","       3141","     102426","         47.28"
"KCP","EQ","17-Sep-2018","         91.80","         91.05","         94.75","         90.70","         92.40","         92.35","         92.62","     132382","            12261077.55","       1372","      72626","         54.86"
"KCP","EQ","18-Sep-2018","         92.35","         93.00","         93.35","         89.05","         90.00","         89.85","         90.20","     161238","            14543548.70","       1010","     109435","         67.87"
"KCP","EQ","19-Sep-2018","         89.85","         91.95","         91.95","         88.50","         89.50","         89.50","         89.85","      42635","             3830718.65","        807","      28909","         67.81"
"KCP","EQ","21-Sep-2018","         89.50","         90.20","         91.65","         83.20","         90.25","         88.55","         87.22","     215253","            18774716.20","       1462","     141909","         65.93"
"KCP","EQ","24-Sep-2018","         88.55","         91.00","         91.00","         81.50","         85.35","         85.50","         84.05","     203791","            17129300.60","       1219","     127286","         62.46"
"KCP","EQ","25-Sep-2018","         85.50","         83.30","         93.15","         82.20","         89.50","         88.95","         85.99","     175117","            15058714.15","       1247","      88597","         50.59"
"KCP","EQ","26-Sep-2018","         88.95","         90.50","         91.60","         87.60","         88.50","         88.75","         88.52","      88622","             7845213.95","       1198","      61315","         69.19"
"KCP","EQ","27-Sep-2018","         88.75","         87.95","         89.00","         86.50","         88.35","         88.60","         87.93","      45666","             4015196.10","       1656","      23070","         50.52"
"KCP","EQ","28-Sep-2018","         88.60","         88.30","         88.75","         81.00","         82.65","         82.65","         84.80","     160667","            13624154.60","       2314","     113033","         70.35"
"KCP","EQ","01-Oct-2018","         82.65","         83.90","         87.40","         81.50","         86.15","         86.55","         84.26","     229681","            19352069.05","       2765","     155087","         67.52"
"KCP","EQ","03-Oct-2018","         86.55","         87.40","         87.40","         84.05","         86.05","         86.85","         86.04","      59080","             5083189.50","        728","      31350","         53.06"
"KCP","EQ","04-Oct-2018","         86.85","         85.95","         86.90","         84.15","         86.00","         86.10","         85.51","      57681","             4932056.35","        616","      37564","         65.12"
"KCP","EQ","05-Oct-2018","         86.10","         84.20","         85.55","         84.10","         84.60","         85.05","         84.76","      42723","             3620990.15","        764","      23473","         54.94"
"KCP","EQ","08-Oct-2018","         85.05","         83.00","         87.95","         81.00","         83.05","         83.70","         84.12","      85449","             7187779.95","        853","      50916","         59.59"
"KCP","EQ","09-Oct-2018","         83.70","         84.80","         84.80","         81.50","         81.85","         82.20","         82.31","     103571","             8524540.05","        738","      74890","         72.31"
"KCP","EQ","10-Oct-2018","         82.20","         81.10","         87.20","         81.10","         86.90","         86.95","         85.31","      53678","             4579489.25","        546","      33188","         61.83"
"KCP","EQ","11-Oct-2018","         86.95","         84.15","         85.75","         81.95","         84.45","         84.40","         84.59","      44602","             3773093.90","        421","      26463","         59.33"
"KCP","EQ","12-Oct-2018","         84.40","         86.00","         90.05","         85.00","         88.60","         88.55","         88.22","      53316","             4703699.10","        753","      34593","         64.88"
"KCP","EQ","15-Oct-2018","         88.55","         90.75","         90.75","         86.50","         88.50","         88.80","         88.64","      41678","             3694443.30","        504","      23462","         56.29"
"KCP","EQ","16-Oct-2018","         88.80","         91.90","         94.90","         88.95","         94.00","         93.25","         92.23","      92034","             8488284.25","       1140","      64361","         69.93"
"KCP","EQ","17-Oct-2018","         93.25","         94.85","         94.85","         89.60","         90.10","         90.15","         92.16","      37533","             3458867.30","        580","      21126","         56.29"
"KCP","EQ","19-Oct-2018","         90.15","         89.50","         93.60","         87.75","         93.30","         93.10","         91.91","      81695","             7508466.60","        556","      73541","         90.02"
"KCP","EQ","22-Oct-2018","         93.10","         92.50","         94.10","         91.10","         93.00","         92.95","         92.48","      53178","             4918020.80","       1033","      35296","         66.37"
"KCP","EQ","23-Oct-2018","         92.95","         90.40","         94.00","         90.35","         93.85","         93.40","         92.32","      59572","             5499718.55","       1056","      46016","         77.24"
"KCP","EQ","24-Oct-2018","         93.40","         95.00","         99.30","         93.30","         98.40","         98.95","         97.21","     213709","            20773761.85","       4807","     130842","         61.22"
"KCP","EQ","25-Oct-2018","         98.95","         98.40","         98.40","         95.00","         97.50","         97.50","         97.13","      56731","             5510546.80","        680","      43489","         76.66"
"KCP","EQ","26-Oct-2018","         97.50","         96.50","         98.35","         96.20","         98.35","         97.55","         97.21","      37468","             3642126.40","        611","      30464","         81.31"
"KCP","EQ","29-Oct-2018","         97.55","         97.10","         98.60","         96.95","         97.90","         97.90","         97.68","      31250","             3052458.85","        337","      19596","         62.71"
"KCP","EQ","30-Oct-2018","         97.90","         97.80","         99.45","         97.80","         99.20","         99.00","         98.92","      55277","             5467806.25","        317","      47088","         85.19"
