"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KEERTI","SM","07-Sep-2018","         62.00","         63.00","         63.00","         63.00","         63.00","         63.00","         63.00","      60000","             3780000.00","         26","      60000","        100.00"
"KEERTI","SM","12-Sep-2018","         63.00","         63.30","         63.30","         63.30","         63.30","         63.30","         63.30","      30000","             1899000.00","         12","      30000","        100.00"
"KEERTI","SM","14-Sep-2018","         63.30","         63.40","         63.40","         63.40","         63.40","         63.40","         63.40","      10000","              634000.00","          1","      10000","        100.00"
"KEERTI","SM","17-Sep-2018","         63.40","         63.55","         63.55","         63.55","         63.55","         63.55","         63.55","      20000","             1271000.00","          8","      20000","        100.00"
"KEERTI","SM","21-Sep-2018","         63.55","         63.60","         63.60","         63.00","         63.00","         63.00","         63.30","       4000","              253200.00","          2","       4000","        100.00"
"KEERTI","SM","25-Sep-2018","         63.00","         60.05","         60.05","         60.05","         60.05","         60.05","         60.05","       2000","              120100.00","          1","       2000","        100.00"
"KEERTI","SM","26-Sep-2018","         60.05","         59.95","         59.95","         57.10","         57.10","         57.10","         58.53","       4000","              234100.00","          2","       4000","        100.00"
"KEERTI","SM","27-Sep-2018","         57.10","         56.00","         56.00","         56.00","         56.00","         56.00","         56.00","      50000","             2800000.00","          1","      50000","        100.00"
"KEERTI","SM","28-Sep-2018","         56.00","         57.50","         57.50","         57.50","         57.50","         57.50","         57.50","       2000","              115000.00","          1","       2000","        100.00"
"KEERTI","SM","03-Oct-2018","         57.50","         60.00","         60.00","         60.00","         60.00","         60.00","         60.00","       2000","              120000.00","          1","       2000","        100.00"
"KEERTI","SM","05-Oct-2018","         60.00","         62.05","         62.05","         62.05","         62.05","         62.05","         62.05","       2000","              124100.00","          1","       2000","        100.00"
"KEERTI","SM","16-Oct-2018","         62.05","         62.15","         62.50","         62.15","         62.50","         62.50","         62.33","       4000","              249300.00","          2","       2000","         50.00"
"KEERTI","SM","02-Nov-2018","         62.50","         59.45","         59.45","         59.45","         59.45","         59.45","         59.45","       2000","              118900.00","          1","       2000","        100.00"
"KEERTI","SM","05-Nov-2018","         59.45","         62.00","         62.00","         59.75","         59.75","         59.75","         61.72","      16000","              987500.00","          8","      16000","        100.00"
"KEERTI","SM","06-Nov-2018","         59.75","         61.95","         61.95","         61.95","         61.95","         61.95","         61.95","      14000","              867300.00","          7","      14000","        100.00"
"KEERTI","SM","07-Nov-2018","         61.95","         62.00","         62.30","         62.00","         62.30","         62.30","         62.18","       6000","              373100.00","          3","          0","          0.00"
"KEERTI","SM","20-Nov-2018","         62.30","         63.60","         63.60","         63.60","         63.60","         63.60","         63.60","       2000","              127200.00","          1","       2000","        100.00"
"KEERTI","SM","28-Nov-2018","         63.60","         60.45","         60.55","         60.45","         60.55","         60.55","         60.50","       4000","              242000.00","          2","       2000","         50.00"
"KEERTI","SM","19-Dec-2018","         60.55","         57.60","         57.60","         57.60","         57.60","         57.60","         57.60","       4000","              230400.00","          2","       4000","        100.00"
"KEERTI","SM","24-Dec-2018","         57.60","         57.75","         59.80","         57.75","         59.80","         59.80","         58.78","       8000","              470200.00","          3","       8000","        100.00"
"KEERTI","SM","02-Jan-2019","         59.80","         59.00","         59.00","         59.00","         59.00","         59.00","         59.00","      12000","              708000.00","          1","      12000","        100.00"
"KEERTI","SM","03-Jan-2019","         59.00","         59.50","         59.50","         56.50","         58.70","         58.70","         58.65","      16000","              938400.00","          8","      14000","         87.50"
"KEERTI","SM","04-Jan-2019","         58.70","         59.85","         59.85","         59.85","         59.85","         59.85","         59.85","       2000","              119700.00","          1","       2000","        100.00"
"KEERTI","SM","18-Jan-2019","         59.85","         59.25","         59.25","         59.20","         59.25","         59.25","         59.23","       6000","              355400.00","          3","       4000","         66.67"
"KEERTI","SM","28-Jan-2019","         59.25","         56.35","         56.35","         56.35","         56.35","         56.35","         56.35","       2000","              112700.00","          1","       2000","        100.00"
"KEERTI","SM","29-Jan-2019","         56.35","         56.50","         56.50","         56.50","         56.50","         56.50","         56.50","       2000","              113000.00","          1","       2000","        100.00"
"KEERTI","SM","31-Jan-2019","         56.50","         56.25","         59.25","         56.25","         59.25","         59.25","         57.74","      72000","             4157100.00","         15","      42000","         58.33"
"KEERTI","SM","01-Feb-2019","         59.25","         59.25","         62.05","         59.25","         62.05","         62.00","         60.53","      16000","              968500.00","          6","      14000","         87.50"
"KEERTI","SM","04-Feb-2019","         62.00","         62.05","         64.90","         62.05","         64.90","         64.90","         63.48","       4000","              253900.00","          2","       4000","        100.00"
"KEERTI","SM","05-Feb-2019","         64.90","         67.90","         67.90","         67.75","         67.80","         67.80","         67.81","      18000","             1220600.00","          9","      18000","        100.00"
"KEERTI","SM","06-Feb-2019","         67.80","         70.65","         70.90","         70.25","         70.90","         70.90","         70.73","      16000","             1131700.00","          6","      16000","        100.00"
"KEERTI","SM","07-Feb-2019","         70.90","         73.75","         73.75","         68.00","         68.00","         68.00","         72.69","      18000","             1308500.00","          9","      18000","        100.00"
"KEERTI","SM","18-Feb-2019","         68.00","         71.35","         71.35","         71.35","         71.35","         71.35","         71.35","       2000","              142700.00","          1","       2000","        100.00"
"KEERTI","SM","20-Feb-2019","         71.35","         71.35","         71.35","         71.35","         71.35","         71.35","         71.35","       2000","              142700.00","          1","       2000","        100.00"
"KEERTI","SM","26-Feb-2019","         71.35","         74.50","         74.50","         74.50","         74.50","         74.50","         74.50","       2000","              149000.00","          1","       2000","        100.00"
"KEERTI","SM","27-Feb-2019","         74.50","         70.85","         70.85","         70.85","         70.85","         70.85","         70.85","       4000","              283400.00","          2","       4000","        100.00"
"KEERTI","SM","28-Feb-2019","         70.85","         71.00","         74.00","         71.00","         74.00","         74.00","         73.14","      14000","             1024000.00","          6","      14000","        100.00"
"KEERTI","SM","05-Mar-2019","         74.00","         70.50","         75.75","         70.50","         70.50","         70.50","         71.88","     138000","             9919000.00","         44","      96000","         69.57"
"KEERTI","SM","06-Mar-2019","         70.50","         70.00","         73.65","         70.00","         73.65","         73.65","         70.17","      44000","             3087300.00","         16","      42000","         95.45"
"KEERTI","SM","07-Mar-2019","         73.65","         76.70","         76.80","         76.70","         76.80","         76.80","         76.75","       6000","              460500.00","          3","          0","          0.00"
"KEERTI","SM","08-Mar-2019","         76.80","         79.95","         79.95","         79.90","         79.90","         79.90","         79.93","       4000","              319700.00","          2","       2000","         50.00"
"KEERTI","SM","11-Mar-2019","         79.90","         83.50","         83.75","         83.50","         83.75","         83.75","         83.64","       8000","              669100.00","          4","          0","          0.00"
"KEERTI","SM","12-Mar-2019","         83.75","         83.00","         83.00","         83.00","         83.00","         83.00","         83.00","      20000","             1660000.00","         10","      20000","        100.00"
"KEERTI","SM","13-Mar-2019","         83.00","         86.00","         86.00","         84.00","         84.00","         84.00","         85.71","     152000","            13028000.00","         40","     152000","        100.00"
"KEERTI","SM","14-Mar-2019","         84.00","         80.00","         80.00","         79.85","         79.85","         79.85","         79.93","       4000","              319700.00","          2","       4000","        100.00"
"KEERTI","SM","15-Mar-2019","         79.85","         80.00","         80.00","         75.90","         76.00","         76.00","         77.30","       6000","              463800.00","          3","       2000","         33.33"
"KEERTI","SM","18-Mar-2019","         76.00","         72.25","         72.25","         72.25","         72.25","         72.25","         72.25","       2000","              144500.00","          1","       2000","        100.00"
"KEERTI","SM","19-Mar-2019","         72.25","         68.75","         70.60","         68.75","         70.60","         70.45","         70.39","      48000","             3378800.00","         14","      46000","         95.83"
"KEERTI","SM","20-Mar-2019","         70.45","         69.00","         69.00","         69.00","         69.00","         69.00","         69.00","     130000","             8970000.00","         43","     130000","        100.00"
"KEERTI","SM","25-Mar-2019","         69.00","         71.90","         72.35","         71.90","         72.20","         72.10","         72.11","      56000","             4038300.00","         11","      28000","         50.00"
"KEERTI","SM","26-Mar-2019","         72.10","         74.00","         74.35","         74.00","         74.35","         74.35","         74.18","      28000","             2076900.00","         14","      14000","         50.00"
"KEERTI","SM","27-Mar-2019","         74.35","         77.00","         77.75","         77.00","         77.75","         77.75","         77.36","      24000","             1856700.00","          7","      12000","         50.00"
"KEERTI","SM","28-Mar-2019","         77.75","         73.95","         73.95","         73.95","         73.95","         73.95","         73.95","       2000","              147900.00","          1","       2000","        100.00"
"KEERTI","SM","29-Mar-2019","         73.95","         74.30","         74.30","         74.30","         74.30","         74.30","         74.30","       2000","              148600.00","          1","       2000","        100.00"
"KEERTI","SM","24-Apr-2019","         74.30","         75.95","         75.95","         70.70","         71.65","         71.65","         72.77","       6000","              436600.00","          3","          0","          0.00"
"KEERTI","SM","25-Apr-2019","         71.65","         72.00","         72.50","         72.00","         72.50","         72.50","         72.25","      16000","             1156000.00","          6","       8000","         50.00"
"KEERTI","SM","07-May-2019","         72.50","         71.00","         73.00","         71.00","         73.00","         73.00","         71.90","      60000","             4314000.00","         25","      20000","         33.33"
"KEERTI","SM","15-May-2019","         73.00","         73.45","         73.45","         73.45","         73.45","         73.45","         73.45","       2000","              146900.00","          1","       2000","        100.00"
"KEERTI","SM","16-May-2019","         73.45","         69.85","         69.95","         69.85","         69.95","         69.95","         69.90","       4000","              279600.00","          2","       2000","         50.00"
"KEERTI","SM","22-May-2019","         69.95","         66.55","         66.55","         66.55","         66.55","         66.55","         66.55","       2000","              133100.00","          1","       2000","        100.00"
"KEERTI","SM","24-May-2019","         66.55","         66.75","         66.75","         66.75","         66.75","         66.75","         66.75","       2000","              133500.00","          1","       2000","        100.00"
"KEERTI","SM","27-May-2019","         66.75","         63.50","         63.75","         63.50","         63.75","         63.75","         63.63","       4000","              254500.00","          2","       2000","         50.00"
"KEERTI","SM","28-May-2019","         63.75","         66.70","         66.70","         66.70","         66.70","         66.70","         66.70","       2000","              133400.00","          1","       2000","        100.00"
"KEERTI","SM","29-May-2019","         66.70","         69.90","         69.95","         69.90","         69.95","         69.95","         69.93","       4000","              279700.00","          2","       2000","         50.00"
"KEERTI","SM","30-May-2019","         69.95","         73.10","         73.25","         73.10","         73.25","         73.25","         73.18","       4000","              292700.00","          2","       2000","         50.00"
"KEERTI","SM","31-May-2019","         73.25","         74.70","         74.85","         74.70","         74.85","         74.85","         74.78","       4000","              299100.00","          2","       2000","         50.00"
"KEERTI","SM","06-Jun-2019","         74.85","         74.70","         74.95","         74.70","         74.95","         74.95","         74.83","      28000","             2095100.00","          8","      14000","         50.00"
"KEERTI","SM","07-Jun-2019","         74.95","         74.15","         75.00","         74.15","         75.00","         75.00","         74.58","      28000","             2088100.00","          8","      14000","         50.00"
"KEERTI","SM","10-Jun-2019","         75.00","         74.35","         74.70","         74.35","         74.70","         74.70","         74.53","      28000","             2086700.00","          8","      14000","         50.00"
"KEERTI","SM","11-Jun-2019","         74.70","         73.35","         73.80","         73.35","         73.80","         73.80","         73.58","      28000","             2060100.00","          8","      14000","         50.00"
"KEERTI","SM","12-Jun-2019","         73.80","         72.95","         73.50","         72.95","         73.50","         73.50","         73.23","      28000","             2050300.00","          8","      14000","         50.00"
"KEERTI","SM","13-Jun-2019","         73.50","         73.15","         74.00","         73.15","         74.00","         74.00","         73.58","      28000","             2060100.00","         13","      14000","         50.00"
"KEERTI","SM","17-Jun-2019","         74.00","         76.75","         77.30","         76.75","         77.30","         77.30","         77.03","       4000","              308100.00","          2","       2000","         50.00"
"KEERTI","SM","18-Jun-2019","         77.30","         80.85","         81.00","         73.75","         74.00","         77.50","         77.40","       8000","              619200.00","          4","       2000","         25.00"
