"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KHADIM","EQ","30-Aug-2018","        766.75","        766.95","        782.95","        760.00","        760.00","        762.90","        768.01","       2729","             2095912.85","        389","       1345","         49.29"
"KHADIM","EQ","31-Aug-2018","        762.90","        760.00","        775.00","        757.00","        775.00","        767.20","        764.24","       4111","             3141786.50","        422","       2589","         62.98"
"KHADIM","EQ","03-Sep-2018","        767.20","        778.00","        778.00","        755.10","        755.10","        759.30","        765.10","       3480","             2662536.00","        364","       2062","         59.25"
"KHADIM","EQ","04-Sep-2018","        759.30","        759.00","        764.05","        745.30","        746.10","        749.10","        754.14","       2735","             2062565.45","        346","       1373","         50.20"
"KHADIM","EQ","05-Sep-2018","        749.10","        745.95","        763.95","        716.15","        757.55","        757.85","        736.37","       6450","             4749555.80","       1019","       4609","         71.46"
"KHADIM","EQ","06-Sep-2018","        757.85","        749.95","        772.00","        746.05","        767.00","        765.45","        763.65","       4302","             3285231.35","        807","       2922","         67.92"
"KHADIM","EQ","07-Sep-2018","        765.45","        751.05","        774.95","        751.05","        755.20","        759.90","        762.43","       3028","             2308644.55","        390","       1608","         53.10"
"KHADIM","EQ","10-Sep-2018","        759.90","        759.00","        772.00","        721.35","        768.50","        764.95","        747.02","      14792","            11049977.05","       3083","       7792","         52.68"
"KHADIM","EQ","11-Sep-2018","        764.95","        758.80","        762.00","        745.00","        745.00","        749.45","        752.45","       2071","             1558326.85","        338","        961","         46.40"
"KHADIM","EQ","12-Sep-2018","        749.45","        748.40","        751.80","        742.00","        742.05","        743.95","        747.48","       1133","              846899.20","        185","        678","         59.84"
"KHADIM","EQ","14-Sep-2018","        743.95","        744.50","        753.00","        731.15","        737.00","        740.25","        744.80","       3591","             2674585.35","        394","       1856","         51.68"
"KHADIM","EQ","17-Sep-2018","        740.25","        749.20","        749.20","        736.10","        740.00","        741.25","        742.84","       1568","             1164765.30","        266","        900","         57.40"
"KHADIM","EQ","18-Sep-2018","        741.25","        740.05","        751.95","        726.00","        750.00","        743.70","        738.90","       4541","             3355359.85","        506","       3011","         66.31"
"KHADIM","EQ","19-Sep-2018","        743.70","        741.15","        753.95","        730.00","        736.00","        736.00","        736.69","       4224","             3111770.60","       1174","       2704","         64.02"
"KHADIM","EQ","21-Sep-2018","        736.00","        739.95","        746.00","        735.00","        740.00","        735.05","        735.91","       4897","             3603757.80","        388","       4343","         88.69"
"KHADIM","EQ","24-Sep-2018","        735.05","        730.35","        740.00","        722.25","        735.00","        730.25","        729.77","       4260","             3108810.35","        486","       3343","         78.47"
"KHADIM","EQ","25-Sep-2018","        730.25","        731.00","        738.35","        711.60","        715.00","        734.30","        733.76","      35166","            25803420.05","        827","      29974","         85.24"
