"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KKCL","EQ","30-Aug-2018","       1447.10","       1468.95","       1489.00","       1441.20","       1441.50","       1443.25","       1463.25","        474","              693581.45","         47","        402","         84.81"
"KKCL","EQ","31-Aug-2018","       1443.25","       1460.00","       1480.00","       1445.00","       1480.00","       1475.30","       1468.48","        284","              417048.35","         43","        131","         46.13"
"KKCL","EQ","03-Sep-2018","       1475.30","       1475.30","       1500.00","       1451.05","       1499.00","       1498.05","       1481.20","        306","              453246.10","         39","        270","         88.24"
"KKCL","EQ","04-Sep-2018","       1498.05","       1457.65","       1489.85","       1445.10","       1446.10","       1452.65","       1453.93","        247","              359121.00","         37","        180","         72.87"
"KKCL","EQ","05-Sep-2018","       1452.65","       1425.05","       1441.00","       1425.00","       1426.00","       1433.25","       1429.13","        222","              317266.40","         39","        165","         74.32"
"KKCL","EQ","06-Sep-2018","       1433.25","       1427.35","       1484.90","       1427.35","       1478.05","       1472.30","       1466.58","        240","              351979.50","         47","        135","         56.25"
"KKCL","EQ","07-Sep-2018","       1472.30","       1478.35","       1478.40","       1442.00","       1451.10","       1454.50","       1450.16","        149","              216073.20","         24","        114","         76.51"
"KKCL","EQ","10-Sep-2018","       1454.50","       1454.50","       1468.00","       1425.25","       1440.10","       1440.10","       1441.69","        115","              165794.35","         30","         87","         75.65"
"KKCL","EQ","11-Sep-2018","       1440.10","       1425.00","       1488.95","       1425.00","       1485.00","       1478.35","       1463.67","        311","              455200.70","         44","        250","         80.39"
"KKCL","EQ","12-Sep-2018","       1478.35","       1441.00","       1487.80","       1435.05","       1440.00","       1443.70","       1455.02","        179","              260448.35","         39","        111","         62.01"
"KKCL","EQ","14-Sep-2018","       1443.70","       1443.70","       1482.95","       1443.70","       1467.90","       1465.20","       1460.06","         94","              137245.30","         20","         55","         58.51"
"KKCL","EQ","17-Sep-2018","       1465.20","       1425.15","       1479.00","       1410.05","       1415.00","       1415.00","       1429.79","        215","              307404.75","         56","        190","         88.37"
"KKCL","EQ","18-Sep-2018","       1415.00","       1436.00","       1436.00","       1415.00","       1415.00","       1415.25","       1417.11","        936","             1326411.55","         64","        743","         79.38"
"KKCL","EQ","19-Sep-2018","       1415.25","       1401.00","       1410.00","       1400.00","       1400.00","       1400.00","       1400.68","         91","              127461.50","         23","         89","         97.80"
"KKCL","EQ","21-Sep-2018","       1400.00","       1400.00","       1448.00","       1385.00","       1385.10","       1398.65","       1400.79","        433","              606544.20","         72","        364","         84.06"
"KKCL","EQ","24-Sep-2018","       1398.65","       1380.05","       1400.00","       1350.05","       1380.00","       1365.75","       1373.49","         85","              116746.45","         24","         77","         90.59"
"KKCL","EQ","25-Sep-2018","       1365.75","       1380.00","       1406.00","       1299.00","       1400.00","       1379.95","       1332.43","       1632","             2174532.35","        315","        959","         58.76"
"KKCL","EQ","26-Sep-2018","       1379.95","       1400.00","       1400.00","       1370.00","       1372.00","       1372.30","       1376.68","        285","              392354.30","         31","        268","         94.04"
"KKCL","EQ","27-Sep-2018","       1372.30","       1399.95","       1400.00","       1351.55","       1360.00","       1363.35","       1372.70","         88","              120797.70","         24","         57","         64.77"
