"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"L&amp;TFH","EQ","30-Aug-2018","        185.70","        185.95","        187.05","        182.95","        184.20","        183.90","        184.32","    4577652","           843763196.90","      44872","    1649470","         36.03"
"L&amp;TFH","EQ","31-Aug-2018","        183.90","        184.00","        186.45","        180.20","        181.60","        181.40","        182.35","    4910065","           895338107.95","      50026","    1830214","         37.27"
"L&amp;TFH","EQ","03-Sep-2018","        181.40","        182.75","        184.20","        179.55","        180.25","        180.15","        182.13","    3571757","           650537736.40","      22225","    1026247","         28.73"
"L&amp;TFH","EQ","04-Sep-2018","        180.15","        180.30","        180.45","        167.55","        169.05","        169.25","        172.28","    9453832","          1628688214.55","      73053","    3856915","         40.80"
"L&amp;TFH","EQ","05-Sep-2018","        169.25","        168.00","        171.40","        162.30","        165.95","        165.20","        166.30","    7597630","          1263512244.85","      76099","    2651522","         34.90"
"L&amp;TFH","EQ","06-Sep-2018","        165.20","        167.00","        169.20","        162.80","        164.35","        164.70","        165.60","    6681310","          1106437065.70","      54458","    2735684","         40.95"
"L&amp;TFH","EQ","07-Sep-2018","        164.70","        164.15","        169.30","        160.00","        167.90","        168.15","        164.76","    8086256","          1332256587.90","      54407","    1867948","         23.10"
"L&amp;TFH","EQ","10-Sep-2018","        168.15","        167.00","        167.00","        160.20","        160.85","        161.15","        162.74","    5806863","           945001836.25","      48656","    2182884","         37.59"
"L&amp;TFH","EQ","11-Sep-2018","        161.15","        162.00","        163.40","        156.00","        156.90","        157.00","        159.85","    7869023","          1257842904.80","      66109","    2573565","         32.71"
"L&amp;TFH","EQ","12-Sep-2018","        157.00","        157.10","        157.70","        151.75","        155.70","        155.85","        155.15","    8578633","          1330956485.90","      75100","    3323130","         38.74"
"L&amp;TFH","EQ","14-Sep-2018","        155.85","        158.00","        162.50","        156.75","        160.50","        161.10","        159.79","    7230858","          1155434637.50","      66572","    2067631","         28.59"
"L&amp;TFH","EQ","17-Sep-2018","        161.10","        158.95","        158.95","        155.05","        155.35","        155.80","        156.86","    7024724","          1101866352.75","     105792","    3093578","         44.04"
"L&amp;TFH","EQ","18-Sep-2018","        155.80","        155.50","        157.20","        150.10","        150.50","        150.70","        152.96","    9383115","          1435204130.90","     104728","    4288982","         45.71"
"L&amp;TFH","EQ","19-Sep-2018","        150.70","        152.00","        152.50","        144.65","        146.25","        146.00","        147.48","   12039662","          1775663462.15","      67874","    4682824","         38.89"
"L&amp;TFH","EQ","21-Sep-2018","        146.00","        147.20","        151.30","        124.10","        139.90","        140.00","        139.64","   27279412","          3809367876.65","     172207","    7396401","         27.11"
"L&amp;TFH","EQ","24-Sep-2018","        140.00","        144.00","        144.40","        128.00","        129.75","        130.15","        132.45","   18675396","          2473498790.35","     152512","    4875127","         26.10"
"L&amp;TFH","EQ","25-Sep-2018","        130.15","        129.85","        134.35","        120.50","        131.45","        132.10","        127.53","   35415879","          4516457395.70","     225560","   12855557","         36.30"
"L&amp;TFH","EQ","26-Sep-2018","        132.10","        134.00","        137.15","        129.10","        131.15","        132.15","        132.50","   14332293","          1899041487.85","     119234","    4331436","         30.22"
"L&amp;TFH","EQ","27-Sep-2018","        132.15","        133.00","        133.30","        124.75","        125.95","        125.30","        127.15","   18154969","          2308471813.35","     123533","    7435885","         40.96"
"L&amp;TFH","EQ","28-Sep-2018","        125.30","        126.00","        131.00","        121.20","        129.60","        129.60","        127.00","   21043545","          2672435322.45","     200441","    8712849","         41.40"
"L&amp;TFH","EQ","01-Oct-2018","        129.60","        129.95","        131.50","        123.35","        131.00","        131.05","        127.98","   19085006","          2442420941.30","     144044","    6016124","         31.52"
"L&amp;TFH","EQ","03-Oct-2018","        131.05","        130.40","        132.80","        127.50","        127.55","        128.15","        130.54","   15490764","          2022153975.95","     104390","    4416601","         28.51"
"L&amp;TFH","EQ","04-Oct-2018","        128.15","        125.90","        129.35","        123.55","        124.95","        125.95","        126.34","    9757950","          1232806140.85","      79905","    2173415","         22.27"
"L&amp;TFH","EQ","05-Oct-2018","        125.95","        125.00","        127.90","        115.30","        116.60","        120.05","        122.52","   15182522","          1860162737.90","     106983","    5749415","         37.87"
"L&amp;TFH","EQ","08-Oct-2018","        120.05","        118.00","        123.75","        114.70","        118.45","        118.65","        119.49","   18900009","          2258272996.90","     107822","    6372311","         33.72"
"L&amp;TFH","EQ","09-Oct-2018","        118.65","        120.00","        126.50","        119.50","        123.50","        123.80","        122.22","   14921399","          1823711252.95","      92468","    3500167","         23.46"
"L&amp;TFH","EQ","10-Oct-2018","        123.80","        125.50","        135.65","        125.50","        133.95","        134.15","        131.95","   17979934","          2372541657.90","     118029","    3431951","         19.09"
"L&amp;TFH","EQ","11-Oct-2018","        134.15","        127.00","        132.60","        122.00","        127.90","        127.95","        128.41","   12730082","          1634711527.15","     107064","    2151958","         16.90"
"L&amp;TFH","EQ","12-Oct-2018","        127.95","        130.40","        136.35","        130.40","        132.90","        132.80","        133.85","    9918268","          1327543440.25","      74460","    1703599","         17.18"
"L&amp;TFH","EQ","15-Oct-2018","        132.80","        133.90","        133.90","        128.55","        130.70","        130.65","        130.56","    8094864","          1056896705.20","      52521","    2248074","         27.77"
"L&amp;TFH","EQ","16-Oct-2018","        130.65","        131.10","        133.25","        129.40","        131.15","        131.40","        131.16","    8953051","          1174297227.80","      60103","    2567887","         28.68"
"L&amp;TFH","EQ","17-Oct-2018","        131.40","        133.00","        134.00","        118.95","        119.00","        120.35","        125.25","   16869085","          2112796899.15","     113135","    6259544","         37.11"
"L&amp;TFH","EQ","19-Oct-2018","        120.35","        120.00","        126.85","        117.45","        119.05","        118.95","        121.44","   30434905","          3695962348.75","     181666","   11454555","         37.64"
"L&amp;TFH","EQ","22-Oct-2018","        118.95","        120.25","        124.30","        119.10","        122.60","        122.10","        121.80","   12196737","          1485613085.60","      82980","    2972961","         24.38"
"L&amp;TFH","EQ","23-Oct-2018","        122.10","        120.40","        124.70","        120.10","        123.60","        122.50","        122.20","    8502664","          1039050578.90","      77606","    1540133","         18.11"
"L&amp;TFH","EQ","24-Oct-2018","        122.50","        124.70","        127.50","        121.55","        126.55","        126.70","        124.70","   16838628","          2099784206.55","     133853","    5912593","         35.11"
"L&amp;TFH","EQ","25-Oct-2018","        126.70","        114.05","        122.20","        110.65","        119.00","        117.20","        117.79","   35100587","          4134548161.90","     175334","    9019220","         25.70"
"L&amp;TFH","EQ","26-Oct-2018","        117.20","        119.00","        119.95","        115.70","        118.15","        117.90","        117.94","   12525128","          1477262092.85","      84260","    3288215","         26.25"
