"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"LICNFNHGP","EQ","30-Aug-2018","        121.60","        122.00","        123.60","        121.60","        123.60","        123.60","        121.96","          7","                 853.70","          4","          5","         71.43"
"LICNFNHGP","EQ","31-Aug-2018","        123.60","        122.00","        122.00","        122.00","        122.00","        122.00","        122.00","         50","                6100.00","          3","         49","         98.00"
"LICNFNHGP","EQ","03-Sep-2018","        122.00","        124.05","        124.05","        122.85","        122.85","        122.85","        123.00","         40","                4920.00","          2","         40","        100.00"
"LICNFNHGP","EQ","04-Sep-2018","        122.85","        122.85","        122.85","        122.85","        122.85","        122.85","        122.85","         10","                1228.50","          1","         10","        100.00"
"LICNFNHGP","EQ","05-Sep-2018","        122.85","        122.00","        122.00","        121.00","        121.00","        121.00","        121.31","          5","                 606.55","          4","          3","         60.00"
"LICNFNHGP","EQ","06-Sep-2018","        121.00","        122.00","        122.00","        118.05","        118.05","        118.05","        120.03","          2","                 240.05","          2","          1","         50.00"
"LICNFNHGP","EQ","07-Sep-2018","        118.05","        122.00","        122.10","        120.30","        120.30","        120.30","        121.21","       2028","              245806.90","          8","        100","          4.93"
"LICNFNHGP","EQ","10-Sep-2018","        120.30","        122.30","        122.30","        120.00","        120.00","        120.00","        121.58","       4656","              566099.00","          9","       1670","         35.87"
"LICNFNHGP","EQ","11-Sep-2018","        120.00","        121.15","        121.15","        121.15","        121.15","        121.15","        121.15","          8","                 969.20","          2","          8","        100.00"
"LICNFNHGP","EQ","14-Sep-2018","        121.15","        119.65","        119.65","        119.65","        119.65","        119.65","        119.65","          1","                 119.65","          1","          1","        100.00"
"LICNFNHGP","EQ","24-Sep-2018","        119.65","        118.00","        118.00","        115.01","        115.01","        115.01","        116.01","         49","                5684.73","          5","         46","         93.88"
"LICNFNHGP","EQ","25-Sep-2018","        115.01","        116.45","        116.45","        116.45","        116.45","        116.45","        116.45","         10","                1164.50","          1","         10","        100.00"
"LICNFNHGP","EQ","26-Sep-2018","        116.45","        116.45","        116.45","        116.45","        116.45","        116.45","        116.45","          2","                 232.90","          1","          2","        100.00"
"LICNFNHGP","EQ","28-Sep-2018","        116.45","        116.45","        116.45","        116.00","        116.00","        116.00","        116.07","        106","               12303.00","          4","        106","        100.00"
"LICNFNHGP","EQ","01-Oct-2018","        116.00","        115.75","        115.75","        115.75","        115.75","        115.75","        115.75","          1","                 115.75","          1","          1","        100.00"
"LICNFNHGP","EQ","03-Oct-2018","        115.75","        116.65","        116.65","        113.40","        113.40","        113.40","        115.79","        136","               15747.40","          4","         64","         47.06"
"LICNFNHGP","EQ","04-Oct-2018","        113.40","        114.00","        114.00","        111.00","        111.00","        111.00","        113.61","        293","               33289.00","          8","        285","         97.27"
"LICNFNHGP","EQ","05-Oct-2018","        111.00","        111.00","        111.00","        111.00","        111.00","        111.00","        111.00","         10","                1110.00","          1","         10","        100.00"
"LICNFNHGP","EQ","08-Oct-2018","        111.00","        109.00","        110.00","        108.50","        108.50","        108.50","        108.98","        113","               12314.60","         10","        107","         94.69"
"LICNFNHGP","EQ","10-Oct-2018","        108.50","        108.50","        109.00","        108.50","        108.85","        108.85","        108.88","         36","                3919.60","          4","         36","        100.00"
"LICNFNHGP","EQ","12-Oct-2018","        108.85","        111.00","        111.60","        109.25","        111.60","        111.60","        111.11","        222","               24665.50","          3","        220","         99.10"
"LICNFNHGP","EQ","15-Oct-2018","        111.60","        110.00","        110.00","        110.00","        110.00","        110.00","        110.00","          1","                 110.00","          1","          1","        100.00"
"LICNFNHGP","EQ","16-Oct-2018","        110.00","        110.20","        110.25","        110.20","        110.25","        110.25","        110.25","        101","               11135.20","          2","        101","        100.00"
"LICNFNHGP","EQ","19-Oct-2018","        110.25","        110.25","        110.25","        108.01","        108.01","        108.01","        110.02","        342","               37625.61","          5","        341","         99.71"
"LICNFNHGP","EQ","22-Oct-2018","        108.01","        109.00","        109.10","        109.00","        109.10","        109.10","        109.08","         11","                1199.90","          3","         10","         90.91"
"LICNFNHGP","EQ","23-Oct-2018","        109.10","        108.00","        108.00","        105.90","        105.90","        105.90","        106.95","          2","                 213.90","          2","          0","          0.00"
"LICNFNHGP","EQ","24-Oct-2018","        105.90","        107.25","        108.90","        106.65","        108.90","        108.90","        107.37","         57","                6120.15","          3","         57","        100.00"
