"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"LUPIN","EQ","30-Aug-2018","        887.10","        885.00","        900.00","        880.00","        895.75","        893.65","        890.90","    2421826","          2157616519.10","      58195","     523195","         21.60"
"LUPIN","EQ","31-Aug-2018","        893.65","        896.80","        939.80","        895.75","        931.50","        931.45","        925.13","    6888252","          6372519481.80","     136576","    1373552","         19.94"
"LUPIN","EQ","03-Sep-2018","        931.45","        936.50","        957.90","        931.55","        936.00","        936.10","        947.80","    4911304","          4654916844.75","      95182","     573003","         11.67"
"LUPIN","EQ","04-Sep-2018","        936.10","        941.00","        944.60","        908.00","        918.00","        916.80","        924.27","    3294233","          3044758903.45","      56053","     642106","         19.49"
"LUPIN","EQ","05-Sep-2018","        916.80","        915.40","        926.50","        895.20","        904.50","        902.85","        910.44","    3295519","          3000365683.50","      83812","    1134815","         34.44"
"LUPIN","EQ","06-Sep-2018","        902.85","        909.60","        922.50","        903.25","        919.00","        917.95","        915.17","    3319935","          3038315620.70","      65946","     926841","         27.92"
"LUPIN","EQ","07-Sep-2018","        917.95","        920.00","        962.70","        906.80","        960.90","        959.40","        942.96","    8389509","          7910978682.75","     163240","    2775631","         33.08"
"LUPIN","EQ","10-Sep-2018","        959.40","        965.00","        986.10","        940.20","        946.00","        944.40","        965.67","    7326442","          7074938424.50","     155457","    1205154","         16.45"
"LUPIN","EQ","11-Sep-2018","        944.40","        953.65","        959.50","        933.25","        940.30","        940.30","        946.82","    4039123","          3824311947.20","      81243","     537216","         13.30"
"LUPIN","EQ","12-Sep-2018","        940.30","        939.00","        963.15","        922.00","        961.45","        959.35","        945.00","    4140290","          3912559206.45","      88413","     995721","         24.05"
"LUPIN","EQ","14-Sep-2018","        959.35","        973.90","        981.50","        962.05","        965.05","        968.75","        971.70","    4037498","          3923252822.50","      85916","    1010979","         25.04"
"LUPIN","EQ","17-Sep-2018","        968.75","        958.45","        978.00","        945.55","        950.50","        950.20","        962.07","    2575256","          2477585714.85","      54762","     314545","         12.21"
"LUPIN","EQ","18-Sep-2018","        950.20","        953.50","        963.15","        926.40","        931.55","        929.35","        943.90","    2383441","          2249739376.95","      55972","     607366","         25.48"
"LUPIN","EQ","19-Sep-2018","        929.35","        937.95","        939.60","        901.60","        911.55","        909.35","        918.64","    3617661","          3323312801.65","      93157","     879368","         24.31"
"LUPIN","EQ","21-Sep-2018","        909.35","        919.80","        931.50","        853.60","        895.35","        890.25","        901.47","    4484082","          4042283786.05","      87070","    1179591","         26.31"
"LUPIN","EQ","24-Sep-2018","        890.25","        896.00","        903.00","        851.60","        860.30","        860.75","        873.58","    2679422","          2340702748.50","      57270","     553482","         20.66"
"LUPIN","EQ","25-Sep-2018","        860.75","        860.70","        887.75","        857.50","        886.15","        882.55","        873.41","    2487594","          2172683793.40","      70191","     575795","         23.15"
"LUPIN","EQ","26-Sep-2018","        882.55","        891.00","        910.00","        885.90","        891.80","        891.75","        897.21","    2762045","          2478134592.20","      62754","     624410","         22.61"
"LUPIN","EQ","27-Sep-2018","        891.75","        892.00","        904.00","        873.00","        897.75","        896.35","        892.26","    6167183","          5502756946.05","      84497","    4101570","         66.51"
"LUPIN","EQ","28-Sep-2018","        896.35","        898.35","        918.00","        882.00","        903.50","        900.95","        902.17","    4432773","          3999109453.80","      88536","    1389755","         31.35"
"LUPIN","EQ","01-Oct-2018","        900.95","        905.55","        905.55","        879.50","        897.00","        895.90","        890.82","    2129770","          1897241281.45","      80480","     636782","         29.90"
"LUPIN","EQ","03-Oct-2018","        895.90","        897.00","        913.90","        892.55","        896.00","        898.05","        902.70","    2085452","          1882536953.60","      53540","     570718","         27.37"
"LUPIN","EQ","04-Oct-2018","        898.05","        890.00","        894.90","        842.10","        853.00","        854.75","        864.63","    2757822","          2384507613.25","      54803","     779887","         28.28"
"LUPIN","EQ","05-Oct-2018","        854.75","        851.00","        866.55","        830.00","        834.00","        838.75","        849.58","    2351664","          1997937614.90","      56279","     326160","         13.87"
"LUPIN","EQ","08-Oct-2018","        838.75","        835.00","        855.00","        818.05","        849.00","        850.00","        838.33","    2049160","          1717871360.35","      56422","     290190","         14.16"
"LUPIN","EQ","09-Oct-2018","        850.00","        859.00","        882.50","        846.00","        867.00","        868.90","        862.95","    2676148","          2309393383.05","      64159","     775642","         28.98"
"LUPIN","EQ","10-Oct-2018","        868.90","        874.95","        885.00","        855.00","        860.55","        858.10","        868.93","    2151667","          1869637498.65","      50258","     496255","         23.06"
"LUPIN","EQ","11-Oct-2018","        858.10","        840.00","        862.40","        831.60","        833.00","        836.55","        846.64","    1733915","          1468007602.40","      42762","     340929","         19.66"
"LUPIN","EQ","12-Oct-2018","        836.55","        841.00","        853.00","        836.05","        846.00","        846.25","        845.60","    1554768","          1314704240.30","      40450","     323774","         20.82"
"LUPIN","EQ","15-Oct-2018","        846.25","        849.00","        892.45","        849.00","        888.75","        886.80","        875.25","    2996361","          2622557347.30","      95646","     685270","         22.87"
"LUPIN","EQ","16-Oct-2018","        886.80","        889.00","        911.05","        889.00","        893.50","        896.45","        899.75","    2574095","          2316045445.90","      86691","     608878","         23.65"
"LUPIN","EQ","17-Oct-2018","        896.45","        900.00","        909.35","        885.00","        895.00","        896.65","        896.67","    1609068","          1442800810.65","      56386","     290031","         18.02"
"LUPIN","EQ","19-Oct-2018","        896.65","        888.00","        905.80","        859.20","        879.95","        880.25","        884.50","    2574321","          2276990149.85","      84148","     580244","         22.54"
"LUPIN","EQ","22-Oct-2018","        880.25","        885.00","        893.45","        876.20","        883.35","        882.45","        886.03","    1526383","          1352416159.70","      62170","     411713","         26.97"
"LUPIN","EQ","23-Oct-2018","        882.45","        880.95","        880.95","        848.05","        853.00","        851.00","        861.57","    1655570","          1426388751.15","      63916","     577692","         34.89"
"LUPIN","EQ","24-Oct-2018","        851.00","        855.10","        865.95","        842.00","        864.00","        860.95","        852.38","    1447748","          1234024549.60","      72998","     475136","         32.82"
"LUPIN","EQ","25-Oct-2018","        860.95","        853.55","        874.70","        847.05","        850.00","        851.30","        859.89","    2299649","          1977435847.30","      83512","     886489","         38.55"
"LUPIN","EQ","26-Oct-2018","        851.30","        850.10","        862.50","        838.60","        850.00","        855.15","        854.13","    1517769","          1296366717.35","      55558","     429163","         28.28"
"LUPIN","EQ","29-Oct-2018","        855.15","        853.00","        894.85","        853.00","        885.00","        888.35","        883.34","    2001176","          1767715308.25","      75886","     384674","         19.22"
"LUPIN","EQ","30-Oct-2018","        888.35","        889.00","        889.35","        871.80","        879.00","        876.65","        879.33","    1182970","          1040225318.35","      65707","     419554","         35.47"
"LUPIN","EQ","31-Oct-2018","        876.65","        879.60","        914.90","        867.55","        880.00","        885.45","        887.30","    4917307","          4363103220.60","     160963","    1301678","         26.47"
"LUPIN","EQ","01-Nov-2018","        885.45","        875.00","        880.25","        848.10","        851.00","        852.05","        861.62","    2610053","          2248868482.40","      74014","     618368","         23.69"
"LUPIN","EQ","02-Nov-2018","        852.05","        858.00","        864.00","        845.10","        848.00","        849.90","        854.17","    1361060","          1162572136.30","      37888","     322364","         23.68"
"LUPIN","EQ","05-Nov-2018","        849.90","        849.70","        860.65","        843.00","        853.25","        853.70","        851.89","    1225002","          1043566549.40","      36487","     283217","         23.12"
"LUPIN","EQ","06-Nov-2018","        853.70","        839.95","        856.40","        839.00","        849.65","        850.95","        850.46","    1369770","          1164929272.60","      42139","     346311","         25.28"
"LUPIN","EQ","07-Nov-2018","        850.95","        855.00","        855.00","        850.25","        852.40","        852.05","        852.32","      97306","            82935446.40","       3428","      32030","         32.92"
"LUPIN","EQ","09-Nov-2018","        852.05","        850.00","        861.00","        848.50","        854.00","        854.90","        854.85","    1443200","          1233726311.50","      49494","     763496","         52.90"
"LUPIN","EQ","12-Nov-2018","        854.90","        858.00","        876.80","        853.10","        859.25","        859.90","        866.20","    1952831","          1691544432.85","      43768","     474013","         24.27"
"LUPIN","EQ","13-Nov-2018","        859.90","        859.75","        865.60","        847.00","        853.50","        853.70","        854.26","    1001954","           855930258.20","      26848","     195711","         19.53"
"LUPIN","EQ","14-Nov-2018","        853.70","        858.00","        860.30","        831.10","        840.20","        840.25","        840.75","    1465487","          1232111474.95","      34896","     411406","         28.07"
"LUPIN","EQ","15-Nov-2018","        840.25","        841.00","        855.00","        840.20","        852.50","        853.75","        849.58","     829607","           704816369.40","      22710","     162942","         19.64"
"LUPIN","EQ","16-Nov-2018","        853.75","        857.90","        869.90","        855.45","        862.00","        864.70","        863.80","    1154745","           997473862.30","      38822","     219696","         19.03"
"LUPIN","EQ","19-Nov-2018","        864.70","        868.00","        875.00","        851.70","        856.10","        855.50","        860.82","    1287405","          1108222300.55","      44788","     330663","         25.68"
"LUPIN","EQ","20-Nov-2018","        855.50","        854.55","        861.45","        843.00","        848.60","        848.60","        851.71","     875924","           746030325.50","      24443","     262180","         29.93"
"LUPIN","EQ","21-Nov-2018","        848.60","        852.50","        857.55","        845.50","        851.05","        849.55","        850.94","    1226962","          1044066632.85","      33876","     421778","         34.38"
"LUPIN","EQ","22-Nov-2018","        849.55","        852.00","        855.90","        844.50","        850.25","        850.70","        850.69","     961754","           818159210.75","      28760","     178062","         18.51"
"LUPIN","EQ","26-Nov-2018","        850.70","        851.00","        854.80","        833.65","        845.00","        844.90","        845.87","    1522060","          1287469261.90","      47238","     577466","         37.94"
"LUPIN","EQ","27-Nov-2018","        844.90","        849.00","        857.70","        842.00","        849.75","        851.00","        850.55","    1956636","          1664213104.95","      74508","     737936","         37.71"
"LUPIN","EQ","28-Nov-2018","        851.00","        832.00","        870.00","        830.00","        866.80","        866.60","        856.01","    4459561","          3817423478.50","     151997","    1483254","         33.26"
"LUPIN","EQ","29-Nov-2018","        866.60","        867.00","        894.00","        861.30","        864.30","        868.25","        878.51","    4806533","          4222569572.75","     101795","    2569577","         53.46"
"LUPIN","EQ","30-Nov-2018","        868.25","        870.00","        891.60","        866.00","        881.30","        886.75","        882.00","    2419585","          2134072531.30","      73676","    1142741","         47.23"
"LUPIN","EQ","03-Dec-2018","        886.75","        886.55","        905.00","        870.25","        904.30","        901.30","        891.43","    2378359","          2120132476.70","      67581","     904220","         38.02"
"LUPIN","EQ","04-Dec-2018","        901.30","        901.00","        906.00","        878.30","        888.00","        887.65","        891.56","    1450362","          1293088315.00","      39466","     318061","         21.93"
"LUPIN","EQ","05-Dec-2018","        887.65","        888.00","        889.80","        848.00","        858.45","        859.35","        865.48","    3255984","          2817979160.85","      78467","     465521","         14.30"
"LUPIN","EQ","06-Dec-2018","        859.35","        852.00","        869.00","        845.40","        847.05","        847.00","        854.49","    1720427","          1470094317.40","      47757","     477705","         27.77"
"LUPIN","EQ","07-Dec-2018","        847.00","        853.00","        859.00","        832.20","        838.75","        841.30","        842.00","    2335261","          1966291528.10","      58434","    1161084","         49.72"
"LUPIN","EQ","10-Dec-2018","        841.30","        834.00","        840.00","        808.90","        809.55","        812.75","        823.64","    2738848","          2255831303.05","      59267","     480279","         17.54"
"LUPIN","EQ","11-Dec-2018","        812.75","        803.00","        842.00","        802.30","        836.00","        835.00","        825.21","    2004151","          1653836813.60","      59518","     342365","         17.08"
"LUPIN","EQ","12-Dec-2018","        835.00","        837.00","        847.70","        813.00","        824.40","        821.65","        823.19","    2342740","          1928521792.75","      52005","     333655","         14.24"
"LUPIN","EQ","13-Dec-2018","        821.65","        815.00","        855.00","        806.20","        852.50","        847.30","        831.83","    4847312","          4032125689.75","      97737","     436484","          9.00"
"LUPIN","EQ","14-Dec-2018","        847.30","        850.90","        857.00","        830.50","        843.85","        843.85","        842.17","    2701885","          2275455163.55","      60513","     292370","         10.82"
"LUPIN","EQ","17-Dec-2018","        843.85","        848.00","        855.50","        840.50","        846.25","        847.45","        849.14","    1213014","          1030014360.05","      27301","     217131","         17.90"
"LUPIN","EQ","18-Dec-2018","        847.45","        846.35","        848.50","        836.80","        845.70","        845.00","        843.01","     892197","           752132072.70","      23660","     183204","         20.53"
"LUPIN","EQ","19-Dec-2018","        845.00","        848.00","        850.65","        838.10","        845.00","        842.00","        842.92","    1037755","           874743566.75","      38957","     372251","         35.87"
"LUPIN","EQ","20-Dec-2018","        842.00","        840.00","        859.70","        839.50","        853.80","        855.05","        852.80","    1520946","          1297068826.80","      28683","     346631","         22.79"
"LUPIN","EQ","21-Dec-2018","        855.05","        855.15","        868.70","        853.05","        859.70","        858.45","        859.91","    1800180","          1547992593.95","      43299","     385037","         21.39"
"LUPIN","EQ","24-Dec-2018","        858.45","        874.00","        876.85","        832.20","        835.55","        838.25","        850.91","    3541535","          3013521816.50","      74139","     285843","          8.07"
"LUPIN","EQ","26-Dec-2018","        838.25","        828.00","        840.40","        817.05","        832.60","        833.20","        829.21","    1441827","          1195571536.55","      32364","      96961","          6.72"
"LUPIN","EQ","27-Dec-2018","        833.20","        837.00","        841.90","        830.10","        839.05","        838.70","        835.99","    1217908","          1018156711.25","      31722","     283721","         23.30"
"LUPIN","EQ","28-Dec-2018","        838.70","        841.00","        852.00","        836.80","        837.65","        840.30","        845.61","    1133640","           958622864.95","      23002","     133215","         11.75"
"LUPIN","EQ","31-Dec-2018","        840.30","        846.00","        850.80","        836.65","        843.85","        844.30","        844.89","    1149648","           971322597.80","      38584","     257440","         22.39"
"LUPIN","EQ","01-Jan-2019","        844.30","        848.70","        852.70","        839.00","        842.00","        841.45","        844.99","    1122895","           948837919.45","      32186","     208806","         18.60"
"LUPIN","EQ","02-Jan-2019","        841.45","        842.00","        847.00","        826.05","        832.00","        832.80","        835.84","    1115202","           932125670.05","      36383","     226680","         20.33"
"LUPIN","EQ","03-Jan-2019","        832.80","        836.00","        840.75","        818.30","        822.40","        821.05","        829.12","     987539","           818788876.20","      26029","     192881","         19.53"
"LUPIN","EQ","04-Jan-2019","        821.05","        824.00","        832.00","        820.30","        828.50","        828.90","        827.33","    1279403","          1058491195.35","      33103","     350969","         27.43"
"LUPIN","EQ","07-Jan-2019","        828.90","        834.05","        835.00","        818.50","        820.40","        820.45","        825.29","     948727","           782975674.55","      29223","     239446","         25.24"
"LUPIN","EQ","08-Jan-2019","        820.45","        823.80","        843.75","        821.15","        840.30","        841.70","        832.26","    1404676","          1169050991.35","      39283","     397127","         28.27"
"LUPIN","EQ","09-Jan-2019","        841.70","        844.00","        844.90","        830.05","        836.60","        838.15","        836.25","     928337","           776323924.85","      26296","     232441","         25.04"
"LUPIN","EQ","10-Jan-2019","        838.15","        836.60","        842.90","        833.50","        835.30","        838.00","        838.20","     737445","           618129676.20","      18574","     339406","         46.02"
"LUPIN","EQ","11-Jan-2019","        838.00","        838.50","        842.00","        828.10","        837.00","        839.35","        835.61","     824260","           688762839.60","      19532","     223931","         27.17"
"LUPIN","EQ","14-Jan-2019","        839.35","        837.80","        840.95","        828.50","        833.60","        834.75","        835.18","     922667","           770595554.65","      38396","     307486","         33.33"
