"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MADHUCON","EQ","30-Aug-2018","         10.20","         10.25","         10.70","          9.85","         10.70","         10.70","         10.44","      80485","              839884.85","        189","      62079","         77.13"
"MADHUCON","EQ","31-Aug-2018","         10.70","         11.20","         11.20","         10.85","         11.20","         11.20","         11.16","      95337","             1064234.35","        335","      75737","         79.44"
"MADHUCON","EQ","03-Sep-2018","         11.20","         10.95","         11.20","         10.65","         10.75","         10.85","         10.79","     129701","             1399424.40","        377","      79998","         61.68"
"MADHUCON","EQ","04-Sep-2018","         10.85","         10.80","         11.00","         10.35","         10.65","         10.50","         10.52","      86271","              907674.80","        275","      55180","         63.96"
"MADHUCON","EQ","05-Sep-2018","         10.50","         10.35","         11.00","         10.00","         10.15","         10.25","         10.17","      99288","             1009488.35","        309","      73706","         74.23"
"MADHUCON","EQ","06-Sep-2018","         10.25","         10.25","         10.75","         10.15","         10.55","         10.70","         10.40","      81203","              844540.60","        175","      67106","         82.64"
"MADHUCON","EQ","07-Sep-2018","         10.70","         10.70","         10.85","         10.25","         10.50","         10.55","         10.65","      95537","             1017078.45","        205","      60048","         62.85"
"MADHUCON","EQ","10-Sep-2018","         10.55","         10.50","         10.50","         10.05","         10.15","         10.10","         10.17","      62067","              631299.80","        182","      47592","         76.68"
"MADHUCON","EQ","11-Sep-2018","         10.10","         10.20","         10.30","          9.70","          9.80","          9.85","         10.00","     121087","             1211278.75","        252","      69861","         57.69"
"MADHUCON","EQ","12-Sep-2018","          9.85","         10.20","         10.20","          9.40","          9.40","          9.40","          9.50","     137019","             1302340.80","        305","     102313","         74.67"
"MADHUCON","EQ","14-Sep-2018","          9.40","          9.45","          9.70","          9.10","          9.25","          9.30","          9.35","     127562","             1192196.20","        320","      88950","         69.73"
"MADHUCON","EQ","17-Sep-2018","          9.30","          9.00","          9.45","          8.90","          9.05","          9.05","          9.07","     114563","             1039431.35","        276","      88584","         77.32"
"MADHUCON","EQ","18-Sep-2018","          9.05","          9.35","          9.35","          8.80","          8.85","          8.85","          8.97","     126785","             1137727.80","        247","      97640","         77.01"
"MADHUCON","EQ","19-Sep-2018","          8.85","          8.90","          9.15","          8.45","          8.50","          8.45","          8.56","     179472","             1535906.45","        303","     138004","         76.89"
"MADHUCON","EQ","21-Sep-2018","          8.45","          8.50","          8.50","          8.05","          8.15","          8.10","          8.29","     114673","              951053.00","        249","      90607","         79.01"
"MADHUCON","EQ","24-Sep-2018","          8.10","          8.35","          8.35","          7.80","          7.80","          7.90","          7.96","      62476","              497617.95","        160","      47902","         76.67"
"MADHUCON","EQ","25-Sep-2018","          7.90","          7.85","          8.15","          7.55","          7.55","          7.65","          7.77","     120882","              939353.25","        256","      89449","         74.00"
"MADHUCON","EQ","26-Sep-2018","          7.65","          7.90","          8.00","          7.80","          8.00","          8.00","          7.93","      53740","              426289.05","        133","      47391","         88.19"
"MADHUCON","EQ","27-Sep-2018","          8.00","          8.00","          8.30","          8.00","          8.20","          8.15","          8.18","      30564","              250104.65","        102","      27739","         90.76"
"MADHUCON","EQ","28-Sep-2018","          8.15","          8.00","          8.00","          7.75","          7.75","          7.75","          7.80","      75482","              588686.90","        151","      57319","         75.94"
"MADHUCON","EQ","01-Oct-2018","          7.75","          7.95","          7.95","          7.40","          7.40","          7.40","          7.54","      56493","              425979.40","        145","      39391","         69.73"
"MADHUCON","EQ","03-Oct-2018","          7.40","          7.50","          7.70","          7.05","          7.30","          7.35","          7.27","      59013","              428959.80","        185","      46281","         78.43"
"MADHUCON","EQ","04-Oct-2018","          7.35","          7.10","          7.40","          7.00","          7.15","          7.15","          7.04","     156321","             1100727.35","        264","      93093","         59.55"
"MADHUCON","EQ","05-Oct-2018","          7.15","          7.10","          7.15","          6.80","          6.80","          6.80","          6.81","     114149","              777187.35","        244","      91087","         79.80"
"MADHUCON","EQ","08-Oct-2018","          6.80","          6.55","          6.80","          6.50","          6.50","          6.50","          6.51","      31954","              207946.00","         80","      27654","         86.54"
"MADHUCON","EQ","09-Oct-2018","          6.50","          6.20","          6.20","          6.20","          6.20","          6.20","          6.20","      25832","              160158.40","         61","      25832","        100.00"
"MADHUCON","EQ","10-Oct-2018","          6.20","          5.90","          6.45","          5.90","          6.15","          6.15","          6.00","     156776","              940029.25","        297","     120272","         76.72"
"MADHUCON","EQ","11-Oct-2018","          6.15","          6.10","          6.30","          5.85","          5.85","          5.85","          5.87","     169790","              997303.45","        157","     139038","         81.89"
"MADHUCON","EQ","12-Oct-2018","          5.85","          5.85","          6.10","          5.60","          5.65","          5.65","          5.80","     154659","              897337.05","        202","     122763","         79.38"
"MADHUCON","EQ","15-Oct-2018","          5.65","          5.65","          5.90","          5.65","          5.90","          5.90","          5.85","     173985","             1016948.00","        151","     158437","         91.06"
"MADHUCON","EQ","16-Oct-2018","          5.90","          6.15","          6.15","          6.15","          6.15","          6.15","          6.15","      54638","              336023.70","         52","      52637","         96.34"
"MADHUCON","EQ","17-Oct-2018","          6.15","          6.40","          6.45","          6.35","          6.45","          6.45","          6.44","      37399","              240945.10","         71","      30024","         80.28"
"MADHUCON","EQ","19-Oct-2018","          6.45","          6.75","          6.75","          6.60","          6.75","          6.75","          6.73","      67170","              452387.20","        141","      66485","         98.98"
"MADHUCON","EQ","22-Oct-2018","          6.75","          7.00","          7.05","          6.60","          6.85","          6.85","          6.83","      27117","              185275.00","        130","      22263","         82.10"
"MADHUCON","EQ","23-Oct-2018","          6.85","          6.90","          6.90","          6.60","          6.80","          6.75","          6.69","      12891","               86254.15","         64","      12586","         97.63"
"MADHUCON","EQ","24-Oct-2018","          6.75","          6.85","          6.95","          6.50","          6.50","          6.50","          6.67","      16994","              113386.30","         80","      13735","         80.82"
"MADHUCON","EQ","25-Oct-2018","          6.50","          6.45","          6.55","          6.20","          6.25","          6.30","          6.28","      28827","              181009.10","        165","      15866","         55.04"
"MADHUCON","EQ","26-Oct-2018","          6.30","          6.20","          6.60","          6.00","          6.60","          6.60","          6.28","      40340","              253432.25","        115","      27881","         69.12"
"MADHUCON","EQ","29-Oct-2018","          6.60","          6.60","          6.90","          6.35","          6.85","          6.85","          6.70","      21346","              143068.15","        104","      13036","         61.07"
"MADHUCON","EQ","30-Oct-2018","          6.85","          7.10","          7.15","          7.00","          7.15","          7.15","          7.13","      17656","              125842.85","         97","      15164","         85.89"
