"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MAITHANALL","EQ","30-Aug-2018","        595.75","        595.75","        602.75","        588.00","        588.50","        591.35","        594.63","      21966","            13061626.95","       1385","      11811","         53.77"
"MAITHANALL","EQ","31-Aug-2018","        591.35","        586.00","        593.55","        576.10","        578.90","        578.30","        582.55","      38311","            22318161.90","       1839","      27976","         73.02"
"MAITHANALL","EQ","03-Sep-2018","        578.30","        582.95","        615.00","        581.30","        599.30","        600.65","        605.47","      83654","            50649901.55","       3331","      46442","         55.52"
"MAITHANALL","EQ","04-Sep-2018","        600.65","        604.50","        614.00","        590.00","        594.00","        593.50","        601.27","      27754","            16687720.85","       1571","      14949","         53.86"
"MAITHANALL","EQ","05-Sep-2018","        593.50","        593.00","        593.00","        578.00","        586.10","        586.85","        584.69","      24879","            14546580.60","       1095","      14924","         59.99"
"MAITHANALL","EQ","06-Sep-2018","        586.85","        590.00","        598.10","        580.10","        582.00","        581.35","        585.61","      26651","            15607133.10","       1801","      15501","         58.16"
"MAITHANALL","EQ","07-Sep-2018","        581.35","        580.10","        584.90","        575.00","        578.30","        577.30","        578.49","      29016","            16785529.40","       1780","      19382","         66.80"
"MAITHANALL","EQ","10-Sep-2018","        577.30","        582.95","        592.00","        568.20","        578.00","        578.85","        581.86","      35412","            20604673.25","       1730","      21855","         61.72"
"MAITHANALL","EQ","11-Sep-2018","        578.85","        583.95","        585.15","        575.00","        575.05","        576.15","        578.61","      15951","             9229458.20","        853","      10613","         66.54"
"MAITHANALL","EQ","12-Sep-2018","        576.15","        576.15","        576.15","        560.00","        566.65","        567.70","        567.62","      21995","            12484744.25","       1151","      13756","         62.54"
"MAITHANALL","EQ","14-Sep-2018","        567.70","        570.10","        586.90","        569.00","        579.20","        579.50","        579.59","      37577","            21779276.95","       3159","      27619","         73.50"
"MAITHANALL","EQ","17-Sep-2018","        579.50","        574.60","        599.00","        570.00","        592.00","        590.70","        590.57","      53485","            31586611.10","       5514","      34024","         63.61"
"MAITHANALL","EQ","18-Sep-2018","        590.70","        594.90","        595.95","        554.25","        560.20","        560.30","        571.52","      38101","            21775393.40","       2477","      27640","         72.54"
"MAITHANALL","EQ","19-Sep-2018","        560.30","        564.80","        570.00","        548.00","        557.15","        552.65","        558.81","      28590","            15976499.10","       1432","      15885","         55.56"
"MAITHANALL","EQ","21-Sep-2018","        552.65","        557.05","        584.00","        550.30","        569.90","        567.15","        565.67","     121084","            68493902.10","       5772","      83983","         69.36"
"MAITHANALL","EQ","24-Sep-2018","        567.15","        574.95","        574.95","        528.65","        543.00","        540.95","        545.95","      40831","            22291603.60","       2161","      29735","         72.82"
