"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MASFIN","EQ","30-Aug-2018","        614.40","        614.00","        614.00","        593.10","        596.00","        601.10","        603.77","      15956","             9633705.90","        658","      11893","         74.54"
"MASFIN","EQ","31-Aug-2018","        601.10","        595.15","        614.05","        577.60","        595.50","        605.50","        598.81","      48477","            29028548.65","       1366","      32034","         66.08"
"MASFIN","EQ","03-Sep-2018","        605.50","        604.95","        610.90","        591.00","        605.00","        608.95","        603.71","      19649","            11862310.15","        928","      17064","         86.84"
"MASFIN","EQ","04-Sep-2018","        608.95","        601.95","        610.00","        596.00","        603.10","        608.20","        603.70","      12212","             7372371.80","        575","      10501","         85.99"
"MASFIN","EQ","05-Sep-2018","        608.20","        603.10","        619.50","        584.00","        612.00","        606.35","        604.85","      41850","            25312858.80","        781","      35045","         83.74"
"MASFIN","EQ","06-Sep-2018","        606.35","        606.35","        617.70","        598.00","        615.00","        612.30","        606.73","       5259","             3190800.90","        398","       2466","         46.89"
"MASFIN","EQ","07-Sep-2018","        612.30","        603.15","        624.60","        593.00","        598.05","        608.10","        610.06","      17874","            10904171.45","       2635","      10579","         59.19"
"MASFIN","EQ","10-Sep-2018","        608.10","        609.00","        613.00","        587.75","        599.45","        602.20","        600.58","      34272","            20583030.05","       1975","      22725","         66.31"
"MASFIN","EQ","11-Sep-2018","        602.20","        600.00","        600.00","        560.60","        574.30","        582.20","        577.89","      59824","            34571833.90","       5277","      30412","         50.84"
"MASFIN","EQ","12-Sep-2018","        582.20","        578.15","        595.90","        566.35","        575.00","        584.40","        582.47","      44676","            26022624.90","       1096","      32985","         73.83"
"MASFIN","EQ","14-Sep-2018","        584.40","        584.40","        584.40","        561.00","        563.40","        565.20","        567.66","      67113","            38097522.90","       3915","      40764","         60.74"
"MASFIN","EQ","17-Sep-2018","        565.20","        558.00","        577.30","        532.10","        575.00","        565.35","        553.61","      80108","            44348720.30","       4706","      36823","         45.97"
"MASFIN","EQ","18-Sep-2018","        565.35","        565.35","        570.60","        545.10","        546.30","        556.45","        555.55","      49671","            27594511.55","       2653","      30788","         61.98"
"MASFIN","EQ","19-Sep-2018","        556.45","        552.00","        552.05","        537.00","        538.40","        541.85","        542.11","      52474","            28446722.95","       5480","      28716","         54.72"
"MASFIN","EQ","21-Sep-2018","        541.85","        543.75","        548.80","        525.00","        525.05","        533.70","        536.83","      35692","            19160498.15","       1205","      18259","         51.16"
"MASFIN","EQ","24-Sep-2018","        533.70","        533.05","        547.15","        510.90","        543.65","        526.90","        523.07","      69369","            36284702.70","       2714","      51869","         74.77"
"MASFIN","EQ","25-Sep-2018","        526.90","        530.00","        544.00","        525.05","        536.00","        541.55","        539.14","      26426","            14247430.35","       1119","      20526","         77.67"
"MASFIN","EQ","26-Sep-2018","        541.55","        534.35","        543.75","        531.00","        531.00","        541.70","        541.80","      15044","             8150787.20","        375","      12098","         80.42"
"MASFIN","EQ","27-Sep-2018","        541.70","        533.70","        537.80","        505.00","        505.00","        515.90","        519.70","      40266","            20926325.15","       1595","      16072","         39.91"
"MASFIN","EQ","28-Sep-2018","        515.90","        510.00","        527.95","        501.05","        522.00","        523.45","        520.89","      66385","            34579171.15","       1222","      52074","         78.44"
"MASFIN","EQ","01-Oct-2018","        523.45","        515.65","        515.65","        486.95","        490.20","        494.85","        498.54","      29651","            14782173.50","       1199","      16352","         55.15"
"MASFIN","EQ","03-Oct-2018","        494.85","        498.85","        520.00","        489.95","        509.80","        512.70","        501.62","      23440","            11757945.25","       1398","      13681","         58.37"
"MASFIN","EQ","04-Oct-2018","        512.70","        505.05","        510.00","        487.00","        491.20","        501.05","        497.43","      21012","            10451966.60","       1087","      10311","         49.07"
"MASFIN","EQ","05-Oct-2018","        501.05","        500.00","        503.95","        484.00","        485.25","        493.60","        492.18","      10800","             5315505.35","        582","       5243","         48.55"
"MASFIN","EQ","08-Oct-2018","        493.60","        486.25","        492.55","        464.00","        468.95","        471.45","        478.47","      20459","             9788967.55","       1488","      13274","         64.88"
