"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MASTEK","EQ","30-Aug-2018","        541.15","        543.00","        544.35","        535.30","        535.80","        537.45","        539.67","      46209","            24937666.30","       4564","      24307","         52.60"
"MASTEK","EQ","31-Aug-2018","        537.45","        537.00","        550.20","        535.40","        537.95","        538.50","        542.02","      98786","            53543843.95","       4233","      37319","         37.78"
"MASTEK","EQ","03-Sep-2018","        538.50","        542.15","        552.00","        535.75","        542.00","        540.00","        545.99","      65870","            35964593.25","       3527","      20942","         31.79"
"MASTEK","EQ","04-Sep-2018","        540.00","        545.00","        550.00","        527.00","        528.00","        530.20","        540.22","      74841","            40430970.00","       3578","      30134","         40.26"
"MASTEK","EQ","05-Sep-2018","        530.20","        535.00","        539.95","        507.00","        522.10","        522.05","        522.81","      93335","            48796702.40","       5599","      29452","         31.56"
"MASTEK","EQ","06-Sep-2018","        522.05","        532.00","        532.00","        516.50","        524.10","        524.60","        523.69","      48178","            25230528.10","       4013","      20534","         42.62"
"MASTEK","EQ","07-Sep-2018","        524.60","        528.35","        622.00","        522.40","        593.50","        594.55","        592.82","    1428570","           846888875.55","      42365","     213302","         14.93"
"MASTEK","EQ","10-Sep-2018","        594.55","        594.40","        644.50","        590.20","        610.10","        607.25","        623.32","    1277219","           796119735.90","      41567","     161632","         12.65"
"MASTEK","EQ","11-Sep-2018","        607.25","        611.00","        613.90","        550.30","        563.00","        559.80","        584.45","     362393","           211801784.55","      13747","      76409","         21.08"
"MASTEK","EQ","12-Sep-2018","        559.80","        562.20","        592.00","        560.30","        581.90","        582.75","        575.58","     360167","           207304968.10","      13571","      52418","         14.55"
"MASTEK","EQ","14-Sep-2018","        582.75","        582.55","        608.00","        580.50","        590.90","        592.35","        594.37","     381635","           226830923.00","      15457","      56907","         14.91"
"MASTEK","EQ","17-Sep-2018","        592.35","        592.00","        599.50","        581.50","        586.50","        584.95","        589.15","     159859","            94181133.10","       6006","      32177","         20.13"
"MASTEK","EQ","18-Sep-2018","        584.95","        585.95","        589.25","        561.00","        565.80","        564.05","        575.69","     118048","            67958999.60","       5612","      30987","         26.25"
"MASTEK","EQ","19-Sep-2018","        564.05","        568.95","        581.70","        560.50","        566.00","        564.90","        570.89","     149256","            85208611.05","       7207","      23485","         15.73"
"MASTEK","EQ","21-Sep-2018","        564.90","        571.00","        577.50","        508.25","        535.00","        532.55","        545.45","     137655","            75083389.20","       8144","      52752","         38.32"
"MASTEK","EQ","24-Sep-2018","        532.55","        535.05","        551.00","        525.20","        529.15","        531.05","        535.20","     125117","            66962245.90","       5516","      36392","         29.09"
"MASTEK","EQ","25-Sep-2018","        531.05","        534.70","        548.90","        511.25","        516.70","        517.65","        528.69","     132496","            70048857.25","       8177","      42756","         32.27"
"MASTEK","EQ","26-Sep-2018","        517.65","        517.00","        531.00","        498.00","        528.00","        522.20","        512.94","     195022","           100034677.10","       9435","      49877","         25.58"
"MASTEK","EQ","27-Sep-2018","        522.20","        523.00","        532.50","        513.00","        518.55","        519.55","        522.01","      68454","            35733483.50","       3275","      21146","         30.89"
"MASTEK","EQ","28-Sep-2018","        519.55","        524.55","        526.70","        428.05","        476.50","        468.60","        468.09","     336473","           157499515.00","      11610","     103950","         30.89"
"MASTEK","EQ","01-Oct-2018","        468.60","        471.05","        473.95","        432.00","        435.80","        436.60","        442.07","     152805","            67550524.40","       7530","      72903","         47.71"
"MASTEK","EQ","03-Oct-2018","        436.60","        439.00","        463.65","        439.00","        452.00","        450.20","        451.60","     130827","            59081275.45","       6877","      34276","         26.20"
"MASTEK","EQ","04-Oct-2018","        450.20","        443.00","        447.60","        420.00","        433.00","        434.25","        435.81","     138845","            60510263.55","       5420","      59029","         42.51"
"MASTEK","EQ","05-Oct-2018","        434.25","        434.00","        434.95","        408.05","        413.60","        415.30","        423.94","      72514","            30741562.90","       6630","      33349","         45.99"
"MASTEK","EQ","08-Oct-2018","        415.30","        415.80","        420.20","        392.55","        397.55","        398.60","        400.97","      81446","            32657354.25","       5154","      35989","         44.19"
"MASTEK","EQ","09-Oct-2018","        398.60","        399.00","        416.30","        385.00","        409.00","        409.25","        398.82","     159509","            63614855.70","       9974","      46739","         29.30"
"MASTEK","EQ","10-Oct-2018","        409.25","        407.60","        489.00","        406.20","        467.00","        476.35","        454.40","     274075","           124540652.00","      14679","      75441","         27.53"
"MASTEK","EQ","11-Oct-2018","        476.35","        454.00","        469.95","        421.10","        459.00","        457.70","        454.82","     142537","            64829339.85","       6564","      34244","         24.02"
"MASTEK","EQ","12-Oct-2018","        457.70","        475.00","        502.80","        457.00","        470.00","        472.10","        481.26","     348719","           167824160.10","      18330","      51734","         14.84"
"MASTEK","EQ","15-Oct-2018","        472.10","        475.80","        486.40","        472.10","        478.40","        479.20","        479.79","     113108","            54268557.50","       7921","      41877","         37.02"
"MASTEK","EQ","16-Oct-2018","        479.20","        481.00","        492.00","        467.85","        468.75","        470.90","        478.18","      85607","            40935980.65","       4950","      29085","         33.98"
"MASTEK","EQ","17-Oct-2018","        470.90","        475.00","        479.85","        458.05","        462.00","        461.40","        467.55","      58640","            27417115.10","       2508","      19538","         33.32"
"MASTEK","EQ","19-Oct-2018","        461.40","        459.95","        459.95","        436.05","        448.35","        444.05","        444.89","      49778","            22145746.55","       2805","      17227","         34.61"
"MASTEK","EQ","22-Oct-2018","        444.05","        445.50","        445.50","        415.15","        421.40","        421.95","        426.34","      72614","            30958591.20","       3793","      30597","         42.14"
"MASTEK","EQ","23-Oct-2018","        421.95","        418.00","        421.00","        405.55","        412.40","        410.45","        411.80","      50780","            20911316.75","       2394","      19301","         38.01"
"MASTEK","EQ","24-Oct-2018","        410.45","        415.10","        417.45","        376.10","        390.75","        390.85","        390.41","     218485","            85298701.05","       9202","      73311","         33.55"
"MASTEK","EQ","25-Oct-2018","        390.85","        380.00","        417.95","        365.00","        416.50","        414.40","        396.45","     873835","           346432389.90","      30215","     339134","         38.81"
"MASTEK","EQ","26-Oct-2018","        414.40","        410.00","        448.95","        400.00","        437.00","        439.30","        431.87","     358953","           155020114.40","      15534","      86550","         24.11"
"MASTEK","EQ","29-Oct-2018","        439.30","        439.20","        455.95","        431.55","        449.00","        447.45","        447.89","     108667","            48671367.40","       6342","      30826","         28.37"
"MASTEK","EQ","30-Oct-2018","        447.45","        447.00","        469.20","        445.10","        458.85","        460.75","        461.00","     127792","            58912479.30","       7114","      34892","         27.30"
"MASTEK","EQ","31-Oct-2018","        460.75","        464.90","        468.00","        450.30","        452.00","        453.60","        459.34","      78465","            36041821.75","       4065","      27246","         34.72"
"MASTEK","EQ","01-Nov-2018","        453.60","        456.80","        466.40","        441.00","        450.00","        450.85","        454.05","     113641","            51598183.50","       7420","      40824","         35.92"
"MASTEK","EQ","02-Nov-2018","        450.85","        453.95","        472.00","        451.10","        460.50","        459.20","        461.19","      93458","            43101672.75","       6932","      34163","         36.55"
"MASTEK","EQ","05-Nov-2018","        459.20","        462.00","        469.55","        456.20","        458.20","        460.90","        462.54","      51274","            23716219.45","       4306","      14360","         28.01"
"MASTEK","EQ","06-Nov-2018","        460.90","        465.00","        468.95","        455.20","        464.50","        463.40","        462.16","      32404","            14975709.40","       1661","      10307","         31.81"
"MASTEK","EQ","07-Nov-2018","        463.40","        468.80","        470.50","        466.00","        468.00","        468.60","        468.47","      16376","             7671636.70","        679","       9308","         56.84"
"MASTEK","EQ","09-Nov-2018","        468.60","        465.00","        484.00","        461.50","        479.70","        478.70","        477.06","      59795","            28525892.30","       4019","      25105","         41.99"
"MASTEK","EQ","12-Nov-2018","        478.70","        480.00","        495.00","        473.50","        482.00","        483.50","        483.38","      92456","            44691586.80","       4392","      31998","         34.61"
"MASTEK","EQ","13-Nov-2018","        483.50","        484.45","        484.80","        468.60","        470.00","        470.15","        473.27","      48575","            22989239.15","       2161","      24385","         50.20"
"MASTEK","EQ","14-Nov-2018","        470.15","        472.05","        478.00","        467.50","        471.05","        472.35","        473.57","      41968","            19874986.30","       3244","      15945","         37.99"
"MASTEK","EQ","15-Nov-2018","        472.35","        472.35","        475.00","        464.30","        466.00","        466.50","        468.35","      31366","            14690289.90","       1523","      11382","         36.29"
"MASTEK","EQ","16-Nov-2018","        466.50","        470.00","        475.00","        450.60","        452.90","        453.00","        462.10","      52063","            24058216.20","       4595","      26902","         51.67"
"MASTEK","EQ","19-Nov-2018","        453.00","        457.40","        460.00","        451.00","        454.35","        455.25","        456.44","      33721","            15391565.20","       1786","      14700","         43.59"
"MASTEK","EQ","20-Nov-2018","        455.25","        454.00","        454.05","        426.00","        431.35","        435.10","        436.81","     111467","            48690285.85","       6588","      51487","         46.19"
"MASTEK","EQ","21-Nov-2018","        435.10","        438.00","        439.50","        426.10","        435.00","        431.85","        431.94","      37952","            16392800.55","       2156","      10822","         28.51"
