"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MCLEODRUSS","EQ","30-Aug-2018","        142.90","        145.00","        150.00","        144.10","        148.10","        148.65","        146.74","    1203522","           176607746.65","       9356","     609914","         50.68"
"MCLEODRUSS","EQ","31-Aug-2018","        148.65","        147.90","        153.70","        146.40","        153.70","        152.85","        150.36","     685687","           103096487.05","       4542","     505972","         73.79"
"MCLEODRUSS","EQ","03-Sep-2018","        152.85","        153.70","        158.70","        151.15","        153.00","        153.25","        155.96","     475148","            74104501.00","       4931","     221376","         46.59"
"MCLEODRUSS","EQ","04-Sep-2018","        153.25","        153.70","        154.35","        150.05","        153.00","        153.00","        152.67","     264952","            40451178.05","       2556","     153607","         57.98"
"MCLEODRUSS","EQ","05-Sep-2018","        153.00","        152.20","        156.70","        150.20","        155.90","        154.30","        153.81","     321071","            49383319.95","       3584","     113378","         35.31"
"MCLEODRUSS","EQ","06-Sep-2018","        154.30","        155.00","        156.90","        153.40","        155.20","        155.60","        155.61","     686034","           106753122.85","       3754","     516603","         75.30"
"MCLEODRUSS","EQ","07-Sep-2018","        155.60","        154.35","        166.80","        153.65","        165.95","        165.95","        162.91","     730213","           118955893.00","       8306","     295691","         40.49"
"MCLEODRUSS","EQ","10-Sep-2018","        165.95","        168.70","        174.90","        163.00","        165.00","        165.35","        169.12","    1234253","           208733245.45","      11112","     581067","         47.08"
"MCLEODRUSS","EQ","11-Sep-2018","        165.35","        166.55","        169.30","        158.35","        159.00","        161.15","        164.83","     324535","            53493981.30","       3431","     116431","         35.88"
"MCLEODRUSS","EQ","12-Sep-2018","        161.15","        157.10","        162.45","        153.20","        156.20","        155.70","        155.40","     254208","            39503883.75","       3556","     103372","         40.66"
"MCLEODRUSS","EQ","14-Sep-2018","        155.70","        156.85","        159.50","        154.30","        159.00","        158.65","        156.05","     488429","            76217708.45","       3203","     365975","         74.93"
"MCLEODRUSS","EQ","17-Sep-2018","        158.65","        157.00","        163.00","        156.60","        159.45","        158.85","        159.41","     735580","           117256966.45","       3323","     537016","         73.01"
"MCLEODRUSS","EQ","18-Sep-2018","        158.85","        160.80","        161.10","        155.00","        157.75","        157.00","        157.55","     712535","           112262283.30","      11132","     232052","         32.57"
"MCLEODRUSS","EQ","19-Sep-2018","        157.00","        158.55","        159.60","        156.40","        157.00","        157.50","        157.62","     136786","            21559689.65","       3354","      83742","         61.22"
"MCLEODRUSS","EQ","21-Sep-2018","        157.50","        159.50","        159.50","        145.45","        151.00","        152.15","        153.18","     619362","            94875641.25","       6616","     446887","         72.15"
"MCLEODRUSS","EQ","24-Sep-2018","        152.15","        156.25","        159.00","        145.30","        148.00","        148.65","        149.52","     295986","            44255197.15","       4300","     105135","         35.52"
"MCLEODRUSS","EQ","25-Sep-2018","        148.65","        146.25","        151.90","        142.30","        151.90","        150.55","        146.97","     140641","            20670528.45","       1687","      65808","         46.79"
"MCLEODRUSS","EQ","26-Sep-2018","        150.55","        151.00","        152.75","        146.10","        150.00","        150.45","        148.70","     108890","            16191448.50","       1494","      62262","         57.18"
"MCLEODRUSS","EQ","27-Sep-2018","        150.45","        151.00","        151.00","        147.05","        148.05","        148.10","        148.77","     125899","            18730589.00","        897","      91937","         73.02"
"MCLEODRUSS","EQ","28-Sep-2018","        148.10","        147.05","        150.10","        142.10","        148.40","        145.30","        145.04","     260713","            37813834.40","       4548","     113637","         43.59"
"MCLEODRUSS","EQ","01-Oct-2018","        145.30","        144.00","        154.95","        140.10","        154.50","        151.60","        145.53","     173466","            25244010.00","       3098","      86356","         49.78"
"MCLEODRUSS","EQ","03-Oct-2018","        151.60","        152.10","        152.35","        146.25","        150.55","        149.25","        149.65","     120294","            18001803.65","       2311","      59861","         49.76"
"MCLEODRUSS","EQ","04-Oct-2018","        149.25","        147.45","        149.45","        144.15","        149.25","        148.45","        146.72","     134669","            19758787.45","       1784","      77981","         57.91"
"MCLEODRUSS","EQ","05-Oct-2018","        148.45","        145.00","        147.15","        140.00","        140.50","        142.40","        143.32","     271336","            38889044.10","       3096","     214799","         79.16"
"MCLEODRUSS","EQ","08-Oct-2018","        142.40","        142.40","        142.45","        135.50","        141.00","        141.05","        139.60","     312217","            43586423.10","       2715","     224867","         72.02"
"MCLEODRUSS","EQ","09-Oct-2018","        141.05","        139.45","        142.00","        138.45","        139.70","        140.70","        140.60","      98632","            13867651.30","       1481","      58651","         59.46"
"MCLEODRUSS","EQ","10-Oct-2018","        140.70","        140.00","        142.45","        139.85","        141.05","        140.95","        141.55","     123904","            17538035.45","       1899","      82821","         66.84"
"MCLEODRUSS","EQ","11-Oct-2018","        140.95","        138.00","        141.10","        136.00","        141.00","        140.30","        139.26","     153763","            21413656.30","       3186","     112514","         73.17"
"MCLEODRUSS","EQ","12-Oct-2018","        140.30","        141.00","        142.50","        139.60","        141.50","        141.45","        141.37","      96517","            13645021.95","       2706","      66235","         68.63"
"MCLEODRUSS","EQ","15-Oct-2018","        141.45","        144.00","        144.90","        138.20","        141.40","        141.55","        141.84","     695269","            98618023.90","      11673","     369659","         53.17"
"MCLEODRUSS","EQ","16-Oct-2018","        141.55","        143.20","        144.00","        138.00","        138.50","        138.85","        140.60","     351478","            49418680.40","       4692","     210952","         60.02"
"MCLEODRUSS","EQ","17-Oct-2018","        138.85","        139.80","        139.95","        134.50","        134.60","        135.20","        136.97","     122562","            16786937.55","       1835","      69559","         56.75"
"MCLEODRUSS","EQ","19-Oct-2018","        135.20","        135.20","        135.25","        130.40","        133.10","        132.25","        131.92","     283243","            37364367.90","       2025","     189664","         66.96"
"MCLEODRUSS","EQ","22-Oct-2018","        132.25","        134.45","        134.45","        130.20","        130.30","        131.00","        131.63","      47980","             6315637.55","       1342","      23234","         48.42"
"MCLEODRUSS","EQ","23-Oct-2018","        131.00","        128.05","        131.40","        127.50","        130.70","        129.90","        129.86","     119699","            15543871.05","       1515","      70868","         59.21"
"MCLEODRUSS","EQ","24-Oct-2018","        129.90","        130.75","        131.85","        128.60","        130.00","        130.10","        130.15","      41530","             5405283.65","        808","      22011","         53.00"
"MCLEODRUSS","EQ","25-Oct-2018","        130.10","        128.00","        131.35","        128.00","        130.30","        129.95","        129.47","      53467","             6922387.25","        732","      29629","         55.42"
"MCLEODRUSS","EQ","26-Oct-2018","        129.95","        129.95","        133.90","        128.65","        130.00","        131.45","        131.36","      83590","            10980241.90","       1347","      24613","         29.44"
