"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"METALFORGE","BE","30-Aug-2018","         12.60","         12.65","         13.00","         12.60","         12.65","         12.85","         12.86","      36067","              463792.30","        121","-","-"
"METALFORGE","BE","31-Aug-2018","         12.85","         12.25","         13.45","         12.25","         13.45","         13.45","         13.31","      61923","              824187.00","        214","-","-"
"METALFORGE","BE","03-Sep-2018","         13.45","         14.10","         14.10","         13.50","         14.10","         14.10","         14.06","      68691","              965805.10","        219","-","-"
"METALFORGE","BE","04-Sep-2018","         14.10","         14.75","         14.80","         14.10","         14.80","         14.75","         14.66","      54890","              804624.90","        285","-","-"
"METALFORGE","BE","05-Sep-2018","         14.75","         14.95","         15.40","         14.05","         14.55","         14.50","         14.50","      39196","              568259.40","        231","-","-"
"METALFORGE","BE","06-Sep-2018","         14.50","         15.00","         15.20","         14.60","         15.00","         14.60","         14.95","      20661","              308959.10","        128","-","-"
"METALFORGE","BE","07-Sep-2018","         14.60","         15.00","         15.15","         14.10","         14.55","         14.45","         14.69","      33353","              490078.15","        214","-","-"
"METALFORGE","BE","10-Sep-2018","         14.45","         14.80","         15.10","         14.25","         14.90","         14.90","         14.75","      16033","              236408.15","         98","-","-"
"METALFORGE","BE","11-Sep-2018","         14.90","         14.90","         15.15","         14.30","         14.85","         14.80","         14.73","      13320","              196202.15","        154","-","-"
"METALFORGE","BE","12-Sep-2018","         14.80","         14.50","         14.85","         14.10","         14.45","         14.35","         14.28","      22557","              322088.00","        145","-","-"
"METALFORGE","BE","14-Sep-2018","         14.35","         14.30","         15.05","         14.30","         15.00","         14.70","         14.79","      30123","              445519.15","        131","-","-"
"METALFORGE","BE","17-Sep-2018","         14.70","         15.40","         15.40","         14.35","         14.70","         15.05","         15.09","      30832","              465157.40","        141","-","-"
"METALFORGE","BE","18-Sep-2018","         15.05","         14.50","         15.50","         14.40","         15.00","         14.65","         14.85","      12871","              191170.85","        122","-","-"
"METALFORGE","BE","19-Sep-2018","         14.65","         15.25","         15.25","         13.95","         14.25","         14.25","         14.15","      18185","              257390.00","        132","-","-"
"METALFORGE","BE","21-Sep-2018","         14.25","         14.90","         14.90","         13.55","         13.95","         13.95","         14.18","      24652","              349538.65","        176","-","-"
"METALFORGE","BE","24-Sep-2018","         13.95","         13.55","         14.50","         13.50","         13.95","         13.80","         13.74","      10005","              137420.30","         81","-","-"
"METALFORGE","BE","25-Sep-2018","         13.80","         14.00","         14.00","         13.15","         13.15","         13.40","         13.31","      15784","              210017.65","        121","-","-"
"METALFORGE","BE","26-Sep-2018","         13.40","         13.80","         14.05","         13.10","         13.50","         13.20","         13.67","      28183","              385126.85","         90","-","-"
