"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MHRIL","EQ","30-Aug-2018","        254.50","        256.10","        257.50","        251.80","        253.00","        252.70","        254.01","     139753","            35498558.95","       7347","     113145","         80.96"
"MHRIL","EQ","31-Aug-2018","        252.70","        254.75","        257.00","        252.35","        254.50","        254.70","        254.12","      86290","            21928277.20","       5636","      65903","         76.37"
"MHRIL","EQ","03-Sep-2018","        254.70","        255.75","        256.50","        245.25","        247.95","        249.10","        252.52","     128587","            32470404.95","       2506","     101483","         78.92"
"MHRIL","EQ","04-Sep-2018","        249.10","        247.50","        252.70","        246.05","        246.40","        246.80","        249.82","     106957","            26720381.70","       6070","      78993","         73.85"
"MHRIL","EQ","05-Sep-2018","        246.80","        249.00","        250.75","        244.50","        248.00","        247.10","        246.88","      82199","            20293297.60","       4070","      40606","         49.40"
"MHRIL","EQ","06-Sep-2018","        247.10","        249.45","        249.50","        244.80","        246.40","        245.90","        246.13","      36764","             9048679.55","       1245","      22209","         60.41"
"MHRIL","EQ","07-Sep-2018","        245.90","        247.30","        255.05","        243.00","        255.00","        253.05","        250.47","      79220","            19842365.45","       1820","      48384","         61.08"
"MHRIL","EQ","10-Sep-2018","        253.05","        253.45","        255.00","        250.00","        252.00","        253.10","        252.09","      30388","             7660576.10","       1331","      17145","         56.42"
"MHRIL","EQ","11-Sep-2018","        253.10","        254.35","        257.45","        246.00","        246.65","        247.95","        250.67","      61880","            15511535.40","       1972","      36360","         58.76"
"MHRIL","EQ","12-Sep-2018","        247.95","        245.10","        248.20","        243.05","        244.00","        244.75","        244.79","      51161","            12523556.45","       1681","      33737","         65.94"
"MHRIL","EQ","14-Sep-2018","        244.75","        248.40","        250.50","        243.20","        244.70","        246.15","        245.81","      70826","            17409594.25","       3628","      46105","         65.10"
"MHRIL","EQ","17-Sep-2018","        246.15","        247.45","        249.60","        243.70","        246.00","        245.65","        246.24","     181095","            44592688.35","       3644","     142167","         78.50"
"MHRIL","EQ","18-Sep-2018","        245.65","        247.45","        247.45","        240.10","        241.80","        242.85","        243.41","      34136","             8308941.80","       1299","      23076","         67.60"
"MHRIL","EQ","19-Sep-2018","        242.85","        241.00","        243.20","        238.10","        239.15","        240.70","        240.66","      43659","            10507029.45","       1827","      31439","         72.01"
"MHRIL","EQ","21-Sep-2018","        240.70","        241.00","        250.30","        228.95","        240.00","        236.85","        240.23","     128092","            30771284.20","       3170","      96497","         75.33"
"MHRIL","EQ","24-Sep-2018","        236.85","        238.00","        238.05","        227.40","        229.00","        230.60","        230.94","      45118","            10419689.00","       1437","      28897","         64.05"
"MHRIL","EQ","25-Sep-2018","        230.60","        230.45","        231.75","        224.50","        227.00","        227.65","        227.20","      96368","            21895206.65","       2537","      68228","         70.80"
"MHRIL","EQ","26-Sep-2018","        227.65","        230.00","        230.90","        225.30","        226.10","        226.90","        226.94","      49479","            11228688.95","       2281","      29087","         58.79"
"MHRIL","EQ","27-Sep-2018","        226.90","        225.10","        228.35","        219.00","        222.00","        224.10","        223.37","      57979","            12950582.60","       2184","      36832","         63.53"
"MHRIL","EQ","28-Sep-2018","        224.10","        224.00","        226.95","        208.20","        214.50","        214.45","        217.62","     104606","            22764690.05","       3943","      78064","         74.63"
"MHRIL","EQ","01-Oct-2018","        214.45","        209.90","        217.00","        208.20","        212.00","        214.30","        213.79","      83788","            17912837.65","       3659","      63903","         76.27"
"MHRIL","EQ","03-Oct-2018","        214.30","        214.95","        221.50","        210.00","        218.90","        218.50","        216.67","      48270","            10458641.60","       2260","      25460","         52.74"
"MHRIL","EQ","04-Oct-2018","        218.50","        212.05","        224.70","        212.05","        218.00","        219.35","        218.15","      47981","            10467156.95","       3049","      31674","         66.01"
"MHRIL","EQ","05-Oct-2018","        219.35","        214.95","        218.95","        210.05","        210.95","        213.10","        214.49","      58004","            12441171.80","       2428","      42002","         72.41"
"MHRIL","EQ","08-Oct-2018","        213.10","        212.00","        216.95","        205.05","        208.00","        207.90","        209.41","      75328","            15774397.75","       2903","      48532","         64.43"
"MHRIL","EQ","09-Oct-2018","        207.90","        209.25","        209.65","        200.30","        208.00","        203.65","        203.76","      44506","             9068567.55","       2034","      26846","         60.32"
"MHRIL","EQ","10-Oct-2018","        203.65","        204.00","        207.45","        199.10","        199.75","        199.95","        200.71","     218339","            43822637.65","       6101","     185687","         85.05"
"MHRIL","EQ","11-Oct-2018","        199.95","        197.70","        204.45","        195.10","        201.00","        200.00","        199.90","      63249","            12643500.10","       2114","      45974","         72.69"
"MHRIL","EQ","12-Oct-2018","        200.00","        204.40","        210.00","        197.00","        199.95","        199.80","        201.29","     140150","            28211017.60","       3929","     105647","         75.38"
"MHRIL","EQ","15-Oct-2018","        199.80","        203.60","        203.60","        198.15","        199.55","        199.15","        200.11","      84250","            16859180.70","       4563","      63247","         75.07"
"MHRIL","EQ","16-Oct-2018","        199.15","        199.00","        214.80","        199.00","        207.10","        206.85","        208.94","     199261","            41633604.60","       5358","     125772","         63.12"
"MHRIL","EQ","17-Oct-2018","        206.85","        210.90","        211.95","        190.25","        192.00","        194.85","        203.22","     156555","            31814604.60","       4858","     113173","         72.29"
"MHRIL","EQ","19-Oct-2018","        194.85","        193.25","        204.45","        192.25","        202.00","        202.90","        198.04","      94311","            18677008.15","       2646","      58310","         61.83"
"MHRIL","EQ","22-Oct-2018","        202.90","        203.80","        208.80","        203.05","        207.55","        207.85","        206.31","      44444","             9169192.50","       1416","      29933","         67.35"
"MHRIL","EQ","23-Oct-2018","        207.85","        206.50","        210.80","        202.60","        209.75","        208.90","        207.77","      75169","            15618100.25","       1069","      64757","         86.15"
"MHRIL","EQ","24-Oct-2018","        208.90","        210.20","        211.35","        204.35","        209.00","        208.65","        209.03","      41403","             8654385.00","       2141","      24310","         58.72"
"MHRIL","EQ","25-Oct-2018","        208.65","        208.00","        209.00","        202.55","        204.85","        203.75","        204.80","      41287","             8455688.60","       3093","      26687","         64.64"
"MHRIL","EQ","26-Oct-2018","        203.75","        203.00","        210.75","        200.10","        209.00","        209.45","        208.52","      41184","             8587673.65","       2059","      26342","         63.96"
"MHRIL","EQ","29-Oct-2018","        209.45","        211.00","        219.00","        207.00","        212.40","        213.25","        213.96","      61451","            13148240.85","       2204","      42449","         69.08"
"MHRIL","EQ","30-Oct-2018","        213.25","        208.15","        217.50","        203.00","        215.15","        216.25","        210.84","      84216","            17756306.60","       2579","      33656","         39.96"
"MHRIL","EQ","31-Oct-2018","        216.25","        216.90","        217.45","        207.65","        214.90","        214.50","        214.63","      76639","            16449081.80","       1991","      61260","         79.93"
"MHRIL","EQ","01-Nov-2018","        214.50","        215.95","        238.00","        215.95","        227.00","        228.05","        227.54","     139236","            31681711.95","       3499","      77109","         55.38"
"MHRIL","EQ","02-Nov-2018","        228.05","        229.85","        231.00","        220.00","        221.20","        221.55","        224.81","      59220","            13313126.35","       2528","      31767","         53.64"
"MHRIL","EQ","05-Nov-2018","        221.55","        222.40","        227.65","        217.70","        226.05","        224.90","        223.11","      28068","             6262140.95","       1571","      15599","         55.58"
"MHRIL","EQ","06-Nov-2018","        224.90","        226.85","        226.85","        219.60","        223.00","        221.20","        222.33","      25845","             5746026.05","       1221","      15977","         61.82"
"MHRIL","EQ","07-Nov-2018","        221.20","        225.50","        225.50","        220.25","        224.70","        223.35","        223.62","       8051","             1800381.50","        287","       6031","         74.91"
"MHRIL","EQ","09-Nov-2018","        223.35","        221.05","        224.75","        219.70","        222.00","        222.75","        222.14","      12429","             2760985.60","        692","       5710","         45.94"
"MHRIL","EQ","12-Nov-2018","        222.75","        224.75","        229.80","        222.50","        224.05","        225.50","        227.69","      72885","            16595515.25","       2053","      53992","         74.08"
"MHRIL","EQ","13-Nov-2018","        225.50","        227.00","        227.00","        220.00","        222.55","        223.30","        222.51","      19774","             4399843.50","       1249","      12690","         64.18"
"MHRIL","EQ","14-Nov-2018","        223.30","        224.95","        224.95","        218.05","        219.05","        220.70","        221.09","      13579","             3002194.35","        746","       6929","         51.03"
"MHRIL","EQ","15-Nov-2018","        220.70","        221.00","        221.00","        213.30","        216.50","        216.75","        215.86","      24502","             5289091.50","       1694","      12442","         50.78"
"MHRIL","EQ","16-Nov-2018","        216.75","        217.70","        218.65","        214.65","        217.50","        217.15","        216.23","      11479","             2482097.85","        824","       5095","         44.39"
"MHRIL","EQ","19-Nov-2018","        217.15","        222.00","        224.00","        215.00","        217.80","        216.80","        220.04","      49032","            10789181.60","       1711","      17448","         35.58"
