"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MIC","EQ","30-Aug-2018","          2.75","          2.85","          2.90","          2.75","          2.85","          2.85","          2.81","      95355","              268172.85","        179","      57025","         59.80"
"MIC","EQ","31-Aug-2018","          2.85","          2.95","          2.95","          2.85","          2.95","          2.90","          2.89","      41999","              121535.65","         94","      30439","         72.48"
"MIC","EQ","03-Sep-2018","          2.90","          2.85","          2.95","          2.75","          2.90","          2.85","          2.84","     129216","              366535.10","        209","      87054","         67.37"
"MIC","EQ","04-Sep-2018","          2.85","          2.90","          2.90","          2.80","          2.80","          2.85","          2.84","      81651","              231863.80","        141","      62527","         76.58"
"MIC","EQ","05-Sep-2018","          2.85","          2.70","          2.85","          2.70","          2.80","          2.75","          2.76","     123048","              339003.30","        156","      96240","         78.21"
"MIC","EQ","06-Sep-2018","          2.75","          2.70","          2.75","          2.65","          2.65","          2.70","          2.70","     101659","              274617.70","        164","      85373","         83.98"
"MIC","EQ","07-Sep-2018","          2.70","          2.65","          2.75","          2.60","          2.70","          2.65","          2.66","     155079","              411894.80","        180","     101303","         65.32"
"MIC","EQ","10-Sep-2018","          2.65","          2.65","          2.75","          2.55","          2.65","          2.60","          2.61","     140439","              367090.95","        163","     130788","         93.13"
"MIC","EQ","11-Sep-2018","          2.60","          2.65","          2.70","          2.55","          2.65","          2.60","          2.64","     108479","              286389.00","        125","      72508","         66.84"
"MIC","EQ","12-Sep-2018","          2.60","          2.60","          2.60","          2.50","          2.50","          2.55","          2.53","     139138","              351930.85","        182","     121387","         87.24"
"MIC","EQ","14-Sep-2018","          2.55","          2.60","          2.65","          2.50","          2.60","          2.55","          2.58","      92342","              237819.65","        134","      60662","         65.69"
"MIC","EQ","17-Sep-2018","          2.55","          2.60","          2.65","          2.55","          2.55","          2.55","          2.60","     129096","              335430.25","        154","      93932","         72.76"
"MIC","EQ","18-Sep-2018","          2.55","          2.65","          2.65","          2.55","          2.55","          2.60","          2.60","      65372","              169881.70","        117","      51869","         79.34"
"MIC","EQ","19-Sep-2018","          2.60","          2.50","          2.60","          2.45","          2.45","          2.45","          2.52","     131022","              330257.00","        169","      98973","         75.54"
"MIC","EQ","21-Sep-2018","          2.45","          2.65","          2.65","          2.40","          2.45","          2.40","          2.51","     271185","              679793.55","        230","     165428","         61.00"
"MIC","EQ","24-Sep-2018","          2.40","          2.35","          2.45","          2.25","          2.25","          2.30","          2.30","     182057","              418650.85","        229","     144310","         79.27"
