"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MINDSPACE","RR","07-Aug-2020","        275.00","        302.00","        307.20","        300.00","        303.00","        303.70","        302.82","   27014200","          8180310186.00","      22043","   23824600","         88.19"
"MINDSPACE","RR","10-Aug-2020","        303.70","        305.00","        308.00","        300.00","        302.00","        300.07","        301.87","    2130800","           643230876.00","       2587","    1925800","         90.38"
"MINDSPACE","RR","11-Aug-2020","        300.07","        303.60","        304.00","        301.15","        302.00","        302.06","        302.75","     876200","           265273764.00","       1647","     761600","         86.92"
"MINDSPACE","RR","12-Aug-2020","        302.06","        302.90","        303.00","        300.25","        300.30","        300.46","        301.82","     634400","           191477430.00","        798","     605600","         95.46"
"MINDSPACE","RR","13-Aug-2020","        300.46","        301.28","        303.00","        300.00","        302.00","        301.04","        300.50","     957000","           287576210.00","       1358","     895800","         93.61"
"MINDSPACE","RR","14-Aug-2020","        301.04","        304.00","        304.00","        299.90","        301.05","        300.20","        300.98","     879000","           264559654.00","       1070","     829400","         94.36"
"MINDSPACE","RR","17-Aug-2020","        300.20","        299.20","        301.00","        299.20","        300.05","        300.04","        300.11","     644000","           193273848.00","        762","     608200","         94.44"
"MINDSPACE","RR","18-Aug-2020","        300.04","        301.50","        302.00","        300.00","        301.25","        301.67","        300.63","     452000","           135882898.00","       1027","     430600","         95.27"
"MINDSPACE","RR","19-Aug-2020","        301.67","        301.00","        306.50","        300.50","        305.40","        305.27","        303.76","     262200","            79645488.00","        518","     219800","         83.83"
"MINDSPACE","RR","20-Aug-2020","        305.27","        305.00","        308.90","        303.15","        308.00","        308.35","        306.19","     102400","            31353574.00","        305","      83600","         81.64"
"MINDSPACE","RR","21-Aug-2020","        308.35","        307.98","        316.94","        307.98","        313.15","        313.43","        311.04","     231800","            72099124.00","        482","     207800","         89.65"
"MINDSPACE","RR","24-Aug-2020","        313.43","        314.51","        315.01","        313.00","        314.00","        314.36","        314.20","     128000","            40217480.00","        262","     117600","         91.88"
"MINDSPACE","RR","25-Aug-2020","        314.36","        314.00","        314.00","        311.03","        313.05","        313.51","        313.05","     149400","            46769470.00","        360","     135200","         90.50"
"MINDSPACE","RR","26-Aug-2020","        313.51","        313.51","        315.85","        313.00","        314.80","        314.80","        314.86","    1256600","           395647282.00","        527","    1240000","         98.68"
"MINDSPACE","RR","27-Aug-2020","        314.80","        315.00","        315.85","        313.56","        315.45","        315.02","        314.38","     111200","            34959302.00","        271","     105800","         95.14"
"MINDSPACE","RR","28-Aug-2020","        315.02","        315.00","        315.96","        312.30","        314.00","        314.44","        313.71","     142400","            44671818.00","        438","     115800","         81.32"
