"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MIRZAINT","EQ","30-Aug-2018","         97.15","         97.80","        100.80","         97.05","         98.60","         98.15","         98.67","     218148","            21524586.15","       2993","     104216","         47.77"
"MIRZAINT","EQ","31-Aug-2018","         98.15","         98.45","         99.00","         97.20","         98.05","         98.30","         98.12","     117271","            11506973.70","       1311","      52776","         45.00"
"MIRZAINT","EQ","03-Sep-2018","         98.30","         98.35","         99.20","         97.25","         97.85","         97.55","         98.08","     146312","            14349594.25","       1357","      94757","         64.76"
"MIRZAINT","EQ","04-Sep-2018","         97.55","         97.95","         97.95","         95.10","         95.15","         95.40","         96.41","     120858","            11651636.45","       1551","      74312","         61.49"
"MIRZAINT","EQ","05-Sep-2018","         95.40","         97.80","         97.95","         94.50","         95.60","         95.65","         95.69","     272575","            26081416.00","       3421","      86907","         31.88"
"MIRZAINT","EQ","06-Sep-2018","         95.65","         96.40","         96.45","         93.90","         94.15","         94.40","         94.63","     192221","            18189363.50","       1689","     128389","         66.79"
"MIRZAINT","EQ","07-Sep-2018","         94.40","         94.50","         95.75","         93.70","         94.55","         94.60","         94.84","     199530","            18922743.65","       1396","     133317","         66.82"
"MIRZAINT","EQ","10-Sep-2018","         94.60","         95.00","         95.40","         94.00","         94.60","         94.60","         94.57","     116150","            10984857.70","       1213","      59708","         51.41"
"MIRZAINT","EQ","11-Sep-2018","         94.60","         94.60","         95.80","         93.45","         94.00","         93.90","         94.63","      85798","             8118881.75","        779","      58516","         68.20"
"MIRZAINT","EQ","12-Sep-2018","         93.90","         94.00","         94.05","         92.10","         93.80","         93.55","         93.01","     105330","             9796371.00","       1091","      65154","         61.86"
"MIRZAINT","EQ","14-Sep-2018","         93.55","         95.50","         96.35","         94.50","         94.80","         94.90","         95.17","      93935","             8939922.90","       1035","      50582","         53.85"
"MIRZAINT","EQ","17-Sep-2018","         94.90","         94.90","         94.90","         93.00","         93.40","         93.25","         93.59","      67951","             6359532.35","        861","      40323","         59.34"
"MIRZAINT","EQ","18-Sep-2018","         93.25","         93.65","         98.00","         92.45","         93.20","         92.85","         94.07","      89054","             8377721.80","       1042","      57104","         64.12"
"MIRZAINT","EQ","19-Sep-2018","         92.85","         93.35","        109.75","         92.20","         98.00","         97.55","         99.02","    1121705","           111068338.15","       9214","     256465","         22.86"
"MIRZAINT","EQ","21-Sep-2018","         97.55","         98.25","         99.70","         82.20","         90.55","         91.45","         94.85","     523073","            49612670.00","       5675","     176456","         33.73"
"MIRZAINT","EQ","24-Sep-2018","         91.45","         93.20","         93.30","         85.50","         87.10","         87.70","         88.73","     182947","            16233183.05","       2151","     105844","         57.86"
"MIRZAINT","EQ","25-Sep-2018","         87.70","         87.90","         89.85","         85.70","         87.50","         87.45","         87.48","     169523","            14830568.75","       2140","      82346","         48.58"
"MIRZAINT","EQ","26-Sep-2018","         87.45","         88.15","         89.90","         87.05","         88.20","         88.40","         88.63","     105465","             9347740.50","       1681","      44081","         41.80"
"MIRZAINT","EQ","27-Sep-2018","         88.40","         91.00","         92.00","         87.40","         87.45","         88.40","         89.76","     332827","            29875881.50","       3594","      90444","         27.17"
"MIRZAINT","EQ","28-Sep-2018","         88.40","         88.40","         88.85","         81.50","         82.50","         82.70","         84.90","     259923","            22067046.70","       3141","     156158","         60.08"
"MIRZAINT","EQ","01-Oct-2018","         82.70","         82.50","         83.00","         77.00","         79.80","         80.10","         79.44","     243891","            19373978.25","       2399","     133455","         54.72"
"MIRZAINT","EQ","03-Oct-2018","         80.10","         80.55","         84.45","         79.10","         79.80","         80.05","         80.80","     253410","            20475688.00","       3963","     120137","         47.41"
"MIRZAINT","EQ","04-Oct-2018","         80.05","         79.00","         79.75","         77.25","         77.75","         78.00","         78.66","     248291","            19531082.55","       1697","     181824","         73.23"
"MIRZAINT","EQ","05-Oct-2018","         78.00","         78.95","         79.40","         75.55","         76.95","         76.65","         77.42","     134820","            10437414.40","       1779","      56013","         41.55"
"MIRZAINT","EQ","08-Oct-2018","         76.65","         75.55","         76.85","         68.10","         70.90","         70.30","         71.77","     306956","            22030557.55","       2417","     211844","         69.01"
"MIRZAINT","EQ","09-Oct-2018","         70.30","         71.05","         73.50","         71.05","         72.90","         72.70","         72.13","     103180","             7442171.25","       1252","      50523","         48.97"
"MIRZAINT","EQ","10-Oct-2018","         72.70","         73.00","         81.55","         71.70","         76.90","         77.90","         76.38","     226062","            17267322.30","       2734","     118713","         52.51"
"MIRZAINT","EQ","11-Oct-2018","         77.90","         74.80","         76.40","         71.20","         73.80","         73.75","         74.47","     676104","            50351436.30","       3811","     327030","         48.37"
"MIRZAINT","EQ","12-Oct-2018","         73.75","         74.45","         76.50","         74.30","         75.30","         75.45","         75.43","     230641","            17397271.30","       2077","      84949","         36.83"
"MIRZAINT","EQ","15-Oct-2018","         75.45","         76.30","         79.80","         75.60","         79.50","         78.95","         77.59","     266733","            20695193.60","       2790","      92728","         34.76"
"MIRZAINT","EQ","16-Oct-2018","         78.95","         79.90","         83.65","         79.05","         83.00","         83.10","         82.38","     273532","            22534186.40","       2500","     123582","         45.18"
"MIRZAINT","EQ","17-Oct-2018","         83.10","         84.50","         84.50","         80.00","         80.00","         80.25","         82.06","     108257","             8883632.65","       1275","      46743","         43.18"
"MIRZAINT","EQ","19-Oct-2018","         80.25","         78.30","         80.65","         77.55","         80.50","         79.75","         78.80","      72367","             5702764.10","       1311","      29895","         41.31"
"MIRZAINT","EQ","22-Oct-2018","         79.75","         80.75","         80.75","         76.65","         77.10","         77.05","         77.90","      72831","             5673614.95","        962","      39664","         54.46"
"MIRZAINT","EQ","23-Oct-2018","         77.05","         77.60","         77.60","         74.15","         75.00","         75.00","         75.86","      64090","             4861929.65","       1042","      36652","         57.19"
"MIRZAINT","EQ","24-Oct-2018","         75.00","         75.65","         76.70","         74.30","         75.50","         75.25","         75.47","      76972","             5809345.55","        960","      26366","         34.25"
