"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MMP","SM","30-Aug-2018","        241.90","        241.00","        241.00","        240.00","        241.00","        240.30","        240.58","      26400","             6351420.00","         11","      25200","         95.45"
"MMP","SM","31-Aug-2018","        240.30","        241.00","        242.00","        241.00","        241.70","        241.70","        241.68","       2400","              580020.00","          4","       1800","         75.00"
"MMP","SM","03-Sep-2018","        241.70","        241.00","        241.00","        240.00","        240.00","        240.00","        240.17","       3600","              864600.00","          6","       3600","        100.00"
"MMP","SM","04-Sep-2018","        240.00","        239.00","        239.00","        230.00","        230.00","        230.00","        232.97","      22200","             5171850.00","         31","      18600","         83.78"
"MMP","SM","05-Sep-2018","        230.00","        230.00","        231.00","        228.65","        230.00","        230.00","        230.08","      49800","            11457840.00","         16","      48000","         96.39"
"MMP","SM","06-Sep-2018","        230.00","        230.00","        230.00","        228.00","        228.00","        228.00","        228.64","      19800","             4527030.00","          9","      19200","         96.97"
"MMP","SM","07-Sep-2018","        228.00","        230.00","        230.00","        227.00","        228.00","        228.00","        228.25","      83400","            19035960.00","         22","      82800","         99.28"
"MMP","SM","11-Sep-2018","        228.00","        227.00","        227.00","        224.00","        224.00","        224.00","        225.80","       3000","              677400.00","          5","       3000","        100.00"
"MMP","SM","12-Sep-2018","        224.00","        226.00","        230.00","        222.00","        227.00","        227.00","        227.94","     126000","            28720530.00","         59","     120000","         95.24"
"MMP","SM","14-Sep-2018","        227.00","        227.00","        227.00","        226.00","        226.00","        226.00","        226.50","       1200","              271800.00","          2","       1200","        100.00"
"MMP","SM","17-Sep-2018","        226.00","        227.50","        227.50","        223.00","        223.00","        223.00","        224.65","       6000","             1347900.00","          6","       6000","        100.00"
"MMP","SM","18-Sep-2018","        223.00","        222.50","        224.00","        221.00","        221.00","        221.00","        223.66","      54000","            12077880.00","          8","      53400","         98.89"
"MMP","SM","19-Sep-2018","        221.00","        220.00","        220.00","        213.00","        213.00","        213.00","        216.71","       4200","              910200.00","          6","       4200","        100.00"
"MMP","SM","21-Sep-2018","        213.00","        221.00","        221.00","        211.00","        211.00","        211.80","        214.90","      12000","             2578800.00","         16","      11400","         95.00"
"MMP","SM","24-Sep-2018","        211.80","        216.00","        216.00","        211.00","        211.10","        211.10","        213.73","       6000","             1282350.00","         10","       6000","        100.00"
"MMP","SM","25-Sep-2018","        211.10","        210.10","        210.25","        209.00","        210.25","        210.25","        209.92","       4800","             1007610.00","          7","       2400","         50.00"
"MMP","SM","26-Sep-2018","        210.25","        217.00","        218.00","        217.00","        218.00","        218.00","        217.70","       2400","              522480.00","          4","       2400","        100.00"
"MMP","SM","27-Sep-2018","        218.00","        214.00","        214.00","        214.00","        214.00","        214.00","        214.00","        600","              128400.00","          1","        600","        100.00"
"MMP","SM","28-Sep-2018","        214.00","        211.05","        211.05","        205.00","        206.00","        206.00","        208.21","       6000","             1249230.00","         10","       5400","         90.00"
"MMP","SM","01-Oct-2018","        206.00","        205.00","        207.95","        200.00","        204.00","        204.00","        204.12","      10200","             2082030.00","         15","       7200","         70.59"
"MMP","SM","03-Oct-2018","        204.00","        203.00","        203.00","        197.00","        197.00","        197.20","        199.80","      22200","             4435650.00","         25","      20400","         91.89"
"MMP","SM","04-Oct-2018","        197.20","        200.00","        205.00","        200.00","        205.00","        205.00","        202.50","       1200","              243000.00","          2","       1200","        100.00"
"MMP","SM","05-Oct-2018","        205.00","        197.00","        197.20","        197.00","        197.00","        197.10","        197.07","       1800","              354720.00","          3","       1800","        100.00"
"MMP","SM","08-Oct-2018","        197.10","        196.00","        199.00","        195.00","        195.00","        195.00","        196.06","      10800","             2117400.00","         14","      10200","         94.44"
"MMP","SM","09-Oct-2018","        195.00","        195.00","        195.00","        191.00","        194.00","        192.20","        192.45","       6600","             1270200.00","          9","       6600","        100.00"
"MMP","SM","10-Oct-2018","        192.20","        196.00","        199.00","        195.00","        197.00","        197.00","        196.01","      93600","            18346860.00","          9","      93600","        100.00"
