"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MOTHERSUMI","EQ","30-Aug-2018","        310.35","        310.25","        312.40","        308.20","        311.00","        309.85","        310.10","    2213750","           686483595.00","      36517","    1113441","         50.30"
"MOTHERSUMI","EQ","31-Aug-2018","        309.85","        310.60","        312.75","        301.00","        304.00","        304.10","        304.80","    3219000","           981147243.00","      62452","    1765279","         54.84"
"MOTHERSUMI","EQ","03-Sep-2018","        304.10","        308.00","        308.35","        303.25","        303.95","        304.65","        305.68","    1287190","           393471919.85","      23974","     457783","         35.56"
"MOTHERSUMI","EQ","04-Sep-2018","        304.65","        305.00","        305.15","        289.00","        290.70","        290.15","        292.71","    5605952","          1640946051.80","      70351","    2832981","         50.54"
"MOTHERSUMI","EQ","05-Sep-2018","        290.15","        289.95","        294.20","        286.90","        294.00","        293.05","        290.25","    2423634","           703470779.65","      61201","    1049550","         43.30"
"MOTHERSUMI","EQ","06-Sep-2018","        293.05","        296.00","        296.00","        286.35","        290.65","        290.70","        290.72","    2106568","           612421245.60","      34389","    1009853","         47.94"
"MOTHERSUMI","EQ","07-Sep-2018","        290.70","        292.65","        308.00","        290.10","        303.50","        303.15","        302.07","    6169464","          1863608008.20","      73716","    1477227","         23.94"
"MOTHERSUMI","EQ","10-Sep-2018","        303.15","        305.10","        306.00","        295.10","        295.25","        296.25","        299.59","    3725055","          1115984508.65","      52030","    1987927","         53.37"
"MOTHERSUMI","EQ","11-Sep-2018","        296.25","        297.95","        298.65","        290.65","        291.25","        291.15","        293.39","    2617400","           767913225.15","      38371","     901460","         34.44"
"MOTHERSUMI","EQ","12-Sep-2018","        291.15","        292.00","        294.40","        282.85","        290.00","        290.60","        289.49","    2521560","           729971917.80","      43113","    1049840","         41.63"
"MOTHERSUMI","EQ","14-Sep-2018","        290.60","        294.00","        296.65","        288.00","        288.35","        288.40","        290.58","    2240147","           650945629.30","      36268","    1237286","         55.23"
"MOTHERSUMI","EQ","17-Sep-2018","        288.40","        287.00","        291.40","        283.00","        286.85","        287.75","        287.09","    2679583","           769292874.65","      33013","    1236811","         46.16"
