"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NEOGEN","BE","08-May-2019","        215.00","        251.00","        263.55","        250.50","        263.55","        263.55","        256.18","    1358653","           348066292.20","      10698","-","-"
"NEOGEN","BE","09-May-2019","        263.55","        270.00","        273.00","        253.30","        270.95","        270.25","        265.78","    1245408","           331009623.05","      23786","-","-"
"NEOGEN","BE","10-May-2019","        270.25","        267.00","        267.00","        256.75","        262.00","        262.05","        261.97","     225767","            59143086.70","       3444","-","-"
"NEOGEN","BE","13-May-2019","        262.05","        255.50","        261.00","        249.05","        258.35","        257.85","        257.91","     187787","            48432375.55","       8781","-","-"
"NEOGEN","BE","14-May-2019","        257.85","        245.00","        257.10","        245.00","        256.00","        255.95","        252.43","     122386","            30894175.30","       3424","-","-"
"NEOGEN","BE","15-May-2019","        255.95","        255.00","        255.95","        247.30","        253.00","        253.25","        253.34","      43968","            11138897.25","       1811","-","-"
"NEOGEN","BE","16-May-2019","        253.25","        247.20","        251.50","        243.00","        245.25","        245.25","        246.98","      23442","             5789638.85","       1591","-","-"
"NEOGEN","BE","17-May-2019","        245.25","        245.50","        252.10","        245.30","        248.00","        249.70","        249.98","     110669","            27665515.95","       5065","-","-"
"NEOGEN","BE","20-May-2019","        249.70","        255.00","        259.95","        252.55","        259.60","        258.15","        257.02","      53700","            13801955.05","       1041","-","-"
"NEOGEN","BE","21-May-2019","        258.15","        260.00","        262.00","        250.00","        261.15","        260.55","        259.07","      37316","             9667271.15","       1377","-","-"
"NEOGEN","EQ","22-May-2019","        260.55","        261.00","        291.85","        261.00","        278.60","        283.20","        278.02","     444417","           123556865.50","       9001","     204052","         45.91"
"NEOGEN","EQ","23-May-2019","        283.20","        285.00","        300.00","        282.60","        289.00","        289.05","        291.87","     231584","            67592905.40","       4574","     112694","         48.66"
"NEOGEN","EQ","24-May-2019","        289.05","        292.00","        300.00","        290.30","        294.85","        295.15","        296.60","     140801","            41761743.15","       2763","     105709","         75.08"
"NEOGEN","EQ","27-May-2019","        295.15","        306.00","        316.80","        280.00","        299.60","        299.55","        306.94","     318442","            97742239.90","      10885","     201185","         63.18"
"NEOGEN","EQ","28-May-2019","        299.55","        301.75","        304.50","        295.45","        300.20","        300.35","        300.26","      68546","            20581359.85","       1867","      37933","         55.34"
"NEOGEN","EQ","29-May-2019","        300.35","        302.00","        302.40","        288.00","        288.30","        290.70","        295.61","      51157","            15122690.45","       1090","      37237","         72.79"
"NEOGEN","EQ","30-May-2019","        290.70","        289.75","        297.80","        285.10","        293.50","        294.40","        292.22","      54877","            16036119.55","       1419","      28060","         51.13"
"NEOGEN","EQ","31-May-2019","        294.40","        297.30","        319.80","        292.35","        303.10","        303.95","        310.10","     260937","            80917839.90","       6263","     117585","         45.06"
"NEOGEN","EQ","03-Jun-2019","        303.95","        306.50","        313.00","        303.70","        310.05","        310.70","        309.21","      52594","            16262788.75","       1201","      32997","         62.74"
"NEOGEN","EQ","04-Jun-2019","        310.70","        311.00","        323.90","        311.00","        317.90","        317.75","        318.91","      96085","            30642677.65","       2869","      55986","         58.27"
