"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RELCONS","EQ","30-Aug-2018","         56.85","         57.00","         57.00","         56.60","         56.90","         56.90","         56.86","       1320","               75050.97","         26","       1281","         97.05"
"RELCONS","EQ","31-Aug-2018","         56.90","         57.09","         57.14","         56.50","         56.89","         56.82","         56.69","       8942","              506881.26","         25","       8941","         99.99"
"RELCONS","EQ","03-Sep-2018","         56.82","         57.00","         59.90","         56.50","         57.00","         57.00","         57.46","       4532","              260406.43","         59","       2715","         59.91"
"RELCONS","EQ","04-Sep-2018","         57.00","         56.11","         56.11","         54.50","         55.02","         55.01","         55.35","       9396","              520060.06","         74","       6827","         72.66"
"RELCONS","EQ","05-Sep-2018","         55.01","         55.10","         55.10","         53.12","         54.50","         54.34","         53.40","      36352","             1941138.49","         60","      32969","         90.69"
"RELCONS","EQ","06-Sep-2018","         54.34","         54.46","         54.46","         53.58","         54.15","         54.15","         53.86","       8184","              440750.21","         49","       7151","         87.38"
"RELCONS","EQ","07-Sep-2018","         54.15","         54.21","         54.70","         54.09","         54.70","         54.70","         54.33","       3296","              179070.79","         27","       3194","         96.91"
"RELCONS","EQ","10-Sep-2018","         54.70","         54.70","         54.70","         54.00","         54.15","         54.19","         54.38","        772","               41978.09","         29","        772","        100.00"
"RELCONS","EQ","11-Sep-2018","         54.19","         54.00","         54.05","         53.38","         53.38","         53.42","         53.81","       3700","              199096.79","         42","       3699","         99.97"
"RELCONS","EQ","12-Sep-2018","         53.42","         53.42","         54.13","         53.28","         54.03","         54.03","         53.64","       6541","              350840.20","         24","       6541","        100.00"
"RELCONS","EQ","14-Sep-2018","         54.03","         54.31","         54.31","         54.00","         54.00","         54.00","         54.12","       1337","               72364.86","         30","       1336","         99.93"
"RELCONS","EQ","17-Sep-2018","         54.00","         55.00","         55.00","         53.85","         53.90","         53.90","         54.00","       1211","               65399.60","         27","       1211","        100.00"
"RELCONS","EQ","18-Sep-2018","         53.90","         53.90","         54.20","         53.65","         53.65","         53.65","         53.99","        813","               43897.36","         20","        757","         93.11"
"RELCONS","EQ","19-Sep-2018","         53.65","         53.89","         53.89","         53.44","         53.44","         53.44","         53.67","        955","               51254.98","         31","        955","        100.00"
"RELCONS","EQ","21-Sep-2018","         53.44","         53.44","         54.00","         51.50","         53.30","         53.29","         52.97","      12792","              677542.95","         56","      12792","        100.00"
"RELCONS","EQ","24-Sep-2018","         53.29","         53.20","         53.20","         51.50","         51.60","         51.60","         51.90","       7062","              366506.93","         68","       7062","        100.00"
"RELCONS","EQ","25-Sep-2018","         51.60","         50.69","         51.74","         50.69","         51.74","         51.74","         51.13","       5237","              267787.47","         34","       4557","         87.02"
"RELCONS","EQ","26-Sep-2018","         51.74","         51.80","         52.19","         51.50","         51.73","         51.73","         51.78","        844","               43704.19","         20","        840","         99.53"
"RELCONS","EQ","27-Sep-2018","         51.73","         51.65","         51.84","         51.08","         51.43","         51.43","         51.43","       2199","              113094.37","         39","       1703","         77.44"
"RELCONS","EQ","28-Sep-2018","         51.43","         55.00","         57.59","         50.20","         50.89","         50.89","         50.94","       3373","              171824.97","         60","       3185","         94.43"
"RELCONS","EQ","01-Oct-2018","         50.89","         50.80","         50.80","         50.07","         50.80","         50.80","         50.25","       1374","               69037.75","         45","        945","         68.78"
"RELCONS","EQ","03-Oct-2018","         50.80","         50.49","         50.49","         49.85","         49.97","         49.90","         50.07","       6781","              339510.37","         62","       6581","         97.05"
"RELCONS","EQ","04-Oct-2018","         49.90","         48.73","         49.18","         48.40","         48.77","         48.77","         48.84","      10256","              500875.81","         87","       8300","         80.93"
"RELCONS","EQ","05-Oct-2018","         48.77","         48.50","         48.50","         47.39","         47.39","         47.53","         47.97","       7795","              373916.70","         85","       7746","         99.37"
"RELCONS","EQ","08-Oct-2018","         47.53","         43.30","         47.53","         40.10","         47.47","         47.50","         47.11","       1620","               76326.20","         56","       1220","         75.31"
"RELCONS","EQ","09-Oct-2018","         47.50","         50.80","         50.80","         46.05","         46.60","         46.60","         46.85","       1483","               69483.16","         38","       1025","         69.12"
"RELCONS","EQ","10-Oct-2018","         46.60","         47.16","         47.90","         47.00","         47.85","         47.85","         47.51","       2549","              121113.05","         40","       2548","         99.96"
"RELCONS","EQ","11-Oct-2018","         47.85","         47.05","         47.40","         46.45","         47.20","         47.15","         46.86","       4422","              207199.60","         36","       3079","         69.63"
"RELCONS","EQ","12-Oct-2018","         47.15","         47.55","         48.55","         47.55","         48.55","         48.55","         48.03","       1697","               81514.15","         24","       1104","         65.06"
"RELCONS","EQ","15-Oct-2018","         48.55","         48.75","         48.75","         48.08","         48.60","         48.60","         48.14","       4435","              213501.13","         21","       4435","        100.00"
"RELCONS","EQ","16-Oct-2018","         48.60","         48.60","         49.00","         48.45","         48.68","         48.68","         48.78","       2196","              107114.90","         22","       2195","         99.95"
"RELCONS","EQ","17-Oct-2018","         48.68","         49.00","         49.00","         48.05","         48.25","         48.25","         48.42","        592","               28665.60","         19","        592","        100.00"
