"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NETFIT","EQ","01-Jul-2020","         14.76","         17.71","         17.71","         14.65","         14.65","         14.65","         14.97","      26187","              391931.87","         55","       8633","         32.97"
"NETFIT","EQ","02-Jul-2020","         14.65","         14.65","         15.74","         14.65","         15.21","         15.26","         15.07","       5602","               84430.24","         31","       2205","         39.36"
"NETFIT","EQ","03-Jul-2020","         15.26","         15.41","         15.41","         15.28","         15.39","         15.38","         15.31","      13559","              207638.93","         18","      13558","         99.99"
"NETFIT","EQ","06-Jul-2020","         15.38","         15.50","         18.16","         15.41","         15.54","         15.55","         16.05","      33643","              540018.25","        168","      18467","         54.89"
"NETFIT","EQ","07-Jul-2020","         15.55","         15.55","         16.29","         15.55","         15.75","         15.74","         15.73","      15727","              247372.78","         53","      10997","         69.92"
"NETFIT","EQ","08-Jul-2020","         15.74","         15.74","         15.76","         15.44","         15.55","         15.50","         15.59","       8654","              134944.78","         55","       5818","         67.23"
"NETFIT","EQ","09-Jul-2020","         15.50","         15.50","         15.62","         15.50","         15.62","         15.55","         15.55","       3476","               54048.38","         31","       2757","         79.32"
"NETFIT","EQ","10-Jul-2020","         15.55","         18.50","         18.50","         15.25","         15.55","         15.59","         15.55","       1918","               29829.33","         37","       1458","         76.02"
"NETFIT","EQ","13-Jul-2020","         15.59","         16.00","         16.33","         15.76","         15.92","         15.91","         15.93","      20495","              326532.99","         66","      14018","         68.40"
"NETFIT","EQ","14-Jul-2020","         15.91","         16.10","         16.10","         15.68","         15.73","         15.73","         15.85","       2659","               42155.90","         31","       2610","         98.16"
"NETFIT","EQ","15-Jul-2020","         15.73","         16.08","         16.67","         16.08","         16.55","         16.55","         16.54","      28017","              463338.82","         45","      25166","         89.82"
"NETFIT","EQ","16-Jul-2020","         16.55","         18.00","         18.00","         14.00","         17.02","         17.01","         17.28","     880255","            15209532.03","        174","     869103","         98.73"
"NETFIT","EQ","17-Jul-2020","         17.01","         18.00","         18.00","         16.65","         16.86","         16.84","         16.92","      38548","              652274.99","         89","      33100","         85.87"
"NETFIT","EQ","20-Jul-2020","         16.84","         16.84","         20.00","         16.84","         17.26","         17.25","         17.34","     187440","             3249679.62","        212","     130212","         69.47"
"NETFIT","EQ","21-Jul-2020","         17.25","         17.50","         17.90","         17.21","         17.34","         17.32","         17.37","    1550942","            26934255.05","        242","    1547235","         99.76"
"NETFIT","EQ","22-Jul-2020","         17.32","         17.90","         17.90","         17.10","         17.18","         17.16","         17.21","      29477","              507198.44","        107","      25714","         87.23"
"NETFIT","EQ","23-Jul-2020","         17.16","         18.17","         18.17","         16.94","         17.19","         17.17","         17.10","      20777","              355194.21","        114","      19688","         94.76"
"NETFIT","EQ","24-Jul-2020","         17.17","         18.17","         18.17","         16.34","         17.25","         17.25","         16.96","       9380","              159064.76","         77","       6150","         65.57"
"NETFIT","EQ","27-Jul-2020","         17.25","         17.55","         17.79","         17.09","         17.50","         17.62","         17.49","      63121","             1103986.99","        100","      58071","         92.00"
"NETFIT","EQ","28-Jul-2020","         17.62","         18.00","         18.14","         17.65","         18.00","         18.05","         17.99","    1725592","            31049810.82","        456","    1714223","         99.34"
"NETFIT","EQ","29-Jul-2020","         18.05","         18.50","         18.50","         17.90","         17.99","         17.96","         18.00","      24789","              446277.89","        106","      16485","         66.50"
"NETFIT","EQ","30-Jul-2020","         17.96","         18.13","         18.69","         17.96","         18.14","         18.13","         18.29","     664241","            12145939.44","         92","     661882","         99.64"
"NETFIT","EQ","31-Jul-2020","         18.13","         18.13","         18.40","         18.00","         18.20","         18.18","         18.29","      16443","              300779.78","         70","      14725","         89.55"
"NETFIT","EQ","03-Aug-2020","         18.18","         18.55","         19.00","         17.95","         18.08","         18.07","         18.29","     381205","             6971867.72","        232","     269989","         70.83"
"NETFIT","EQ","04-Aug-2020","         18.07","         18.66","         18.66","         17.48","         17.82","         17.76","         17.87","      91842","             1640852.18","        186","      72583","         79.03"
"NETFIT","EQ","05-Aug-2020","         17.76","         18.00","         21.40","         17.03","         17.95","         17.91","         18.03","      47849","              862815.97","        176","      23436","         48.98"
"NETFIT","EQ","06-Aug-2020","         17.91","         18.47","         18.47","         18.01","         18.06","         18.12","         18.15","      35463","              643545.24","         91","      25727","         72.55"
"NETFIT","EQ","07-Aug-2020","         18.12","         18.30","         18.50","         18.06","         18.12","         18.12","         18.15","      46627","              846385.07","        105","      39553","         84.83"
"NETFIT","EQ","10-Aug-2020","         18.12","         18.42","         18.50","         18.06","         18.29","         18.24","         18.30","      67876","             1241815.10","        101","      50967","         75.09"
"NETFIT","EQ","11-Aug-2020","         18.24","         18.50","         18.50","         18.18","         18.18","         18.20","         18.27","    5428984","            99207585.50","        262","    5428600","         99.99"
"NETFIT","EQ","12-Aug-2020","         18.20","         18.25","         18.25","         18.01","         18.08","         18.07","         18.05","      33023","              596179.88","        115","      32637","         98.83"
"NETFIT","EQ","13-Aug-2020","         18.07","         18.40","         18.48","         18.14","         18.14","         18.15","         18.25","      14520","              265001.78","         85","      12891","         88.78"
"NETFIT","EQ","14-Aug-2020","         18.15","         18.45","         18.50","         18.10","         18.15","         18.14","         18.20","      40088","              729713.54","         84","      29148","         72.71"
"NETFIT","EQ","17-Aug-2020","         18.14","         18.48","         18.50","         18.14","         18.25","         18.25","         18.26","       8898","              162465.15","         84","       8147","         91.56"
"NETFIT","EQ","18-Aug-2020","         18.25","         18.30","         18.46","         18.15","         18.37","         18.37","         18.36","    3528959","            64797484.70","        237","    3528268","         99.98"
