"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NIBL","BE","30-Aug-2018","         29.20","         30.00","         30.00","         28.50","         28.90","         29.05","         29.44","       3993","              117562.10","         24","-","-"
"NIBL","BE","31-Aug-2018","         29.05","         29.70","         30.00","         28.00","         28.40","         28.50","         28.67","       1261","               36156.50","         19","-","-"
"NIBL","BE","03-Sep-2018","         28.50","         27.55","         28.90","         27.55","         28.90","         28.55","         28.33","       3858","              109298.60","         26","-","-"
"NIBL","BE","04-Sep-2018","         28.55","         28.65","         29.00","         27.90","         29.00","         28.80","         28.62","       2093","               59904.80","         16","-","-"
"NIBL","BE","05-Sep-2018","         28.80","         28.20","         28.90","         27.45","         28.50","         28.25","         28.12","      14276","              401510.70","         47","-","-"
"NIBL","BE","06-Sep-2018","         28.25","         28.00","         29.50","         27.50","         29.50","         29.15","         28.72","       9547","              274149.35","         38","-","-"
"NIBL","BE","07-Sep-2018","         29.15","         28.60","         30.25","         28.60","         30.25","         30.20","         30.18","     100343","             3027924.15","         55","-","-"
"NIBL","BE","10-Sep-2018","         30.20","         29.30","         29.95","         28.80","         29.20","         29.20","         29.17","       1156","               33720.65","         16","-","-"
"NIBL","BE","11-Sep-2018","         29.20","         29.05","         29.75","         29.00","         29.50","         29.15","         29.33","       3440","              100885.15","         57","-","-"
"NIBL","BE","12-Sep-2018","         29.15","         29.50","         29.60","         28.05","         28.10","         28.10","         29.06","       7576","              220170.55","         23","-","-"
"NIBL","BE","14-Sep-2018","         28.10","         29.30","         29.50","         28.10","         28.75","         29.05","         28.99","       3073","               89088.45","         30","-","-"
"NIBL","BE","17-Sep-2018","         29.05","         28.40","         29.50","         28.40","         29.50","         29.15","         28.84","       2635","               75992.60","         20","-","-"
"NIBL","BE","18-Sep-2018","         29.15","         29.75","         29.75","         29.00","         29.00","         29.00","         29.05","       1667","               48419.90","         11","-","-"
"NIBL","BE","19-Sep-2018","         29.00","         29.45","         29.45","         27.55","         27.55","         27.70","         28.10","      18418","              517507.45","         29","-","-"
"NIBL","BE","21-Sep-2018","         27.70","         27.70","         28.00","         27.00","         27.50","         27.50","         27.54","      12793","              352273.00","         29","-","-"
"NIBL","BE","24-Sep-2018","         27.50","         28.00","         28.50","         26.60","         26.60","         26.60","         27.23","      13312","              362430.05","         17","-","-"
"NIBL","BE","25-Sep-2018","         26.60","         26.80","         27.45","         26.50","         27.05","         27.05","         26.83","       3854","              103418.75","         44","-","-"
"NIBL","BE","26-Sep-2018","         27.05","         26.55","         28.35","         26.55","         27.30","         27.30","         27.89","       1635","               45603.20","         34","-","-"
"NIBL","BE","27-Sep-2018","         27.30","         27.30","         27.30","         25.95","         25.95","         25.95","         26.44","       3960","              104701.50","         26","-","-"
"NIBL","BE","28-Sep-2018","         25.95","         25.05","         25.05","         24.70","         24.70","         24.70","         24.76","       2959","               73265.15","         19","-","-"
"NIBL","BE","01-Oct-2018","         24.70","         23.50","         25.00","         23.50","         23.55","         23.85","         23.74","       4488","              106563.75","         38","-","-"
"NIBL","BE","03-Oct-2018","         23.85","         23.85","         24.70","         23.85","         24.70","         24.70","         23.86","        101","                2409.70","          2","-","-"
"NIBL","BE","04-Oct-2018","         24.70","         25.20","         25.20","         23.75","         23.75","         23.75","         24.62","       1504","               37029.95","         16","-","-"
"NIBL","BE","05-Oct-2018","         23.75","         24.55","         24.90","         24.55","         24.80","         24.80","         24.85","       1028","               25546.30","          9","-","-"
"NIBL","BE","08-Oct-2018","         24.80","         25.00","         25.00","         23.60","         25.00","         24.20","         24.17","        533","               12883.45","         15","-","-"
"NIBL","BE","09-Oct-2018","         24.20","         25.25","         25.25","         23.45","         25.00","         25.00","         24.72","        140","                3461.20","          7","-","-"
"NIBL","BE","10-Oct-2018","         25.00","         24.00","         26.20","         24.00","         26.20","         26.20","         24.81","       1047","               25972.60","         22","-","-"
"NIBL","BE","11-Oct-2018","         26.20","         25.20","         25.20","         24.90","         24.90","         24.90","         25.07","          7","                 175.50","          3","-","-"
"NIBL","BE","12-Oct-2018","         24.90","         26.10","         26.10","         24.80","         24.80","         24.80","         25.91","         76","                1969.30","          3","-","-"
"NIBL","BE","15-Oct-2018","         24.80","         24.25","         24.25","         24.25","         24.25","         24.25","         24.25","        100","                2425.00","          1","-","-"
"NIBL","EQ","16-Oct-2018","         24.25","         25.45","         25.45","         25.20","         25.20","         25.30","         25.29","       3080","               77877.95","         10","       3080","        100.00"
