"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NIFTYEES","EQ","30-Aug-2018","      11985.00","      12898.00","      12898.00","      12000.39","      12000.39","      12000.39","      12599.10","          4","               50396.39","          4","          3","         75.00"
"NIFTYEES","EQ","05-Sep-2018","      12000.39","      12600.00","      12600.00","      11511.14","      12400.00","      12400.00","      12315.27","          8","               98522.16","          7","          3","         37.50"
"NIFTYEES","EQ","07-Sep-2018","      12400.00","      12390.00","      12390.00","      11828.39","      11828.39","      11828.39","      12109.20","          2","               24218.39","          2","          1","         50.00"
"NIFTYEES","EQ","10-Sep-2018","      11828.39","      12124.15","      12124.15","      12124.15","      12124.15","      12124.15","      12124.15","          1","               12124.15","          1","          1","        100.00"
"NIFTYEES","EQ","11-Sep-2018","      12124.15","      12001.00","      12001.00","      12001.00","      12001.00","      12001.00","      12001.00","          1","               12001.00","          1","          1","        100.00"
"NIFTYEES","EQ","17-Sep-2018","      12001.00","      13139.10","      13400.00","      13139.10","      13400.00","      13309.70","      13309.70","          3","               39929.10","          3","          2","         66.67"
"NIFTYEES","EQ","18-Sep-2018","      13309.70","      12799.99","      12800.00","      11951.00","      11951.00","      11951.00","      12517.00","          3","               37550.99","          3","          2","         66.67"
"NIFTYEES","EQ","19-Sep-2018","      11951.00","      11851.88","      11900.00","      11851.88","      11900.00","      11900.00","      11875.94","          2","               23751.88","          2","          2","        100.00"
"NIFTYEES","EQ","21-Sep-2018","      11900.00","      11900.01","      12800.00","      11800.00","      11800.00","      11800.00","      12166.67","          3","               36500.01","          3","          1","         33.33"
"NIFTYEES","EQ","24-Sep-2018","      11800.00","      11200.01","      13399.00","      11200.00","      12362.00","      12362.00","      11885.93","         67","              796357.28","         27","          8","         11.94"
"NIFTYEES","EQ","25-Sep-2018","      12362.00","      13280.00","      13449.00","      11812.00","      12398.00","      12398.00","      12533.20","         10","              125332.00","         10","          2","         20.00"
"NIFTYEES","EQ","26-Sep-2018","      12398.00","      13440.00","      13555.90","      12220.00","      13555.90","      13223.97","      13173.24","          8","              105385.90","          8","          6","         75.00"
"NIFTYEES","EQ","27-Sep-2018","      13223.97","      12500.00","      12500.00","      12500.00","      12500.00","      12500.00","      12500.00","          1","               12500.00","          1","          1","        100.00"
"NIFTYEES","EQ","28-Sep-2018","      12500.00","      12500.00","      12500.00","      12500.00","      12500.00","      12500.00","      12500.00","          1","               12500.00","          1","          1","        100.00"
"NIFTYEES","EQ","01-Oct-2018","      12500.00","      11500.00","      11500.00","      11500.00","      11500.00","      11500.00","      11500.00","          1","               11500.00","          1","          1","        100.00"
"NIFTYEES","EQ","03-Oct-2018","      11500.00","      12490.00","      12490.00","      11550.10","      11750.00","      11750.00","      11947.53","          4","               47790.10","          4","          3","         75.00"
"NIFTYEES","EQ","04-Oct-2018","      11750.00","      12900.00","      12900.00","      11800.00","      12800.00","      12800.00","      12500.00","          3","               37500.00","          3","          1","         33.33"
"NIFTYEES","EQ","05-Oct-2018","      12800.00","      12900.00","      12900.00","      12051.00","      12600.00","      12600.00","      12450.20","          5","               62251.00","          5","          1","         20.00"
"NIFTYEES","EQ","08-Oct-2018","      12600.00","      13009.00","      13009.00","      12800.00","      12800.00","      12800.00","      12852.25","          4","               51409.00","          3","          4","        100.00"
"NIFTYEES","EQ","09-Oct-2018","      12800.00","      12900.00","      13044.00","      12300.00","      12300.00","      12300.00","      12835.60","          5","               64178.00","          5","          2","         40.00"
"NIFTYEES","EQ","11-Oct-2018","      12300.00","      12300.00","      12800.00","      12300.00","      12800.00","      12800.00","      12550.00","          2","               25100.00","          2","          1","         50.00"
