"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NRAIL","EQ","30-Aug-2018","        452.55","        458.00","        465.00","        450.00","        462.00","        459.60","        458.17","       6849","             3137986.10","        339","       4718","         68.89"
"NRAIL","EQ","31-Aug-2018","        459.60","        451.50","        470.90","        451.50","        464.00","        464.60","        465.57","       4547","             2116950.90","        178","       3396","         74.69"
"NRAIL","EQ","03-Sep-2018","        464.60","        487.95","        491.00","        470.00","        480.00","        480.35","        485.34","      28894","            14023291.00","        709","      14738","         51.01"
"NRAIL","EQ","04-Sep-2018","        480.35","        482.50","        498.90","        460.10","        468.00","        468.80","        481.18","      26537","            12769029.15","        730","      17359","         65.41"
"NRAIL","EQ","05-Sep-2018","        468.80","        478.00","        524.70","        459.70","        485.00","        487.05","        501.39","     219950","           110279953.05","       7801","      82213","         37.38"
"NRAIL","EQ","06-Sep-2018","        487.05","        489.00","        529.55","        489.00","        520.00","        521.25","        518.73","      96270","            49937937.50","       3754","      33639","         34.94"
"NRAIL","EQ","07-Sep-2018","        521.25","        523.10","        550.00","        523.10","        537.00","        539.55","        540.52","      75662","            40896824.65","       2364","      39883","         52.71"
"NRAIL","EQ","10-Sep-2018","        539.55","        540.40","        584.00","        540.40","        579.00","        577.45","        571.38","      99259","            56714971.25","       2709","      50624","         51.00"
"NRAIL","EQ","11-Sep-2018","        577.45","        588.80","        616.00","        567.00","        569.00","        575.40","        598.95","     109186","            65396442.45","       3195","      56275","         51.54"
"NRAIL","EQ","12-Sep-2018","        575.40","        579.95","        585.00","        546.05","        577.00","        576.85","        565.39","      51905","            29346495.45","       2383","      21611","         41.64"
"NRAIL","EQ","14-Sep-2018","        576.85","        581.50","        598.45","        578.35","        583.30","        584.05","        586.96","      31616","            18557422.75","        999","      18935","         59.89"
"NRAIL","EQ","17-Sep-2018","        584.05","        580.00","        588.10","        558.00","        561.25","        564.05","        570.07","      28707","            16364898.80","        968","      18219","         63.47"
"NRAIL","EQ","18-Sep-2018","        564.05","        568.40","        568.40","        535.00","        540.10","        541.60","        549.60","      18056","             9923582.15","        735","      12039","         66.68"
"NRAIL","EQ","19-Sep-2018","        541.60","        542.00","        593.05","        530.00","        570.00","        568.90","        572.36","      91474","            52355790.10","       3957","      30712","         33.57"
"NRAIL","EQ","21-Sep-2018","        568.90","        584.90","        590.00","        522.00","        541.00","        543.70","        554.82","      41892","            23242389.45","       1691","      23409","         55.88"
"NRAIL","EQ","24-Sep-2018","        543.70","        530.05","        547.50","        509.85","        510.00","        513.85","        523.32","      28516","            14922947.35","        974","      19941","         69.93"
"NRAIL","EQ","25-Sep-2018","        513.85","        518.00","        518.00","        480.10","        497.00","        492.90","        490.55","      52820","            25910804.55","       1662","      28253","         53.49"
"NRAIL","EQ","26-Sep-2018","        492.90","        509.95","        509.95","        482.00","        485.60","        489.35","        497.05","      13655","             6787212.60","        686","       7500","         54.92"
"NRAIL","EQ","27-Sep-2018","        489.35","        495.00","        495.00","        480.00","        480.00","        481.95","        485.17","      14371","             6972420.30","        537","       9746","         67.82"
"NRAIL","EQ","28-Sep-2018","        481.95","        505.80","        505.80","        437.45","        444.00","        448.05","        459.93","      18541","             8527649.55","        973","      10989","         59.27"
"NRAIL","EQ","01-Oct-2018","        448.05","        465.00","        492.00","        411.70","        483.00","        467.25","        439.28","      30942","            13592279.55","       1162","      18766","         60.65"
"NRAIL","EQ","03-Oct-2018","        467.25","        471.00","        498.00","        469.00","        488.00","        482.05","        486.68","      21243","            10338492.45","       1365","       8101","         38.13"
"NRAIL","EQ","04-Oct-2018","        482.05","        484.00","        488.00","        454.00","        455.50","        465.90","        464.32","      18974","             8809936.55","        927","      11316","         59.64"
"NRAIL","EQ","05-Oct-2018","        465.90","        461.85","        464.35","        450.95","        451.00","        452.25","        456.48","       8036","             3668311.20","        621","       3640","         45.30"
"NRAIL","EQ","08-Oct-2018","        452.25","        485.00","        485.00","        435.00","        458.00","        454.70","        460.31","       9841","             4529919.50","        639","       5186","         52.70"
"NRAIL","EQ","09-Oct-2018","        454.70","        461.00","        478.95","        445.35","        456.00","        461.10","        459.77","       7349","             3378815.00","        554","       3164","         43.05"
"NRAIL","EQ","10-Oct-2018","        461.10","        465.15","        489.00","        462.90","        483.00","        484.05","        482.47","      25163","            12140340.95","       1890","      12317","         48.95"
"NRAIL","EQ","11-Oct-2018","        484.05","        459.00","        473.00","        459.00","        465.00","        466.00","        467.34","      15279","             7140417.90","        657","       7984","         52.25"
"NRAIL","EQ","12-Oct-2018","        466.00","        468.50","        488.00","        468.50","        475.30","        478.55","        482.04","       9442","             4551424.05","        557","       4924","         52.15"
"NRAIL","EQ","15-Oct-2018","        478.55","        480.15","        509.00","        480.15","        506.00","        504.30","        501.74","      27850","            13973398.00","       1429","      14296","         51.33"
"NRAIL","EQ","16-Oct-2018","        504.30","        507.00","        514.00","        504.35","        507.05","        507.55","        509.13","      11934","             6076012.25","        598","       6042","         50.63"
"NRAIL","EQ","17-Oct-2018","        507.55","        516.15","        516.15","        486.25","        488.00","        488.00","        495.93","      13255","             6573487.85","        873","       5633","         42.50"
"NRAIL","EQ","19-Oct-2018","        488.00","        492.40","        518.00","        482.00","        510.00","        507.55","        495.86","      10876","             5392940.35","       1216","       5535","         50.89"
"NRAIL","EQ","22-Oct-2018","        507.55","        510.05","        513.90","        498.00","        498.00","        502.25","        507.33","       9792","             4967786.45","        947","       4853","         49.56"
"NRAIL","EQ","23-Oct-2018","        502.25","        501.00","        505.10","        485.00","        485.20","        487.85","        492.75","       7759","             3823277.95","        519","       3719","         47.93"
"NRAIL","EQ","24-Oct-2018","        487.85","        490.50","        503.20","        478.05","        480.05","        483.05","        487.61","      11305","             5512405.80","        664","       7511","         66.44"
"NRAIL","EQ","25-Oct-2018","        483.05","        471.00","        482.90","        465.60","        474.00","        472.55","        472.24","       8755","             4134431.40","        867","       4759","         54.36"
"NRAIL","EQ","26-Oct-2018","        472.55","        475.05","        492.50","        465.05","        490.00","        490.10","        484.07","      14693","             7112369.65","        885","       9751","         66.36"
"NRAIL","EQ","29-Oct-2018","        490.10","        496.95","        526.95","        495.25","        524.00","        523.65","        516.47","      71277","            36812752.70","       2846","      33000","         46.30"
"NRAIL","EQ","30-Oct-2018","        523.65","        525.40","        532.00","        520.00","        520.00","        522.80","        526.38","      27907","            14689797.70","       1257","      17809","         63.82"
"NRAIL","EQ","31-Oct-2018","        522.80","        522.80","        530.00","        498.10","        524.00","        521.85","        514.60","      34412","            17708509.90","       2493","      13300","         38.65"
"NRAIL","EQ","01-Nov-2018","        521.85","        500.05","        511.90","        487.00","        501.00","        506.85","        497.98","      66938","            33333861.70","       2738","      33460","         49.99"
"NRAIL","EQ","02-Nov-2018","        506.85","        510.85","        521.95","        492.30","        495.00","        496.45","        509.83","      39665","            20222230.70","       1478","      25915","         65.33"
"NRAIL","EQ","05-Nov-2018","        496.45","        500.40","        508.00","        494.05","        501.00","        499.95","        501.36","      10881","             5455298.60","        769","       6104","         56.10"
"NRAIL","EQ","06-Nov-2018","        499.95","        502.00","        505.90","        495.10","        495.10","        496.10","        500.12","       6910","             3455826.65","        463","       3233","         46.79"
"NRAIL","EQ","07-Nov-2018","        496.10","        492.00","        511.05","        492.00","        501.30","        503.40","        501.74","       3274","             1642697.90","        153","       1730","         52.84"
"NRAIL","EQ","09-Nov-2018","        503.40","        503.50","        507.95","        486.25","        490.00","        489.80","        497.44","      12015","             5976779.05","        528","       7846","         65.30"
"NRAIL","EQ","12-Nov-2018","        489.80","        490.05","        500.00","        484.25","        484.25","        485.20","        487.08","       9631","             4691092.75","        264","       8322","         86.41"
"NRAIL","EQ","13-Nov-2018","        485.20","        477.50","        499.05","        477.50","        488.75","        488.50","        491.52","       6981","             3431318.40","        511","       3482","         49.88"
