"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"OIL","EQ","30-Aug-2018","        209.50","        209.90","        214.50","        207.60","        214.05","        213.85","        212.46","     912537","           193880894.35","      11465","     234687","         25.72"
"OIL","EQ","31-Aug-2018","        213.85","        212.80","        216.75","        212.80","        213.65","        213.60","        214.75","     760196","           163252930.90","      10962","     184193","         24.23"
"OIL","EQ","03-Sep-2018","        213.60","        215.00","        215.50","        211.20","        211.55","        211.85","        213.31","     420976","            89797261.35","       9634","     126689","         30.09"
"OIL","EQ","04-Sep-2018","        211.85","        212.70","        212.95","        209.05","        209.60","        209.75","        210.28","     497072","           104523984.65","      14101","     130374","         26.23"
"OIL","EQ","05-Sep-2018","        209.75","        209.80","        210.20","        201.80","        204.50","        204.70","        204.73","    1014986","           207800901.55","      13278","     424891","         41.86"
"OIL","EQ","06-Sep-2018","        204.70","        205.60","        208.90","        204.70","        208.35","        208.40","        207.59","     497558","           103288610.40","       9111","     179574","         36.09"
"OIL","EQ","07-Sep-2018","        208.40","        208.95","        208.95","        205.45","        207.75","        206.85","        206.65","     279987","            57858734.55","       8289","      74281","         26.53"
"OIL","EQ","10-Sep-2018","        206.85","        207.75","        207.75","        203.85","        204.80","        204.45","        204.77","     443966","            90909209.00","      10903","     219766","         49.50"
"OIL","EQ","11-Sep-2018","        204.45","        204.20","        205.00","        202.20","        202.75","        202.75","        203.78","     341007","            69492033.90","       9233","     114316","         33.52"
"OIL","EQ","12-Sep-2018","        202.75","        204.95","        204.95","        199.50","        203.25","        202.70","        201.90","     875048","           176669649.40","      11519","     293746","         33.57"
"OIL","EQ","14-Sep-2018","        202.70","        204.00","        206.00","        203.55","        205.65","        205.65","        204.97","     347168","            71160468.05","      12085","     150310","         43.30"
"OIL","EQ","17-Sep-2018","        205.65","        205.65","        207.40","        203.20","        206.60","        206.15","        205.86","     442209","            91031572.35","       9256","     151351","         34.23"
"OIL","EQ","18-Sep-2018","        206.15","        206.00","        208.90","        203.60","        207.25","        207.40","        206.54","     845711","           174676404.45","      12188","     418493","         49.48"
"OIL","EQ","19-Sep-2018","        207.40","        205.60","        209.30","        205.50","        208.25","        207.95","        207.46","     597506","           123955919.50","       8016","     135896","         22.74"
"OIL","EQ","21-Sep-2018","        207.95","        208.00","        221.20","        208.00","        219.00","        218.65","        215.01","    2841780","           611011341.05","      33705","    1364028","         48.00"
"OIL","EQ","24-Sep-2018","        218.65","        221.05","        227.00","        217.00","        217.15","        219.10","        222.00","    2310087","           512834867.00","      28935","     487062","         21.08"
"OIL","EQ","25-Sep-2018","        219.10","        220.70","        222.35","        214.10","        220.25","        219.85","        218.12","     802598","           175060825.05","      10688","     261881","         32.63"
"OIL","EQ","26-Sep-2018","        219.85","        225.00","        225.00","        215.55","        219.50","        218.40","        217.48","     870725","           189363837.10","      18069","     385182","         44.24"
"OIL","EQ","27-Sep-2018","        218.40","        217.00","        221.80","        212.65","        215.05","        215.15","        215.08","    1497760","           322134597.60","      20688","     858417","         57.31"
"OIL","EQ","28-Sep-2018","        215.15","        216.75","        224.95","        210.60","        221.20","        219.55","        215.59","    1139867","           245746353.80","      16282","     595205","         52.22"
"OIL","EQ","01-Oct-2018","        219.55","        223.80","        223.80","        213.35","        221.95","        221.10","        217.43","     679573","           147760012.85","      10235","     188232","         27.70"
"OIL","EQ","03-Oct-2018","        221.10","        219.50","        224.00","        218.85","        219.85","        220.45","        221.63","     810599","           179654127.70","       8110","     275926","         34.04"
"OIL","EQ","04-Oct-2018","        220.45","        220.00","        220.15","        199.55","        202.80","        209.00","        213.99","     798418","           170854661.70","      10461","     270780","         33.91"
"OIL","EQ","05-Oct-2018","        209.00","        198.05","        198.40","        181.00","        187.40","        186.90","        187.35","    2938441","           550507652.15","      54502","    1149037","         39.10"
"OIL","EQ","08-Oct-2018","        186.90","        186.60","        195.40","        185.75","        194.60","        194.00","        191.66","    1758365","           337012327.65","      19420","     785602","         44.68"
"OIL","EQ","09-Oct-2018","        194.00","        194.60","        197.30","        185.00","        193.40","        194.55","        190.34","    2387142","           454379606.45","      27264","     838547","         35.13"
"OIL","EQ","10-Oct-2018","        194.55","        193.00","        202.60","        190.05","        198.55","        198.85","        195.69","    1467653","           287199565.10","      17277","     414090","         28.21"
"OIL","EQ","11-Oct-2018","        198.85","        195.60","        207.75","        192.70","        197.10","        197.85","        199.33","    2474616","           493265653.65","      37135","     737832","         29.82"
"OIL","EQ","12-Oct-2018","        197.85","        199.30","        203.40","        197.20","        201.55","        202.60","        200.69","     990446","           198771494.80","      17341","     315769","         31.88"
"OIL","EQ","15-Oct-2018","        202.60","        205.00","        206.25","        197.65","        205.85","        205.00","        202.84","     912217","           185036488.95","      15104","     367497","         40.29"
"OIL","EQ","16-Oct-2018","        205.00","        207.00","        211.00","        202.00","        211.00","        209.85","        207.59","     967717","           200888512.45","      14502","     318514","         32.91"
"OIL","EQ","17-Oct-2018","        209.85","        209.55","        212.00","        200.50","        201.60","        201.85","        205.35","     852091","           174980110.40","      13005","     231728","         27.20"
"OIL","EQ","19-Oct-2018","        201.85","        201.00","        206.45","        196.55","        204.20","        202.85","        200.52","     810677","           162555480.50","      11766","     369864","         45.62"
"OIL","EQ","22-Oct-2018","        202.85","        204.50","        204.50","        198.25","        200.15","        199.05","        200.30","     384151","            76946553.50","       7286","     141230","         36.76"
"OIL","EQ","23-Oct-2018","        199.05","        199.50","        199.50","        190.45","        193.50","        193.25","        193.37","     725517","           140293538.90","      13835","     251093","         34.61"
"OIL","EQ","24-Oct-2018","        193.25","        195.75","        196.00","        189.40","        193.50","        193.80","        192.98","    1278472","           246715429.45","      19700","     464956","         36.37"
"OIL","EQ","25-Oct-2018","        193.80","        193.00","        205.00","        189.25","        200.95","        201.30","        198.95","    1743752","           346924048.25","      14725","    1052955","         60.38"
"OIL","EQ","26-Oct-2018","        201.30","        201.60","        202.00","        193.95","        198.00","        200.15","        198.87","     841148","           167282764.50","      12665","     291414","         34.64"
"OIL","EQ","29-Oct-2018","        200.15","        198.15","        203.15","        196.60","        200.45","        201.05","        199.65","     407998","            81456376.20","       8335","      96443","         23.64"
"OIL","EQ","30-Oct-2018","        201.05","        199.00","        199.15","        196.05","        196.10","        196.60","        197.43","     473190","            93423358.60","       8722","     103850","         21.95"
"OIL","EQ","31-Oct-2018","        196.60","        196.15","        198.60","        194.00","        196.95","        197.60","        196.23","     426894","            83768770.95","       8698","      92907","         21.76"
"OIL","EQ","01-Nov-2018","        197.60","        198.00","        200.25","        196.45","        198.55","        198.35","        198.03","     498765","            98768859.30","      11121","     137246","         27.52"
"OIL","EQ","02-Nov-2018","        198.35","        202.00","        205.85","        199.90","        200.70","        200.85","        202.55","     638163","           129258225.15","      10536","     187059","         29.31"
"OIL","EQ","05-Nov-2018","        200.85","        202.40","        203.80","        196.80","        198.00","        197.85","        199.34","     359970","            71757617.60","       5322","     107107","         29.75"
"OIL","EQ","06-Nov-2018","        197.85","        198.75","        198.90","        196.30","        198.30","        198.30","        197.74","     352966","            69795477.35","       6374","      62946","         17.83"
"OIL","EQ","07-Nov-2018","        198.30","        199.90","        199.90","        198.00","        198.50","        198.60","        198.62","      68124","            13530824.10","       1243","      31481","         46.21"
"OIL","EQ","09-Nov-2018","        198.60","        197.50","        201.90","        197.50","        198.90","        199.25","        199.35","     328102","            65408756.05","       9614","     119878","         36.54"
"OIL","EQ","12-Nov-2018","        199.25","        200.75","        200.75","        195.75","        198.60","        199.05","        198.07","     611012","           121020635.50","       8752","     195159","         31.94"
"OIL","EQ","13-Nov-2018","        199.05","        204.00","        205.75","        199.10","        201.70","        201.35","        201.69","    2012218","           405841664.40","      18480","     497986","         24.75"
"OIL","EQ","14-Nov-2018","        201.35","        202.10","        205.00","        201.80","        202.55","        203.00","        203.51","     826413","           168185145.30","      12303","     286124","         34.62"
"OIL","EQ","15-Nov-2018","        203.00","        203.75","        205.50","        202.10","        203.50","        203.35","        203.64","     432094","            87990766.15","       5997","     149747","         34.66"
"OIL","EQ","16-Nov-2018","        203.35","        201.30","        202.05","        194.00","        199.10","        199.20","        197.81","     928967","           183760657.40","      10892","     151949","         16.36"
"OIL","EQ","19-Nov-2018","        199.20","        203.60","        204.40","        199.50","        200.30","        200.70","        201.43","    1631316","           328601985.95","      16228","     404107","         24.77"
"OIL","EQ","20-Nov-2018","        200.70","        200.00","        204.50","        199.50","        202.50","        202.80","        202.88","    1647832","           334307154.65","      15744","     373546","         22.67"
"OIL","EQ","21-Nov-2018","        202.80","        203.50","        205.35","        201.75","        202.85","        202.65","        203.23","     751053","           152639036.55","       6551","     285890","         38.07"
"OIL","EQ","22-Nov-2018","        202.65","        202.05","        207.25","        202.05","        205.05","        205.15","        204.83","     923099","           189078282.75","      10122","     399316","         43.26"
"OIL","EQ","26-Nov-2018","        205.15","        206.00","        207.00","        199.10","        199.80","        199.80","        201.09","    1882375","           378520753.15","      13947","    1091308","         57.98"
"OIL","EQ","27-Nov-2018","        199.80","        200.45","        203.40","        198.80","        200.50","        199.80","        201.18","    1258367","           253159301.50","       9968","     744538","         59.17"
"OIL","EQ","28-Nov-2018","        199.80","        200.00","        201.45","        197.25","        197.80","        198.00","        198.97","    1175314","           233855572.70","       9162","     538925","         45.85"
"OIL","EQ","29-Nov-2018","        198.00","        198.70","        204.65","        196.00","        201.00","        201.90","        201.41","    3265246","           657658294.65","      21213","    1968984","         60.30"
