"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PATELENG","EQ","30-Aug-2018","         48.05","         48.40","         48.80","         47.10","         48.00","         48.00","         47.86","     129540","             6200236.05","       1185","      45132","         34.84"
"PATELENG","EQ","31-Aug-2018","         48.00","         47.90","         48.90","         47.30","         47.85","         47.85","         47.99","     115550","             5545277.20","        944","      43827","         37.93"
"PATELENG","EQ","03-Sep-2018","         47.85","         47.50","         50.35","         47.50","         48.25","         48.50","         48.99","     283668","            13897905.95","       1912","      98132","         34.59"
"PATELENG","EQ","04-Sep-2018","         48.50","         48.25","         49.40","         47.55","         47.70","         47.75","         48.67","     154783","             7533994.80","       1399","      62607","         40.45"
"PATELENG","EQ","05-Sep-2018","         47.75","         46.80","         48.00","         45.55","         47.35","         46.95","         46.73","     126815","             5926097.20","       1022","      59042","         46.56"
"PATELENG","EQ","06-Sep-2018","         46.95","         48.05","         48.05","         46.15","         47.55","         47.05","         46.89","     116490","             5462626.25","       1178","      44932","         38.57"
"PATELENG","EQ","07-Sep-2018","         47.05","         47.55","         47.90","         46.30","         46.95","         46.85","         47.01","     165526","             7781228.95","       1559","      54670","         33.03"
"PATELENG","EQ","10-Sep-2018","         46.85","         47.20","         49.00","         46.90","         47.70","         48.00","         48.15","     190757","             9185572.95","       1632","      86456","         45.32"
"PATELENG","EQ","11-Sep-2018","         48.00","         47.30","         48.15","         45.90","         46.60","         46.15","         47.07","     107316","             5051667.40","       1098","      52450","         48.87"
"PATELENG","EQ","12-Sep-2018","         46.15","         46.15","         46.20","         44.50","         45.30","         45.45","         45.25","     144842","             6553926.50","       1060","      67378","         46.52"
"PATELENG","EQ","14-Sep-2018","         45.45","         46.30","         46.90","         45.75","         46.15","         46.20","         46.24","      88646","             4098611.95","        704","      41368","         46.67"
"PATELENG","EQ","17-Sep-2018","         46.20","         46.10","         47.25","         45.10","         45.75","         45.40","         45.78","     164451","             7528217.45","       2106","      62745","         38.15"
"PATELENG","EQ","18-Sep-2018","         45.40","         45.60","         46.00","         45.00","         45.30","         45.30","         45.41","     100414","             4559884.30","        846","      42846","         42.67"
"PATELENG","EQ","19-Sep-2018","         45.30","         45.15","         45.25","         43.60","         43.95","         44.05","         44.34","      90012","             3991476.95","       1078","      48872","         54.29"
"PATELENG","EQ","21-Sep-2018","         44.05","         44.85","         44.85","         38.55","         40.35","         40.35","         40.74","     454890","            18531982.10","       4680","     300090","         65.97"
