"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PRAJIND","EQ","30-Aug-2018","         84.55","         84.55","         84.75","         82.30","         82.30","         82.45","         83.11","     367326","            30528290.70","       3797","     134090","         36.50"
"PRAJIND","EQ","31-Aug-2018","         82.45","         82.60","         82.90","         81.60","         82.30","         82.20","         82.24","     278815","            22929135.15","       3217","      96196","         34.50"
"PRAJIND","EQ","03-Sep-2018","         82.20","         82.40","         85.00","         82.05","         83.60","         83.40","         83.65","     438702","            36695320.10","       3143","     210667","         48.02"
"PRAJIND","EQ","04-Sep-2018","         83.40","         82.80","         83.40","         81.30","         81.75","         81.85","         82.18","     249111","            20471292.55","       5036","     108789","         43.67"
"PRAJIND","EQ","05-Sep-2018","         81.85","         81.85","         87.10","         80.90","         86.55","         85.10","         84.07","     941870","            79180208.65","       9743","     312920","         33.22"
"PRAJIND","EQ","06-Sep-2018","         85.10","         86.40","         87.60","         85.00","         85.65","         85.75","         86.10","     571665","            49220931.75","       5933","     144348","         25.25"
"PRAJIND","EQ","07-Sep-2018","         85.75","         88.00","         94.00","         87.90","         92.10","         92.25","         91.50","    3876927","           354729012.85","      28631","     742374","         19.15"
"PRAJIND","EQ","10-Sep-2018","         92.25","         93.15","         94.40","         89.00","         92.90","         93.15","         92.74","    1857776","           172288236.05","      14290","     361579","         19.46"
"PRAJIND","EQ","11-Sep-2018","         93.15","         93.10","         97.80","         92.25","         96.05","         96.25","         95.26","    3127053","           297867534.55","      17761","     653938","         20.91"
"PRAJIND","EQ","12-Sep-2018","         96.25","         96.95","        100.50","         96.60","         98.00","         97.60","         98.35","    4238397","           416848368.65","      27390","     737517","         17.40"
"PRAJIND","EQ","14-Sep-2018","         97.60","         98.40","        112.70","         98.40","        106.85","        107.70","        106.57","    8844973","           942623615.40","      54219","    1855135","         20.97"
"PRAJIND","EQ","17-Sep-2018","        107.70","        108.50","        120.40","        107.50","        114.85","        115.60","        116.84","   10686842","          1248670220.30","      75309","    2296655","         21.49"
"PRAJIND","EQ","18-Sep-2018","        115.60","        116.15","        116.20","        102.30","        103.30","        103.00","        107.83","    4594955","           495483043.30","      30534","    1291542","         28.11"
"PRAJIND","EQ","19-Sep-2018","        103.00","        104.40","        107.55","        101.20","        104.20","        103.45","        104.49","    2696341","           281738826.20","      20282","     565676","         20.98"
"PRAJIND","EQ","21-Sep-2018","        103.45","        104.10","        108.50","         90.05","        101.05","        100.50","        101.65","    3570842","           362969344.25","      25406","     942070","         26.38"
"PRAJIND","EQ","24-Sep-2018","        100.50","        101.60","        104.65","         96.50","        104.10","        103.55","        100.77","    1808868","           182276292.85","      15180","     496918","         27.47"
"PRAJIND","EQ","25-Sep-2018","        103.55","        104.50","        110.50","        102.10","        108.80","        109.25","        106.34","    3316830","           352722644.00","      28542","     689892","         20.80"
"PRAJIND","EQ","26-Sep-2018","        109.25","        109.00","        110.10","        101.50","        102.00","        102.25","        104.95","    1714078","           179894135.40","      13997","     440898","         25.72"
"PRAJIND","EQ","27-Sep-2018","        102.25","        101.80","        103.90","         96.05","         96.25","         96.70","         99.59","    1200347","           119542426.25","      10185","     413147","         34.42"
"PRAJIND","EQ","28-Sep-2018","         96.70","         97.50","         98.45","         84.00","         88.00","         87.60","         91.19","    1222651","           111488643.05","      11764","     377900","         30.91"
