"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PRAXIS","EQ","30-Aug-2018","        173.60","        175.00","        178.00","        175.00","        175.00","        175.00","        175.30","       3986","              698748.75","         56","       3980","         99.85"
"PRAXIS","EQ","31-Aug-2018","        175.00","        179.95","        184.80","        172.80","        181.85","        178.50","        176.32","       8988","             1584757.40","        115","       8520","         94.79"
"PRAXIS","EQ","03-Sep-2018","        178.50","        177.10","        185.00","        172.80","        173.00","        176.15","        176.79","       5472","              967404.70","        243","       4803","         87.77"
"PRAXIS","EQ","04-Sep-2018","        176.15","        173.05","        187.85","        170.20","        183.55","        183.20","        184.30","       6016","             1108778.75","        105","       5779","         96.06"
"PRAXIS","EQ","05-Sep-2018","        183.20","        183.50","        201.50","        183.40","        200.00","        200.60","        199.31","      32635","             6504472.00","        397","      27089","         83.01"
"PRAXIS","EQ","06-Sep-2018","        200.60","        202.00","        213.85","        195.00","        202.00","        200.35","        200.59","      43758","             8777463.80","        464","      26262","         60.02"
"PRAXIS","EQ","07-Sep-2018","        200.35","        209.00","        215.00","        198.00","        203.85","        200.80","        203.19","      16479","             3348447.20","        518","      10805","         65.57"
"PRAXIS","EQ","10-Sep-2018","        200.80","        191.15","        220.85","        191.15","        220.85","        220.85","        216.75","      25263","             5475712.20","        504","      19392","         76.76"
"PRAXIS","EQ","11-Sep-2018","        220.85","        227.80","        231.85","        222.00","        231.00","        231.40","        231.33","      45427","            10508626.90","        268","      34930","         76.89"
"PRAXIS","EQ","12-Sep-2018","        231.40","        241.05","        242.95","        229.85","        242.95","        242.95","        241.24","      90150","            21747626.60","        683","      76502","         84.86"
"PRAXIS","EQ","14-Sep-2018","        242.95","        255.05","        255.05","        242.00","        255.05","        255.05","        253.34","      43886","            11117916.65","        399","      27305","         62.22"
"PRAXIS","EQ","17-Sep-2018","        255.05","        267.80","        267.80","        255.00","        258.00","        260.70","        266.41","      65733","            17512153.25","        729","      41223","         62.71"
"PRAXIS","EQ","18-Sep-2018","        260.70","        259.95","        263.00","        247.70","        249.50","        248.70","        249.89","      32358","             8085911.45","        401","      22993","         71.06"
"PRAXIS","EQ","19-Sep-2018","        248.70","        243.00","        254.45","        236.30","        236.30","        236.30","        241.72","       4106","              992509.95","        196","       2877","         70.07"
"PRAXIS","EQ","21-Sep-2018","        236.30","        227.00","        231.50","        224.50","        224.50","        224.50","        224.97","      20533","             4619233.45","        329","      16718","         81.42"
"PRAXIS","EQ","24-Sep-2018","        224.50","        216.00","        223.50","        213.30","        213.30","        213.30","        213.81","      20178","             4314332.35","        210","      17437","         86.42"
"PRAXIS","EQ","25-Sep-2018","        213.30","        203.35","        218.95","        202.70","        209.00","        210.20","        209.10","      18048","             3773812.90","        321","      10268","         56.89"
"PRAXIS","EQ","26-Sep-2018","        210.20","        219.95","        219.95","        199.80","        200.05","        202.00","        207.10","       7407","             1533955.55","        166","       5834","         78.76"
"PRAXIS","EQ","27-Sep-2018","        202.00","        201.00","        206.95","        196.10","        196.15","        199.30","        201.28","       9326","             1877173.15","        199","       7268","         77.93"
"PRAXIS","EQ","28-Sep-2018","        199.30","        195.10","        201.95","        189.35","        189.35","        189.35","        191.89","      11676","             2240459.55","        164","       8910","         76.31"
"PRAXIS","EQ","01-Oct-2018","        189.35","        181.05","        188.80","        179.90","        188.80","        186.50","        180.62","      41980","             7582465.40","        450","      32976","         78.55"
