"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PRECOT","EQ","30-Aug-2018","         50.00","         49.00","         51.00","         48.50","         51.00","         51.00","         50.84","       1956","               99451.80","         17","       1651","         84.41"
"PRECOT","EQ","31-Aug-2018","         51.00","         50.50","         51.40","         48.45","         49.05","         49.25","         50.42","       2364","              119187.15","         17","       1201","         50.80"
"PRECOT","EQ","03-Sep-2018","         49.25","         49.90","         51.75","         48.30","         51.45","         51.45","         49.52","       2455","              121569.65","         20","       2234","         91.00"
"PRECOT","EQ","04-Sep-2018","         51.45","         51.90","         51.90","         48.55","         48.70","         48.80","         50.01","       2022","              101128.35","         20","       1250","         61.82"
"PRECOT","EQ","05-Sep-2018","         48.80","         48.70","         51.40","         48.35","         50.00","         50.00","         50.46","       4575","              230838.15","         31","       3971","         86.80"
"PRECOT","EQ","06-Sep-2018","         50.00","         51.85","         51.85","         48.70","         48.70","         49.90","         50.06","        605","               30287.90","          9","        551","         91.07"
"PRECOT","EQ","07-Sep-2018","         49.90","         49.00","         50.75","         48.70","         49.50","         49.50","         49.11","       1836","               90161.00","          8","       1335","         72.71"
"PRECOT","EQ","10-Sep-2018","         49.50","         49.90","         51.45","         49.00","         49.15","         49.15","         49.35","       1494","               73723.20","         19","       1331","         89.09"
"PRECOT","EQ","11-Sep-2018","         49.15","         49.75","         53.80","         49.75","         53.80","         52.55","         51.97","       6600","              342975.00","         31","       6600","        100.00"
"PRECOT","EQ","12-Sep-2018","         52.55","         52.55","         57.95","         51.50","         56.05","         57.35","         54.81","       6603","              361895.40","         69","       5240","         79.36"
"PRECOT","EQ","14-Sep-2018","         57.35","         57.95","         64.80","         57.95","         58.10","         58.45","         60.96","      10175","              620247.95","        114","       2568","         25.24"
"PRECOT","EQ","17-Sep-2018","         58.45","         59.90","         70.10","         59.00","         70.10","         70.10","         66.97","      28962","             1939481.60","        165","      24962","         86.19"
"PRECOT","EQ","18-Sep-2018","         70.10","         71.95","         71.95","         66.05","         66.05","         66.40","         69.56","      10200","              709533.95","        129","       8235","         80.74"
"PRECOT","EQ","19-Sep-2018","         66.40","         66.30","         67.95","         64.00","         67.90","         66.70","         65.55","       8637","              566147.25","         57","       7057","         81.71"
"PRECOT","EQ","21-Sep-2018","         66.70","         65.00","         65.90","         60.10","         61.90","         61.20","         63.27","       5168","              326981.00","         56","       3817","         73.86"
"PRECOT","EQ","24-Sep-2018","         61.20","         63.80","         63.80","         56.25","         58.50","         58.50","         59.56","       1414","               84217.60","         14","       1380","         97.60"
"PRECOT","EQ","25-Sep-2018","         58.50","         59.55","         64.35","         58.00","         64.35","         63.05","         61.99","       4943","              306395.30","         35","       4908","         99.29"
"PRECOT","EQ","26-Sep-2018","         63.05","         63.20","         69.35","         63.20","         66.10","         66.20","         67.14","       8778","              589397.10","         64","       8309","         94.66"
"PRECOT","BE","27-Sep-2018","         66.20","         69.00","         69.00","         63.00","         65.95","         65.95","         65.09","       1090","               70944.00","          8","-","-"
"PRECOT","BE","28-Sep-2018","         65.95","         65.00","         65.00","         62.70","         63.00","         62.95","         62.95","       1406","               88513.00","         10","-","-"
"PRECOT","BE","01-Oct-2018","         62.95","         62.05","         62.05","         60.05","         60.05","         60.05","         60.61","       1894","              114791.70","         10","-","-"
"PRECOT","BE","03-Oct-2018","         60.05","         58.05","         58.05","         57.10","         57.10","         57.10","         57.68","       1503","               86685.80","          7","-","-"
"PRECOT","BE","04-Oct-2018","         57.10","         56.05","         59.95","         56.05","         58.00","         58.00","         58.00","       2117","              122785.15","          7","-","-"
"PRECOT","BE","05-Oct-2018","         58.00","         56.05","         56.05","         55.10","         55.10","         55.10","         55.33","       2059","              113925.90","          9","-","-"
"PRECOT","BE","08-Oct-2018","         55.10","         54.05","         54.05","         52.35","         52.35","         52.35","         52.50","       6003","              315132.05","          9","-","-"
"PRECOT","BE","09-Oct-2018","         52.35","         52.05","         53.95","         50.00","         50.00","         50.00","         50.89","       1180","               60056.00","          9","-","-"
"PRECOT","BE","10-Oct-2018","         50.00","         50.00","         52.45","         48.10","         52.45","         52.45","         50.97","       2278","              116113.60","         17","-","-"
"PRECOT","BE","11-Oct-2018","         52.45","         50.10","         52.90","         50.10","         52.90","         52.80","         52.69","         26","                1369.95","          3","-","-"
"PRECOT","BE","12-Oct-2018","         52.80","         53.95","         53.95","         50.25","         50.25","         50.65","         51.20","        301","               15410.75","          6","-","-"
"PRECOT","BE","15-Oct-2018","         50.65","         50.05","         53.15","         50.00","         53.15","         53.15","         52.75","      12551","              662063.85","         11","-","-"
"PRECOT","BE","17-Oct-2018","         53.15","         53.95","         53.95","         50.50","         50.50","         50.70","         51.03","       1738","               88684.00","         14","-","-"
"PRECOT","BE","19-Oct-2018","         50.70","         48.35","         51.95","         48.30","         48.35","         49.60","         49.10","        497","               24403.15","          7","-","-"
"PRECOT","BE","22-Oct-2018","         49.60","         49.80","         51.95","         49.80","         51.95","         51.95","         51.60","        610","               31474.50","          4","-","-"
"PRECOT","BE","23-Oct-2018","         51.95","         50.05","         50.05","         50.05","         50.05","         50.05","         50.05","         15","                 750.75","          1","-","-"
"PRECOT","BE","24-Oct-2018","         50.05","         50.05","         51.95","         50.05","         51.95","         51.95","         50.08","        327","               16375.15","          4","-","-"
"PRECOT","BE","25-Oct-2018","         51.95","         49.40","         54.40","         49.40","         51.95","         51.95","         53.32","         38","                2026.00","          5","-","-"
"PRECOT","BE","26-Oct-2018","         51.95","         49.70","         51.50","         49.40","         51.50","         49.50","         49.48","       5212","              257907.00","          8","-","-"
"PRECOT","BE","29-Oct-2018","         49.50","         48.05","         51.95","         48.05","         51.95","         51.95","         50.54","       3463","              175036.40","         15","-","-"
"PRECOT","BE","30-Oct-2018","         51.95","         53.90","         53.95","         53.90","         53.95","         53.95","         53.93","       1587","               85593.65","         10","-","-"
"PRECOT","BE","31-Oct-2018","         53.95","         55.90","         55.95","         55.70","         55.70","         55.70","         55.92","        530","               29637.50","          4","-","-"
"PRECOT","BE","01-Nov-2018","         55.70","         55.95","         55.95","         53.00","         53.00","         53.00","         54.42","        762","               41469.80","          9","-","-"
"PRECOT","BE","02-Nov-2018","         53.00","         55.65","         55.65","         52.10","         52.10","         52.10","         53.95","        251","               13540.60","         10","-","-"
"PRECOT","BE","06-Nov-2018","         52.10","         52.10","         52.15","         52.10","         52.15","         52.15","         52.10","        181","                9430.15","          2","-","-"
"PRECOT","BE","07-Nov-2018","         52.15","         52.05","         54.00","         52.05","         54.00","         53.95","         53.15","        176","                9354.00","          6","-","-"
"PRECOT","BE","09-Nov-2018","         53.95","         55.95","         56.60","         54.80","         56.60","         56.60","         56.43","       2458","              138707.80","         12","-","-"
"PRECOT","BE","12-Nov-2018","         56.60","         57.95","         59.40","         54.10","         59.40","         59.40","         58.51","       1989","              116383.20","         20","-","-"
"PRECOT","BE","13-Nov-2018","         59.40","         57.95","         61.95","         57.95","         61.95","         61.90","         59.62","       3035","              180950.15","         15","-","-"
"PRECOT","BE","14-Nov-2018","         61.90","         63.95","         64.95","         62.00","         64.95","         64.95","         64.76","      12497","              809324.30","         24","-","-"
"PRECOT","BE","15-Nov-2018","         64.95","         64.95","         67.95","         64.95","         66.05","         66.05","         66.34","       1320","               87565.00","         14","-","-"
"PRECOT","BE","16-Nov-2018","         66.05","         64.10","         67.95","         62.75","         67.95","         66.70","         65.30","       1512","               98732.70","         10","-","-"
"PRECOT","BE","19-Nov-2018","         66.70","         64.05","         64.10","         63.40","         64.05","         64.05","         63.97","        757","               48422.55","         10","-","-"
"PRECOT","BE","20-Nov-2018","         64.05","         62.05","         65.95","         60.85","         62.05","         62.05","         64.88","       5950","              386027.50","         15","-","-"
"PRECOT","BE","21-Nov-2018","         62.05","         62.05","         62.10","         60.05","         61.00","         61.00","         61.77","        675","               41696.75","          6","-","-"
"PRECOT","BE","22-Nov-2018","         61.00","         60.05","         60.05","         60.05","         60.05","         60.05","         60.05","        100","                6005.00","          1","-","-"
"PRECOT","BE","26-Nov-2018","         60.05","         61.00","         61.00","         61.00","         61.00","         61.00","         61.00","        100","                6100.00","          1","-","-"
"PRECOT","BE","27-Nov-2018","         61.00","         63.95","         64.05","         63.95","         64.05","         64.05","         63.96","        705","               45095.25","          4","-","-"
"PRECOT","BE","28-Nov-2018","         64.05","         65.80","         66.00","         65.80","         66.00","         66.00","         65.98","       1624","              107147.00","         11","-","-"
"PRECOT","BE","29-Nov-2018","         66.00","         69.30","         69.30","         63.00","         66.00","         66.00","         66.20","        331","               21911.75","          8","-","-"
"PRECOT","BE","30-Nov-2018","         66.00","         64.30","         65.95","         64.05","         64.05","         64.05","         64.18","        307","               19702.15","          7","-","-"
"PRECOT","BE","04-Dec-2018","         64.05","         64.05","         65.90","         62.05","         63.95","         64.90","         64.38","        768","               49441.90","         10","-","-"
"PRECOT","BE","05-Dec-2018","         64.90","         62.70","         65.80","         62.15","         65.80","         65.80","         62.87","        131","                8235.80","          5","-","-"
"PRECOT","BE","06-Dec-2018","         65.80","         65.80","         65.80","         65.80","         65.80","         65.80","         65.80","         20","                1316.00","          2","-","-"
"PRECOT","BE","10-Dec-2018","         65.80","         65.80","         65.80","         62.80","         62.80","         62.80","         64.16","         11","                 705.80","          3","-","-"
"PRECOT","BE","11-Dec-2018","         62.80","         62.05","         64.80","         62.05","         62.05","         62.05","         63.11","       1186","               74844.80","         10","-","-"
"PRECOT","BE","12-Dec-2018","         62.05","         64.80","         65.15","         61.00","         61.00","         61.00","         65.01","        406","               26395.15","          4","-","-"
