"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PRESTIGE","EQ","30-Aug-2018","        236.40","        236.50","        239.80","        231.00","        232.50","        232.85","        236.88","      86852","            20573211.65","       3959","      67956","         78.24"
"PRESTIGE","EQ","31-Aug-2018","        232.85","        231.75","        240.00","        231.00","        236.80","        237.05","        235.94","      96089","            22671365.25","       3140","      64097","         66.71"
"PRESTIGE","EQ","03-Sep-2018","        237.05","        238.90","        239.95","        234.70","        235.15","        235.80","        236.78","      22319","             5284757.80","        762","      14521","         65.06"
"PRESTIGE","EQ","04-Sep-2018","        235.80","        235.80","        240.00","        235.10","        237.70","        237.40","        237.62","      74047","            17595333.80","       1750","      48418","         65.39"
"PRESTIGE","EQ","05-Sep-2018","        237.40","        237.80","        237.80","        231.00","        231.75","        231.80","        232.65","      33166","             7715980.85","       3952","      17817","         53.72"
"PRESTIGE","EQ","06-Sep-2018","        231.80","        233.50","        234.85","        230.65","        232.60","        232.15","        232.49","      99376","            23103488.60","       1986","      80748","         81.26"
"PRESTIGE","EQ","07-Sep-2018","        232.15","        236.00","        238.75","        228.10","        229.70","        230.25","        234.43","     101193","            23722761.25","       4371","      37698","         37.25"
"PRESTIGE","EQ","10-Sep-2018","        230.25","        230.90","        231.05","        222.80","        223.55","        224.55","        226.34","      54376","            12307596.90","       1685","      29726","         54.67"
"PRESTIGE","EQ","11-Sep-2018","        224.55","        224.00","        227.00","        220.00","        220.20","        220.80","        222.54","      25843","             5751221.25","       1268","      13686","         52.96"
"PRESTIGE","EQ","12-Sep-2018","        220.80","        219.00","        221.50","        214.25","        220.00","        218.05","        217.72","      49748","            10830984.70","       3339","      26751","         53.77"
"PRESTIGE","EQ","14-Sep-2018","        218.05","        223.40","        239.70","        221.00","        239.70","        234.55","        229.37","     137849","            31618100.40","       4943","      48544","         35.22"
"PRESTIGE","EQ","17-Sep-2018","        234.55","        238.00","        243.65","        234.35","        239.20","        239.45","        239.76","     208888","            50082912.45","       4525","      63152","         30.23"
"PRESTIGE","EQ","18-Sep-2018","        239.45","        240.00","        248.70","        230.20","        233.00","        232.35","        236.05","     112439","            26541772.20","       2680","      60634","         53.93"
"PRESTIGE","EQ","19-Sep-2018","        232.35","        232.35","        238.45","        227.00","        229.80","        229.70","        232.16","      62095","            14416146.90","       2931","      20136","         32.43"
"PRESTIGE","EQ","21-Sep-2018","        229.70","        236.00","        238.50","        215.00","        230.00","        227.30","        226.80","      92730","            21031246.65","       4767","      43349","         46.75"
"PRESTIGE","EQ","24-Sep-2018","        227.30","        227.00","        227.00","        215.15","        216.00","        217.20","        220.30","      33570","             7395570.55","       1461","      18677","         55.64"
"PRESTIGE","EQ","25-Sep-2018","        217.20","        216.90","        229.80","        173.80","        213.00","        212.35","        203.16","     901471","           183143805.65","      13737","      87429","          9.70"
"PRESTIGE","EQ","26-Sep-2018","        212.35","        214.00","        224.80","        206.20","        224.00","        219.50","        214.27","     103129","            22097844.00","       3118","      58000","         56.24"
"PRESTIGE","EQ","27-Sep-2018","        219.50","        224.50","        242.00","        220.55","        238.90","        233.85","        227.91","     491923","           112114039.50","       9142","     247957","         50.41"
"PRESTIGE","EQ","28-Sep-2018","        233.85","        235.15","        235.50","        206.20","        210.80","        209.85","        223.12","     267712","            59730764.60","       6893","     159317","         59.51"
"PRESTIGE","EQ","01-Oct-2018","        209.85","        210.50","        221.80","        201.90","        214.55","        215.30","        206.23","     157091","            32396140.50","       2534","     116345","         74.06"
"PRESTIGE","EQ","03-Oct-2018","        215.30","        210.50","        214.15","        207.10","        209.90","        210.10","        210.65","      66166","            13937645.40","       2301","      30537","         46.15"
"PRESTIGE","EQ","04-Oct-2018","        210.10","        204.00","        205.80","        194.00","        194.05","        196.40","        198.05","     206531","            40904197.15","       7587","      92525","         44.80"
"PRESTIGE","EQ","05-Oct-2018","        196.40","        192.45","        198.85","        192.45","        196.95","        196.15","        196.10","     104502","            20492768.85","       4942","      67327","         64.43"
"PRESTIGE","EQ","08-Oct-2018","        196.15","        196.50","        199.70","        170.20","        172.30","        175.20","        183.56","     402204","            73826711.45","      12738","     237320","         59.00"
"PRESTIGE","EQ","09-Oct-2018","        175.20","        175.00","        175.20","        165.50","        171.00","        170.55","        168.93","     467958","            79053573.10","      16484","     295805","         63.21"
"PRESTIGE","EQ","10-Oct-2018","        170.55","        173.00","        181.55","        165.00","        176.00","        178.55","        174.43","     504222","            87953823.15","      10868","     359791","         71.36"
"PRESTIGE","EQ","11-Oct-2018","        178.55","        170.00","        170.00","        163.00","        169.25","        169.40","        168.92","     343594","            58040921.40","       7373","     207054","         60.26"
"PRESTIGE","EQ","12-Oct-2018","        169.40","        170.50","        181.90","        165.60","        180.00","        176.80","        169.90","    1542214","           262017926.60","      26555","    1101727","         71.44"
