"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"PROZONINTU","EQ","30-Aug-2018","         38.15","         38.35","         38.95","         37.15","         37.25","         37.55","         38.07","     137561","             5236411.50","       2554","      86608","         62.96"
"PROZONINTU","EQ","31-Aug-2018","         37.55","         38.45","         39.10","         37.20","         37.95","         37.90","         38.18","     142558","             5443239.55","       2563","      87867","         61.64"
"PROZONINTU","EQ","03-Sep-2018","         37.90","         39.15","         39.80","         37.60","         37.85","         38.15","         38.69","     365552","            14144822.65","       5754","     154512","         42.27"
"PROZONINTU","EQ","04-Sep-2018","         38.15","         38.10","         38.70","         36.65","         37.00","         37.30","         37.52","     146520","             5496828.15","       2710","      89030","         60.76"
"PROZONINTU","EQ","05-Sep-2018","         37.30","         37.40","         37.60","         36.05","         36.65","         36.65","         36.57","     138925","             5080982.50","       1165","      43127","         31.04"
"PROZONINTU","EQ","06-Sep-2018","         36.65","         37.30","         38.25","         36.40","         37.00","         37.20","         37.39","     173125","             6472726.80","       2816","      83869","         48.44"
"PROZONINTU","EQ","07-Sep-2018","         37.20","         37.10","         37.80","         36.60","         37.60","         37.40","         37.25","     129930","             4840154.25","       2451","      62458","         48.07"
"PROZONINTU","EQ","10-Sep-2018","         37.40","         37.50","         37.50","         36.00","         36.95","         36.65","         36.73","     144745","             5317047.30","       1842","      67767","         46.82"
"PROZONINTU","EQ","11-Sep-2018","         36.65","         36.75","         36.95","         36.00","         36.45","         36.60","         36.58","      91115","             3332713.75","        659","      43958","         48.24"
"PROZONINTU","EQ","12-Sep-2018","         36.60","         36.85","         37.00","         35.50","         36.15","         36.25","         36.00","     122215","             4399190.35","        817","      58353","         47.75"
"PROZONINTU","EQ","14-Sep-2018","         36.25","         36.45","         37.00","         36.05","         36.40","         36.50","         36.38","      84085","             3059235.90","        889","      28141","         33.47"
"PROZONINTU","EQ","17-Sep-2018","         36.50","         36.50","         36.65","         35.25","         36.25","         36.30","         35.95","      92260","             3316366.00","        768","      36256","         39.30"
"PROZONINTU","EQ","18-Sep-2018","         36.30","         36.85","         36.85","         35.50","         36.10","         36.05","         36.08","     102737","             3707185.05","        581","      55580","         54.10"
"PROZONINTU","EQ","19-Sep-2018","         36.05","         36.35","         36.40","         34.45","         34.75","         35.05","         35.32","      89288","             3154095.10","        655","      42912","         48.06"
"PROZONINTU","EQ","21-Sep-2018","         35.05","         35.30","         36.55","         32.55","         33.30","         33.70","         34.43","     212416","             7314293.65","       1329","     112388","         52.91"
"PROZONINTU","EQ","24-Sep-2018","         33.70","         34.25","         34.25","         30.65","         32.00","         32.30","         32.11","     185738","             5963763.90","       1277","      57982","         31.22"
"PROZONINTU","EQ","25-Sep-2018","         32.30","         32.00","         32.60","         30.20","         31.20","         31.35","         31.20","     182446","             5692607.10","       1136","      83149","         45.57"
"PROZONINTU","EQ","26-Sep-2018","         31.35","         31.90","         32.05","         30.45","         30.50","         30.85","         31.01","     118244","             3666703.60","        815","      67060","         56.71"
"PROZONINTU","EQ","27-Sep-2018","         30.85","         31.15","         32.30","         30.35","         30.85","         30.55","         30.92","     108003","             3339734.95","        670","      61946","         57.36"
"PROZONINTU","EQ","28-Sep-2018","         30.55","         31.15","         31.15","         28.20","         29.75","         29.20","         29.07","     187982","             5464985.60","       1328","      76061","         40.46"
"PROZONINTU","EQ","01-Oct-2018","         29.20","         29.20","         30.85","         26.00","         30.00","         29.75","         28.24","     226781","             6403461.35","       1338","     100013","         44.10"
"PROZONINTU","EQ","03-Oct-2018","         29.75","         30.20","         30.50","         28.40","         29.60","         30.15","         29.66","     110478","             3277045.45","       1054","      37122","         33.60"
"PROZONINTU","EQ","04-Oct-2018","         30.15","         28.90","         30.75","         28.25","         30.45","         30.40","         29.66","     154227","             4574127.55","        999","      72279","         46.87"
"PROZONINTU","EQ","05-Oct-2018","         30.40","         30.05","         31.50","         29.40","         29.75","         30.00","         30.03","     132391","             3976033.75","        864","      68160","         51.48"
"PROZONINTU","EQ","08-Oct-2018","         30.00","         29.90","         30.30","         27.15","         27.25","         27.60","         28.25","     207896","             5872978.05","       1070","     119322","         57.40"
"PROZONINTU","EQ","09-Oct-2018","         27.60","         27.65","         28.40","         26.75","         27.45","         27.25","         27.20","     116720","             3174743.55","        880","      51861","         44.43"
"PROZONINTU","EQ","10-Oct-2018","         27.25","         27.30","         28.95","         27.00","         28.20","         28.05","         27.94","     132417","             3699234.75","        803","      82471","         62.28"
"PROZONINTU","EQ","11-Oct-2018","         28.05","         26.85","         28.00","         26.10","         27.45","         27.30","         27.30","      77109","             2104940.55","        639","      38007","         49.29"
"PROZONINTU","EQ","12-Oct-2018","         27.30","         27.55","         29.80","         27.55","         29.15","         28.90","         29.04","     130315","             3784377.20","        819","      79498","         61.00"
"PROZONINTU","EQ","15-Oct-2018","         28.90","         29.40","         30.65","         28.95","         30.45","         29.90","         29.83","      54920","             1638094.40","        462","      28736","         52.32"
"PROZONINTU","EQ","16-Oct-2018","         29.90","         30.00","         31.05","         29.75","         29.95","         30.05","         30.24","      85616","             2589029.05","        618","      45915","         53.63"
"PROZONINTU","EQ","17-Oct-2018","         30.05","         31.20","         31.25","         28.70","         29.00","         29.00","         29.91","      82472","             2466600.75","        555","      48178","         58.42"
"PROZONINTU","EQ","19-Oct-2018","         29.00","         29.00","         29.40","         28.00","         28.25","         28.35","         28.47","      36557","             1040770.65","        370","      25683","         70.25"
"PROZONINTU","EQ","22-Oct-2018","         28.35","         28.15","         28.65","         27.65","         27.85","         27.70","         28.05","      49128","             1377889.55","        323","      34981","         71.20"
"PROZONINTU","EQ","23-Oct-2018","         27.70","         28.10","         28.10","         26.30","         26.75","         26.65","         27.17","      69694","             1893700.10","        526","      43195","         61.98"
"PROZONINTU","EQ","24-Oct-2018","         26.65","         27.15","         27.45","         26.65","         27.25","         27.05","         26.93","      52131","             1404119.20","        354","      23949","         45.94"
"PROZONINTU","EQ","25-Oct-2018","         27.05","         26.65","         27.75","         26.10","         27.20","         27.10","         26.86","      63024","             1692971.30","        465","      37510","         59.52"
"PROZONINTU","EQ","26-Oct-2018","         27.10","         26.75","         27.60","         26.50","         27.25","         27.00","         27.02","      66543","             1798249.35","        301","      47252","         71.01"
"PROZONINTU","EQ","29-Oct-2018","         27.00","         26.60","         28.00","         26.60","         27.25","         27.75","         27.49","      76280","             2097281.60","        520","      40723","         53.39"
"PROZONINTU","EQ","30-Oct-2018","         27.75","         27.40","         28.40","         27.15","         27.25","         27.35","         27.54","      59803","             1646719.15","        393","      32434","         54.23"
"PROZONINTU","EQ","31-Oct-2018","         27.35","         27.40","         27.90","         26.60","         27.90","         27.70","         27.36","      75843","             2074727.20","        445","      45438","         59.91"
"PROZONINTU","EQ","01-Nov-2018","         27.70","         27.75","         29.35","         27.70","         28.50","         28.35","         28.55","     125957","             3595874.10","        624","      63271","         50.23"
"PROZONINTU","EQ","02-Nov-2018","         28.35","         29.30","         30.60","         28.35","         30.30","         30.25","         29.93","     171015","             5118069.30","        781","      80638","         47.15"
"PROZONINTU","EQ","05-Nov-2018","         30.25","         29.35","         30.00","         27.50","         28.50","         28.50","         28.97","     105762","             3064073.35","        570","      58008","         54.85"
"PROZONINTU","EQ","06-Nov-2018","         28.50","         28.55","         29.60","         28.30","         29.00","         29.20","         29.03","      64870","             1883024.70","        452","      38977","         60.08"
"PROZONINTU","EQ","07-Nov-2018","         29.20","         30.40","         30.40","         28.75","         29.20","         29.05","         29.19","      53539","             1562753.80","        237","      39616","         73.99"
"PROZONINTU","EQ","09-Nov-2018","         29.05","         29.25","         30.40","         28.85","         29.70","         30.00","         29.58","      67300","             1990404.95","        399","      44082","         65.50"
"PROZONINTU","EQ","12-Nov-2018","         30.00","         30.00","         30.50","         29.30","         29.50","         29.70","         29.87","      45528","             1359893.85","        386","      26477","         58.16"
"PROZONINTU","EQ","13-Nov-2018","         29.70","         29.25","         30.30","         29.25","         30.20","         30.00","         29.95","      31689","              949031.60","        262","      16492","         52.04"
"PROZONINTU","EQ","14-Nov-2018","         30.00","         30.20","         32.70","         30.00","         31.50","         31.20","         31.45","     175169","             5508528.10","        847","      87715","         50.07"
"PROZONINTU","EQ","15-Nov-2018","         31.20","         30.25","         31.10","         30.00","         30.25","         30.30","         30.52","      45366","             1384491.50","        456","      23587","         51.99"
"PROZONINTU","EQ","16-Nov-2018","         30.30","         30.35","         31.30","         30.10","         30.90","         30.65","         30.72","      58749","             1805029.00","        402","      40972","         69.74"
"PROZONINTU","EQ","19-Nov-2018","         30.65","         30.15","         31.50","         30.00","         30.80","         30.80","         30.66","      58335","             1788262.80","        496","      34854","         59.75"
