"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"QGOLDHALF","EQ","30-Aug-2018","       1333.55","       1338.00","       1339.00","       1332.50","       1335.00","       1338.55","       1337.09","        362","              484026.35","         38","        173","         47.79"
"QGOLDHALF","EQ","31-Aug-2018","       1338.55","       1335.10","       1345.00","       1335.10","       1343.00","       1343.80","       1342.43","        323","              433605.25","         61","        166","         51.39"
"QGOLDHALF","EQ","03-Sep-2018","       1343.80","       1345.00","       1345.00","       1321.00","       1338.00","       1337.95","       1338.61","        341","              456464.65","         83","        174","         51.03"
"QGOLDHALF","EQ","04-Sep-2018","       1337.95","       1341.00","       1341.00","       1330.00","       1336.00","       1336.00","       1334.77","        218","              290980.10","         43","        133","         61.01"
"QGOLDHALF","EQ","05-Sep-2018","       1336.00","       1359.95","       1359.95","       1333.05","       1342.00","       1342.00","       1339.87","        495","              663234.75","         79","        299","         60.40"
"QGOLDHALF","EQ","06-Sep-2018","       1342.00","       1347.00","       1352.50","       1340.00","       1352.45","       1349.40","       1346.73","        152","              204703.35","         40","        116","         76.32"
"QGOLDHALF","EQ","07-Sep-2018","       1349.40","       1352.00","       1355.00","       1347.00","       1349.20","       1349.20","       1351.10","        326","              440459.45","         70","        228","         69.94"
"QGOLDHALF","EQ","10-Sep-2018","       1349.20","       1354.00","       1354.00","       1343.10","       1351.20","       1351.20","       1350.91","        434","              586295.05","         71","        245","         56.45"
"QGOLDHALF","EQ","11-Sep-2018","       1351.20","       1353.00","       1355.05","       1351.30","       1355.05","       1355.00","       1354.68","        368","              498522.00","         24","        359","         97.55"
"QGOLDHALF","EQ","12-Sep-2018","       1355.00","       1359.05","       1363.00","       1357.00","       1359.00","       1359.00","       1359.35","        151","              205262.10","         34","        141","         93.38"
"QGOLDHALF","EQ","14-Sep-2018","       1359.00","       1360.00","       1367.95","       1348.00","       1353.00","       1352.10","       1353.07","        650","              879494.80","         81","        368","         56.62"
"QGOLDHALF","EQ","17-Sep-2018","       1352.10","       1359.95","       1360.00","       1355.00","       1356.00","       1356.00","       1357.75","        119","              161572.65","         54","         83","         69.75"
"QGOLDHALF","EQ","18-Sep-2018","       1356.00","       1360.00","       1360.00","       1354.00","       1358.00","       1358.55","       1356.41","        109","              147848.85","         43","         81","         74.31"
"QGOLDHALF","EQ","19-Sep-2018","       1358.55","       1361.95","       1373.95","       1355.15","       1368.00","       1368.85","       1367.56","        247","              337788.15","         53","        197","         79.76"
"QGOLDHALF","EQ","21-Sep-2018","       1368.85","       1369.90","       1369.90","       1355.00","       1360.00","       1360.00","       1358.89","        333","              452509.30","         59","        237","         71.17"
"QGOLDHALF","EQ","24-Sep-2018","       1360.00","       1360.00","       1360.95","       1351.00","       1360.00","       1359.85","       1359.37","        842","             1144592.85","         64","        785","         93.23"
