"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RAMCOIND","EQ","30-Aug-2018","        244.85","        242.30","        251.05","        242.30","        250.20","        249.60","        248.26","      45250","            11233849.75","        805","      32560","         71.96"
"RAMCOIND","EQ","31-Aug-2018","        249.60","        249.95","        255.00","        247.00","        247.50","        247.85","        251.30","      35133","             8828980.95","        828","      21014","         59.81"
"RAMCOIND","EQ","03-Sep-2018","        247.85","        249.00","        254.95","        244.10","        244.45","        245.55","        250.56","      40147","            10059180.35","        869","      18560","         46.23"
"RAMCOIND","EQ","04-Sep-2018","        245.55","        245.55","        245.75","        230.35","        233.60","        233.65","        238.09","      36445","             8677032.70","        878","      26971","         74.00"
"RAMCOIND","EQ","05-Sep-2018","        233.65","        231.00","        238.30","        231.00","        236.00","        235.70","        236.33","      28151","             6652889.90","        668","      19187","         68.16"
"RAMCOIND","EQ","06-Sep-2018","        235.70","        236.90","        243.00","        236.90","        239.00","        240.35","        240.50","      50085","            12045663.55","       1326","      29326","         58.55"
"RAMCOIND","EQ","07-Sep-2018","        240.35","        240.95","        240.95","        233.95","        235.50","        235.25","        236.79","      19127","             4529068.15","        519","      11045","         57.75"
"RAMCOIND","EQ","10-Sep-2018","        235.25","        236.40","        236.45","        228.75","        230.15","        230.00","        231.70","      27234","             6310133.85","        865","      20158","         74.02"
"RAMCOIND","EQ","11-Sep-2018","        230.00","        230.00","        238.00","        230.00","        238.00","        236.70","        236.34","      47305","            11180211.45","       1153","      21153","         44.72"
"RAMCOIND","EQ","12-Sep-2018","        236.70","        236.70","        237.80","        231.60","        232.45","        233.15","        235.11","      12163","             2859665.05","        522","       7184","         59.06"
"RAMCOIND","EQ","14-Sep-2018","        233.15","        237.30","        237.30","        225.35","        228.80","        228.75","        230.19","      30412","             7000425.25","       1219","      21917","         72.07"
"RAMCOIND","EQ","17-Sep-2018","        228.75","        227.40","        233.25","        226.00","        231.35","        231.80","        230.94","      40994","             9467100.35","        869","      12075","         29.46"
"RAMCOIND","EQ","18-Sep-2018","        231.80","        231.80","        234.80","        225.95","        226.90","        226.45","        231.65","      40592","             9403179.75","        781","      19065","         46.97"
"RAMCOIND","EQ","19-Sep-2018","        226.45","        226.10","        229.10","        220.25","        221.00","        220.95","        224.70","      28675","             6443365.00","        633","      19402","         67.66"
"RAMCOIND","EQ","21-Sep-2018","        220.95","        223.45","        223.60","        204.25","        209.00","        207.10","        211.22","     164314","            34706638.20","       4677","     132804","         80.82"
"RAMCOIND","EQ","24-Sep-2018","        207.10","        212.25","        216.95","        198.30","        199.00","        199.90","        202.64","      64270","            13023437.70","       1867","      36688","         57.08"
"RAMCOIND","EQ","25-Sep-2018","        199.90","        199.75","        205.00","        190.90","        205.00","        201.00","        199.03","      55308","            11007702.60","       1444","      31229","         56.46"
"RAMCOIND","EQ","26-Sep-2018","        201.00","        201.50","        209.60","        201.50","        206.95","        206.90","        206.27","      38952","             8034587.40","       1335","      20237","         51.95"
"RAMCOIND","EQ","27-Sep-2018","        206.90","        207.15","        209.95","        203.80","        204.50","        204.95","        206.40","      36787","             7592756.50","        597","      19790","         53.80"
"RAMCOIND","EQ","28-Sep-2018","        204.95","        204.05","        210.80","        189.00","        198.00","        197.95","        201.62","      47093","             9494931.90","       1005","      24073","         51.12"
"RAMCOIND","EQ","01-Oct-2018","        197.95","        196.10","        200.00","        190.00","        193.90","        194.45","        194.10","      27689","             5374561.50","        851","      11758","         42.46"
"RAMCOIND","EQ","03-Oct-2018","        194.45","        195.25","        197.60","        190.30","        192.15","        192.65","        194.65","      38029","             7402272.70","        801","      18711","         49.20"
"RAMCOIND","EQ","04-Oct-2018","        192.65","        191.10","        196.95","        188.00","        195.00","        193.50","        191.87","      35866","             6881684.45","        837","      20427","         56.95"
"RAMCOIND","EQ","05-Oct-2018","        193.50","        193.50","        193.50","        185.00","        185.05","        188.05","        189.51","      30384","             5758011.35","        904","      15640","         51.47"
"RAMCOIND","EQ","08-Oct-2018","        188.05","        187.10","        188.00","        176.15","        183.30","        181.40","        181.95","      39364","             7162138.75","       1016","      20418","         51.87"
"RAMCOIND","EQ","09-Oct-2018","        181.40","        181.50","        181.50","        172.10","        180.20","        178.55","        177.10","      50602","             8961646.60","        866","      32403","         64.04"
"RAMCOIND","EQ","10-Oct-2018","        178.55","        176.25","        189.70","        176.25","        183.45","        184.95","        183.80","      48117","             8844003.70","       1157","      28784","         59.82"
"RAMCOIND","EQ","11-Oct-2018","        184.95","        182.00","        185.00","        176.60","        178.65","        179.15","        178.85","      58249","            10417986.05","       1004","      31050","         53.31"
"RAMCOIND","EQ","12-Oct-2018","        179.15","        180.60","        187.85","        180.60","        186.25","        186.95","        185.52","      23117","             4288628.40","        727","      12891","         55.76"
"RAMCOIND","EQ","15-Oct-2018","        186.95","        186.95","        186.95","        181.05","        185.50","        185.80","        185.05","      29833","             5520561.45","        543","      16301","         54.64"
"RAMCOIND","EQ","16-Oct-2018","        185.80","        185.65","        197.00","        185.65","        194.20","        194.25","        193.21","      29442","             5688626.80","        767","      16999","         57.74"
"RAMCOIND","EQ","17-Oct-2018","        194.25","        196.20","        199.65","        189.10","        193.00","        191.45","        193.98","      23231","             4506412.00","        483","      12779","         55.01"
"RAMCOIND","EQ","19-Oct-2018","        191.45","        192.45","        192.45","        186.00","        188.20","        188.15","        188.04","      25750","             4841979.25","        637","      13292","         51.62"
"RAMCOIND","EQ","22-Oct-2018","        188.15","        193.95","        193.95","        188.15","        190.45","        190.55","        191.59","      32154","             6160305.95","        853","      13308","         41.39"
"RAMCOIND","EQ","23-Oct-2018","        190.55","        186.75","        191.60","        186.75","        191.40","        191.00","        190.58","      33716","             6425506.70","        533","      22618","         67.08"
"RAMCOIND","EQ","24-Oct-2018","        191.00","        192.10","        192.15","        186.40","        188.00","        188.85","        189.69","      14059","             2666862.00","        376","       5700","         40.54"
"RAMCOIND","EQ","25-Oct-2018","        188.85","        187.90","        189.90","        182.70","        183.00","        184.35","        185.64","      17279","             3207670.70","        468","       9986","         57.79"
"RAMCOIND","EQ","26-Oct-2018","        184.35","        184.65","        188.95","        183.20","        185.40","        185.40","        186.15","      13425","             2499011.65","        416","       8164","         60.81"
