"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RCOM","EQ","30-Aug-2018","         18.55","         18.45","         18.95","         18.05","         18.45","         18.60","         18.51","   90415229","          1673302496.75","     144182","    7061466","          7.81"
"RCOM","EQ","31-Aug-2018","         18.60","         18.50","         18.75","         17.90","         18.15","         18.25","         18.31","   73296426","          1341781949.30","      69448","   11507136","         15.70"
"RCOM","EQ","03-Sep-2018","         18.25","         18.20","         18.90","         17.90","         18.20","         18.20","         18.35","   86233625","          1582132377.20","      59527","    8347449","          9.68"
"RCOM","EQ","04-Sep-2018","         18.20","         18.30","         18.30","         17.25","         17.50","         17.40","         17.77","   84670396","          1504633717.85","      51393","   10152172","         11.99"
"RCOM","EQ","05-Sep-2018","         17.40","         17.40","         17.80","         16.30","         17.35","         17.45","         17.23","  123554671","          2128452571.70","      71795","    7689014","          6.22"
"RCOM","EQ","06-Sep-2018","         17.45","         17.40","         17.80","         17.15","         17.20","         17.25","         17.43","   54570854","           950976265.00","      36958","    5254777","          9.63"
"RCOM","EQ","07-Sep-2018","         17.25","         17.25","         17.75","         17.05","         17.20","         17.30","         17.38","   57039892","           991614938.95","      34338","    5203488","          9.12"
"RCOM","EQ","10-Sep-2018","         17.30","         17.25","         17.60","         16.85","         16.85","         16.95","         17.16","   61564607","          1056257932.30","      37675","    5521201","          8.97"
"RCOM","EQ","11-Sep-2018","         16.95","         16.95","         17.15","         16.05","         16.10","         16.15","         16.61","   59079109","           981554627.85","      52434","    7094267","         12.01"
"RCOM","EQ","12-Sep-2018","         16.15","         16.20","         16.30","         15.35","         16.05","         16.05","         15.84","   79095692","          1252749850.85","      56720","    8546822","         10.81"
"RCOM","EQ","14-Sep-2018","         16.05","         16.15","         16.70","         16.15","         16.35","         16.35","         16.43","   46317095","           761186437.00","      40104","    6480922","         13.99"
"RCOM","EQ","17-Sep-2018","         16.35","         16.40","         17.60","         16.00","         17.15","         17.15","         16.90","   83977228","          1419583772.85","      52649","   10880128","         12.96"
"RCOM","EQ","18-Sep-2018","         17.15","         17.40","         17.75","         15.45","         16.10","         16.20","         16.49","  143474203","          2365402186.10","      80037","   14469573","         10.09"
"RCOM","EQ","19-Sep-2018","         16.20","         15.80","         16.10","         14.60","         14.95","         14.90","         15.36","  100440182","          1542816262.40","      63455","   12746513","         12.69"
"RCOM","EQ","21-Sep-2018","         14.90","         14.95","         15.10","         12.70","         13.20","         13.15","         13.70","  151617141","          2077041238.30","      78986","   22968095","         15.15"
"RCOM","EQ","24-Sep-2018","         13.15","         12.70","         12.90","         11.25","         12.10","         12.25","         12.30","   93287496","          1147797134.60","     102572","    9515379","         10.20"
"RCOM","EQ","25-Sep-2018","         12.25","         12.00","         12.15","         11.20","         11.60","         11.50","         11.70","   85791357","          1004063284.80","      46454","   11824994","         13.78"
"RCOM","EQ","26-Sep-2018","         11.50","         11.90","         13.20","         11.50","         12.85","         12.90","         12.26","  103895838","          1274081667.65","      70013","   11516642","         11.08"
"RCOM","EQ","27-Sep-2018","         12.90","         12.95","         13.50","         12.05","         12.50","         12.35","         12.83","   85636111","          1098721150.70","      57325","   12784144","         14.93"
"RCOM","EQ","28-Sep-2018","         12.35","         12.50","         12.75","         11.70","         11.95","         11.90","         12.07","   62225689","           751310454.60","      36421","    7884527","         12.67"
