"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RELAXO","EQ","30-Aug-2018","        847.80","        854.90","        854.90","        839.75","        845.50","        848.25","        845.77","      24454","            20682373.90","       1172","      12138","         49.64"
"RELAXO","EQ","31-Aug-2018","        848.25","        841.00","        850.90","        840.00","        843.65","        843.75","        849.18","     122068","           103658107.65","       2606","     108116","         88.57"
"RELAXO","EQ","03-Sep-2018","        843.75","        847.00","        850.80","        842.00","        845.00","        844.25","        847.95","      21336","            18091939.60","       1999","      11040","         51.74"
"RELAXO","EQ","04-Sep-2018","        844.25","        845.10","        850.00","        830.15","        840.85","        840.85","        841.26","      20115","            16921927.75","       1244","      13204","         65.64"
"RELAXO","EQ","05-Sep-2018","        840.85","        840.85","        846.95","        825.00","        832.00","        829.75","        836.31","      39370","            32925523.10","       2187","      30402","         77.22"
"RELAXO","EQ","06-Sep-2018","        829.75","        828.05","        841.65","        825.00","        840.00","        834.95","        832.40","      23908","            19900963.55","       1728","      14696","         61.47"
"RELAXO","EQ","07-Sep-2018","        834.95","        835.05","        858.45","        835.05","        840.25","        844.10","        846.13","      54089","            45766277.55","       1821","      41428","         76.59"
"RELAXO","EQ","10-Sep-2018","        844.10","        844.00","        850.00","        825.00","        835.60","        833.95","        837.98","      39886","            33423535.70","       3780","      23823","         59.73"
"RELAXO","EQ","11-Sep-2018","        833.95","        830.00","        843.00","        821.50","        832.95","        831.30","        830.71","      17129","            14229264.65","       1480","       9741","         56.87"
"RELAXO","EQ","12-Sep-2018","        831.30","        835.00","        849.95","        826.00","        831.50","        835.70","        841.47","      42922","            36117453.90","       2447","      12275","         28.60"
"RELAXO","EQ","14-Sep-2018","        835.70","        840.70","        864.90","        835.10","        850.00","        851.25","        846.69","      26376","            22332426.80","       1457","      14481","         54.90"
"RELAXO","EQ","17-Sep-2018","        851.25","        849.95","        853.05","        841.30","        849.50","        848.20","        847.86","      10699","             9071210.65","       1082","       5843","         54.61"
"RELAXO","EQ","18-Sep-2018","        848.20","        843.00","        850.30","        827.95","        840.00","        842.05","        840.94","      22544","            18958154.35","       1149","      10912","         48.40"
"RELAXO","EQ","19-Sep-2018","        842.05","        844.00","        854.25","        830.00","        849.50","        844.15","        840.91","      25483","            21428840.95","       1704","       9585","         37.61"
"RELAXO","EQ","21-Sep-2018","        844.15","        845.10","        847.95","        824.00","        828.00","        829.60","        833.90","      29560","            24650142.00","       1785","      18754","         63.44"
"RELAXO","EQ","24-Sep-2018","        829.60","        824.00","        833.00","        786.15","        799.80","        797.55","        801.67","      40991","            32861376.80","       3121","      30596","         74.64"
"RELAXO","EQ","25-Sep-2018","        797.55","        789.65","        792.00","        742.10","        761.00","        754.85","        759.64","      53545","            40675024.80","       2591","      36487","         68.14"
"RELAXO","EQ","26-Sep-2018","        754.85","        776.95","        784.00","        755.00","        762.00","        764.25","        771.40","      25327","            19537294.30","       1529","      14480","         57.17"
"RELAXO","EQ","27-Sep-2018","        764.25","        774.20","        780.25","        718.00","        725.00","        733.35","        754.02","      43484","            32787667.85","       4013","      19991","         45.97"
"RELAXO","EQ","28-Sep-2018","        733.35","        739.90","        789.45","        711.25","        730.00","        731.45","        739.57","     100086","            74020590.05","       2924","      71631","         71.57"
"RELAXO","EQ","01-Oct-2018","        731.45","        716.00","        729.90","        700.00","        707.95","        707.50","        711.47","      32212","            22917719.05","       3195","      20715","         64.31"
"RELAXO","EQ","03-Oct-2018","        707.50","        707.95","        722.45","        695.00","        719.00","        711.55","        709.65","      30844","            21888527.45","       2933","      21767","         70.57"
"RELAXO","EQ","04-Oct-2018","        711.55","        702.00","        717.00","        695.00","        710.95","        710.25","        709.69","      22267","            15802573.65","       2072","      14166","         63.62"
"RELAXO","EQ","05-Oct-2018","        710.25","        698.05","        716.35","        698.05","        708.80","        708.05","        709.68","      27558","            19557369.05","       2515","      18909","         68.62"
"RELAXO","EQ","08-Oct-2018","        708.05","        716.00","        716.00","        690.05","        702.00","        698.45","        701.96","      40550","            28464308.75","       3967","      24882","         61.36"
"RELAXO","EQ","09-Oct-2018","        698.45","        694.00","        714.20","        691.00","        705.00","        699.65","        702.00","      50651","            35557229.80","       2954","      30050","         59.33"
"RELAXO","EQ","10-Oct-2018","        699.65","        703.90","        706.90","        694.20","        695.00","        699.25","        700.33","      22563","            15801615.70","       2438","      12520","         55.49"
"RELAXO","EQ","11-Oct-2018","        699.25","        664.30","        711.70","        664.30","        684.00","        685.05","        694.27","     100192","            69559820.30","       5150","      66546","         66.42"
"RELAXO","EQ","12-Oct-2018","        685.05","        690.15","        704.00","        672.10","        681.00","        678.10","        688.97","      32271","            22233827.80","       2384","      17922","         55.54"
"RELAXO","EQ","15-Oct-2018","        678.10","        684.00","        695.45","        676.05","        690.35","        687.95","        685.38","      15428","            10574034.80","       1460","       7816","         50.66"
"RELAXO","EQ","16-Oct-2018","        687.95","        691.85","        713.15","        690.00","        710.00","        710.25","        704.92","      56851","            40075371.70","       2998","      42358","         74.51"
"RELAXO","EQ","17-Oct-2018","        710.25","        720.00","        730.30","        710.00","        710.00","        712.80","        720.58","      38627","            27833727.30","       1937","      14066","         36.41"
"RELAXO","EQ","19-Oct-2018","        712.80","        707.00","        724.90","        700.05","        711.95","        715.50","        713.60","      17947","            12806893.95","       2298","       9279","         51.70"
"RELAXO","EQ","22-Oct-2018","        715.50","        720.00","        752.45","        707.00","        744.95","        742.00","        730.43","      19270","            14075390.65","       1488","      12997","         67.45"
"RELAXO","EQ","23-Oct-2018","        742.00","        742.75","        746.95","        709.20","        735.85","        742.50","        728.78","      22732","            16566687.25","       2062","      13373","         58.83"
"RELAXO","EQ","24-Oct-2018","        742.50","        742.50","        759.30","        731.00","        750.00","        749.65","        747.63","      36674","            27418446.35","       2731","      18289","         49.87"
"RELAXO","EQ","25-Oct-2018","        749.65","        739.00","        749.95","        730.15","        749.95","        744.25","        740.06","      10040","             7430184.50","       1223","       4825","         48.06"
"RELAXO","EQ","26-Oct-2018","        744.25","        737.05","        745.80","        737.00","        740.00","        740.50","        740.25","       6818","             5046995.60","       1414","       4051","         59.42"
"RELAXO","EQ","29-Oct-2018","        740.50","        736.10","        762.25","        725.00","        743.00","        742.15","        742.31","      22650","            16813272.90","       2089","       9367","         41.36"
"RELAXO","EQ","30-Oct-2018","        742.15","        744.65","        770.00","        741.50","        770.00","        764.60","        756.53","      25956","            19636481.05","       2851","      14203","         54.72"
"RELAXO","EQ","31-Oct-2018","        764.60","        770.00","        822.45","        758.00","        800.00","        792.60","        793.58","      84900","            67375338.35","       4719","      17708","         20.86"
"RELAXO","EQ","01-Nov-2018","        792.60","        797.90","        807.95","        780.25","        785.60","        787.00","        794.15","      27057","            21487317.80","       2626","      13632","         50.38"
"RELAXO","EQ","02-Nov-2018","        787.00","        794.00","        805.00","        780.00","        794.90","        792.10","        790.91","      47517","            37581902.40","       2615","      16791","         35.34"
"RELAXO","EQ","05-Nov-2018","        792.10","        801.00","        801.00","        770.95","        778.00","        777.10","        787.76","      22088","            17399934.80","       1622","      12693","         57.47"
"RELAXO","EQ","06-Nov-2018","        777.10","        787.80","        798.00","        781.65","        790.00","        788.60","        788.38","      31785","            25058683.70","       2522","      20218","         63.61"
"RELAXO","EQ","07-Nov-2018","        788.60","        790.00","        802.95","        790.00","        796.00","        796.75","        797.99","       3756","             2997249.65","        333","       2600","         69.22"
"RELAXO","EQ","09-Nov-2018","        796.75","        799.00","        802.00","        787.00","        787.55","        789.50","        793.25","       8145","             6461005.25","       1314","       3735","         45.86"
"RELAXO","EQ","12-Nov-2018","        789.50","        787.55","        793.80","        783.00","        790.00","        790.05","        789.50","      10282","             8117610.55","       1062","       6185","         60.15"
"RELAXO","EQ","13-Nov-2018","        790.05","        785.00","        796.65","        775.00","        795.00","        790.00","        783.58","      10029","             7858565.15","       1208","       5404","         53.88"
"RELAXO","EQ","14-Nov-2018","        790.00","        798.00","        807.70","        778.25","        790.00","        789.90","        796.33","      27523","            21917271.80","       1699","      14959","         54.35"
"RELAXO","EQ","15-Nov-2018","        789.90","        787.60","        800.00","        781.00","        795.00","        792.80","        788.20","      16089","            12681412.60","       1022","       9120","         56.68"
"RELAXO","EQ","16-Nov-2018","        792.80","        787.15","        807.00","        781.00","        800.00","        795.55","        792.16","      12095","             9581115.60","        883","       6453","         53.35"
"RELAXO","EQ","19-Nov-2018","        795.55","        800.00","        815.00","        780.00","        780.00","        784.00","        792.12","      20769","            16451599.85","       1440","       7698","         37.06"
"RELAXO","EQ","20-Nov-2018","        784.00","        785.00","        793.00","        775.00","        777.60","        782.10","        781.00","      16968","            13252062.30","       1063","       9879","         58.22"
"RELAXO","EQ","21-Nov-2018","        782.10","        786.00","        786.05","        775.00","        780.95","        777.10","        778.68","       8530","             6642113.80","        790","       4752","         55.71"
"RELAXO","EQ","22-Nov-2018","        777.10","        775.10","        781.70","        752.60","        762.75","        764.30","        772.17","      14439","            11149302.95","       1202","       9477","         65.63"
"RELAXO","EQ","26-Nov-2018","        764.30","        770.00","        770.00","        746.70","        758.80","        756.80","        756.68","      11582","             8763921.40","       1282","       5760","         49.73"
"RELAXO","EQ","27-Nov-2018","        756.80","        754.00","        769.90","        749.75","        760.00","        760.50","        762.12","      24947","            19012696.05","       1610","       6658","         26.69"
"RELAXO","EQ","28-Nov-2018","        760.50","        768.00","        768.00","        756.70","        765.00","        762.55","        762.70","      15085","            11505282.95","       1199","       8423","         55.84"
"RELAXO","EQ","29-Nov-2018","        762.55","        768.00","        768.05","        750.20","        758.90","        756.65","        759.72","       7233","             5495061.60","        887","       4102","         56.71"
"RELAXO","EQ","30-Nov-2018","        756.65","        755.00","        777.85","        750.00","        752.00","        751.55","        759.32","      68593","            52084088.85","       4738","      60267","         87.86"
"RELAXO","EQ","03-Dec-2018","        751.55","        762.75","        762.75","        746.50","        753.00","        753.70","        751.72","      13978","            10507597.75","       1700","       9995","         71.51"
"RELAXO","EQ","04-Dec-2018","        753.70","        759.00","        762.95","        749.75","        760.10","        760.10","        756.08","      12779","             9661981.50","        784","       8946","         70.01"
"RELAXO","EQ","05-Dec-2018","        760.10","        760.00","        768.95","        750.05","        756.50","        757.35","        759.08","       9466","             7185425.25","       1097","       3733","         39.44"
"RELAXO","EQ","06-Dec-2018","        757.35","        758.00","        759.85","        741.50","        745.00","        744.10","        748.28","      12037","             9007060.45","        980","       7388","         61.38"
"RELAXO","EQ","07-Dec-2018","        744.10","        747.00","        756.95","        741.00","        746.00","        744.90","        747.11","       9423","             7040035.85","        688","       5616","         59.60"
"RELAXO","EQ","10-Dec-2018","        744.90","        737.65","        749.00","        733.55","        740.00","        740.95","        741.50","       8971","             6651980.20","       1371","       6656","         74.19"
"RELAXO","EQ","11-Dec-2018","        740.95","        737.00","        748.95","        722.00","        740.00","        741.30","        735.32","      20366","            14975534.15","       2953","      12532","         61.53"
"RELAXO","EQ","12-Dec-2018","        741.30","        745.00","        747.10","        737.00","        742.50","        744.45","        744.45","      15415","            11475766.10","       2875","      11540","         74.86"
"RELAXO","EQ","13-Dec-2018","        744.45","        751.50","        752.30","        726.10","        729.90","        734.45","        738.25","      46840","            34579641.60","       3132","      20544","         43.86"
"RELAXO","EQ","14-Dec-2018","        734.45","        731.90","        733.80","        716.00","        719.80","        724.45","        724.21","      41894","            30339886.25","       2713","      18974","         45.29"
"RELAXO","EQ","17-Dec-2018","        724.45","        724.45","        735.00","        712.40","        718.00","        714.90","        723.01","      29690","            21466191.80","       1718","      11679","         39.34"
"RELAXO","EQ","18-Dec-2018","        714.90","        715.00","        736.25","        712.00","        733.00","        732.35","        724.62","      38763","            28088303.75","       2271","      15834","         40.85"
"RELAXO","EQ","19-Dec-2018","        732.35","        736.00","        752.65","        735.35","        738.95","        741.55","        745.53","      71682","            53441125.55","       2145","      35727","         49.84"
"RELAXO","EQ","20-Dec-2018","        741.55","        742.00","        742.00","        728.00","        729.95","        730.25","        735.25","      29462","            21661979.35","       1569","      15471","         52.51"
"RELAXO","EQ","21-Dec-2018","        730.25","        733.85","        736.35","        716.15","        725.00","        724.45","        724.16","      50217","            36365060.75","       1815","      42774","         85.18"
"RELAXO","EQ","24-Dec-2018","        724.45","        721.25","        734.00","        716.65","        733.75","        726.75","        723.01","      16500","            11929682.60","       1193","       9292","         56.32"
"RELAXO","EQ","26-Dec-2018","        726.75","        732.00","        735.15","        714.00","        720.00","        724.90","        724.19","      21872","            15839384.40","       1254","      11978","         54.76"
"RELAXO","EQ","27-Dec-2018","        724.90","        729.85","        735.00","        718.00","        727.00","        722.90","        726.28","      13717","             9962367.30","       1344","       7414","         54.05"
"RELAXO","EQ","28-Dec-2018","        722.90","        727.05","        738.85","        705.20","        725.00","        731.85","        722.09","      33812","            24415452.65","       2254","      10033","         29.67"
"RELAXO","EQ","31-Dec-2018","        731.85","        734.00","        736.05","        726.00","        731.50","        732.80","        730.17","       9803","             7157814.30","       1559","       7004","         71.45"
"RELAXO","EQ","01-Jan-2019","        732.80","        729.50","        741.95","        726.60","        741.95","        738.65","        737.59","       8473","             6249585.75","        606","       4994","         58.94"
"RELAXO","EQ","02-Jan-2019","        738.65","        738.50","        742.00","        731.30","        739.00","        738.95","        737.24","       6435","             4744121.05","        752","       3034","         47.15"
"RELAXO","EQ","03-Jan-2019","        738.95","        743.40","        751.00","        738.20","        741.00","        746.85","        745.08","      17985","            13400324.95","       1175","      11311","         62.89"
"RELAXO","EQ","04-Jan-2019","        746.85","        752.15","        755.00","        735.00","        754.00","        749.80","        744.44","      11754","             8750101.65","       1162","       8587","         73.06"
"RELAXO","EQ","07-Jan-2019","        749.80","        754.00","        758.00","        743.45","        758.00","        753.70","        751.27","      12617","             9478746.80","        837","       9386","         74.39"
"RELAXO","EQ","08-Jan-2019","        753.70","        757.00","        760.00","        747.25","        747.25","        753.65","        755.35","      11554","             8727293.00","       1222","       7447","         64.45"
"RELAXO","EQ","09-Jan-2019","        753.65","        751.00","        758.20","        739.95","        743.00","        740.90","        741.55","      59085","            43814490.05","       1493","      55075","         93.21"
"RELAXO","EQ","10-Jan-2019","        740.90","        741.00","        758.10","        740.00","        749.00","        753.50","        751.10","      14885","            11180195.15","       1135","       6835","         45.92"
"RELAXO","EQ","11-Jan-2019","        753.50","        753.00","        760.75","        752.00","        752.20","        757.55","        757.13","      15375","            11640883.00","        804","      10575","         68.78"
"RELAXO","EQ","14-Jan-2019","        757.55","        756.00","        759.00","        743.55","        756.50","        753.65","        751.41","       6620","             4974311.65","        680","       3951","         59.68"
"RELAXO","EQ","15-Jan-2019","        753.65","        757.00","        765.00","        752.70","        753.05","        757.40","        759.62","      68571","            52087802.70","       1895","      49367","         71.99"
"RELAXO","EQ","16-Jan-2019","        757.40","        760.00","        762.90","        746.65","        747.00","        748.80","        753.91","       7161","             5398745.90","        681","       3758","         52.48"
"RELAXO","EQ","17-Jan-2019","        748.80","        747.00","        755.55","        736.00","        737.00","        739.75","        745.62","       9981","             7441983.65","        760","       5417","         54.27"
"RELAXO","EQ","18-Jan-2019","        739.75","        740.10","        759.00","        730.20","        759.00","        748.60","        743.40","      13437","             9989014.25","        800","       7982","         59.40"
"RELAXO","EQ","21-Jan-2019","        748.60","        756.00","        757.95","        740.00","        745.00","        743.35","        748.92","       8419","             6305184.25","        625","       4882","         57.99"
"RELAXO","EQ","22-Jan-2019","        743.35","        741.00","        747.55","        736.00","        745.00","        742.30","        742.05","       3610","             2678797.00","        375","       1578","         43.71"
"RELAXO","EQ","23-Jan-2019","        742.30","        739.85","        746.65","        735.10","        735.25","        736.35","        739.38","      30667","            22674453.55","        874","      25046","         81.67"
"RELAXO","EQ","24-Jan-2019","        736.35","        736.00","        737.05","        720.00","        721.30","        723.10","        726.82","      15564","            11312190.00","       1861","      12230","         78.58"
"RELAXO","EQ","25-Jan-2019","        723.10","        725.75","        740.00","        715.15","        720.00","        720.60","        726.98","      16813","            12222649.70","       1001","      12142","         72.22"
"RELAXO","EQ","28-Jan-2019","        720.60","        714.30","        735.00","        714.30","        730.00","        731.00","        727.11","      26120","            18992151.90","       1351","      17793","         68.12"
"RELAXO","EQ","29-Jan-2019","        731.00","        728.00","        735.00","        722.00","        735.00","        734.55","        731.89","      11100","             8123934.20","        583","       7717","         69.52"
"RELAXO","EQ","30-Jan-2019","        734.55","        731.05","        739.00","        721.00","        722.00","        724.40","        728.22","      13020","             9481395.40","        608","       8641","         66.37"
