"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RITES","EQ","30-Aug-2018","        285.70","        286.90","        293.40","        280.40","        287.90","        287.90","        286.99","    1000185","           287045370.00","      21133","     192593","         19.26"
"RITES","EQ","31-Aug-2018","        287.90","        289.70","        292.20","        284.10","        284.60","        285.60","        286.98","     475101","           136344365.60","       8125","     128695","         27.09"
"RITES","EQ","03-Sep-2018","        285.60","        287.00","        288.50","        278.45","        279.90","        279.90","        283.77","     500351","           141982967.75","       8767","     152135","         30.41"
"RITES","EQ","04-Sep-2018","        279.90","        280.00","        281.90","        260.00","        264.10","        264.10","        268.33","     950857","           255139634.50","      17374","     390695","         41.09"
"RITES","EQ","05-Sep-2018","        264.10","        264.10","        269.50","        245.00","        252.40","        252.10","        253.93","    1368130","           347414230.45","      21977","     384195","         28.08"
"RITES","EQ","06-Sep-2018","        252.10","        255.95","        266.90","        252.10","        264.00","        264.50","        261.12","    1438528","           375632929.90","      24135","     368780","         25.64"
"RITES","EQ","07-Sep-2018","        264.50","        264.90","        265.35","        257.90","        260.75","        261.00","        261.37","     544151","           142222885.80","      10012","     152959","         28.11"
"RITES","EQ","10-Sep-2018","        261.00","        265.75","        275.00","        265.75","        270.00","        269.55","        270.09","    1524667","           411794485.30","      31078","     334881","         21.96"
"RITES","EQ","11-Sep-2018","        269.55","        272.25","        273.00","        260.00","        260.80","        261.00","        264.99","     519667","           137708602.45","       8968","     181819","         34.99"
"RITES","EQ","12-Sep-2018","        261.00","        261.00","        262.50","        245.00","        253.40","        253.55","        252.39","     911373","           230020364.00","      17792","     259616","         28.49"
"RITES","EQ","14-Sep-2018","        253.55","        256.50","        262.35","        255.50","        257.80","        257.90","        258.95","     496079","           128458906.15","       9511","     126394","         25.48"
"RITES","EQ","17-Sep-2018","        257.90","        259.65","        259.75","        250.00","        254.00","        253.40","        254.38","     692058","           176048284.75","      13439","     194502","         28.10"
"RITES","EQ","18-Sep-2018","        253.40","        254.60","        255.70","        246.35","        247.60","        247.65","        251.39","     460861","           115857884.85","       9695","     129394","         28.08"
"RITES","EQ","19-Sep-2018","        247.65","        259.40","        261.90","        249.00","        254.00","        253.70","        253.99","    1091413","           277209669.80","      19544","     195815","         17.94"
"RITES","EQ","21-Sep-2018","        253.70","        256.00","        256.00","        220.00","        241.00","        240.25","        240.48","     872631","           209849254.85","      15353","     276192","         31.65"
"RITES","EQ","24-Sep-2018","        240.25","        241.00","        241.95","        227.50","        228.85","        229.05","        231.31","     435673","           100775525.95","       8521","     164718","         37.81"
"RITES","EQ","25-Sep-2018","        229.05","        228.20","        239.65","        227.75","        238.50","        236.65","        234.85","     727094","           170757706.05","      12909","     263414","         36.23"
"RITES","EQ","26-Sep-2018","        236.65","        238.45","        254.40","        237.50","        253.75","        252.50","        247.37","     903474","           223492626.80","      23135","     232690","         25.76"
"RITES","EQ","27-Sep-2018","        252.50","        252.35","        261.85","        248.40","        249.80","        250.35","        255.58","     900297","           230102042.00","      38240","     297085","         33.00"
"RITES","EQ","28-Sep-2018","        250.35","        250.00","        250.35","        240.85","        248.00","        246.10","        246.40","     570944","           140678217.40","      26673","     239449","         41.94"
"RITES","EQ","01-Oct-2018","        246.10","        244.00","        249.80","        235.05","        247.00","        247.05","        241.24","     441712","           106556505.55","       9012","     146215","         33.10"
"RITES","EQ","03-Oct-2018","        247.05","        243.05","        253.50","        242.75","        247.05","        247.80","        248.65","     329241","            81865619.40","       5623","     108557","         32.97"
"RITES","EQ","04-Oct-2018","        247.80","        243.00","        246.80","        239.00","        241.20","        241.40","        243.17","     239549","            58250952.70","       4705","      81762","         34.13"
"RITES","EQ","05-Oct-2018","        241.40","        241.40","        244.35","        225.90","        226.00","        228.10","        232.68","     389031","            90518042.45","       7627","     183677","         47.21"
"RITES","EQ","08-Oct-2018","        228.10","        229.00","        237.90","        228.10","        232.30","        232.30","        232.46","     419687","            97560820.30","      19637","     180477","         43.00"
"RITES","EQ","09-Oct-2018","        232.30","        234.25","        234.50","        225.05","        228.00","        227.60","        229.97","     230992","            53120487.10","       5145","      94159","         40.76"
"RITES","EQ","10-Oct-2018","        227.60","        228.00","        242.80","        227.60","        240.00","        239.50","        237.09","     438584","           103984322.40","       8975","     148500","         33.86"
"RITES","EQ","11-Oct-2018","        239.50","        229.25","        237.50","        228.00","        234.00","        233.35","        233.75","     258218","            60357502.50","       4524","      83509","         32.34"
"RITES","EQ","12-Oct-2018","        233.35","        235.90","        244.90","        235.90","        242.85","        242.80","        241.81","     303453","            73377337.30","      10805","     115110","         37.93"
"RITES","EQ","15-Oct-2018","        242.80","        242.80","        254.80","        242.80","        250.75","        250.75","        250.28","     479464","           120000031.90","       8747","     193662","         40.39"
"RITES","EQ","16-Oct-2018","        250.75","        251.60","        257.00","        249.00","        251.50","        251.85","        252.26","     275864","            69590046.00","       5337","     119654","         43.37"
"RITES","EQ","17-Oct-2018","        251.85","        252.00","        253.80","        240.00","        241.55","        240.85","        245.89","     213116","            52403841.20","       4307","      89292","         41.90"
"RITES","EQ","19-Oct-2018","        240.85","        239.50","        241.35","        232.15","        236.00","        236.10","        236.12","     168221","            39720004.20","       4847","      67647","         40.21"
"RITES","EQ","22-Oct-2018","        236.10","        237.00","        241.60","        231.40","        239.50","        239.85","        237.71","     241856","            57490484.50","      10059","      69941","         28.92"
"RITES","EQ","23-Oct-2018","        239.85","        237.00","        243.00","        234.50","        238.85","        238.10","        238.50","     171984","            41017637.50","       4549","      59960","         34.86"
"RITES","EQ","24-Oct-2018","        238.10","        240.00","        244.00","        237.15","        238.40","        240.15","        240.60","     181395","            43643278.15","       6094","      48375","         26.67"
"RITES","EQ","25-Oct-2018","        240.15","        236.90","        239.80","        235.75","        238.50","        238.05","        238.16","     120061","            28593478.60","       4963","      54618","         45.49"
"RITES","EQ","26-Oct-2018","        238.05","        238.50","        241.80","        234.00","        239.00","        238.20","        238.45","     153308","            36556752.10","       3828","      46362","         30.24"
"RITES","EQ","29-Oct-2018","        238.20","        238.20","        252.80","        238.00","        252.00","        251.30","        248.70","     329759","            82010257.25","       8537","     116816","         35.42"
"RITES","EQ","30-Oct-2018","        251.30","        249.10","        261.05","        248.60","        255.10","        253.60","        255.35","     236677","            60434943.70","       8065","      74406","         31.44"
"RITES","EQ","31-Oct-2018","        253.60","        253.00","        256.10","        248.45","        252.75","        253.50","        252.78","     213518","            53972910.50","       5996","      61832","         28.96"
"RITES","EQ","01-Nov-2018","        253.50","        253.60","        266.00","        251.40","        265.10","        264.00","        259.57","     351992","            91366643.50","       9129","     117199","         33.30"
"RITES","EQ","02-Nov-2018","        264.00","        266.00","        268.80","        255.60","        256.00","        258.85","        263.88","     191477","            50527774.25","       5516","      70551","         36.85"
"RITES","EQ","05-Nov-2018","        258.85","        257.00","        266.00","        254.35","        263.95","        263.80","        261.40","     206825","            54063901.00","       9095","      72539","         35.07"
"RITES","EQ","06-Nov-2018","        263.80","        263.85","        269.95","        262.55","        266.50","        265.30","        265.93","     136377","            36266454.80","       4354","      39624","         29.05"
"RITES","EQ","07-Nov-2018","        265.30","        267.15","        271.40","        266.60","        270.00","        270.40","        269.60","     126853","            34199851.25","       2445","      69315","         54.64"
"RITES","EQ","09-Nov-2018","        270.40","        270.00","        290.75","        268.05","        284.00","        283.95","        282.98","     640379","           181216191.00","      15348","     200125","         31.25"
"RITES","EQ","12-Nov-2018","        283.95","        285.00","        286.05","        277.75","        281.10","        280.90","        282.09","     194470","            54858112.40","       7405","      88280","         45.40"
"RITES","EQ","13-Nov-2018","        280.90","        281.00","        311.00","        275.20","        311.00","        303.45","        296.80","    3212534","           953474365.30","      50728","     462685","         14.40"
"RITES","EQ","14-Nov-2018","        303.45","        314.00","        321.60","        306.50","        309.50","        315.10","        314.26","    2476344","           778222028.20","      50481","     537157","         21.69"
"RITES","EQ","15-Nov-2018","        315.10","        305.70","        309.85","        295.00","        295.70","        297.30","        302.17","     650868","           196673903.25","      14152","     165818","         25.48"
"RITES","EQ","16-Nov-2018","        297.30","        294.00","        303.50","        285.30","        294.00","        294.80","        296.26","     648034","           191988847.80","      14168","     174491","         26.93"
"RITES","EQ","19-Nov-2018","        294.80","        295.00","        296.00","        282.00","        283.80","        283.60","        287.22","     462170","           132746388.15","      12868","     246409","         53.32"
"RITES","EQ","20-Nov-2018","        283.60","        282.75","        284.75","        268.85","        270.80","        270.70","        276.88","     398927","           110455750.50","      12218","     152078","         38.12"
"RITES","EQ","21-Nov-2018","        270.70","        271.10","        291.70","        271.10","        280.00","        278.75","        284.27","    1023762","           291023808.85","      24216","     246780","         24.11"
"RITES","EQ","22-Nov-2018","        278.75","        280.00","        281.40","        271.60","        272.80","        273.10","        275.92","     335892","            92680116.10","       9791","     125942","         37.49"
"RITES","EQ","26-Nov-2018","        273.10","        273.90","        285.00","        267.35","        269.00","        269.75","        276.09","     475749","           131350770.60","      14308","     146491","         30.79"
"RITES","EQ","27-Nov-2018","        269.75","        269.50","        275.50","        269.50","        272.50","        273.80","        273.14","     285906","            78092705.15","       6601","      85378","         29.86"
"RITES","EQ","28-Nov-2018","        273.80","        274.80","        275.75","        266.10","        266.65","        267.60","        270.64","     246982","            66844330.05","       9537","     127211","         51.51"
"RITES","EQ","29-Nov-2018","        267.60","        270.00","        273.90","        266.25","        268.50","        267.50","        269.69","     191490","            51642129.35","       6940","      76287","         39.84"
"RITES","EQ","30-Nov-2018","        267.50","        267.90","        272.90","        265.00","        268.30","        266.65","        268.13","     181687","            48716232.15","       4221","      58968","         32.46"
"RITES","EQ","03-Dec-2018","        266.65","        268.30","        272.55","        267.40","        268.15","        268.50","        269.10","     182860","            49206948.85","       4654","      76812","         42.01"
"RITES","EQ","04-Dec-2018","        268.50","        267.80","        282.45","        266.15","        273.00","        273.20","        276.90","     891472","           246851441.50","      17552","     209504","         23.50"
"RITES","EQ","05-Dec-2018","        273.20","        271.00","        274.80","        267.10","        269.30","        269.15","        270.28","     209774","            56697558.35","       6745","      93231","         44.44"
"RITES","EQ","06-Dec-2018","        269.15","        267.70","        273.50","        267.60","        271.00","        270.95","        271.09","     328769","            89125743.35","      12617","     199175","         60.58"
"RITES","EQ","07-Dec-2018","        270.95","        271.50","        275.00","        270.35","        273.75","        273.50","        272.56","     258013","            70324984.45","       7579","     119760","         46.42"
"RITES","EQ","10-Dec-2018","        273.50","        268.00","        270.00","        261.15","        261.95","        262.95","        265.48","     126575","            33603620.90","       3552","      55361","         43.74"
"RITES","EQ","11-Dec-2018","        262.95","        260.00","        273.70","        259.05","        273.00","        271.20","        269.07","     272803","            73403050.65","       4896","     150793","         55.28"
"RITES","EQ","12-Dec-2018","        271.20","        271.95","        279.85","        271.95","        273.00","        272.80","        274.64","     288784","            79310272.20","       6443","     148259","         51.34"
