"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ROLLT","EQ","30-Aug-2018","          3.15","          3.00","          3.30","          3.00","          3.25","          3.25","          3.16","      11054","               34965.70","         42","       7366","         66.64"
"ROLLT","EQ","31-Aug-2018","          3.25","          3.20","          3.25","          3.05","          3.10","          3.10","          3.11","       2985","                9289.20","         17","       1884","         63.12"
"ROLLT","EQ","03-Sep-2018","          3.10","          3.10","          3.10","          2.85","          3.05","          3.05","          3.02","       3871","               11693.15","         24","       2401","         62.03"
"ROLLT","EQ","04-Sep-2018","          3.05","          3.05","          3.20","          2.95","          3.05","          3.05","          3.07","       9263","               28442.35","         38","       6109","         65.95"
"ROLLT","EQ","05-Sep-2018","          3.05","          3.20","          3.20","          2.95","          3.10","          3.10","          3.03","      17050","               51585.15","         44","      17022","         99.84"
"ROLLT","EQ","06-Sep-2018","          3.10","          2.95","          3.40","          2.95","          3.15","          3.15","          3.11","      28494","               88717.00","         51","      22950","         80.54"
"ROLLT","EQ","07-Sep-2018","          3.15","          3.00","          3.20","          3.00","          3.15","          3.15","          3.09","       1641","                5067.65","         37","       1604","         97.75"
"ROLLT","EQ","10-Sep-2018","          3.15","          3.00","          3.10","          3.00","          3.00","          3.00","          3.01","      18046","               54290.30","         33","      14713","         81.53"
"ROLLT","EQ","11-Sep-2018","          3.00","          3.00","          3.15","          2.90","          3.10","          3.05","          3.03","      20421","               61800.15","         39","      13886","         68.00"
"ROLLT","EQ","12-Sep-2018","          3.05","          3.00","          3.10","          2.95","          3.10","          3.05","          3.01","      14344","               43123.05","         50","      12981","         90.50"
"ROLLT","EQ","14-Sep-2018","          3.05","          2.95","          3.20","          2.75","          3.15","          3.10","          2.90","     157574","              457552.50","        236","      97264","         61.73"
"ROLLT","EQ","17-Sep-2018","          3.10","          3.10","          3.15","          2.95","          3.00","          2.95","          2.98","      20982","               62621.45","         64","      14158","         67.48"
"ROLLT","EQ","18-Sep-2018","          2.95","          3.10","          3.10","          2.90","          3.10","          3.05","          2.96","      21086","               62350.20","         34","      20980","         99.50"
"ROLLT","EQ","19-Sep-2018","          3.05","          3.10","          3.15","          2.85","          2.95","          3.00","          3.05","      30413","               92846.25","         55","      27366","         89.98"
