"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ROLTA","EQ","30-Aug-2018","         35.65","         35.75","         36.10","         35.25","         35.75","         35.80","         35.74","     708823","            25334628.70","       2980","     359590","         50.73"
"ROLTA","EQ","31-Aug-2018","         35.80","         36.00","         36.20","         35.45","         36.00","         35.70","         35.79","     932719","            33385911.50","       2595","     525294","         56.32"
"ROLTA","EQ","03-Sep-2018","         35.70","         36.00","         36.60","         34.80","         34.95","         34.95","         35.40","    1462545","            51769957.40","       5517","     828776","         56.67"
"ROLTA","EQ","04-Sep-2018","         34.95","         35.10","         35.25","         33.25","         33.45","         33.40","         33.88","    1773166","            60072889.95","       5424","    1000522","         56.43"
"ROLTA","EQ","05-Sep-2018","         33.40","         33.50","         34.10","         32.95","         33.95","         33.75","         33.35","     901065","            30052726.15","       3334","     532119","         59.05"
"ROLTA","EQ","06-Sep-2018","         33.75","         33.65","         34.00","         33.30","         33.60","         33.60","         33.54","     795552","            26685488.95","       2381","     436780","         54.90"
"ROLTA","EQ","07-Sep-2018","         33.60","         33.90","         33.90","         33.40","         33.65","         33.65","         33.61","     385372","            12952979.15","       1933","     186020","         48.27"
"ROLTA","EQ","10-Sep-2018","         33.65","         33.90","         33.90","         33.10","         33.55","         33.30","         33.33","     390335","            13010814.10","       2798","     134717","         34.51"
"ROLTA","EQ","11-Sep-2018","         33.30","         33.45","         33.55","         33.00","         33.40","         33.20","         33.23","     369727","            12286675.75","       2045","     145552","         39.37"
"ROLTA","EQ","12-Sep-2018","         33.20","         33.50","         33.50","         31.85","         32.15","         32.20","         32.36","    1304557","            42219260.90","       3663","     820189","         62.87"
"ROLTA","EQ","14-Sep-2018","         32.20","         32.60","         32.70","         31.90","         32.10","         32.15","         32.30","     756168","            24425159.10","       2369","     488054","         64.54"
"ROLTA","EQ","17-Sep-2018","         32.15","         32.20","         32.25","         31.45","         31.50","         31.55","         31.67","     728243","            23065446.80","       3838","     375136","         51.51"
"ROLTA","EQ","18-Sep-2018","         31.55","         31.05","         31.50","         25.25","         25.25","         25.25","         27.48","    4042946","           111115318.10","      14648","    2070013","         51.20"
"ROLTA","EQ","19-Sep-2018","         25.25","         20.20","         20.20","         20.20","         20.20","         20.20","         20.20","    1017405","            20551581.00","       2541","    1017381","        100.00"
"ROLTA","EQ","21-Sep-2018","         20.20","         18.20","         18.20","         18.20","         18.20","         18.20","         18.20","    1883058","            34271655.60","       1599","    1403050","         74.51"
"ROLTA","EQ","24-Sep-2018","         18.20","         16.40","         17.40","         16.40","         16.40","         16.40","         16.42","    6185260","           101546931.70","       2123","    3929918","         63.54"
"ROLTA","EQ","25-Sep-2018","         16.40","         14.80","         14.80","         14.80","         14.80","         14.80","         14.80","     408135","             6040398.00","       6445","     408135","        100.00"
"ROLTA","EQ","26-Sep-2018","         14.80","         14.10","         14.10","         14.10","         14.10","         14.10","         14.10","     327834","             4622459.40","        750","     327834","        100.00"
"ROLTA","EQ","27-Sep-2018","         14.10","         13.40","         14.80","         13.40","         14.80","         14.80","         13.98","   22777699","           318384902.25","      20777","    4660721","         20.46"
"ROLTA","EQ","28-Sep-2018","         14.80","         14.55","         15.40","         14.10","         14.10","         14.10","         14.32","    4721797","            67622334.45","       6658","    1838421","         38.93"
"ROLTA","EQ","01-Oct-2018","         14.10","         13.40","         14.00","         13.40","         13.40","         13.40","         13.43","    1504774","            20216539.40","       1302","     955693","         63.51"
"ROLTA","EQ","03-Oct-2018","         13.40","         12.75","         13.95","         12.75","         13.35","         13.15","         13.29","    3391464","            45070382.20","       6868","    1352994","         39.89"
"ROLTA","EQ","04-Oct-2018","         13.15","         12.95","         13.10","         12.55","         12.70","         12.75","         12.78","    2132574","            27256408.85","       3936","     991348","         46.49"
