"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RUPA","EQ","30-Aug-2018","        377.20","        375.30","        387.85","        375.30","        383.00","        381.55","        383.24","      16611","             6365992.45","        803","       5969","         35.93"
"RUPA","EQ","31-Aug-2018","        381.55","        380.75","        388.80","        375.00","        378.90","        377.20","        381.56","      17182","             6556047.95","        734","       7935","         46.18"
"RUPA","EQ","03-Sep-2018","        377.20","        380.00","        384.85","        378.05","        381.55","        380.75","        380.94","      11242","             4282496.05","        448","       4437","         39.47"
"RUPA","EQ","04-Sep-2018","        380.75","        381.60","        381.80","        371.00","        371.90","        372.90","        375.64","      11171","             4196325.45","        415","       5034","         45.06"
"RUPA","EQ","05-Sep-2018","        372.90","        371.70","        371.90","        366.05","        368.95","        368.35","        369.08","      10886","             4017836.95","        397","       3573","         32.82"
"RUPA","EQ","06-Sep-2018","        368.35","        370.35","        373.50","        364.00","        366.95","        366.55","        367.70","      14364","             5281639.40","        585","       7388","         51.43"
"RUPA","EQ","07-Sep-2018","        366.55","        366.95","        376.00","        362.05","        370.20","        370.45","        370.40","      13872","             5138120.10","        882","       5814","         41.91"
"RUPA","EQ","10-Sep-2018","        370.45","        369.95","        377.70","        367.10","        370.00","        370.90","        372.02","      15834","             5890615.55","        948","       6882","         43.46"
"RUPA","EQ","11-Sep-2018","        370.90","        372.00","        377.00","        365.55","        365.55","        366.15","        369.37","      16645","             6148244.15","       1009","       6621","         39.78"
"RUPA","EQ","12-Sep-2018","        366.15","        365.15","        370.00","        361.00","        364.95","        365.50","        365.59","      15515","             5672087.65","        811","       7114","         45.85"
"RUPA","EQ","14-Sep-2018","        365.50","        365.50","        372.90","        365.50","        370.00","        369.95","        369.89","       6839","             2529692.95","        305","       2527","         36.95"
"RUPA","EQ","17-Sep-2018","        369.95","        365.00","        386.90","        363.25","        380.25","        380.05","        379.31","      45996","            17446652.85","       1648","      16581","         36.05"
"RUPA","EQ","18-Sep-2018","        380.05","        381.70","        381.70","        363.25","        365.35","        365.35","        371.13","      21366","             7929525.75","        906","      10170","         47.60"
"RUPA","EQ","19-Sep-2018","        365.35","        368.50","        368.65","        362.00","        362.50","        362.90","        365.47","       6532","             2387268.25","        343","       3786","         57.96"
"RUPA","EQ","21-Sep-2018","        362.90","        368.15","        368.15","        335.00","        352.50","        350.50","        353.74","      16718","             5913876.40","        861","       9916","         59.31"
"RUPA","EQ","24-Sep-2018","        350.50","        345.55","        356.15","        333.50","        334.00","        335.75","        339.70","      11446","             3888210.80","        647","       7652","         66.85"
"RUPA","EQ","25-Sep-2018","        335.75","        334.15","        337.05","        326.75","        331.20","        330.40","        331.99","      11145","             3700069.20","        545","       5200","         46.66"
"RUPA","EQ","26-Sep-2018","        330.40","        333.00","        336.00","        324.00","        325.10","        325.85","        331.71","      67446","            22372485.80","       1124","      56299","         83.47"
"RUPA","EQ","27-Sep-2018","        325.85","        325.10","        328.75","        311.05","        314.70","        315.70","        319.60","      79012","            25252359.00","       1379","      58342","         73.84"
"RUPA","EQ","28-Sep-2018","        315.70","        315.00","        315.75","        303.00","        308.00","        305.85","        308.34","      14482","             4465391.95","        786","       7193","         49.67"
