"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SEPOWER","BE","30-Aug-2018","          5.80","          6.05","          6.05","          6.05","          6.05","          6.05","          6.05","      10073","               60941.65","         27","-","-"
"SEPOWER","BE","31-Aug-2018","          6.05","          6.35","          6.35","          6.35","          6.35","          6.35","          6.35","       4814","               30568.90","          8","-","-"
"SEPOWER","BE","03-Sep-2018","          6.35","          6.65","          6.65","          6.65","          6.65","          6.65","          6.65","       1205","                8013.25","          9","-","-"
"SEPOWER","BE","04-Sep-2018","          6.65","          6.95","          6.95","          6.95","          6.95","          6.95","          6.95","        103","                 715.85","          4","-","-"
"SEPOWER","BE","05-Sep-2018","          6.95","          7.25","          7.25","          7.25","          7.25","          7.25","          7.25","       2357","               17088.25","         11","-","-"
"SEPOWER","BE","06-Sep-2018","          7.25","          7.60","          7.60","          7.60","          7.60","          7.60","          7.60","       2928","               22252.80","          7","-","-"
"SEPOWER","BE","07-Sep-2018","          7.60","          7.95","          7.95","          7.25","          7.25","          7.25","          7.64","      17702","              135166.70","         50","-","-"
"SEPOWER","BE","10-Sep-2018","          7.25","          7.00","          7.00","          6.90","          6.90","          6.90","          6.90","       1022","                7052.10","          8","-","-"
"SEPOWER","BE","11-Sep-2018","          6.90","          6.60","          6.60","          6.60","          6.60","          6.60","          6.60","         74","                 488.40","          4","-","-"
"SEPOWER","BE","12-Sep-2018","          6.60","          6.30","          6.30","          6.30","          6.30","          6.30","          6.30","         51","                 321.30","          3","-","-"
"SEPOWER","BE","14-Sep-2018","          6.30","          6.00","          6.00","          6.00","          6.00","          6.00","          6.00","       2438","               14628.00","         11","-","-"
"SEPOWER","BE","17-Sep-2018","          6.00","          5.70","          5.70","          5.70","          5.70","          5.70","          5.70","       3742","               21329.40","         12","-","-"
"SEPOWER","BE","18-Sep-2018","          5.70","          5.70","          5.70","          5.45","          5.45","          5.45","          5.46","       2367","               12925.65","          8","-","-"
"SEPOWER","BE","19-Sep-2018","          5.45","          5.20","          5.20","          5.20","          5.20","          5.20","          5.20","       6539","               34002.80","         16","-","-"
"SEPOWER","BE","21-Sep-2018","          5.20","          4.95","          4.95","          4.95","          4.95","          4.95","          4.95","       4398","               21770.10","         12","-","-"
"SEPOWER","BE","24-Sep-2018","          4.95","          4.75","          4.75","          4.75","          4.75","          4.75","          4.75","       6019","               28590.25","         16","-","-"
"SEPOWER","BE","27-Sep-2018","          4.75","          4.55","          4.55","          4.55","          4.55","          4.55","          4.55","       1756","                7989.80","          9","-","-"
"SEPOWER","BE","28-Sep-2018","          4.55","          4.55","          4.55","          4.50","          4.55","          4.55","          4.55","       4001","               18194.55","          9","-","-"
"SEPOWER","BE","01-Oct-2018","          4.55","          4.55","          4.55","          4.55","          4.55","          4.55","          4.55","         95","                 432.25","          3","-","-"
"SEPOWER","BE","04-Oct-2018","          4.55","          4.55","          4.55","          4.55","          4.55","          4.55","          4.55","       1001","                4554.55","          3","-","-"
"SEPOWER","BE","05-Oct-2018","          4.55","          4.55","          4.55","          4.55","          4.55","          4.55","          4.55","          1","                   4.55","          1","-","-"
"SEPOWER","BE","08-Oct-2018","          4.55","          4.55","          4.55","          4.35","          4.35","          4.35","          4.55","         77","                 350.15","          2","-","-"
"SEPOWER","BE","09-Oct-2018","          4.35","          4.25","          4.35","          4.25","          4.30","          4.30","          4.32","       2001","                8654.30","          4","-","-"
"SEPOWER","BE","12-Oct-2018","          4.30","          4.30","          4.30","          4.25","          4.25","          4.25","          4.25","        550","                2340.00","          7","-","-"
"SEPOWER","BE","15-Oct-2018","          4.25","          4.25","          4.25","          4.10","          4.10","          4.10","          4.19","        850","                3565.00","          4","-","-"
"SEPOWER","EQ","16-Oct-2018","          4.10","          4.30","          4.30","          3.95","          4.25","          4.25","          4.28","       3048","               13055.15","         16","       2481","         81.40"
"SEPOWER","EQ","17-Oct-2018","          4.25","          4.25","          4.25","          4.05","          4.25","          4.25","          4.12","      14601","               60175.75","         30","      12410","         84.99"
"SEPOWER","EQ","19-Oct-2018","          4.25","          4.25","          4.25","          4.25","          4.25","          4.25","          4.25","       1200","                5100.00","          1","       1200","        100.00"
"SEPOWER","EQ","22-Oct-2018","          4.25","          4.05","          4.05","          4.05","          4.05","          4.05","          4.05","       1075","                4353.75","         11","       1025","         95.35"
"SEPOWER","EQ","24-Oct-2018","          4.05","          4.00","          4.00","          3.85","          3.85","          3.85","          3.96","        175","                 692.50","          2","        175","        100.00"
