"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SEQUENT","EQ","30-Aug-2018","         70.35","         70.40","         73.20","         68.55","         71.70","         71.95","         71.58","    3632625","           260016831.95","      16256","     995761","         27.41"
"SEQUENT","EQ","31-Aug-2018","         71.95","         71.95","         76.20","         71.50","         72.25","         72.35","         73.59","    4184796","           307966706.35","      17668","     991973","         23.70"
"SEQUENT","EQ","03-Sep-2018","         72.35","         72.90","         77.40","         70.25","         74.75","         75.65","         75.08","    5438144","           408269816.20","      21881","    1273476","         23.42"
"SEQUENT","EQ","04-Sep-2018","         75.65","         75.40","         77.20","         72.30","         73.15","         73.20","         75.22","    2581658","           194202546.90","      12973","     605690","         23.46"
"SEQUENT","EQ","05-Sep-2018","         73.20","         72.15","         73.90","         68.50","         71.50","         71.35","         71.20","    1986978","           141482061.50","      10360","     523964","         26.37"
"SEQUENT","EQ","06-Sep-2018","         71.35","         72.25","         74.45","         71.80","         72.60","         72.55","         73.11","    1853365","           135507222.85","       8308","     367500","         19.83"
"SEQUENT","EQ","07-Sep-2018","         72.55","         72.55","         74.35","         71.55","         72.60","         72.85","         73.11","    1588878","           116163467.40","       8003","     251116","         15.80"
"SEQUENT","EQ","10-Sep-2018","         72.85","         72.00","         74.30","         71.20","         71.40","         71.65","         72.86","    1713537","           124856677.00","       6822","     330145","         19.27"
"SEQUENT","EQ","11-Sep-2018","         71.65","         71.90","         72.90","         68.00","         68.20","         68.55","         70.40","    1280552","            90149455.40","       6027","     450622","         35.19"
"SEQUENT","EQ","12-Sep-2018","         68.55","         69.00","         69.20","         65.60","         66.55","         66.95","         67.34","    1453854","            97905366.85","       7962","     342920","         23.59"
"SEQUENT","EQ","14-Sep-2018","         66.95","         67.20","         71.00","         67.20","         70.45","         70.10","         69.38","    1614259","           111991480.60","       6774","     381142","         23.61"
