"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SETFGOLD","EQ","30-Aug-2018","       2721.95","       2725.00","       2735.00","       2725.00","       2728.05","       2728.30","       2729.68","        605","             1651456.20","        119","        342","         56.53"
"SETFGOLD","EQ","31-Aug-2018","       2728.30","       2730.00","       2748.75","       2730.00","       2745.00","       2744.10","       2741.50","       1348","             3695541.25","        156","       1016","         75.37"
"SETFGOLD","EQ","03-Sep-2018","       2744.10","       2740.00","       2740.00","       2720.55","       2729.00","       2729.70","       2727.66","       3683","            10045980.25","        566","       2765","         75.07"
"SETFGOLD","EQ","04-Sep-2018","       2729.70","       2731.10","       2740.00","       2726.00","       2738.00","       2736.80","       2733.59","       1099","             3004218.05","        203","        692","         62.97"
"SETFGOLD","EQ","05-Sep-2018","       2736.80","       2735.50","       2750.00","       2725.30","       2745.00","       2742.70","       2742.81","        750","             2057107.95","        203","        510","         68.00"
"SETFGOLD","EQ","06-Sep-2018","       2742.70","       2743.55","       2767.20","       2743.55","       2763.20","       2765.00","       2757.52","       1325","             3653712.10","        177","        635","         47.92"
"SETFGOLD","EQ","07-Sep-2018","       2765.00","       2766.00","       2766.00","       2750.20","       2750.85","       2752.70","       2755.05","        691","             1903741.20","        140","        427","         61.79"
"SETFGOLD","EQ","10-Sep-2018","       2752.70","       2753.00","       2779.65","       2742.10","       2762.70","       2762.45","       2762.59","       1335","             3688052.90","        273","        583","         43.67"
"SETFGOLD","EQ","11-Sep-2018","       2762.45","       2779.70","       2779.70","       2760.05","       2766.00","       2768.40","       2766.10","       4440","            12281469.45","        285","       3324","         74.86"
"SETFGOLD","EQ","12-Sep-2018","       2768.40","       2768.00","       2781.95","       2750.00","       2755.00","       2754.95","       2774.87","       5841","            16208020.05","        293","       3748","         64.17"
"SETFGOLD","EQ","14-Sep-2018","       2754.95","       2754.50","       2764.95","       2750.15","       2762.00","       2757.90","       2757.93","       1948","             5372442.80","        577","       1529","         78.49"
"SETFGOLD","EQ","17-Sep-2018","       2757.90","       2760.05","       2773.95","       2760.00","       2765.00","       2767.75","       2767.59","       1441","             3988098.85","        229","        849","         58.92"
"SETFGOLD","EQ","18-Sep-2018","       2767.75","       2769.00","       2786.00","       2766.05","       2785.00","       2783.55","       2778.03","       3808","            10578743.00","        250","       3081","         80.91"
"SETFGOLD","EQ","19-Sep-2018","       2783.55","       2785.95","       2793.00","       2775.35","       2785.50","       2787.75","       2783.65","       5187","            14438775.75","        734","       2697","         52.00"
"SETFGOLD","EQ","21-Sep-2018","       2787.75","       2779.50","       2787.70","       2760.00","       2775.10","       2779.80","       2771.72","       3713","            10291401.85","        261","       2344","         63.13"
"SETFGOLD","EQ","24-Sep-2018","       2779.80","       2777.45","       2784.95","       2756.70","       2777.00","       2778.70","       2774.05","       3269","             9068375.50","        286","       2530","         77.39"
