"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SGBJUL25","GB","30-Aug-2018","       2637.00","       2629.00","       2650.00","       2601.05","       2601.05","       2601.05","       2624.55","        110","              288700.65","         22","        110","        100.00"
"SGBJUL25","GB","31-Aug-2018","       2601.05","       2660.00","       2660.00","       2630.00","       2631.00","       2630.47","       2638.77","        166","              438035.00","         11","        142","         85.54"
"SGBJUL25","GB","03-Sep-2018","       2630.47","       2637.00","       2645.00","       2601.10","       2645.00","       2645.00","       2629.20","        519","             1364553.76","         63","        500","         96.34"
"SGBJUL25","GB","04-Sep-2018","       2645.00","       2645.00","       2677.00","       2645.00","       2677.00","       2677.00","       2665.30","         30","               79959.00","          4","         29","         96.67"
"SGBJUL25","GB","05-Sep-2018","       2677.00","       2650.00","       2674.90","       2640.00","       2674.89","       2672.44","       2648.04","        120","              317765.39","         18","        120","        100.00"
"SGBJUL25","GB","06-Sep-2018","       2672.44","       2656.00","       2656.00","       2655.00","       2655.00","       2655.00","       2655.08","         25","               66377.00","          4","         25","        100.00"
"SGBJUL25","GB","07-Sep-2018","       2655.00","       2784.00","       2784.00","       2650.00","       2696.00","       2696.00","       2666.61","         41","              109330.90","         13","         37","         90.24"
"SGBJUL25","GB","10-Sep-2018","       2696.00","       2680.00","       2715.00","       2680.00","       2680.00","       2680.02","       2703.46","        178","              481216.05","         31","        176","         98.88"
"SGBJUL25","GB","11-Sep-2018","       2680.02","       2769.99","       2769.99","       2681.05","       2690.00","       2690.00","       2705.79","          9","               24352.08","          6","          4","         44.44"
"SGBJUL25","GB","12-Sep-2018","       2690.00","       2727.00","       2727.00","       2727.00","       2727.00","       2727.00","       2727.00","          1","                2727.00","          1","          1","        100.00"
"SGBJUL25","GB","14-Sep-2018","       2727.00","       2734.00","       2740.00","       2701.03","       2740.00","       2732.91","       2731.24","        434","             1185356.03","         16","        424","         97.70"
"SGBJUL25","GB","17-Sep-2018","       2732.91","       2780.00","       2780.00","       2692.00","       2711.04","       2711.04","       2719.89","         19","               51678.00","          7","         14","         73.68"
"SGBJUL25","GB","18-Sep-2018","       2711.04","       2711.00","       2760.00","       2711.00","       2750.00","       2750.00","       2746.14","        426","             1169854.20","         18","        344","         80.75"
"SGBJUL25","GB","19-Sep-2018","       2750.00","       2751.00","       2775.00","       2751.00","       2775.00","       2771.64","       2762.28","        424","             1171208.81","         23","        361","         85.14"
"SGBJUL25","GB","21-Sep-2018","       2771.64","       2750.00","       2750.05","       2750.00","       2750.00","       2750.00","       2750.01","        448","             1232005.94","         11","        448","        100.00"
"SGBJUL25","GB","24-Sep-2018","       2750.00","       2745.00","       2750.01","       2716.61","       2750.01","       2750.01","       2741.03","        443","             1214277.86","         38","        372","         83.97"
"SGBJUL25","GB","25-Sep-2018","       2750.01","       2750.00","       2750.00","       2720.02","       2742.00","       2742.00","       2738.57","         37","              101327.22","          5","         35","         94.59"
"SGBJUL25","GB","26-Sep-2018","       2742.00","       2730.00","       2730.00","       2730.00","       2730.00","       2730.00","       2730.00","         10","               27300.00","          1","         10","        100.00"
"SGBJUL25","GB","27-Sep-2018","       2730.00","       2710.03","       2726.00","       2710.03","       2725.00","       2724.16","       2723.47","        137","              373115.36","         13","        129","         94.16"
"SGBJUL25","GB","28-Sep-2018","       2724.16","       2724.00","       2725.00","       2702.00","       2703.00","       2703.00","       2712.86","        157","              425918.84","         21","        135","         85.99"
"SGBJUL25","GB","01-Oct-2018","       2703.00","       2680.00","       2730.00","       2680.00","       2730.00","       2729.30","       2724.83","        325","              885568.50","         21","        303","         93.23"
"SGBJUL25","GB","03-Oct-2018","       2729.30","       2731.00","       2775.00","       2731.00","       2753.00","       2752.53","       2758.49","        226","              623419.05","         24","        159","         70.35"
"SGBJUL25","GB","04-Oct-2018","       2752.53","       2727.02","       2779.99","       2727.00","       2760.00","       2760.00","       2748.00","        465","             1277821.26","         24","        404","         86.88"
"SGBJUL25","GB","05-Oct-2018","       2760.00","       2760.00","       2760.00","       2750.00","       2755.00","       2754.76","       2753.52","         88","              242310.00","         14","         88","        100.00"
"SGBJUL25","GB","08-Oct-2018","       2754.76","       2750.00","       2750.00","       2733.10","       2733.10","       2733.10","       2739.82","         60","              164388.98","          7","         55","         91.67"
"SGBJUL25","GB","09-Oct-2018","       2733.10","       2715.01","       2766.80","       2715.01","       2745.00","       2745.00","       2742.62","         68","              186498.04","          5","         64","         94.12"
"SGBJUL25","GB","10-Oct-2018","       2745.00","       2750.00","       2750.00","       2730.11","       2731.10","       2731.10","       2732.90","         97","              265091.57","         27","         88","         90.72"
"SGBJUL25","GB","11-Oct-2018","       2731.10","       2751.00","       2766.95","       2750.00","       2750.00","       2750.02","       2753.07","         64","              176196.51","          6","         63","         98.44"
"SGBJUL25","GB","12-Oct-2018","       2750.02","       2770.00","       2780.00","       2770.00","       2777.00","       2775.83","       2771.57","        327","              906303.31","         22","        322","         98.47"
"SGBJUL25","GB","15-Oct-2018","       2775.83","       2755.55","       2820.00","       2755.55","       2814.00","       2811.29","       2799.78","        472","             1321498.08","         35","        422","         89.41"
"SGBJUL25","GB","16-Oct-2018","       2811.29","       2785.20","       2829.98","       2785.20","       2812.02","       2812.02","       2814.23","        524","             1474656.58","         22","        485","         92.56"
"SGBJUL25","GB","17-Oct-2018","       2812.02","       2815.00","       2837.00","       2804.00","       2815.00","       2818.85","       2815.61","        739","             2080734.41","         31","        649","         87.82"
"SGBJUL25","GB","19-Oct-2018","       2818.85","       2805.00","       2842.98","       2805.00","       2842.98","       2842.98","       2827.60","        120","              339312.17","         15","        120","        100.00"
"SGBJUL25","GB","22-Oct-2018","       2842.98","       2833.99","       2840.00","       2833.99","       2840.00","       2836.03","       2836.03","        108","              306291.60","          7","        108","        100.00"
"SGBJUL25","GB","23-Oct-2018","       2836.03","       2839.00","       2840.00","       2820.00","       2827.14","       2827.14","       2828.23","       1143","             3232667.02","         63","       1061","         92.83"
"SGBJUL25","GB","24-Oct-2018","       2827.14","       2825.05","       2835.00","       2825.05","       2827.00","       2827.00","       2828.71","        569","             1609538.30","         29","        494","         86.82"
"SGBJUL25","GB","25-Oct-2018","       2827.00","       2820.00","       2840.00","       2820.00","       2825.10","       2825.10","       2824.72","        310","              875664.50","         16","        210","         67.74"
"SGBJUL25","GB","26-Oct-2018","       2825.10","       2825.00","       2850.00","       2824.00","       2843.00","       2836.68","       2837.32","        754","             2139342.15","         48","        548","         72.68"
"SGBJUL25","GB","29-Oct-2018","       2836.68","       2840.00","       2844.00","       2824.15","       2832.00","       2832.00","       2834.51","        407","             1153646.05","         21","        405","         99.51"
"SGBJUL25","GB","30-Oct-2018","       2832.00","       2835.00","       2850.00","       2835.00","       2850.00","       2844.36","       2842.28","        463","             1315977.20","         23","        432","         93.30"
"SGBJUL25","GB","31-Oct-2018","       2844.36","       2850.00","       2850.00","       2822.10","       2826.10","       2829.03","       2827.88","        128","              361968.96","         11","         56","         43.75"
"SGBJUL25","GB","01-Nov-2018","       2829.03","       2829.00","       2845.00","       2829.00","       2831.00","       2831.00","       2840.83","        152","              431805.50","         10","        152","        100.00"
"SGBJUL25","GB","02-Nov-2018","       2831.00","       2831.00","       2831.00","       2830.00","       2830.00","       2830.00","       2830.50","          2","                5661.00","          2","          1","         50.00"
"SGBJUL25","GB","05-Nov-2018","       2830.00","       2850.00","       2874.00","       2850.00","       2873.90","       2873.88","       2862.31","        552","             1579992.77","         77","        550","         99.64"
"SGBJUL25","GB","06-Nov-2018","       2873.88","       2873.79","       2873.79","       2855.00","       2860.00","       2864.94","       2864.42","         79","              226289.38","         16","         67","         84.81"
"SGBJUL25","GB","07-Nov-2018","       2864.94","       2875.00","       2875.00","       2850.25","       2850.25","       2854.07","       2854.51","         98","              279741.60","          9","         98","        100.00"
"SGBJUL25","GB","09-Nov-2018","       2854.07","       2851.00","       2865.00","       2841.00","       2865.00","       2855.19","       2851.95","        183","              521907.05","         16","        182","         99.45"
"SGBJUL25","GB","12-Nov-2018","       2855.19","       2854.50","       2855.00","       2827.60","       2845.00","       2846.24","       2846.18","         62","              176463.24","         16","         43","         69.35"
"SGBJUL25","GB","13-Nov-2018","       2846.24","       2844.99","       2854.00","       2844.99","       2850.00","       2850.00","       2848.59","        305","              868819.90","         14","        305","        100.00"
"SGBJUL25","GB","14-Nov-2018","       2850.00","       2849.00","       2850.00","       2830.00","       2842.90","       2842.28","       2836.87","         51","              144680.22","         10","         36","         70.59"
"SGBJUL25","GB","15-Nov-2018","       2842.28","       2850.00","       2850.00","       2835.25","       2850.00","       2850.00","       2849.96","        380","             1082985.25","         14","        380","        100.00"
"SGBJUL25","GB","16-Nov-2018","       2850.00","       2850.00","       2888.90","       2833.60","       2835.25","       2837.24","       2853.22","        317","              904470.13","         16","        198","         62.46"
"SGBJUL25","GB","19-Nov-2018","       2837.24","       2890.00","       2890.00","       2841.10","       2855.00","       2855.00","       2877.56","        153","              440266.42","         11","        127","         83.01"
"SGBJUL25","GB","20-Nov-2018","       2855.00","       2850.00","       2875.00","       2850.00","       2860.00","       2851.25","       2855.61","        155","              442620.00","         14","        149","         96.13"
"SGBJUL25","GB","21-Nov-2018","       2851.25","       2860.00","       2880.00","       2850.00","       2880.00","       2880.00","       2864.41","        174","              498407.04","         16","        173","         99.43"
"SGBJUL25","GB","22-Nov-2018","       2880.00","       2865.00","       2865.00","       2842.12","       2842.12","       2842.12","       2851.89","        139","              396412.27","         13","        123","         88.49"
"SGBJUL25","GB","26-Nov-2018","       2842.12","       2840.00","       2850.00","       2840.00","       2850.00","       2850.00","       2848.02","         81","              230690.00","          8","         81","        100.00"
"SGBJUL25","GB","27-Nov-2018","       2850.00","       2807.06","       2850.00","       2807.06","       2850.00","       2850.00","       2842.19","         11","               31264.08","          4","          9","         81.82"
"SGBJUL25","GB","28-Nov-2018","       2850.00","       2850.00","       2900.00","       2811.13","       2845.00","       2845.00","       2857.22","         41","              117146.13","         13","         27","         65.85"
"SGBJUL25","GB","29-Nov-2018","       2845.00","       2785.00","       2840.00","       2785.00","       2811.02","       2811.02","       2820.85","         82","              231310.10","          8","         62","         75.61"
"SGBJUL25","GB","30-Nov-2018","       2811.02","       2820.10","       2820.10","       2801.00","       2801.00","       2801.00","       2810.47","         63","              177059.78","         15","         57","         90.48"
"SGBJUL25","GB","03-Dec-2018","       2801.00","       2827.88","       2828.00","       2805.00","       2809.00","       2809.00","       2809.61","        111","              311866.27","         13","        102","         91.89"
"SGBJUL25","GB","04-Dec-2018","       2809.00","       2809.00","       2820.00","       2800.00","       2815.00","       2816.12","       2811.26","        134","              376709.00","         13","        134","        100.00"
"SGBJUL25","GB","05-Dec-2018","       2816.12","       2801.11","       2811.00","       2801.11","       2810.00","       2810.03","       2808.87","        155","              435374.10","          7","        138","         89.03"
"SGBJUL25","GB","06-Dec-2018","       2810.03","       2811.00","       2818.50","       2811.00","       2815.00","       2815.00","       2813.15","         73","              205360.00","          4","         73","        100.00"
"SGBJUL25","GB","07-Dec-2018","       2815.00","       2807.00","       2810.05","       2807.00","       2810.05","       2810.05","       2809.89","         48","              134874.75","          5","         48","        100.00"
"SGBJUL25","GB","10-Dec-2018","       2810.05","       2831.00","       2855.00","       2812.28","       2850.00","       2848.50","       2831.54","        513","             1452580.85","         30","        374","         72.90"
